id,sd_arena_id,sd_enemy_table_id,respawn_minutes,position_x,position_y
122,25,108,0,-5,10
123,25,109,0,5,10
124,25,106,0,-7,2
125,25,107,0,7,2
126,26,110,0,0,2
127,26,113,0,-5,10
128,26,114,0,5,10
129,26,111,0,-7,2
130,26,112,0,7,2
131,27,115,0,0,2
132,27,118,0,-5,10
133,27,119,0,5,10
134,27,116,0,-7,2
135,27,117,0,7,2
136,28,120,0,0,2
137,28,123,0,-5,10
138,28,124,0,5,10
139,28,121,0,-7,2
140,28,122,0,7,2
141,29,125,0,0,2
142,29,128,0,-5,10
143,29,129,0,5,10
144,29,126,0,-7,2
145,29,127,0,7,2
146,30,130,0,0,2
147,30,133,0,-5,10
148,30,134,0,5,10
149,30,131,0,-7,2
150,30,132,0,7,2
151,31,135,0,0,2
152,31,138,0,-5,10
153,31,139,0,5,10
154,31,136,0,-7,2
155,31,137,0,7,2
156,32,140,0,0,2
157,32,143,0,-5,10
158,32,144,0,5,10
159,32,141,0,-7,2
160,32,142,0,7,2
161,33,145,0,0,2
162,33,148,0,-5,10
163,33,149,0,5,10
164,33,146,0,-7,2
165,33,147,0,7,2
166,34,150,0,0,2
167,34,153,0,-5,10
168,34,154,0,5,10
169,34,151,0,-7,2
170,34,152,0,7,2
171,35,155,0,0,2
172,35,158,0,-5,10
173,35,159,0,5,10
174,35,156,0,-7,2
175,35,157,0,7,2
176,36,160,0,0,2
177,36,163,0,-5,10
178,36,164,0,5,10
179,36,161,0,-7,2
180,36,162,0,7,2
181,37,165,0,0,2
182,37,168,0,-5,10
183,37,169,0,5,10
184,37,166,0,-7,2
185,37,167,0,7,2
186,38,170,0,0,2
187,38,173,0,-5,10
188,38,174,0,5,10
189,38,171,0,-7,2
190,38,172,0,7,2
191,39,175,0,0,2
192,39,178,0,-5,10
193,39,179,0,5,10
194,39,176,0,-7,2
195,39,177,0,7,2
196,40,180,0,0,2
197,40,183,0,-5,10
198,40,184,0,5,10
199,40,181,0,-7,2
200,40,182,0,7,2
201,41,185,0,0,2
202,41,188,0,-5,10
203,41,189,0,5,10
204,41,186,0,-7,2
205,41,187,0,7,2
206,42,190,0,0,2
207,42,193,0,-5,10
208,42,194,0,5,10
209,42,191,0,-7,2
210,42,192,0,7,2
211,43,195,0,0,2
212,43,198,0,-5,10
213,43,199,0,5,10
214,43,196,0,-7,2
215,43,197,0,7,2
216,44,200,0,0,2
217,44,203,0,-5,10
218,44,204,0,5,10
219,44,201,0,-7,2
220,44,202,0,7,2
221,45,205,0,0,2
222,45,208,0,-5,10
223,45,209,0,5,10
224,45,206,0,-7,2
225,45,207,0,7,2
226,46,210,0,0,2
227,46,213,0,-5,10
228,46,214,0,5,10
229,46,211,0,-7,2
230,46,212,0,7,2
231,47,215,0,0,2
232,47,218,0,-5,10
233,47,219,0,5,10
234,47,216,0,-7,2
235,47,217,0,7,2
236,48,220,0,0,2
237,48,223,0,-5,10
238,48,224,0,5,10
239,48,221,0,-7,2
240,48,222,0,7,2
241,49,225,0,0,2
242,49,228,0,-5,10
243,49,229,0,5,10
244,49,226,0,-7,2
245,49,227,0,7,2
246,50,230,0,0,2
247,50,233,0,-5,10
248,50,234,0,5,10
249,50,231,0,-7,2
250,50,232,0,7,2
251,51,235,0,0,2
252,51,238,0,-5,10
253,51,239,0,5,10
254,51,236,0,-7,2
255,51,237,0,7,2
256,52,240,0,0,2
257,52,243,0,-5,10
258,52,244,0,5,10
259,52,241,0,-7,2
260,52,242,0,7,2
261,53,245,0,0,2
262,53,248,0,-5,10
263,53,249,0,5,10
264,53,246,0,-7,2
265,53,247,0,7,2
266,54,250,0,0,2
267,54,253,0,-5,10
268,54,254,0,5,10
269,54,251,0,-7,2
270,54,252,0,7,2
271,55,255,0,0,2
272,55,258,0,-5,10
273,55,259,0,5,10
274,55,256,0,-7,2
275,55,257,0,7,2
276,56,260,0,0,2
277,56,263,0,-5,10
278,56,264,0,5,10
279,56,261,0,-7,2
280,56,262,0,7,2
281,57,265,0,0,2
282,57,268,0,-5,10
283,57,269,0,5,10
284,57,266,0,-7,2
285,57,267,0,7,2
286,58,270,0,0,2
287,58,273,0,-5,10
288,58,274,0,5,10
289,58,271,0,-7,2
290,58,272,0,7,2
291,59,275,0,0,2
292,59,278,0,-5,10
293,59,279,0,5,10
294,59,276,0,-7,2
295,59,277,0,7,2
296,60,280,0,0,2
297,60,283,0,-5,10
298,60,284,0,5,10
299,60,281,0,-7,2
300,60,282,0,7,2
301,61,285,0,0,2
302,61,288,0,-5,10
303,61,289,0,5,10
304,61,286,0,-7,2
305,61,287,0,7,2
306,62,290,0,0,2
307,62,293,0,-5,10
308,62,294,0,5,10
309,62,291,0,-7,2
310,62,292,0,7,2
311,63,295,0,0,2
312,63,298,0,-5,10
313,63,299,0,5,10
314,63,296,0,-7,2
315,63,297,0,7,2
316,64,300,0,0,2
317,64,303,0,-5,10
318,64,304,0,5,10
319,64,301,0,-7,2
320,64,302,0,7,2
321,65,305,0,0,2
322,65,308,0,-5,10
323,65,309,0,5,10
324,65,306,0,-7,2
325,65,307,0,7,2
326,66,310,0,0,2
327,66,313,0,-5,10
328,66,314,0,5,10
329,66,311,0,-7,2
330,66,312,0,7,2
331,67,315,0,0,2
332,67,318,0,-5,10
333,67,319,0,5,10
334,67,316,0,-7,2
335,67,317,0,7,2
336,68,320,0,0,2
337,68,323,0,-5,10
338,68,324,0,5,10
339,68,321,0,-7,2
340,68,322,0,7,2
341,69,325,0,0,2
342,69,328,0,-5,10
343,69,329,0,5,10
344,69,326,0,-7,2
345,69,327,0,7,2
346,70,330,0,0,2
347,70,333,0,-5,10
348,70,334,0,5,10
349,70,331,0,-7,2
350,70,332,0,7,2
351,71,335,0,0,2
352,71,338,0,-5,10
353,71,339,0,5,10
354,71,336,0,-7,2
355,71,337,0,7,2
356,72,340,0,0,2
357,72,343,0,-5,10
358,72,344,0,5,10
359,72,341,0,-7,2
360,72,342,0,7,2
361,73,345,0,0,2
362,73,348,0,-5,10
363,73,349,0,5,10
364,73,346,0,-7,2
365,73,347,0,7,2
366,74,350,0,0,2
367,74,353,0,-5,10
368,74,354,0,5,10
369,74,351,0,-7,2
370,74,352,0,7,2
371,75,355,0,0,2
372,75,358,0,-5,10
373,75,359,0,5,10
374,75,356,0,-7,2
375,75,357,0,7,2
376,76,360,0,0,2
377,76,363,0,-5,10
378,76,364,0,5,10
379,76,361,0,-7,2
380,76,362,0,7,2
381,77,365,0,0,2
382,77,368,0,-5,10
383,77,369,0,5,10
384,77,366,0,-7,2
385,77,367,0,7,2
386,78,370,0,0,2
387,78,373,0,-5,10
388,78,374,0,5,10
389,78,371,0,-7,2
390,78,372,0,7,2
391,79,375,0,0,2
392,79,378,0,-5,10
393,79,379,0,5,10
394,79,376,0,-7,2
395,79,377,0,7,2
396,80,380,0,0,2
397,80,383,0,-5,10
398,80,384,0,5,10
399,80,381,0,-7,2
400,80,382,0,7,2
401,81,385,0,0,2
402,81,388,0,-5,10
403,81,389,0,5,10
404,81,386,0,-7,2
405,81,387,0,7,2
406,82,390,0,0,2
407,82,393,0,-5,10
408,82,394,0,5,10
409,82,391,0,-7,2
410,82,392,0,7,2
411,83,395,0,0,2
412,83,398,0,-5,10
413,83,399,0,5,10
414,83,396,0,-7,2
415,83,397,0,7,2
416,84,400,0,0,2
417,84,403,0,-5,10
418,84,404,0,5,10
419,84,401,0,-7,2
420,84,402,0,7,2
421,85,405,0,0,2
422,85,408,0,-5,10
423,85,409,0,5,10
424,85,406,0,-7,2
425,85,407,0,7,2
426,86,410,0,0,2
427,86,413,0,-5,10
428,86,414,0,5,10
429,86,411,0,-7,2
430,86,412,0,7,2
431,87,415,0,0,2
432,87,418,0,-5,10
433,87,419,0,5,10
434,87,416,0,-7,2
435,87,417,0,7,2
436,88,420,0,0,2
437,88,423,0,-5,10
438,88,424,0,5,10
439,88,421,0,-7,2
440,88,422,0,7,2
441,89,425,0,0,2
442,89,428,0,-5,10
443,89,429,0,5,10
444,89,426,0,-7,2
445,89,427,0,7,2
446,90,430,0,0,2
447,90,433,0,-5,10
448,90,434,0,5,10
449,90,431,0,-7,2
450,90,432,0,7,2
451,91,435,0,0,2
452,91,438,0,-5,10
453,91,439,0,5,10
454,91,436,0,-7,2
455,91,437,0,7,2
456,92,440,0,0,2
457,92,443,0,-5,10
458,92,444,0,5,10
459,92,441,0,-7,2
460,92,442,0,7,2
461,93,445,0,0,2
462,93,448,0,-5,10
463,93,449,0,5,10
464,93,446,0,-7,2
465,93,447,0,7,2
466,94,450,0,0,2
467,94,453,0,-5,10
468,94,454,0,5,10
469,94,451,0,-7,2
470,94,452,0,7,2
471,95,455,0,0,2
472,95,458,0,-5,10
473,95,459,0,5,10
474,95,456,0,-7,2
475,95,457,0,7,2
476,96,460,0,0,2
477,96,463,0,-5,10
478,96,464,0,5,10
479,96,461,0,-7,2
480,96,462,0,7,2
481,97,465,0,0,2
482,97,468,0,-5,10
483,97,469,0,5,10
484,97,466,0,-7,2
485,97,467,0,7,2
486,98,470,0,0,2
487,98,473,0,-5,10
488,98,474,0,5,10
489,98,471,0,-7,2
490,98,472,0,7,2
491,99,475,0,0,2
492,99,478,0,-5,10
493,99,479,0,5,10
494,99,476,0,-7,2
495,99,477,0,7,2
496,100,480,0,0,2
497,100,483,0,-5,10
498,100,484,0,5,10
499,100,481,0,-7,2
500,100,482,0,7,2
501,101,485,0,0,2
502,101,488,0,-5,10
503,101,489,0,5,10
504,101,486,0,-7,2
505,101,487,0,7,2
506,102,490,0,0,2
507,102,493,0,-5,10
508,102,494,0,5,10
509,102,491,0,-7,2
510,102,492,0,7,2
511,103,495,0,0,2
512,103,498,0,-5,10
513,103,499,0,5,10
514,103,496,0,-7,2
515,103,497,0,7,2
516,104,500,0,0,2
517,104,503,0,-5,10
518,104,504,0,5,10
519,104,501,0,-7,2
520,104,502,0,7,2
521,105,505,0,0,2
522,105,508,0,-5,10
523,105,509,0,5,10
524,105,506,0,-7,2
525,105,507,0,7,2
526,106,510,0,0,2
527,106,513,0,-5,10
528,106,514,0,5,10
529,106,511,0,-7,2
530,106,512,0,7,2
531,107,515,0,0,2
532,107,518,0,-5,10
533,107,519,0,5,10
534,107,516,0,-7,2
535,107,517,0,7,2
536,108,520,0,0,2
537,108,523,0,-5,10
538,108,524,0,5,10
539,108,521,0,-7,2
540,108,522,0,7,2
541,109,525,0,0,2
542,109,528,0,-5,10
543,109,529,0,5,10
544,109,526,0,-7,2
545,109,527,0,7,2
546,110,530,0,0,2
547,110,533,0,-5,10
548,110,534,0,5,10
549,110,531,0,-7,2
550,110,532,0,7,2
551,111,535,0,0,2
552,111,538,0,-5,10
553,111,539,0,5,10
554,111,536,0,-7,2
555,111,537,0,7,2
556,112,540,0,0,2
557,112,543,0,-5,10
558,112,544,0,5,10
559,112,541,0,-7,2
560,112,542,0,7,2
561,113,545,0,0,2
562,113,548,0,-5,10
563,113,549,0,5,10
564,113,546,0,-7,2
565,113,547,0,7,2
566,114,550,0,0,2
567,114,553,0,-5,10
568,114,554,0,5,10
569,114,551,0,-7,2
570,114,552,0,7,2
571,115,555,0,0,2
572,115,558,0,-5,10
573,115,559,0,5,10
574,115,556,0,-7,2
575,115,557,0,7,2
576,116,560,0,0,2
577,116,563,0,-5,10
578,116,564,0,5,10
579,116,561,0,-7,2
580,116,562,0,7,2
581,117,565,0,0,2
582,117,568,0,-5,10
583,117,569,0,5,10
584,117,566,0,-7,2
585,117,567,0,7,2
586,118,570,0,0,2
587,118,573,0,-5,10
588,118,574,0,5,10
589,118,571,0,-7,2
590,118,572,0,7,2
591,119,575,0,0,2
592,119,578,0,-5,10
593,119,579,0,5,10
594,119,576,0,-7,2
595,119,577,0,7,2
596,120,580,0,0,2
597,120,583,0,-5,10
598,120,584,0,5,10
599,120,581,0,-7,2
600,120,582,0,7,2
601,121,585,0,0,2
602,121,588,0,-5,10
603,121,589,0,5,10
604,121,586,0,-7,2
605,121,587,0,7,2
606,122,590,0,0,2
607,122,593,0,-5,10
608,122,594,0,5,10
609,122,591,0,-7,2
610,122,592,0,7,2
611,123,595,0,0,2
612,123,598,0,-5,10
613,123,599,0,5,10
614,123,596,0,-7,2
615,123,597,0,7,2
616,124,600,0,0,2
617,124,603,0,-5,10
618,124,604,0,5,10
619,124,601,0,-7,2
620,124,602,0,7,2
621,125,605,0,0,2
622,125,608,0,-5,10
623,125,609,0,5,10
624,125,606,0,-7,2
625,125,607,0,7,2
626,126,610,0,0,2
627,126,613,0,-5,10
628,126,614,0,5,10
629,126,611,0,-7,2
630,126,612,0,7,2
631,127,615,0,0,2
632,127,618,0,-5,10
633,127,619,0,5,10
634,127,616,0,-7,2
635,127,617,0,7,2
636,128,620,0,0,2
637,128,623,0,-5,10
638,128,624,0,5,10
639,128,621,0,-7,2
640,128,622,0,7,2
641,129,625,0,0,2
642,129,628,0,-5,10
643,129,629,0,5,10
644,129,626,0,-7,2
645,129,627,0,7,2
646,130,630,0,0,2
647,130,633,0,-5,10
648,130,634,0,5,10
649,130,631,0,-7,2
650,130,632,0,7,2
651,131,635,0,0,2
652,131,638,0,-5,10
653,131,639,0,5,10
654,131,636,0,-7,2
655,131,637,0,7,2
656,132,640,0,0,2
657,132,643,0,-5,10
658,132,644,0,5,10
659,132,641,0,-7,2
660,132,642,0,7,2
661,133,645,0,0,2
662,133,648,0,-5,10
663,133,649,0,5,10
664,133,646,0,-7,2
665,133,647,0,7,2
666,134,650,0,0,2
667,134,653,0,-5,10
668,134,654,0,5,10
669,134,651,0,-7,2
670,134,652,0,7,2
671,135,655,0,0,2
672,135,658,0,-5,10
673,135,659,0,5,10
674,135,656,0,-7,2
675,135,657,0,7,2
676,136,660,0,0,2
677,136,663,0,-5,10
678,136,664,0,5,10
679,136,661,0,-7,2
680,136,662,0,7,2
681,137,665,0,0,2
682,137,668,0,-5,10
683,137,669,0,5,10
684,137,666,0,-7,2
685,137,667,0,7,2
686,138,670,0,0,2
687,138,673,0,-5,10
688,138,674,0,5,10
689,138,671,0,-7,2
690,138,672,0,7,2
691,139,675,0,0,2
692,139,678,0,-5,10
693,139,679,0,5,10
694,139,676,0,-7,2
695,139,677,0,7,2
696,140,680,0,0,2
697,140,683,0,-5,10
698,140,684,0,5,10
699,140,681,0,-7,2
700,140,682,0,7,2
701,141,685,0,0,2
702,141,688,0,-5,10
703,141,689,0,5,10
704,141,686,0,-7,2
705,141,687,0,7,2
706,142,690,0,0,2
707,142,693,0,-5,10
708,142,694,0,5,10
709,142,691,0,-7,2
710,142,692,0,7,2
711,143,695,0,0,2
712,143,698,0,-5,10
713,143,699,0,5,10
714,143,696,0,-7,2
715,143,697,0,7,2
716,144,700,0,0,2
717,144,703,0,-5,10
718,144,704,0,5,10
719,144,701,0,-7,2
720,144,702,0,7,2
721,145,705,0,0,2
722,145,708,0,-5,10
723,145,709,0,5,10
724,145,706,0,-7,2
725,145,707,0,7,2
726,146,710,0,0,2
727,146,713,0,-5,10
728,146,714,0,5,10
729,146,711,0,-7,2
730,146,712,0,7,2
731,147,715,0,0,2
732,147,718,0,-5,10
733,147,719,0,5,10
734,147,716,0,-7,2
735,147,717,0,7,2
736,148,720,0,0,2
737,148,723,0,-5,10
738,148,724,0,5,10
739,148,721,0,-7,2
740,148,722,0,7,2
741,149,725,0,0,2
742,149,728,0,-5,10
743,149,729,0,5,10
744,149,726,0,-7,2
745,149,727,0,7,2
746,150,730,0,0,2
747,150,733,0,-5,10
748,150,734,0,5,10
749,150,731,0,-7,2
750,150,732,0,7,2
751,151,735,0,0,2
752,151,738,0,-5,10
753,151,739,0,5,10
754,151,736,0,-7,2
755,151,737,0,7,2
756,152,740,0,0,2
757,152,743,0,-5,10
758,152,744,0,5,10
759,152,741,0,-7,2
760,152,742,0,7,2
761,153,745,0,0,2
762,153,748,0,-5,10
763,153,749,0,5,10
764,153,746,0,-7,2
765,153,747,0,7,2
