id,name,bg1_enable,bg1_coef,bg1_flip_disable,bg2_enable,bg2_coef,bg2_flip_disable,bg3_enable,bg3_coef,bg3_flip_disable,bg4_enable,bg4_coef,bg4_flip_disable
63,ミューの星,1,0,1,1,0,1,0,0,1,0,0,1
64,ーーー,1,5,1,1,15,1,1,35,1,0,0,1
65,17号18号との戦闘地（暗転）,1,35,1,1,25,1,1,10,1,0,0,1
66,スーパーベビーになった島,1,35,1,1,25,1,1,10,1,0,0,1
67,パン(GT)(ハニー)の花園,1,25,1,1,10,1,0,0,1,0,0,1
68,名前のない星,1,35,1,1,25,1,1,10,1,1,5,1
69,崩壊した街(GT),1,35,1,1,25,1,1,15,1,0,0,1
70,新惑星ベジータ(昼),1,25,1,1,15,1,1,10,1,0,0,1
71,新惑星ベジータ(夜),1,25,1,1,15,1,1,10,1,0,0,1
72,ナタデ村付近の戦闘地,1,25,1,1,15,1,0,0,1,0,0,1
73,未来の崩壊した街,1,35,1,1,25,1,1,15,1,0,0,1
74,ペンギン村,1,20,1,1,15,1,1,10,1,0,0,1
75,草野球場,1,25,1,1,15,1,0,0,1,0,0,1
76,ウサギ団の街,1,25,1,1,15,1,0,0,1,0,0,1
77,第10宇宙界王神界,1,20,1,1,10,1,1,5,1,0,0,1
78,ツフル星,1,20,1,1,10,1,1,5,1,0,0,1
79,パオズ山(昼),1,20,1,1,10,1,1,5,1,0,0,1
80,パオズ山(夕方),1,20,1,1,10,1,1,5,1,0,0,1
81,パオズ山(夜),1,20,1,1,10,1,1,5,1,0,0,1
82,パオズ山(昼)(悟空の家),1,20,1,1,10,1,1,5,1,0,0,1
83,パオズ山(夕方)(悟空の家),1,20,1,1,10,1,1,5,1,0,0,1
84,パオズ山(夜)(悟空の家),1,20,1,1,10,1,1,5,1,0,0,1
85,暗めの荒野,1,40,1,1,25,1,0,0,1,0,0,1
86,メイクイーン城（養成施設）,1,20,1,1,10,1,1,5,1,0,0,1
87,メイクイーン城がみえる海,1,20,1,1,10,1,1,10,1,0,0,1
88,あの世,1,5,1,1,3,1,1,1,1,0,0,0
89,天下一武道会会場（半壊）,1,20,1,1,10,1,1,0,1,1,0,1
90,孫悟空一家の畑,1,25,1,1,20,1,1,15,1,0,0,1
91,スーパーゴージャスホテル,1,25,1,1,20,1,1,15,1,0,0,1
92,カメハウスが見える海,1,10,1,1,5,1,0,0,0,0,0,0
94,全覧試合の武舞台,1,50,1,1,25,1,1,15,1,1,10,1
95,サタンビル屋上,1,25,1,1,12,1,0,0,1,0,0,1
96,17号のいる島(夕方),1,20,1,1,10,1,1,5,1,0,0,1
97,天津堂道場,1,50,1,1,25,1,1,0,1,0,0,1
98,悟空と悟飯が闘った岩場,1,20,1,1,10,1,1,5,1,0,0,1
99,地球の地獄,1,25,1,1,12,1,0,0,1,0,0,1
100,占いババの宮殿(夜),1,50,1,1,25,1,1,0,1,0,0,1
101,西の都(夜),1,20,1,1,10,1,1,5,1,0,0,1
102,崩壊した西の都(夜),1,35,1,1,25,1,1,15,1,0,0,1
103,ヒルデガーンに破壊された西の都,1,35,1,1,25,1,1,15,1,0,0,1
104,豪華客船の上,1,20,1,1,15,1,1,5,1,0,0,0
105,時の狭間,1,15,1,1,10,1,1,5,1,0,0,0
106,力の大会武舞台(エイプリルフール用),1,20,1,0,0,0,1,5,1,0,0,0
107,力の大会武舞台①,1,20,1,1,5,1,0,0,0,0,0,0
108,力の大会武舞台②,1,20,1,1,5,1,0,0,0,0,0,0
109,力の大会武舞台(破壊)①,1,20,1,1,10,1,1,5,1,0,0,1
110,力の大会武舞台(破壊)②,1,20,1,1,10,1,1,5,1,0,0,1
111,力の大会武舞台(後半)①,1,20,1,1,10,1,1,5,1,0,0,1
112,力の大会武舞台(後半)②,1,20,1,1,10,1,1,5,1,0,0,1
113,力の大会武舞台(後半)③,1,15,1,1,5,1,1,5,1,0,0,0
114,力の大会武舞台(後半)④,1,15,1,1,5,1,1,5,1,0,0,0
115,力の大会武舞台(後半)⑤,1,15,1,1,5,1,1,5,1,0,0,0
116,スラッグの城（昼）,1,15,1,1,5,1,1,1,1,0,0,0
117,スラッグの城（夜）,1,15,1,1,5,1,1,1,1,0,0,0
118,繁華街（夜）,1,15,1,1,5,1,1,1,1,0,0,0
119,地獄(GT),1,5,1,1,3,1,1,1,1,0,0,0
120,17号のいる島(昼),1,20,1,1,10,1,1,5,1,0,0,1
121,大陸氷河,1,15,1,1,10,1,1,5,1,0,0,0
122,北の界王神と魔人ブウ(純粋)が闘った惑星,1,10,1,1,7,1,1,5,1,0,0,0
123,南の界王神と魔人ブウ(純粋)が闘った惑星,1,10,1,1,7,1,1,5,1,0,0,0
124,ビッグゲテスター,1,10,1,1,7,1,0,0,0,0,0,0
125,グルメス城,1,10,1,1,7,1,1,5,1,0,0,0
126,夜の森,1,10,1,1,7,1,1,5,1,0,0,0
127,魔神城(ガステル戦),1,10,1,1,7,1,1,5,1,0,0,0
128,魔神城(ルシフェル戦),1,10,1,1,7,1,0,0,0,0,0,0
129,惑星ルーデゼ,1,10,1,1,7,1,1,5,1,0,0,0
130,森と湖(GT)(マイナスエネルギー),1,10,1,1,7,1,1,5,1,0,0,0
131,港街(GT),1,10,1,1,7,1,0,0,0,0,0,0
132,崩壊した街(GT)(快晴),1,10,1,1,7,1,1,5,1,0,0,0
133,崩壊した街(GT)(暗雲),1,10,1,1,7,1,1,5,1,0,0,0
134,ミーファン帝国,1,10,1,1,7,1,1,0,1,0,0,1
135,ポトフ星,1,10,1,1,7,1,0,0,0,0,0,0
136,天下一武道会会場(8bit版),1,10,1,1,7,1,1,0,1,0,0,1
137,天下一大武道大会会場,1,10,1,1,7,1,1,5,1,0,0,0
138,惑星サダラ,1,10,1,1,7,1,1,5,1,0,0,0
139,第6宇宙の荒野(雨),1,10,1,1,7,1,0,0,0,0,0,0
140,ヒーロータウン,1,10,1,1,7,1,1,5,1,0,0,0
141,時の巣,1,10,1,1,7,1,0,0,0,0,0,0
142,ヒーロータウン(暗雲),1,10,1,1,7,1,1,5,1,0,0,0
143,重力室(300倍重力),1,0,1,0,0,1,0,0,0,0,0,0
144,街の背景,1,10,1,1,7,1,1,5,1,0,0,0
145,セルゲーム会場(リングなし),1,10,1,1,7,1,1,5,1,0,0,0
146,神様の神殿,1,0,1,0,0,1,0,0,0,0,0,0
147,監獄惑星,1,10,1,1,7,1,1,5,1,0,0,0
148,占いババの宮殿(昼),1,0,1,1,0,1,1,0,1,0,0,0
149,都会の都,1,10,1,1,7,1,1,5,1,0,0,0
150,第25回天下一武道会会場,1,10,1,1,7,1,1,5,1,0,0,0
151,惑星ズン,1,10,1,1,7,1,0,0,0,0,0,0
152,暗黒星,1,10,1,1,7,1,1,5,1,0,0,0
153,ベジータ(幼年期)がいた惑星,1,10,1,1,7,1,1,5,1,0,0,0
154,惑星ベジータ(劇場版),1,10,1,1,7,1,1,5,1,0,0,0
155,惑星ベジータ王宮(昼),1,10,1,1,7,1,0,0,0,0,0,0
156,ダーブラと悟飯が闘った場所,1,10,1,1,7,1,1,5,1,0,0,0
157,ババリ星,1,10,1,1,7,1,1,5,1,0,0,0
158,惑星プラント,1,10,1,1,7,1,1,5,1,0,0,0
159,宇宙空間(地球近辺),1,10,1,1,0,1,0,0,0,0,0,0
160,魔人ブウの体内,1,10,1,1,7,1,1,5,1,1,3,1
161,魔人ブウの体内（新）,1,10,1,1,7,1,1,5,1,0,0,0
162,あの世一武道会,1,10,1,1,7,1,1,5,1,0,0,0
163,カリン塔(夜),1,10,1,1,7,1,1,5,1,0,0,0
164,西の都上空,1,10,1,1,7,1,0,0,0,0,0,0
165,ガーリックjr.の城,1,10,1,1,7,1,1,5,1,1,3,1
166,渦巻く空(劇場版),1,10,1,1,7,1,1,5,1,0,0,0
167,渦巻く空(アニメ）,1,10,1,1,7,1,0,0,0,0,0,0
168,孫悟空vsベジータの決闘地点,1,10,1,1,7,1,1,5,1,0,0,0
169,悟飯とピッコロの修行場所夕方,1,10,1,1,7,1,1,5,1,0,0,0
170,メチカブラのカオス城,1,10,1,1,7,1,1,5,1,0,0,0
171,キウイ山の火口,1,10,1,1,7,1,0,0,0,0,0,0
172,昼の森,1,10,1,1,7,1,0,0,0,0,0,0
173,八卦炉,1,10,1,1,7,1,0,0,0,0,0,0
174,ウーロンと出会った岩場,1,10,1,1,7,1,1,5,1,0,0,0
175,マッスルタワー,1,10,1,1,7,1,0,0,0,0,0,0
176,砂浜,1,10,1,1,7,1,1,5,1,0,0,0
177,RR軍基地,1,10,1,1,7,1,1,5,1,0,0,0
178,惑星ベジータ,1,10,1,1,7,1,0,0,0,0,0,0
179,地獄(SDBH),1,10,1,1,7,1,1,5,1,0,0,0
180,天国,1,10,1,1,7,1,1,5,1,0,0,0
181,砂漠,1,10,1,1,7,1,1,5,1,0,0,0
182,ピラフ城(夜),1,10,1,1,7,1,1,5,1,0,0,0
183,フライパン山,1,10,1,1,7,1,1,5,1,0,0,0
184,Dr.ウィローの研究所,1,1,1,1,1,1,0,0,0,0,0,0
185,無限ザマス,1,1,1,1,1,1,0,0,0,0,0,0
186,宇宙樹,1,10,1,1,7,1,0,0,0,0,0,0
187,宇宙空間,1,10,1,1,7,1,0,0,0,0,0,0
188,マッスルタワー1,1,10,1,1,7,1,0,0,0,0,0,0
189,マッスルタワー2,1,10,1,1,7,1,0,0,0,0,0,0
190,洞窟,1,10,1,1,7,1,0,0,0,0,0,0
999,大乱戦,1,50,1,1,25,1,1,10,1,0,0,0
1000,群島,1,50,1,1,25,1,1,10,1,0,0,0
1001,雲海,1,25,1,1,12,1,0,0,0,0,0,0
1002,崩壊した地球,1,12,1,1,6,1,1,10,1,0,0,0
1100,チェインバトル,1,50,1,1,25,1,1,10,1,0,0,0
2000,氷の大陸(劇場版),1,15,1,1,5,1,1,8,1,0,0,0
2001,ブルマの別荘,1,10,1,1,7,1,1,5,1,0,0,0
2002,惑星バンパ,1,10,1,1,7,1,1,5,1,0,0,0
2003,氷の大陸(マグマ地帯),1,10,1,1,7,1,1,5,1,0,0,0
2004,氷の大陸 夕景,1,10,1,1,7,1,1,5,1,0,0,0
2005,新生RR軍基地(崩壊),1,10,1,1,7,1,1,5,1,0,0,0
2006,新生RR軍基地,1,10,1,1,7,1,1,5,1,0,0,0
2007,新生RR軍基地(雨),1,10,1,1,7,1,1,5,1,0,0,0
2008,ピッコロの修業場,1,1,1,1,1,1,1,1,1,0,0,0
