id,grow_type,lv,coef
742,33,42,0.519
743,33,43,0.532
744,33,44,0.544
745,33,45,0.557
746,33,46,0.57
747,33,47,0.582
748,33,48,0.595
749,33,49,0.608
750,33,50,0.62
751,33,51,0.633
752,33,52,0.646
753,33,53,0.658
754,33,54,0.671
755,33,55,0.684
756,33,56,0.696
757,33,57,0.709
758,33,58,0.722
759,33,59,0.734
760,33,60,0.747
761,33,61,0.759
762,33,62,0.772
763,33,63,0.785
764,33,64,0.797
765,33,65,0.81
766,33,66,0.823
767,33,67,0.835
768,33,68,0.848
769,33,69,0.861
770,33,70,0.873
771,33,71,0.886
772,33,72,0.899
773,33,73,0.911
774,33,74,0.924
775,33,75,0.937
776,33,76,0.949
777,33,77,0.962
778,33,78,0.975
779,33,79,0.987
780,33,80,1.0
781,40,1,0.0
782,40,2,0.01
783,40,3,0.02
784,40,4,0.03
785,40,5,0.04
786,40,6,0.051
787,40,7,0.061
788,40,8,0.071
789,40,9,0.081
790,40,10,0.091
791,40,11,0.101
792,40,12,0.111
793,40,13,0.121
794,40,14,0.131
795,40,15,0.141
796,40,16,0.152
797,40,17,0.162
798,40,18,0.172
799,40,19,0.182
800,40,20,0.192
801,40,21,0.202
802,40,22,0.212
803,40,23,0.222
804,40,24,0.232
805,40,25,0.242
806,40,26,0.253
807,40,27,0.263
808,40,28,0.273
809,40,29,0.283
810,40,30,0.293
811,40,31,0.303
812,40,32,0.313
813,40,33,0.323
814,40,34,0.333
815,40,35,0.343
816,40,36,0.354
817,40,37,0.364
818,40,38,0.374
819,40,39,0.384
820,40,40,0.394
821,40,41,0.404
822,40,42,0.414
823,40,43,0.424
824,40,44,0.434
825,40,45,0.444
826,40,46,0.455
827,40,47,0.465
828,40,48,0.475
829,40,49,0.485
830,40,50,0.495
831,40,51,0.505
832,40,52,0.515
833,40,53,0.525
834,40,54,0.535
835,40,55,0.545
836,40,56,0.556
837,40,57,0.566
838,40,58,0.576
839,40,59,0.586
840,40,60,0.596
841,40,61,0.606
842,40,62,0.616
843,40,63,0.626
844,40,64,0.636
845,40,65,0.646
846,40,66,0.657
847,40,67,0.667
848,40,68,0.677
849,40,69,0.687
850,40,70,0.697
851,40,71,0.707
852,40,72,0.717
853,40,73,0.727
854,40,74,0.737
855,40,75,0.747
856,40,76,0.758
857,40,77,0.768
858,40,78,0.778
859,40,79,0.788
860,40,80,0.798
861,40,81,0.808
862,40,82,0.818
863,40,83,0.828
864,40,84,0.838
865,40,85,0.848
866,40,86,0.859
867,40,87,0.869
868,40,88,0.879
869,40,89,0.889
870,40,90,0.899
871,40,91,0.909
872,40,92,0.919
873,40,93,0.929
874,40,94,0.939
875,40,95,0.949
876,40,96,0.96
877,40,97,0.97
878,40,98,0.98
879,40,99,0.99
880,40,100,1.0
881,41,1,0.0
882,41,2,0.008
883,41,3,0.017
884,41,4,0.025
885,41,5,0.034
886,41,6,0.042
887,41,7,0.05
888,41,8,0.059
889,41,9,0.067
890,41,10,0.076
891,41,11,0.084
892,41,12,0.092
893,41,13,0.101
894,41,14,0.109
895,41,15,0.118
896,41,16,0.126
897,41,17,0.134
898,41,18,0.143
899,41,19,0.151
900,41,20,0.16
901,41,21,0.168
902,41,22,0.176
903,41,23,0.185
904,41,24,0.193
905,41,25,0.202
906,41,26,0.21
907,41,27,0.218
908,41,28,0.227
909,41,29,0.235
910,41,30,0.244
911,41,31,0.252
912,41,32,0.261
913,41,33,0.269
914,41,34,0.277
915,41,35,0.286
916,41,36,0.294
917,41,37,0.303
918,41,38,0.311
919,41,39,0.319
920,41,40,0.328
921,41,41,0.336
922,41,42,0.345
923,41,43,0.353
924,41,44,0.361
925,41,45,0.37
926,41,46,0.378
927,41,47,0.387
928,41,48,0.395
929,41,49,0.403
930,41,50,0.412
931,41,51,0.42
932,41,52,0.429
933,41,53,0.437
934,41,54,0.445
935,41,55,0.454
936,41,56,0.462
937,41,57,0.471
938,41,58,0.479
939,41,59,0.487
940,41,60,0.496
941,41,61,0.504
942,41,62,0.513
943,41,63,0.521
944,41,64,0.529
945,41,65,0.538
946,41,66,0.546
947,41,67,0.555
948,41,68,0.563
949,41,69,0.571
950,41,70,0.58
951,41,71,0.588
952,41,72,0.597
953,41,73,0.605
954,41,74,0.613
955,41,75,0.622
956,41,76,0.63
957,41,77,0.639
958,41,78,0.647
959,41,79,0.655
960,41,80,0.664
961,41,81,0.672
962,41,82,0.681
963,41,83,0.689
964,41,84,0.697
965,41,85,0.706
966,41,86,0.714
967,41,87,0.723
968,41,88,0.731
969,41,89,0.739
970,41,90,0.748
971,41,91,0.756
972,41,92,0.765
973,41,93,0.773
974,41,94,0.782
975,41,95,0.79
976,41,96,0.798
977,41,97,0.807
978,41,98,0.815
979,41,99,0.824
980,41,100,0.832
981,41,101,0.84
982,41,102,0.849
983,41,103,0.857
984,41,104,0.866
985,41,105,0.874
986,41,106,0.882
987,41,107,0.891
988,41,108,0.899
989,41,109,0.908
990,41,110,0.916
991,41,111,0.924
992,41,112,0.933
993,41,113,0.941
994,41,114,0.95
995,41,115,0.958
996,41,116,0.966
997,41,117,0.975
998,41,118,0.983
999,41,119,0.992
1000,41,120,1.0
1001,50,1,0.0
1002,50,2,0.007
1003,50,3,0.013
1004,50,4,0.02
1005,50,5,0.027
1006,50,6,0.034
1007,50,7,0.04
1008,50,8,0.047
1009,50,9,0.054
1010,50,10,0.06
1011,50,11,0.067
1012,50,12,0.074
1013,50,13,0.081
1014,50,14,0.087
1015,50,15,0.094
1016,50,16,0.101
1017,50,17,0.107
1018,50,18,0.114
1019,50,19,0.121
1020,50,20,0.128
1021,50,21,0.134
1022,50,22,0.141
1023,50,23,0.148
1024,50,24,0.154
1025,50,25,0.161
1026,50,26,0.168
1027,50,27,0.174
1028,50,28,0.181
1029,50,29,0.188
1030,50,30,0.195
1031,50,31,0.201
1032,50,32,0.208
1033,50,33,0.215
1034,50,34,0.221
1035,50,35,0.228
1036,50,36,0.235
1037,50,37,0.242
1038,50,38,0.248
1039,50,39,0.255
1040,50,40,0.262
1041,50,41,0.268
1042,50,42,0.275
1043,50,43,0.282
1044,50,44,0.289
1045,50,45,0.295
1046,50,46,0.302
1047,50,47,0.309
1048,50,48,0.315
1049,50,49,0.322
1050,50,50,0.329
1051,50,51,0.336
1052,50,52,0.342
1053,50,53,0.349
1054,50,54,0.356
1055,50,55,0.362
1056,50,56,0.369
1057,50,57,0.376
1058,50,58,0.383
1059,50,59,0.389
1060,50,60,0.396
1061,50,61,0.403
1062,50,62,0.409
1063,50,63,0.416
1064,50,64,0.423
1065,50,65,0.43
1066,50,66,0.436
1067,50,67,0.443
1068,50,68,0.45
1069,50,69,0.456
1070,50,70,0.463
1071,50,71,0.47
1072,50,72,0.477
1073,50,73,0.483
1074,50,74,0.49
1075,50,75,0.497
1076,50,76,0.503
1077,50,77,0.51
1078,50,78,0.517
1079,50,79,0.523
1080,50,80,0.53
1081,50,81,0.537
1082,50,82,0.544
1083,50,83,0.55
1084,50,84,0.557
1085,50,85,0.564
1086,50,86,0.57
1087,50,87,0.577
1088,50,88,0.584
1089,50,89,0.591
1090,50,90,0.597
1091,50,91,0.604
1092,50,92,0.611
1093,50,93,0.617
1094,50,94,0.624
1095,50,95,0.631
1096,50,96,0.638
1097,50,97,0.644
1098,50,98,0.651
1099,50,99,0.658
1100,50,100,0.664
1101,50,101,0.671
1102,50,102,0.678
1103,50,103,0.685
1104,50,104,0.691
1105,50,105,0.698
1106,50,106,0.705
1107,50,107,0.711
1108,50,108,0.718
1109,50,109,0.725
1110,50,110,0.732
1111,50,111,0.738
1112,50,112,0.745
1113,50,113,0.752
1114,50,114,0.758
1115,50,115,0.765
1116,50,116,0.772
1117,50,117,0.779
1118,50,118,0.785
1119,50,119,0.792
1120,50,120,0.799
1121,50,121,0.805
1122,50,122,0.812
1123,50,123,0.819
1124,50,124,0.826
1125,50,125,0.832
1126,50,126,0.839
1127,50,127,0.846
1128,50,128,0.852
1129,50,129,0.859
1130,50,130,0.866
1131,50,131,0.872
1132,50,132,0.879
1133,50,133,0.886
1134,50,134,0.893
1135,50,135,0.899
1136,50,136,0.906
1137,50,137,0.913
1138,50,138,0.919
1139,50,139,0.926
1140,50,140,0.933
1141,50,141,0.94
1142,50,142,0.946
1143,50,143,0.953
1144,50,144,0.96
1145,50,145,0.966
1146,50,146,0.973
1147,50,147,0.98
1148,50,148,0.987
1149,50,149,0.993
1150,50,150,1.0
1151,41,121,1.04
1152,41,122,1.08
1153,41,123,1.12
1154,41,124,1.16
1155,41,125,1.2
1156,41,126,1.24
1157,41,127,1.28
1158,41,128,1.32
1159,41,129,1.36
1160,41,130,1.4
1161,41,131,1.44
1162,41,132,1.48
1163,41,133,1.52
1164,41,134,1.56
1165,41,135,1.6
1166,41,136,1.64
1167,41,137,1.68
1168,41,138,1.72
1169,41,139,1.76
1170,41,140,1.8
1171,1000,1,0.007
1172,1000,2,0.014
1173,1000,3,0.021
1174,1000,4,0.028
1175,1000,5,0.035
1176,1000,6,0.042
1177,1000,7,0.049
1178,1000,8,0.056
1179,1000,9,0.063
1180,1000,10,0.07
1181,1000,11,0.077
1182,1000,12,0.084
1183,1000,13,0.091
1184,1000,14,0.098
1185,1000,15,0.105
1186,1000,16,0.112
1187,1000,17,0.119
1188,1000,18,0.126
1189,1000,19,0.133
1190,1000,20,0.14
1191,1000,21,0.147
1192,1000,22,0.154
1193,1000,23,0.161
1194,1000,24,0.168
1195,1000,25,0.175
1196,1000,26,0.182
1197,1000,27,0.189
1198,1000,28,0.196
1199,1000,29,0.203
1200,1000,30,0.21
1201,1000,31,0.217
1202,1000,32,0.224
1203,1000,33,0.231
1204,1000,34,0.238
1205,1000,35,0.245
1206,1000,36,0.252
1207,1000,37,0.259
1208,1000,38,0.266
1209,1000,39,0.273
1210,1000,40,0.28
1211,1000,41,0.287
1212,1000,42,0.294
1213,1000,43,0.301
1214,1000,44,0.308
1215,1000,45,0.315
1216,1000,46,0.322
1217,1000,47,0.329
1218,1000,48,0.336
1219,1000,49,0.343
1220,1000,50,0.35
1221,1000,51,0.357
1222,1000,52,0.364
1223,1000,53,0.371
1224,1000,54,0.378
1225,1000,55,0.385
1226,1000,56,0.392
1227,1000,57,0.399
1228,1000,58,0.406
1229,1000,59,0.413
1230,1000,60,0.42
1231,1000,61,0.427
1232,1000,62,0.434
1233,1000,63,0.441
1234,1000,64,0.448
1235,1000,65,0.455
1236,1000,66,0.462
1237,1000,67,0.469
1238,1000,68,0.476
1239,1000,69,0.483
1240,1000,70,0.49
1241,1000,71,0.497
1242,1000,72,0.504
1243,1000,73,0.511
1244,1000,74,0.518
1245,1000,75,0.525
1246,1000,76,0.532
1247,1000,77,0.539
1248,1000,78,0.546
1249,1000,79,0.553
1250,1000,80,0.56
1251,1000,81,0.567
1252,1000,82,0.574
1253,1000,83,0.581
1254,1000,84,0.588
1255,1000,85,0.595
1256,1000,86,0.602
1257,1000,87,0.609
1258,1000,88,0.616
1259,1000,89,0.623
1260,1000,90,0.63
1261,1000,91,0.637
1262,1000,92,0.644
1263,1000,93,0.651
1264,1000,94,0.658
1265,1000,95,0.665
1266,1000,96,0.672
1267,1000,97,0.679
1268,1000,98,0.686
1269,1000,99,0.693
1270,1000,100,0.7
1271,1000,101,0.707
1272,1000,102,0.714
1273,1000,103,0.721
1274,1000,104,0.728
1275,1000,105,0.735
1276,1000,106,0.742
1277,1000,107,0.749
1278,1000,108,0.756
1279,1000,109,0.763
1280,1000,110,0.77
1281,1000,111,0.777
1282,1000,112,0.784
1283,1000,113,0.791
1284,1000,114,0.798
1285,1000,115,0.805
1286,1000,116,0.812
1287,1000,117,0.819
1288,1000,118,0.826
1289,1000,119,0.833
1290,1000,120,0.84
1291,1000,121,0.847
1292,1000,122,0.854
1293,1000,123,0.861
1294,1000,124,0.868
1295,1000,125,0.875
1296,1000,126,0.882
1297,1000,127,0.889
1298,1000,128,0.896
1299,1000,129,0.903
1300,1000,130,0.91
1301,1000,131,0.917
1302,1000,132,0.924
1303,1000,133,0.931
1304,1000,134,0.938
1305,1000,135,0.945
1306,1000,136,0.952
1307,1000,137,0.959
1308,1000,138,0.966
1309,1000,139,0.973
1310,1000,140,1.0
