id,name,description,causality_description,aim_target,increase_rate,lv_bonus,is_inactive
69,Kamehameha,Causes extreme damage to enemy,,0,120,15,0
70,Kamehameha,Causes huge damage to enemy,,0,100,10,0
71,Death Ball,Causes extreme damage to enemy,,0,120,15,0
72,Death Wave,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
73,Crazy Finger Beam,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0
74,Paralysis Technique,"Causes huge damage 
and may stun the enemy",,0,100,10,0
75,Super Dodon Ray,"Causes damage with 
a chance of stunning the enemy",,0,50,10,0
76,Death Ball,Causes supreme damage to enemy,,0,150,20,0
77,Kamehameha,Causes supreme damage to enemy,,0,150,20,0
78,Final Spirit Cannon,Causes extreme damage to enemy,,0,120,15,0
79,Energy Bullet,Causes huge damage to enemy,,0,100,10,0
80,Supernova,Causes huge damage to enemy,,0,100,10,0
81,Flame Bullet,Causes huge damage to enemy,,0,100,10,0
82,Angry Launcher,Causes huge damage to enemy,,0,100,10,0
83,Massive Catapult,Causes huge damage to enemy,,0,100,10,0
84,Galick Beam,Causes huge damage to enemy,,0,100,10,0
85,Solar Kamehameha,Causes supreme damage to enemy,,0,150,20,0
86,Big Bang Crash,Causes huge damage to enemy,,0,100,10,0
87,Father-Son Kamehameha,Causes supreme damage to enemy,,0,150,20,0
88,Sadistic 18,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
89,Photon Flash,Causes huge damage to enemy,,0,100,10,0
90,Kamehameha,Causes huge damage to enemy,,0,100,10,0
91,Soaring Dragon Fist,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
92,Elite Beam,Causes huge damage to enemy,,0,100,10,0
93,Earth Breaker,Causes supreme damage to enemy,,0,150,20,0
94,Super Kamehameha,Causes extreme damage to enemy,,0,120,15,0
95,Kamehameha,Causes extreme damage to enemy,,0,120,15,0
96,Destructo-Disc,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
97,Kamehameha,Causes extreme damage to enemy,,0,120,15,0
98,Big Bang Attack,Causes extreme damage to enemy,,0,120,15,0
99,Destruction God's Fury,"Causes supreme damage to enemy 
and lowers DEF",,0,150,20,0
100,Prelude to Destruction,"Causes supreme damage to enemy 
and lowers ATK",,0,150,20,0
101,Kamehameha,Causes huge damage to enemy,,0,100,10,0
102,Big Bang Attack,Causes huge damage to enemy,,0,100,10,0
103,Barrage Death Beam,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0
104,Bad Ring Laser,"Causes damage to enemy 
and seals Super Attack",,0,70,10,0
105,Tagoma Shot,Causes huge damage to enemy,,0,100,10,0
106,Power Tackle,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
107,Tri-Beam,Causes extreme damage to enemy,,0,120,15,0
108,Special Beam Cannon,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
109,Full Power Death Beam,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0
110,Flame Shower Breath,Causes extreme damage to enemy,,0,120,15,0
111,Evil Impulse,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0
112,Demon Eye,"Huge damage 
and high chance to stun the enemy",,0,100,10,0
113,Finish Buster,Causes huge damage to enemy,,0,100,10,0
114,Kaioken x3 Kamehameha,"Greatly raises ATK and 
causes huge damage to enemy",,0,50,10,0
115,Kamehameha,Causes supreme damage to enemy,,0,150,20,0
116,Kamekameha,Causes huge damage to enemy,,0,100,10,0
117,Earth Breaker,Causes extreme damage to enemy,,0,120,15,0
118,Ninpo Kasumi Shuriken,"Causes damage to enemy 
and seals Super Attack",,0,70,10,0
119,Telekinesis,"Low damage 
and great chance to stun the enemy",,0,30,10,0
120,Destruction God's Fury,"Causes extreme damage to enemy 
and lowers DEF",,0,120,15,0
121,Finish Buster,Causes extreme damage to enemy,,0,120,15,0
122,Orga Blaster,Causes huge damage to enemy,,0,100,10,0
123,Big Bang Attack,Causes extreme damage to enemy,,0,120,15,0
124,Super Kamehameha,Causes supreme damage to enemy,,0,150,20,0
125,Victory Cannon,Causes huge damage to enemy,,0,100,10,0
126,Super Kamehameha,Causes huge damage to enemy,,0,100,10,0
127,Super Explosive Wave,Causes huge damage to enemy,,0,100,10,0
128,Final Cannon,"Huge damage to enemy 
and greatly lowers DEF",,0,100,10,0
129,Death Ball,Causes extreme damage to enemy,,0,120,15,0
130,Ki Blast Cannon,Causes damage and may stun the enemy,,0,50,10,0
131,Grand Smasher,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
132,Galactic Buster,"Causes extreme damage to enemy 
and lowers DEF",,0,120,15,0
133,Shoot Blaster,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0
134,Devilish Blade,Causes huge damage to enemy,,0,100,10,0
135,Brave Gatling,Causes huge damage to enemy,,0,100,10,0
136,Psychic Blaze,"Causes damage to enemy 
and seals Super Attack",,0,70,10,0
137,Kamehameha,Causes huge damage to enemy,,0,100,10,0
138,Soaring Dragon Fist  ,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
139,Super Kamehameha,Causes supreme damage to enemy,,0,150,20,0
140,Kamehameha,Causes extreme damage to enemy,,0,120,15,0
141,Final Impact,Causes extreme damage to enemy,,0,120,15,0
142,Stay Away From Me!,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0
143,Maiden Burst,"Causes huge damage with 
a rare chance of stunning the enemy",,0,100,10,0
144,S.S. Deadly Bomber,Causes huge damage to enemy,,0,100,10,0
145,Full Power S.S. Deadly Bomber,Causes extreme damage to enemy,,0,120,15,0
146,Burning Shoot,Causes huge damage to enemy,,0,100,10,0
147,Final Impact,Causes extreme damage to enemy,,0,120,15,0
148,Vice Shout,"Causes extreme damage with 
a rare chance of stunning the enemy",,0,120,15,0
149,Videl Rush,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
150,Ki Blast Cannon,Causes damage and may stun the enemy,,0,50,10,0
151,Murder Ball,Placeholder,,0,100,10,0
152,Murder Ball,Placeholder,,0,100,10,0
153,Super Kamehameha,Causes supreme damage to enemy,,0,150,20,0
154,Finish Buster,Causes huge damage to enemy,,0,100,10,0
155,Kamehameha,Causes extreme damage to enemy,,0,120,15,0
156,Death Flash,Causes huge damage to enemy,,0,100,10,0
157,Supernova,Causes extreme damage to enemy,,0,120,15,0
158,Thouser Blade,Causes huge damage to enemy,,0,100,10,0
159,Doure Grenade,Causes huge damage to enemy,,0,100,10,0
160,Naise Bind Wave,Causes huge damage to enemy,,0,100,10,0
161,Supernova,Causes supreme damage to enemy,,0,150,20,0
162,Justice Kick,"Causes huge damage 
and greatly lowers ATK",,0,100,10,0
163,Justice Eagle,"Causes huge damage to enemy 
and greatly lowers DEF",,0,100,10,0
164,Hyper Speed Ball,Causes huge damage to enemy,,0,100,10,0
165,None,None,,0,0,0,1
166,Super Kamehameha,"Causes supreme damage 
and raises ATK for 3 turns",,0,100,20,0
167,Planet Burst,"Causes supreme damage to enemy 
and lowers DEF",,0,150,20,0
168,Shining Sword Attack,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
169,Beam Gun,"Huge damage 
and high chance to stun the enemy",,0,100,10,0
170,Limitbreaker Kamehameha,Causes supreme damage to enemy,,0,150,20,0
171,God of Destruction's Edict,"Causes supreme damage to enemy 
and lowers DEF",,0,150,20,0
172,Instant Transmission Kamehameha,"Causes huge damage with 
a rare chance of stunning the enemy",,0,100,10,0
173,Dragon Smash,Causes supreme damage to enemy,,0,150,20,0
174,Limitbreaker Kamehameha,Causes extreme damage to enemy,,0,120,15,0
175,Kill Driver,"Causes extreme damage with 
a high chance of stunning the enemy",,0,120,15,0
176,Cosmic Attack,Causes huge damage to enemy,,0,100,10,0
177,Meteor Ball,Causes huge damage to enemy,,0,100,10,0
178,Planet Bomb,Causes damage and seals Super Attack,,0,70,10,0
179,Gemini Shot,Causes huge damage to enemy,,0,100,10,0
180,Gemini Shot,Causes huge damage to enemy,,0,100,10,0
181,Kill Driver,Causes huge damage to enemy,,0,100,10,0
182,Faster than Lightning,Causes huge damage to enemy,,0,100,10,0
183,Spirit Bomb,"Causes extreme damage to enemy 
and lowers DEF",,0,120,15,0
184,Overheat,Causes huge damage to enemy,,0,100,10,0
185,Final Spirit Cannon,Causes huge damage to enemy,,0,100,10,0
186,Final Flash,Causes huge damage to enemy,,0,100,10,0
187,Rolling Hercule Punch,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
188,Geh heh heh,Causes huge damage to enemy,,0,100,10,0
189,Blood-Sucking,Causes damage and seals Super Attack,,0,70,10,0
190,Eight Arm Fist,Causes huge damage to enemy,,0,100,10,0
191,Open Ball Fist,Causes huge damage to enemy,,0,100,10,0
192,Transformation Rocket,"Huge damage, 
rare chance to stun the enemy",,0,100,10,0
193,Majin Beam,"Causes extreme damage to enemy 
and lowers ATK",,0,120,15,0
194,Makosen,"Causes extreme damage to enemy 
and lowers DEF",,0,120,15,0
195,Explosive Demon Wave,"Causes extreme damage with 
a chance of stunning the enemy",,0,120,15,0
196,Devilmite Beam,Causes huge damage to enemy,,0,100,10,0
197,Machine Gun Punch,Causes huge damage to enemy,,0,100,10,0
198,Finish Buster,Causes extreme damage to enemy,,0,120,15,0
199,Big Bang Attack,"Supreme damage 
and allies' ATK +20% for 1 turn",,0,130,20,0
200,Maximum Flasher,Causes supreme damage to enemy,,0,150,20,0
201,Stone Spit,"Low damage, 
great chance to stun the enemy",,0,50,10,0
202,Justice Rush,"Causes huge damage 
and may stun the enemy",,0,100,10,0
203,Maiden Flash,Causes huge damage to enemy,,0,100,10,0
204,Ki Blast Cannon,"Causes extreme damage with 
a chance of stunning the enemy",,0,120,15,0
205,Shock Wave,"Causes huge damage, 
allies' ATK +15% for 1 turn",,0,87,10,0
206,Family Kamehameha,Causes supreme damage to enemy,,0,150,20,0
207,Family Kamehameha,Causes supreme damage to enemy,,0,150,20,0
208,Family Kamehameha,Causes supreme damage to enemy,,0,150,20,0
209,Death Punisher,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
210,Full Power Energy Wave,Causes huge damage to enemy,,0,100,10,0
211,Eraser Cannon,Causes extreme damage to enemy,,0,120,15,0
212,Omega Blaster,Causes supreme damage to enemy,,0,150,20,0
213,Gigantic Meteor,Causes mass damage to all enemies,,1,120,15,0
214,Gigantic Meteor,Causes supreme damage to enemy,,0,150,15,0
215,Supernova,Causes huge damage to enemy,,0,100,10,0
216,Supernova,Causes supreme damage to enemy,,0,150,20,0
217,Ki Burst Sphere,"Causes extreme damage with 
a high chance of stunning the enemy",,0,120,15,0
218,Super Tech Gatling,Causes huge damage to enemy,,0,100,10,0
219,Sadistic Dance,Causes extreme damage to enemy,,0,120,15,0
220,Sadistic Dance,Causes extreme damage to enemy,,0,120,15,0
221,Solar Kamehameha,Causes supreme damage to enemy,,0,150,20,0
222,Hercule Miracle... Punch,Causes huge damage to enemy,,0,100,10,0
223,Final Flash,Causes extreme damage to enemy,,0,120,15,0
224,Buster Cannon,Causes extreme damage to enemy,,0,120,15,0
225,Hellzone Grenade,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
226,Victory Cannon,Causes supreme damage to enemy,,0,150,20,0
227,Rocket Launcher,Causes damage and seals Super Attack,,0,70,10,0
228,Achoo!,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
229,Red Ribbon Gun,Causes huge damage to enemy,,0,100,10,0
230,Merry-Go-Round Gum,Causes huge damage to enemy,,0,100,10,0
231,Kaioken x3 Kamehameha,Causes extreme damage to enemy,,0,120,15,0
232,Revenger Cannon,Causes extreme damage to enemy,,0,120,15,0
233,God Kamehameha,Causes supreme damage to enemy,,0,150,20,0
234,God Final Flash,Causes supreme damage to enemy,,0,150,20,0
235,Golden Death Ball,Causes supreme damage to enemy,,0,150,20,0
236,Wild Boar Attack,Causes huge damage to enemy,,0,100,10,0
237,Dynamite Kick,Causes huge damage to enemy,,0,100,10,0
238,Vanishing Ball,Causes supreme damage to enemy,,0,150,20,0
239,Super Spirit Bomb,Causes supreme damage to enemy,,0,150,20,0
240,Chocolate!!,Causes huge damage and lowers DEF,,0,100,10,0
241,Planet Burst,"Causes supreme damage to enemy 
and lowers DEF",,0,150,20,0
242,Assault Rain,Causes extreme damage to enemy,,0,120,15,0
244,Special Beam Cannon,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0
245,Lightning Shower Rain,Causes supreme damage to enemy,,0,150,20,0
246,Dimension Sword,"Supreme damage to enemy 
& greatly lowers DEF",,0,150,20,0
247,Kamehameha,Causes huge damage to enemy,,0,100,10,0
248,Full Charge Revenger Cannon,Causes extreme damage to enemy,,0,120,15,0
249,Dark Spirits,Causes extreme damage to enemy,,0,120,15,0
250,Wild Rush Blaster,Causes huge damage to enemy,,0,100,10,0
251,Spirit of Saiyans,"Causes extreme damage to enemy 
and seals Super Attack",,0,120,15,0
252,Darkness Twin Star,"Causes supreme damage to enemy 
and lowers DEF",,0,150,20,0
253,Super Kamehameha,Causes supreme damage to enemy,,0,150,20,0
254,Final Flash,Causes supreme damage to enemy,,0,150,20,0
255,Kamehameha,Causes extreme damage to enemy,,0,120,15,0
256,Kamehameha,Causes huge damage to enemy,,0,100,10,0
257,Final Cannon,Causes huge damage to enemy,,0,100,10,0
258,Dragon Fist,"Causes supreme damage to enemy 
and lowers DEF",,0,150,20,0
259,Death Ball,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0
260,Super Kamehameha,Causes extreme damage to enemy,,0,120,15,0
261,Shock Wave,Causes huge damage to enemy,,0,87,10,0
262,Gekiretsu Shin'ou'hou,"Huge damage 
and allies’ ATK +15% for 1 turn",,0,87,10,0
263,Big Bang Attack,Causes supreme damage to enemy,,0,150,20,0
264,Prelude to Destruction,Extreme damage and may stun the enemy,,0,120,15,0
265,Hellzone Grenade,"Extreme damage to enemy 
& greatly lowers DEF",,0,120,15,0
266,Instant Transmission Kamehameha,"Huge damage, 
rare chance to stun the enemy",,0,100,10,0
267,Paper...Scissors...Rock!!!!,Causes huge damage to enemy,,0,100,10,0
268,Instant Transmission Kamehameha,"Extreme damage, 
rare chance to stun the enemy",,0,120,15,0
269,Explosive Demon Flash,"Causes supreme damage with 
a rare chance of stunning the enemy",,0,150,20,0
270,Big Bang Kamehameha,Causes immense damage to enemy,,0,180,25,0
271,Soul Punisher,Causes immense damage to enemy,,0,180,25,0
272,Rakshasa's Claw,"Causes supreme damage to enemy 
and lowers DEF",,0,150,20,0
273,Lightning Shower Rain,"Causes supreme damage to enemy 
and greatly lowers DEF",,0,150,20,0
274,Rapid Cannon,Causes huge damage to enemy,,0,100,10,0
275,Galactic Donut,"Causes supreme damage 
and seals Super Attack",,0,150,20,0
276,Hyper Tornado,"Causes extreme damage to enemy 
& greatly lowers ATK",,0,120,15,0
277,Super Spirit Bomb,Causes supreme damage to enemy,,0,150,20,0
278,Dragon Light Bullet,"Causes extreme damage to enemy 
and lowers DEF",,0,120,15,0
279,Evil Containment Wave,"Causes huge damage 
and seals Super Attack",,0,100,10,0
280,Heavenly Cross,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
281,Smelly Finger,"Low damage, 
rare chance to stun the enemy",,0,50,10,0
282,Bloody Sauce,"Extreme damage to enemy 
& greatly lowers DEF",,0,120,15,0
283,Dark Kamehameha,Causes supreme damage to enemy,,0,150,20,0
284,Seasoning Arrow,"Supreme damage, 
rare chance to stun the enemy",,0,150,20,0
285,Time Judgment,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0
286,Burning Attack,"Causes supreme damage 
and raises ATK for 3 turns",,0,100,20,0
287,Heat Dome Attack,Causes extreme damage to enemy,,0,120,15,0
288,Kamehameha,"Greatly raises ATK 
and causes huge damage to enemy",,0,50,10,0
289,Heat Dome Attack,Causes huge damage to enemy,,0,100,10,0
290,Galick Gun,Causes huge damage to enemy,,0,100,10,0
291,I'm the One Who'll Kill You!,Causes explosive damage to enemy,,0,2000,20,0
292,Death Ball,Causes extreme damage to enemy,,0,120,15,0
293,Death Slicer,Causes immense damage to enemy,,0,180,25,0
294,I'm the One Who'll Kill You!,Causes immense damage to enemy,,0,180,25,0
295,Angry Kamehameha,Causes supreme damage to enemy,,0,150,20,0
296,Elegant Blaster,Causes huge damage to enemy,,0,100,10,0
297,Death Ball,Causes huge damage to enemy,,0,100,10,0
298,Demon Spiral Fist,Causes huge damage to enemy,,0,100,10,0
299,Dark Kunai Attack,Causes huge damage to enemy,,0,100,10,0
300,Demon Slicer,Causes huge damage to enemy,,0,100,10,0
301,Kill Driver,"Causes extreme damage with 
a rare chance of stunning the enemy",,0,120,15,0
302,Finish Buster,Causes supreme damage to enemy,,0,150,20,0
303,Chain Destructo-Disc Barrage,Causes extreme damage and lowers DEF,,0,120,15,0
304,Spirit Ball,"Causes extreme damage 
and greatly lowers ATK",,0,120,15,0
305,Dodon Ray,"Extreme damage, 
rare chance to stun enemy",,0,120,15,0
306,Super Dragon Fist,Causes supreme damage to enemy,,0,150,20,0
307,Deadly Metal Needles,"Causes supreme damage to enemy 
and lowers ATK",,0,150,20,0
308,Revenge Blast,Causes huge damage to enemy,,0,100,10,0
309,Shooting Knuckle,Causes huge damage and lowers ATK,,0,100,10,0
310,Hyper Drill Smash,Causes extreme damage and lowers ATK,,0,120,15,0
311,Machine Gun Punch,Causes huge damage to enemy,,0,100,10,0
312,Bouncing Spear,Causes huge damage to enemy,,0,100,10,0
313,Plasma Whip,Causes huge damage to enemy,,0,100,10,0
314,Crimson Scream,Causes huge damage to enemy,,0,100,10,0
315,Mega Cannon Punch,Causes huge damage to enemy,,0,100,10,0
316,Missile,Causes huge damage to enemy,,0,100,10,0
317,Sigma Drill Attack,Causes huge damage to enemy,,0,100,10,0
318,Spirit Ball,Causes huge damage to enemy,,0,100,10,0
319,Burst Rush,"Greatly raises ATK 
and causes supreme damage to enemy",,0,100,20,0
320,Super Donut Chain,"Causes huge damage 
and seals Super Attack",,0,100,10,0
321,Guilty Flash,Causes extreme damage to enemy,,0,120,15,0
322,Super Kamehameha,"Greatly raises ATK 
and causes supreme damage to enemy",,0,100,20,0
323,Super Dodon Ray,"Causes huge damage with 
a rare chance of stunning the enemy",,0,100,10,0
324,Full Power Death Beam,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0
325,Final Explosion,"Causes mass damage to all enemies 
with a rare chance of stunning them",,1,120,15,0
326,Flame Shower Breath,"Extreme damage to enemy 
and lowers DEF",,0,120,15,0
327,Super Kamehameha,Causes supreme damage to enemy,,0,150,20,0
328,Burning Attack,"Supreme damage 
and raises ATK for 3 turns",,0,100,20,0
329,Bankoku-Bikkuri-Shou,"Causes huge damage 
and seals Super Attack",,0,100,10,0
330,"Power Pole, Extend!",Causes supreme damage to enemy,,0,150,20,0
331,Super Flame Cannon,Causes destructive damage to enemy,,0,100,10,0
332,Galick Gun,Causes supreme damage to enemy,,0,150,20,0
333,Super Flame Cannon,Causes destructive damage to enemy,,0,100,10,0
334,Giant Storm,Causes extreme damage and lowers DEF,,0,120,15,0
335,Gigant Rock Throw,Causes destructive damage to enemy,,0,100,10,0
336,Double Sunday,Causes supreme damage to enemy,,0,150,20,0
337,Super Breath Cannon,Causes destructive damage to enemy,,0,100,10,0
338,Galick Blazer,"Causes supreme damage with 
a high chance of stunning the enemy",,0,150,20,0
339,Kamehameha,Causes supreme damage to enemy,,0,150,20,0
340,Final Cannon,Causes supreme damage to enemy,,0,150,20,0
341,Final Flash,"Causes supreme damage with 
a high chance of stunning the enemy",,0,150,20,0
342,Death Beam,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0
343,Hyper Tornado,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0
344,Spirit of Saiyans,"Causes supreme damage to enemy 
and seals Super Attack",,0,150,20,0
345,Instant Transmission Kamehameha,"Causes supreme damage 
with a rare chance to stun the enemy",,0,150,20,0
346,Super Kamehameha,Causes supreme damage to enemy,,0,150,20,0
347,Grand Supreme Divide,Causes extreme damage and lowers DEF,,0,120,15,0
348,S.S. Deadly Bomber,Causes extreme damage to enemy,,0,120,15,0
349,Grand Smasher,Causes extreme damage and lowers DEF,,0,120,15,0
350,Death Flash,Causes supreme damage to enemy,,0,150,20,0
351,Revenge Death Ball,"Supreme damage to enemy 
and lowers ATK",,0,150,20,0
352,Super Kamehameha,Causes supreme damage to enemy,,0,150,20,0
353,Kamehameha,Causes huge damage to enemy,,0,100,10,0
354,Kamehameha,Causes extreme damage to enemy,,0,120,15,0
355,Kamehameha,Causes huge damage to enemy,,0,100,10,0
356,Buster Cannon,Causes huge damage to enemy,,0,100,10,0
357,Finish Buster,Causes extreme damage to enemy,,0,120,15,0
358,Assault Rain,"Causes extreme damage to enemy 
and lowers ATK",,0,120,15,0
359,Psychic Bomber,Causes huge damage to enemy,,0,100,10,0
360,Galick Gun,Causes extreme damage to enemy,,0,120,15,0
361,Final Flash,Causes extreme damage to enemy,,0,120,15,0
362,Soaring Dragon Fist,"Causes huge damage 
and greatly lowers DEF",,0,100,10,0
363,Orga Blaster,Causes huge damage to enemy,,0,100,10,0
364,Power Flick,Causes extreme damage to enemy,,0,120,15,0
365,Cataclysmic Orb,Causes supreme damage to enemy,,0,150,20,0
366,God of Destruction's Edict,"Immense damage, 
high chance to stun the enemy",,0,180,25,0
367,Prelude to Destruction,"Causes huge damage with 
a rare chance of stunning the enemy",,0,100,10,0
368,Cataclysmic Orb,"Causes extreme damage to enemy 
and lowers DEF",,0,120,15,0
369,Shining Slash,Causes huge damage to enemy,,0,100,10,0
370,Heat Dome Attack,"Causes mass damage to all enemies, 
ATK +20% for all allies for 1 turn",,1,100,15,0
371,Final Cannon,"Causes extreme damage to enemy 
and greatly lowers DEF",,0,120,15,0
372,Final Spirit Cannon,Causes supreme damage to enemy,,0,150,20,0
373,Energy Bullet,Causes supreme damage to enemy,,0,150,20,0
374,Massive Catapult,"Causes extreme damage to enemy 
and greatly lowers DEF",,0,120,15,0
375,Angry Launcher,Causes supreme damage to enemy,,0,150,20,0
376,Flame Bullet,"Causes extreme damage to enemy 
and lowers ATK",,0,120,15,0
377,Giga Meteor Storm,Causes destructive damage to enemy,,0,100,10,0
378,Hell Flash,Causes huge damage to enemy,,0,100,10,0
379,Supernova,Causes supreme damage to enemy,,0,150,20,0
380,Infinity Bullet,Causes extreme damage to enemy,,0,120,15,0
381,Final Kamehameha,"Causes immense damage, 
allies' ATK +25% for 1 turn",,0,155,25,0
382,Spirit Sword,"Causes immense damage, 
allies' ATK +30% for 1 turn",,0,150,25,0
383,Super Kamehameha,Causes supreme damage to enemy,,0,150,20,0
384,Super Kamehameha,Causes colossal damage to enemy,,0,200,5,0
385,Super Spirit Bomb,"Causes mega-colossal damage to enemy, 
allies' ATK +30% for 1 turn",,0,220,10,0
386,"Power Pole, Extend!",Causes extreme damage to enemy,,0,120,15,0
387,Big Bang Attack,"Causes supreme damage, 
allies' ATK +25% for 1 turn",,0,125,20,0
388,Ki Blast Cannon,"Huge damage 
and rare chance to stun the enemy",,0,100,10,0
389,Super Explosive Wave,"Causes extreme damage to enemy 
and lowers DEF",,0,120,15,0
390,Super Explosive Breath Cannon,Causes destructive damage to enemy,,0,100,10,0
391,Maiden Burst,"Extreme damage 
and rare chance to stun the enemy",,0,120,15,0
392,Botamo Impact,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0
