id,name,character_id,card_unique_info_id,cost,rarity,hp_init,hp_max,atk_init,atk_max,def_init,def_max,element,lv_max,skill_lv_max,grow_type,optimal_awakening_grow_type,price,exp_type,training_exp,special_motion,passive_skill_set_id,leader_skill_set_id,link_skill1_id,link_skill2_id,link_skill3_id,link_skill4_id,link_skill5_id,link_skill6_id,link_skill7_id,eball_mod_min,eball_mod_num100,eball_mod_mid,eball_mod_mid_num,eball_mod_max,eball_mod_max_num,max_level_reward_id,max_level_reward_type,collectable_type,face_x,face_y,aura_id,aura_scale,aura_offset_x,aura_offset_y,is_aura_front,is_selling_only,awakening_number,resource_id,bg_effect_id,selling_exchange_point,awakening_element_type,potential_board_id,open_at
1000080,Cell (1st Form),6,6,10,2,1790,5967,1088,3626,1145,3817,1,60,10,23,,3332,5,2765,1,64.0,100008.0,12.0,19.0,50.0,47.0,33.0,1004.0,,40,5,0,0,130,12,1.0,1,1,421,713,,,,,0,0,,,,500,2.0,,2015-10-30 00:00:00
1000081,Cell (1st Form),6,6,14,3,5967,6720,3626,5616,3817,4553,21,80,10,30,,13363,5,4280,1,64.0,100008.0,12.0,19.0,50.0,47.0,33.0,1004.0,,40,5,0,0,130,12,1.0,1,1,421,713,,,,,0,0,,,,600,2.0,,2015-10-30 00:00:00
1000090,Gohan (Kid),7,7,10,2,1536,5119,1158,3860,747,2490,3,60,10,23,,3356,5,2765,1,69.0,100009.0,23.0,45.0,49.0,,,,,40,6,0,0,130,12,1.0,1,1,441,875,,,,,0,0,,,,500,1.0,,2015-10-30 00:00:00
1000091,Gohan (Kid),7,7,14,3,5119,7126,3860,5857,2490,2920,13,80,10,30,,13288,5,4280,1,69.0,100009.0,23.0,45.0,49.0,,,,,40,6,0,0,130,12,1.0,1,1,441,875,,,,,0,0,,,,600,1.0,,2015-10-30 00:00:00
1000100,Trunks (Teen),8,8,10,2,1657,5523,1184,3945,835,2783,0,60,10,21,,3351,5,2765,1,1.0,100010.0,40.0,39.0,19.0,45.0,,,,40,4,0,0,110,12,1.0,1,1,495,712,,,,,0,0,,,,500,1.0,,2015-10-30 00:00:00
1000101,Trunks (Teen),8,8,14,3,5523,6798,3945,6010,2783,3282,10,80,10,30,,13374,5,4280,1,1.0,100010.0,40.0,39.0,19.0,45.0,,,,40,4,0,0,110,12,1.0,1,1,495,712,,,,,0,0,,,,600,1.0,,2015-10-30 00:00:00
1000110,Krillin,9,9,10,2,1528,5093,1037,3455,974,3248,1,60,10,23,,3338,5,2765,1,135.0,100011.0,45.0,36.0,2.0,1.0,,,,40,5,0,0,155,12,1.0,1,1,525,708,,,,,0,0,,,,500,1.0,,2015-10-30 00:00:00
1000111,Krillin,9,9,14,3,5093,5970,3455,5292,3248,3700,11,80,10,30,,13304,5,4280,1,135.0,100011.0,45.0,36.0,2.0,1.0,,,,40,5,0,0,155,12,1.0,1,1,525,708,,,,,0,0,,,,600,1.0,,2015-10-30 00:00:00
1000120,Piccolo,10,10,8,2,1425,4750,1119,3729,738,2459,0,60,10,21,,3112,4,2765,1,10.0,100012.0,45.0,26.0,30.0,48.0,8.0,,,40,4,0,0,110,12,1.0,1,1,488,707,,,,,0,0,,,,500,1.0,,2015-10-30 00:00:00
1000121,Piccolo,10,10,12,3,4750,6069,3729,5848,2459,2968,10,80,10,30,,12868,4,4280,1,10.0,100012.0,45.0,26.0,30.0,48.0,8.0,,,40,4,0,0,110,12,1.0,1,1,488,707,,,,,0,0,,,,600,1.0,,2015-10-30 00:00:00
1000130,Tien,11,11,10,2,1536,5119,1073,3577,816,2721,1,60,10,23,,3355,5,2765,1,136.0,100013.0,45.0,24.0,5.0,39.0,37.0,,,40,5,0,0,150,12,1.0,1,1,464,918,,,,,0,0,,,,500,1.0,,2015-10-30 00:00:00
1000131,Tien,11,11,14,3,5119,6300,3577,5556,2721,3205,11,80,10,30,,13352,5,4280,1,136.0,100013.0,45.0,24.0,5.0,39.0,37.0,,,40,5,0,0,150,12,1.0,1,1,464,918,,,,,0,0,,,,600,1.0,,2015-10-30 00:00:00
1000140,Chiaotzu,12,12,10,2,1562,5205,994,3312,734,2448,2,60,10,23,,3355,5,2765,1,141.0,100014.0,45.0,24.0,5.0,13.0,46.0,,,40,5,0,0,123,12,1.0,1,1,439,704,,,,,0,0,,,,500,1.0,,2015-10-30 00:00:00
1000141,Chiaotzu,12,12,14,3,5205,7016,3312,5348,2448,2986,12,80,10,30,,13315,5,4280,1,141.0,100014.0,45.0,24.0,5.0,13.0,46.0,,,40,5,0,0,123,12,1.0,1,1,439,704,,,,,0,0,,,,600,1.0,,2015-10-30 00:00:00
1000150,Yamcha,13,13,10,2,1265,4217,1149,3830,857,2855,0,60,10,23,,3369,5,2765,1,13.0,100015.0,45.0,37.0,36.0,53.0,,,,40,4,0,0,110,12,1.0,1,1,336,769,,,,,0,0,,,,500,1.0,,2015-10-30 00:00:00
1000151,Yamcha,13,13,14,3,4217,5190,3830,5868,2855,3370,10,80,10,30,,13336,5,4280,1,13.0,100015.0,45.0,37.0,36.0,53.0,,,,40,4,0,0,110,12,1.0,1,1,336,769,,,,,0,0,,,,600,1.0,,2015-10-30 00:00:00
1000160,Raditz,14,14,10,2,1469,4897,955,3182,954,3181,1,60,10,23,,3355,5,2765,1,72.0,100016.0,34.0,22.0,32.0,,,,,40,5,0,0,150,12,1.0,1,1,328,868,,,,,0,0,,,,500,2.0,,2015-10-30 00:00:00
1000161,Raditz,14,14,14,3,4897,6027,3182,5070,3181,3771,21,80,10,30,,13315,5,4280,1,72.0,100016.0,34.0,22.0,32.0,,,,,40,5,0,0,150,12,1.0,1,1,328,868,,,,,0,0,,,,600,2.0,,2015-10-30 00:00:00
1000170,Nappa,15,15,10,2,1504,5012,1227,4090,794,2648,3,60,10,23,,3335,5,2765,1,17.0,100017.0,22.0,21.0,52.0,49.0,42.0,,,40,6,0,0,120,12,1.0,1,1,414,906,,,,,0,0,,,,500,2.0,,2015-10-30 00:00:00
1000171,Nappa,15,15,14,3,5012,6169,4090,6139,2648,3115,23,80,10,30,,13358,5,4280,1,17.0,100017.0,22.0,21.0,52.0,49.0,42.0,,,40,6,0,0,120,12,1.0,1,1,414,906,,,,,0,0,,,,600,2.0,,2015-10-30 00:00:00
1000180,Zarbon,16,16,10,2,1484,4946,1028,3428,1114,3713,2,60,10,23,,3328,5,2765,1,14.0,100018.0,28.0,51.0,43.0,,,,,40,5,0,0,123,12,1.0,1,1,432,862,,,,,0,0,,,,500,2.0,,2015-10-30 00:00:00
1000181,Zarbon,16,16,14,3,4946,6396,3428,5373,3713,4426,22,80,10,30,,13363,5,4280,1,14.0,100018.0,28.0,51.0,43.0,,,,,40,5,0,0,123,12,1.0,1,1,432,862,,,,,0,0,,,,600,2.0,,2015-10-30 00:00:00
1000190,Captain Ginyu,17,17,8,2,1693,5643,1023,3411,982,3273,2,60,10,21,,3101,4,2765,1,15.0,100019.0,41.0,17.0,25.0,73.0,94.0,,,40,5,0,0,123,12,1.0,1,1,417,825,,,,,0,0,,,,500,2.0,,2015-10-30 00:00:00
1000191,Captain Ginyu,17,17,12,3,5643,7527,3411,5441,3273,4009,22,80,10,30,,12852,4,4280,1,15.0,100019.0,41.0,17.0,25.0,73.0,94.0,,,40,5,0,0,123,12,1.0,1,1,417,825,,,,,0,0,,,,600,2.0,,2015-10-30 00:00:00
1000200,Android #19,18,18,10,2,1528,5094,994,3314,1145,3818,4,60,10,23,,3366,5,2765,1,18.0,100020.0,35.0,52.0,73.0,81.0,,,,40,5,0,0,140,12,1.0,1,1,523,763,,,,,0,0,,,,500,2.0,,2015-10-30 00:00:00
1000201,Android #19,18,18,14,3,5094,6270,3314,5232,3818,4555,24,80,10,30,,13326,5,4280,1,18.0,100020.0,35.0,52.0,73.0,81.0,,,,40,5,0,0,140,12,1.0,1,1,523,763,,,,,0,0,,,,600,2.0,,2015-10-30 00:00:00
1000210,Dr. Gero,19,19,10,2,1495,4984,1115,3717,924,3081,2,60,10,23,,3369,5,2765,1,19.0,100021.0,35.0,55.0,8.0,12.0,86.0,114.0,81.0,40,5,0,0,123,12,1.0,1,1,498,784,,,,,0,0,,,,500,2.0,,2015-10-30 00:00:00
1000211,Dr. Gero,19,19,14,3,4984,6773,3717,5873,3081,3807,22,80,10,30,,13385,5,4280,1,19.0,100021.0,35.0,55.0,8.0,12.0,86.0,114.0,81.0,40,5,0,0,123,12,1.0,1,1,498,784,,,,,0,0,,,,600,2.0,,2015-10-30 00:00:00
1000220,Android #17,21,20,8,2,1595,5315,933,3109,924,3079,1,60,10,21,,3090,4,2765,1,137.0,100022.0,35.0,31.0,4.0,1001.0,110.0,,,40,5,0,0,150,12,1.0,1,1,439,771,,,,,0,0,,,,500,2.0,,2015-10-30 00:00:00
1000221,Android #17,21,20,12,3,5315,6791,3109,5056,3079,3760,21,80,10,30,,12905,4,4280,1,137.0,100022.0,35.0,31.0,4.0,1001.0,110.0,,,40,5,0,0,150,12,1.0,1,1,439,771,,,,,0,0,,,,600,2.0,,2015-10-30 00:00:00
1000230,Android #18,20,21,10,2,1450,4832,1226,4088,929,3096,3,60,10,23,,3345,5,2765,1,20.0,100023.0,35.0,31.0,4.0,64.0,1001.0,110.0,,40,6,0,0,120,12,1.0,1,1,469,829,,,,,0,0,,,,500,2.0,,2015-10-30 00:00:00
1000231,Android #18,20,21,14,3,4832,5947,4088,6185,3096,3666,23,80,10,30,,13358,5,4280,1,20.0,100023.0,35.0,31.0,4.0,64.0,1001.0,110.0,,40,6,0,0,120,12,1.0,1,1,469,829,,,,,0,0,,,,600,2.0,,2015-10-30 00:00:00
1000240,Android #16,22,22,10,2,1664,5547,1053,3510,1098,3660,4,60,10,23,,3341,5,2765,1,22.0,100024.0,35.0,38.0,17.0,,,,,40,5,0,0,140,12,1.0,1,1,362,895,,,,,0,0,,,,500,2.0,,2015-10-30 00:00:00
1000241,Android #16,22,22,14,3,5547,6827,3510,5473,3660,4361,24,80,10,30,,13379,5,4280,1,22.0,100024.0,35.0,38.0,17.0,,,,,40,5,0,0,140,12,1.0,1,1,362,895,,,,,0,0,,,,600,2.0,,2015-10-30 00:00:00
1000250,Master Roshi,23,23,10,2,1285,4284,1181,3936,698,2327,3,60,10,23,,3374,5,2765,1,23.0,100025.0,42.0,27.0,36.0,47.0,16.0,3.0,,40,6,0,0,120,12,1.0,1,1,482,795,,,,,0,0,,,,500,1.0,,2015-10-30 00:00:00
1000251,Master Roshi,23,23,14,3,4284,5273,3936,5998,2327,2720,13,80,10,30,,13363,5,4280,1,23.0,100025.0,42.0,27.0,36.0,47.0,16.0,3.0,,40,6,0,0,120,12,1.0,1,1,482,795,,,,,0,0,,,,600,1.0,,2015-10-30 00:00:00
1000260,Mercenary Tao,24,24,8,2,1161,3871,1066,3553,709,2364,0,60,10,21,,3096,4,2765,1,82.0,100026.0,5.0,16.0,18.0,32.0,90.0,,,40,4,0,0,110,12,1.0,1,1,544,788,,,,,0,0,,,,500,2.0,,2015-10-30 00:00:00
1000261,Mercenary Tao,24,24,12,3,3871,4946,3553,5624,2364,2847,20,80,10,30,,12889,4,4280,1,82.0,100026.0,5.0,16.0,18.0,32.0,90.0,,,40,4,0,0,110,12,1.0,1,1,544,788,,,,,0,0,,,,600,2.0,,2015-10-30 00:00:00
1000270,Gohan (Kid),7,7,6,1,1258,4194,691,2303,828,2760,2,40,10,13,,1428,2,1489,1,36.0,100027.0,23.0,45.0,49.0,6.0,,,,50,5,0,0,133,12,1.0,1,1,437,700,,,,,0,0,,,,50,1.0,,2015-10-30 00:00:00
1000271,Gohan (Kid),7,7,6,2,4194,5947,2303,3269,2760,3522,12,60,10,20,,3239,2,2765,1,36.0,100027.0,23.0,45.0,49.0,6.0,,,,50,5,0,0,133,12,1.0,1,1,437,700,,,,,0,0,,,,60,1.0,,2015-10-30 00:00:00
1000280,Trunks (Teen),8,8,5,1,941,3135,758,2525,618,2061,0,40,10,11,,1281,1,1489,1,84.0,100028.0,1000.0,40.0,39.0,19.0,45.0,,,50,4,0,0,110,12,1.0,1,1,397,786,,,,,0,0,,,,50,1.0,,2015-10-30 00:00:00
1000281,Trunks (Teen),8,8,5,2,3135,4703,2525,3787,2061,2778,10,60,10,20,,3080,1,2765,1,84.0,100028.0,1000.0,40.0,39.0,19.0,45.0,,,50,4,0,0,110,12,1.0,1,1,397,786,,,,,0,0,,,,60,1.0,,2015-10-30 00:00:00
1000290,Krillin,9,9,6,1,858,2860,651,2170,891,2969,4,40,10,13,,1439,2,1489,1,37.0,100029.0,1000.0,45.0,36.0,2.0,1.0,,,50,5,0,0,140,12,1.0,1,1,401,749,,,,,0,0,,,,50,1.0,,2015-10-30 00:00:00
1000291,Krillin,9,9,6,2,2860,4085,2170,3172,2969,3974,14,60,10,20,,3228,2,2765,1,37.0,100029.0,1000.0,45.0,36.0,2.0,1.0,,,50,5,0,0,140,12,1.0,1,1,401,749,,,,,0,0,,,,60,1.0,,2015-10-30 00:00:00
1000300,Piccolo,10,10,5,1,1143,3809,627,2091,700,2334,2,40,10,11,,1290,1,1489,1,38.0,100030.0,45.0,26.0,6.0,48.0,33.0,,,50,4,0,0,123,12,1.0,1,1,394,873,,,,,0,0,,,,50,1.0,,2015-10-30 00:00:00
1000301,Piccolo,10,10,5,2,3809,5949,2091,3136,2334,3188,12,60,10,20,,3112,1,2765,1,38.0,100030.0,45.0,26.0,6.0,48.0,33.0,,,50,4,0,0,123,12,1.0,1,1,394,873,,,,,0,0,,,,60,1.0,,2015-10-30 00:00:00
1000310,Tien,11,11,5,1,774,2580,702,2340,653,2176,0,40,10,11,,1283,1,1489,1,39.0,100031.0,45.0,24.0,5.0,39.0,37.0,,,50,4,0,0,110,12,1.0,1,1,431,914,,,,,0,0,,,,50,1.0,,2015-10-30 00:00:00
1000311,Tien,11,11,5,2,2580,3960,2340,3615,2176,2763,10,60,10,20,,3099,1,2765,1,39.0,100031.0,45.0,24.0,5.0,39.0,37.0,,,50,4,0,0,110,12,1.0,1,1,431,914,,,,,0,0,,,,60,1.0,,2015-10-30 00:00:00
1000320,Chiaotzu,12,12,6,1,826,2753,661,2204,673,2244,1,40,10,13,,1446,2,1489,1,40.0,100032.0,45.0,24.0,5.0,13.0,2.0,,,50,4,0,0,150,12,1.0,1,1,427,745,,,,,0,0,,,,50,1.0,,2015-10-30 00:00:00
1000321,Chiaotzu,12,12,6,2,2753,3933,2204,3220,2244,2938,11,60,10,20,,3199,2,2765,1,40.0,100032.0,45.0,24.0,5.0,13.0,2.0,,,50,4,0,0,150,12,1.0,1,1,427,745,,,,,0,0,,,,60,1.0,,2015-10-30 00:00:00
1000330,Yamcha,13,13,5,1,891,2970,642,2140,644,2148,1,40,10,11,,1285,1,1489,1,41.0,100033.0,45.0,36.0,53.0,42.0,37.0,,,50,4,0,0,145,12,1.0,1,1,373,804,,,,,0,0,,,,50,1.0,,2015-10-30 00:00:00
1000331,Yamcha,13,13,5,2,2970,4455,2140,3210,2148,2909,11,60,10,20,,3083,1,2765,1,41.0,100033.0,45.0,36.0,53.0,42.0,37.0,,,50,4,0,0,145,12,1.0,1,1,373,804,,,,,0,0,,,,60,1.0,,2015-10-30 00:00:00
1000340,Raditz,14,14,5,1,842,2808,688,2294,633,2110,0,40,10,11,,1277,1,1489,1,34.0,100034.0,34.0,22.0,32.0,,,,,50,5,0,0,115,12,1.0,1,1,439,827,,,,,0,0,,,,50,2.0,,2015-10-30 00:00:00
1000341,Raditz,14,14,5,2,2808,4212,2294,3387,2110,2720,20,60,10,20,,3096,1,2765,1,34.0,100034.0,34.0,22.0,32.0,,,,,50,5,0,0,115,12,1.0,1,1,439,827,,,,,0,0,,,,60,2.0,,2015-10-30 00:00:00
1000350,Nappa,15,15,6,1,1104,3680,699,2329,740,2465,4,40,10,13,,1437,2,1489,1,35.0,100035.0,22.0,21.0,52.0,49.0,42.0,,,50,5,0,0,140,12,1.0,1,1,454,815,,,,,0,0,,,,50,2.0,,2015-10-30 00:00:00
1000351,Nappa,15,15,6,2,3680,4994,2329,3304,2465,3122,24,60,10,20,,3210,2,2765,1,35.0,100035.0,22.0,21.0,52.0,49.0,42.0,,,50,5,0,0,140,12,1.0,1,1,454,815,,,,,0,0,,,,60,2.0,,2015-10-30 00:00:00
1000360,Zarbon,16,16,5,1,978,3260,660,2199,709,2363,4,40,10,11,,1285,1,1489,1,42.0,100036.0,28.0,51.0,43.0,,,,,50,5,0,0,140,12,1.0,1,1,423,857,,,,,0,0,,,,50,2.0,,2015-10-30 00:00:00
1000361,Zarbon,16,16,5,2,3260,4890,2199,3298,2363,3232,24,60,10,20,,3083,1,2765,1,42.0,100036.0,28.0,51.0,43.0,,,,,50,5,0,0,140,12,1.0,1,1,423,857,,,,,0,0,,,,60,2.0,,2015-10-30 00:00:00
1000370,Captain Ginyu,17,17,6,1,1138,3792,852,2840,647,2155,3,40,10,13,,1438,2,1489,1,43.0,100037.0,41.0,17.0,25.0,73.0,94.0,,,50,6,0,0,120,12,1.0,1,1,423,719,,,,,0,0,,,,50,2.0,,2015-10-30 00:00:00
1000371,Captain Ginyu,17,17,6,2,3792,5147,2840,3998,2155,2702,23,60,10,20,,3203,2,2765,1,43.0,100037.0,41.0,17.0,25.0,73.0,94.0,,,50,6,0,0,120,12,1.0,1,1,423,719,,,,,0,0,,,,60,2.0,,2015-10-30 00:00:00
1000380,Android #19,18,18,5,1,896,2985,631,2104,786,2620,4,40,10,11,,1274,1,1489,1,42.0,100038.0,35.0,52.0,73.0,81.0,,,,50,5,0,0,140,12,1.0,1,1,376,852,,,,,0,0,,,,50,2.0,,2015-10-30 00:00:00
1000381,Android #19,18,18,8,2,2985,6136,2617,3857,2620,2976,24,60,10,20,,3112,1,2765,1,42.0,100038.0,35.0,52.0,73.0,81.0,,,,50,5,0,0,140,12,1.0,1,1,376,852,,,,,0,0,,,,60,2.0,,2015-10-30 00:00:00
1000390,Dr. Gero,19,19,5,1,862,2873,693,2311,601,2002,1,40,10,11,,1301,1,1489,1,44.0,100039.0,35.0,55.0,12.0,86.0,114.0,81.0,,50,5,0,0,150,12,1.0,1,1,403,888,,,,,0,0,,,,50,2.0,,2015-10-30 00:00:00
1000391,Dr. Gero,19,19,5,2,2873,4536,2311,3570,2002,2799,21,60,10,20,,3079,1,2765,1,44.0,100039.0,35.0,55.0,12.0,86.0,114.0,81.0,,50,5,0,0,150,12,1.0,1,1,403,888,,,,,0,0,,,,60,2.0,,2015-10-30 00:00:00
1000400,Android #17,21,20,5,1,958,3192,612,2041,827,2756,4,40,10,11,,1289,1,1489,1,46.0,100040.0,35.0,31.0,4.0,110.0,,,,50,5,0,0,140,12,1.0,1,1,388,805,,,,,0,0,,,,50,2.0,,2015-10-30 00:00:00
1000401,Android #17,21,20,5,2,3192,4788,2041,3061,2756,3821,24,60,10,20,,3077,1,2765,1,46.0,100040.0,35.0,31.0,4.0,110.0,,,,50,5,0,0,140,12,1.0,1,1,388,805,,,,,0,0,,,,60,2.0,,2015-10-30 00:00:00
1000410,Android #18,20,21,5,1,968,3226,737,2458,636,2120,0,40,10,11,,1288,1,1489,1,47.0,100041.0,35.0,31.0,4.0,64.0,110.0,,,50,4,0,0,110,12,1.0,1,1,442,787,,,,,0,0,,,,50,2.0,,2015-10-30 00:00:00
1000411,Android #18,20,21,5,2,3226,4838,2458,3687,2120,2868,20,60,10,20,,3069,1,2765,1,47.0,100041.0,35.0,31.0,4.0,64.0,110.0,,,50,4,0,0,110,12,1.0,1,1,442,787,,,,,0,0,,,,60,2.0,,2015-10-30 00:00:00
1000420,Android #16,22,22,5,1,1073,3575,681,2269,627,2090,1,40,10,11,,1294,1,1489,1,48.0,100042.0,35.0,38.0,17.0,,,,,50,5,0,0,150,12,1.0,1,1,433,891,,,,,0,0,,,,50,2.0,,2015-10-30 00:00:00
1000421,Android #16,22,22,5,2,3575,5362,2269,3403,2090,2823,21,60,10,20,,3080,1,2765,1,48.0,100042.0,35.0,38.0,17.0,,,,,50,5,0,0,150,12,1.0,1,1,433,891,,,,,0,0,,,,60,2.0,,2015-10-30 00:00:00
1000430,Master Roshi,23,23,7,2,1345,4572,1124,3613,658,2178,1,60,10,23,,3090,1,2765,1,93.0,100043.0,25.0,27.0,36.0,47.0,3.0,,,30,6,0,0,130,12,1.0,1,1,427,759,,,,,0,0,,,,100,1.0,,2015-10-30 00:00:00
1000431,Master Roshi,23,23,12,3,4572,5486,3613,5513,2178,2456,11,80,10,30,,13363,1,4280,1,93.0,100043.0,25.0,27.0,36.0,47.0,3.0,,,30,6,0,0,130,12,1.0,1,1,427,759,,,,,0,0,,,,120,1.0,,2015-10-30 00:00:00
1000440,Mercenary Tao,24,24,6,1,1078,3594,663,2211,676,2254,2,40,10,13,,1439,2,1489,1,24.0,100044.0,5.0,18.0,32.0,90.0,,,,50,5,0,0,123,12,1.0,1,1,445,890,,,,,0,0,,,,50,2.0,,2015-10-30 00:00:00
1000441,Mercenary Tao,24,24,6,2,3594,5353,2211,3231,2254,2952,22,60,10,20,,3239,2,2765,1,24.0,100044.0,5.0,18.0,32.0,90.0,,,,50,5,0,0,123,12,1.0,1,1,445,890,,,,,0,0,,,,60,2.0,,2015-10-30 00:00:00
1000450,Fusion Machine Pilaf,25,25,5,1,932,3105,671,2236,572,1908,2,40,10,11,,1286,1,1489,1,114.0,100045.0,38.0,18.0,8.0,86.0,90.0,,,50,5,0,0,128,12,1.0,1,1,429,867,,,,,0,0,,,,50,2.0,,2015-10-30 00:00:00
1000451,Fusion Machine Pilaf,25,25,5,2,3105,4865,2236,3355,1908,2550,22,60,10,20,,3106,1,2765,1,114.0,100045.0,38.0,18.0,8.0,86.0,90.0,,,50,5,0,0,128,12,1.0,1,1,429,867,,,,,0,0,,,,60,2.0,,2015-10-30 00:00:00
1000460,Shen,26,26,5,1,815,2716,602,2005,704,2345,2,40,10,11,,1305,1,1489,1,1.0,100046.0,42.0,17.0,84.0,,,,,50,4,0,0,118,12,1.0,1,1,339,743,,,,,0,0,,,,50,1.0,,2015-10-30 00:00:00
1000461,Shen,26,26,5,2,2716,4279,2005,3007,2345,3205,12,60,10,20,,3093,1,2765,1,1.0,100046.0,42.0,17.0,84.0,,,,,50,4,0,0,118,12,1.0,1,1,339,743,,,,,0,0,,,,60,1.0,,2015-10-30 00:00:00
1000470,Tambourine,27,27,6,1,882,2941,701,2337,620,2065,3,40,10,13,,1445,2,1489,1,1.0,100047.0,6.0,18.0,90.0,,,,,50,5,0,0,120,12,1.0,1,1,402,724,,,,,0,0,,,,50,2.0,,2015-10-30 00:00:00
1000471,Tambourine,27,27,6,2,2941,3992,2337,3314,2065,2579,23,60,10,20,,3213,2,2765,1,1.0,100047.0,6.0,18.0,90.0,,,,,50,5,0,0,120,12,1.0,1,1,402,724,,,,,0,0,,,,60,2.0,,2015-10-30 00:00:00
