id,link_skill_id,skill_lv,description
1204,12,4,"Ki +1 and chance of evading enemy's attack 
(including Super Attack) +3% when HP is 45% or less"
1205,12,5,"Ki +2 and chance of evading enemy's attack 
(including Super Attack) +5% when HP is 50% or less"
1206,12,6,"Ki +2 and chance of evading enemy's attack 
(including Super Attack) +6% when HP is 50% or less"
1207,12,7,"Ki +2 and chance of evading enemy's attack 
(including Super Attack) +7% when HP is 50% or less"
1208,12,8,"Ki +2 and chance of evading enemy's attack 
(including Super Attack) +8% when HP is 50% or less"
1209,12,9,"Ki +2 and chance of evading enemy's attack 
(including Super Attack) +9% when HP is 50% or less"
1210,12,10,"Ki +2 and chance of evading enemy's attack 
(including Super Attack) +10% when HP is 50% or less"
1301,13,1,All enemies' DEF -10%
1302,13,2,All enemies' DEF -11%
1303,13,3,All enemies' DEF -12%
1304,13,4,All enemies' DEF -13%
1305,13,5,All enemies' DEF -15%
1306,13,6,All enemies' DEF -16%
1307,13,7,All enemies' DEF -17%
1308,13,8,All enemies' DEF -18%
1309,13,9,All enemies' DEF -19%
1310,13,10,All enemies' DEF -20%
1401,14,1,ATK +10%
1402,14,2,ATK +10% and DEF +1%
1403,14,3,ATK +10% and DEF +2%
1404,14,4,ATK +10% and DEF +3%
1405,14,5,ATK +10% and DEF +5%
1406,14,6,ATK +10% and DEF +6%
1407,14,7,ATK +10% and DEF +7%
1408,14,8,ATK +10% and DEF +8%
1409,14,9,ATK +10% and DEF +9%
1410,14,10,ATK & DEF +10%
1501,15,1,DEF +20%
1502,15,2,DEF +20.5%
1503,15,3,DEF +21%
1504,15,4,DEF +21.5%
1505,15,5,DEF +22.5%
1506,15,6,DEF +23%
1507,15,7,DEF +23.5%
1508,15,8,DEF +24%
1509,15,9,DEF +24.5%
1510,15,10,DEF +25%
1601,16,1,Ki +1
1602,16,2,Ki +1 and ATK +1%
1603,16,3,Ki +1 and ATK +2%
1604,16,4,Ki +1 and ATK +3%
1605,16,5,Ki +1 and ATK +5%
1606,16,6,Ki +1 and ATK +6%
1607,16,7,Ki +1 and ATK +7%
1608,16,8,Ki +1 and ATK +8%
1609,16,9,Ki +1 and ATK +9%
1610,16,10,Ki +2 and ATK +10%
1701,17,1,Ki +2
1702,17,2,Ki +2 and DEF +1%
1703,17,3,Ki +2 and DEF +2%
1704,17,4,Ki +2 and DEF +3%
1705,17,5,Ki +2 and DEF +5%
1706,17,6,Ki +2 and DEF +6%
1707,17,7,Ki +2 and DEF +7%
1708,17,8,Ki +2 and DEF +8%
1709,17,9,Ki +2 and DEF +9%
1710,17,10,Ki +2 and DEF +10%
1801,18,1,ATK +10%
1802,18,2,ATK +10.5%
1803,18,3,ATK +11%
1804,18,4,ATK +11.5%
1805,18,5,ATK +12.5%
1806,18,6,ATK +13%
1807,18,7,ATK +13.5%
1808,18,8,ATK +14%
1809,18,9,ATK +14.5%
1810,18,10,ATK +15%
1901,19,1,ATK +5%
1902,19,2,ATK +5.5%
1903,19,3,ATK +6%
1904,19,4,ATK +6.5%
1905,19,5,ATK +7.5%
1906,19,6,ATK +8%
1907,19,7,ATK +8.5%
1908,19,8,ATK +9%
1909,19,9,ATK +9.5%
1910,19,10,ATK +10%
2001,20,1,ATK +15%
2002,20,2,ATK +15.5%
2003,20,3,ATK +16%
2004,20,4,ATK +16.5%
2005,20,5,ATK +17.5%
2006,20,6,ATK +18%
2007,20,7,ATK +18.5%
2008,20,8,ATK +19%
2009,20,9,ATK +19.5%
2010,20,10,ATK +20%
2101,21,1,ATK +20%
2102,21,2,ATK +20% and DEF +2%
2103,21,3,ATK +20% and DEF +4%
2104,21,4,ATK +20% and DEF +6%
2105,21,5,ATK +20% and DEF +10%
2106,21,6,ATK +20% and DEF +12%
2107,21,7,ATK +20% and DEF +14%
2108,21,8,ATK +20% and DEF +16%
2109,21,9,ATK +20% and DEF +18%
2110,21,10,ATK & DEF +20%
2201,22,1,ATK +5%
2202,22,2,ATK +5.5%
2203,22,3,ATK +6%
2204,22,4,ATK +6.5%
2205,22,5,ATK +7.5%
2206,22,6,ATK +8%
2207,22,7,ATK +8.5%
2208,22,8,ATK +9%
2209,22,9,ATK +9.5%
2210,22,10,ATK +10%
2301,23,1,DEF +15%
2302,23,2,DEF +15.5%
2303,23,3,DEF +16%
2304,23,4,DEF +16.5%
2305,23,5,DEF +17.5%
2306,23,6,DEF +18%
2307,23,7,DEF +18.5%
2308,23,8,DEF +19%
2309,23,9,DEF +19.5%
2310,23,10,DEF +20%
2401,24,1,Ki +1
2402,24,2,"Ki +1 and chance of 
performing a critical hit +0.5%"
2403,24,3,"Ki +1 and chance of 
performing a critical hit +1%"
2404,24,4,"Ki +1 and chance of 
performing a critical hit +1.5%"
2405,24,5,"Ki +1 and chance of 
performing a critical hit +2.5%"
2406,24,6,"Ki +1 and chance of 
performing a critical hit +3%"
2407,24,7,"Ki +1 and chance of 
performing a critical hit +3.5%"
2408,24,8,"Ki +1 and chance of 
performing a critical hit +4%"
2409,24,9,"Ki +1 and chance of 
performing a critical hit +4.5%"
2410,24,10,"Ki +2 and chance of 
performing a critical hit +5%"
2501,25,1,ATK +15%
2502,25,2,ATK +15.5%
2503,25,3,ATK +16%
2504,25,4,ATK +16.5%
2505,25,5,ATK +17.5%
2506,25,6,ATK +18%
2507,25,7,ATK +18.5%
2508,25,8,ATK +19%
2509,25,9,ATK +19.5%
2510,25,10,ATK +20%
2601,26,1,ATK +10%
2602,26,2,ATK +10.5%
2603,26,3,ATK +11%
2604,26,4,ATK +11.5%
2605,26,5,ATK +12.5%
2606,26,6,ATK +13%
2607,26,7,ATK +13.5%
2608,26,8,ATK +14%
2609,26,9,ATK +14.5%
2610,26,10,ATK +15%
2701,27,1,Ki +1
2702,27,2,Ki +1 and DEF +1%
2703,27,3,Ki +1 and DEF +2%
2704,27,4,Ki +1 and DEF +3%
2705,27,5,Ki +1 and DEF +5%
2706,27,6,Ki +1 and DEF +6%
2707,27,7,Ki +1 and DEF +7%
2708,27,8,Ki +1 and DEF +8%
2709,27,9,Ki +1 and DEF +9%
2710,27,10,Ki +2 and DEF +10%
2801,28,1,Recovers 5% HP
2802,28,2,Recovers 5% HP and ATK & DEF +1%
2803,28,3,Recovers 5% HP and ATK & DEF +2%
2804,28,4,Recovers 5% HP and ATK & DEF +3%
2805,28,5,Recovers 5% HP and ATK & DEF +5%
2806,28,6,Recovers 5% HP and ATK & DEF +6%
2807,28,7,Recovers 5% HP and ATK & DEF +7%
2808,28,8,Recovers 5% HP and ATK & DEF +8%
2809,28,9,Recovers 5% HP and ATK & DEF +9%
2810,28,10,Recovers 5% HP and ATK & DEF +10%
2901,29,1,ATK +10%
2902,29,2,ATK +10.5%
2903,29,3,ATK +11%
2904,29,4,ATK +11.5%
2905,29,5,ATK +12.5%
2906,29,6,ATK +13%
2907,29,7,ATK +13.5%
2908,29,8,ATK +14%
2909,29,9,ATK +14.5%
2910,29,10,ATK +15%
3001,30,1,ATK +10%
3002,30,2,ATK +10.5%
3003,30,3,ATK +11%
3004,30,4,ATK +11.5%
3005,30,5,ATK +12.5%
3006,30,6,ATK +13%
3007,30,7,ATK +13.5%
3008,30,8,ATK +14%
3009,30,9,ATK +14.5%
3010,30,10,ATK +15%
3101,31,1,Ki +2
3102,31,2,Ki +2 and ATK & DEF +0.5%
3103,31,3,Ki +2 and ATK & DEF +1%
3104,31,4,Ki +2 and ATK & DEF +1.5%
3105,31,5,Ki +2 and ATK & DEF +2.5%
3106,31,6,"Ki +2, ATK & DEF +3% and chance of evading 
enemy's attack (including Super Attack) +1%"
3107,31,7,"Ki +2, ATK & DEF +3.5% and chance of evading 
enemy's attack (including Super Attack) +2%"
3108,31,8,"Ki +2, ATK & DEF +4% and chance of evading 
enemy's attack (including Super Attack) +3%"
3109,31,9,"Ki +2, ATK & DEF +4.5% and chance of evading 
enemy's attack (including Super Attack) +4%"
3110,31,10,"Ki +2 and ATK, DEF & chance of evading 
enemy's attack (including Super Attack) +5%"
3201,32,1,Ki +1
3202,32,2,"Ki +1 and chance of 
performing a critical hit +0.5%"
3203,32,3,"Ki +1 and chance of 
performing a critical hit +1%"
3204,32,4,"Ki +1 and chance of 
performing a critical hit +1.5%"
3205,32,5,"Ki +1 and chance of 
performing a critical hit +2.5%"
3206,32,6,"Ki +1 and chance of 
performing a critical hit +3%"
3207,32,7,"Ki +1 and chance of 
performing a critical hit +3.5%"
3208,32,8,"Ki +1 and chance of 
performing a critical hit +4%"
3209,32,9,"Ki +1 and chance of 
performing a critical hit +4.5%"
3210,32,10,"Ki +2 and chance of 
performing a critical hit +5%"
3301,33,1,Ki +1
3302,33,2,"Ki +1 and chance of evading enemy's attack 
(including Super Attack) +0.5%"
3303,33,3,"Ki +1 and chance of evading enemy's attack 
(including Super Attack) +1%"
3304,33,4,"Ki +1 and chance of evading enemy's attack 
(including Super Attack) +1.5%"
3305,33,5,"Ki +1 and chance of evading enemy's attack 
(including Super Attack) +2.5%"
3306,33,6,"Ki +1 and chance of evading enemy's attack 
(including Super Attack) +3%"
3307,33,7,"Ki +1 and chance of evading enemy's attack 
(including Super Attack) +3.5%"
3308,33,8,"Ki +1 and chance of evading enemy's attack 
(including Super Attack) +4%"
3309,33,9,"Ki +1 and chance of evading enemy's attack 
(including Super Attack) +4.5%"
3310,33,10,"Ki +2 and chance of evading enemy's attack 
(including Super Attack) +5%"
3401,34,1,Ki +1
3402,34,2,Ki +1 and ATK & DEF +0.5%
3403,34,3,Ki +1 and ATK & DEF +1%
3404,34,4,Ki +1 and ATK & DEF +1.5%
3405,34,5,Ki +1 and ATK & DEF +2.5%
3406,34,6,Ki +1 and ATK & DEF +3%
3407,34,7,Ki +1 and ATK & DEF +3.5%
3408,34,8,Ki +1 and ATK & DEF +4%
3409,34,9,Ki +1 and ATK & DEF +4.5%
3410,34,10,Ki +2 and ATK & DEF +5%
3501,35,1,DEF +10%
3502,35,2,DEF +11%
3503,35,3,DEF +12%
3504,35,4,DEF +13%
3505,35,5,Ki +1 and DEF +15%
3506,35,6,Ki +1 and DEF +16%
3507,35,7,Ki +1 and DEF +17%
3508,35,8,Ki +1 and DEF +18%
3509,35,9,Ki +1 and DEF +19%
3510,35,10,Ki +2 and DEF +20%
3601,36,1,ATK & DEF +10%
3602,36,2,ATK & DEF +11%
3603,36,3,ATK & DEF +12%
3604,36,4,ATK & DEF +13%
3605,36,5,Ki +1 and ATK & DEF +15%
3606,36,6,Ki +1 and ATK & DEF +16%
3607,36,7,Ki +1 and ATK & DEF +17%
3608,36,8,Ki +1 and ATK & DEF +18%
3609,36,9,Ki +1 and ATK & DEF +19%
3610,36,10,Ki +2 and ATK & DEF +20%
3701,37,1,ATK +10% and all enemies' DEF -15%
3702,37,2,ATK +10.5% and all enemies' DEF -15.5%
3703,37,3,ATK +11% and all enemies' DEF -16%
3704,37,4,ATK +11.5% and all enemies' DEF -16.5%
3705,37,5,ATK +12.5% and all enemies' DEF -17.5%
3706,37,6,ATK +13% and all enemies' DEF -18%
3707,37,7,ATK +13.5% and all enemies' DEF -18.5%
3708,37,8,ATK +14% and all enemies' DEF -19%
3709,37,9,ATK +14.5% and all enemies' DEF -19.5%
3710,37,10,ATK +15% and all enemies' DEF -20%
3801,38,1,Ki +1
3802,38,2,Ki +1 and reduces damage received by 0.5%
3803,38,3,Ki +1 and reduces damage received by 1%
3804,38,4,Ki +1 and reduces damage received by 1.5%
3805,38,5,Ki +1 and reduces damage received by 2.5%
3806,38,6,Ki +1 and reduces damage received by 3%
3807,38,7,Ki +1 and reduces damage received by 3.5%
3808,38,8,Ki +1 and reduces damage received by 4%
3809,38,9,Ki +1 and reduces damage received by 4.5%
3810,38,10,Ki +2 and reduces damage received by 5%
3901,39,1,DEF +20%
3902,39,2,DEF +20.5%
3903,39,3,DEF +21%
3904,39,4,DEF +21.5%
3905,39,5,DEF +22.5%
3906,39,6,DEF +23%
3907,39,7,DEF +23.5%
3908,39,8,DEF +24%
3909,39,9,DEF +24.5%
3910,39,10,DEF +25%
4001,40,1,Ki +1
4002,40,2,Ki +1 and ATK +0.5%
4003,40,3,Ki +1 and ATK +1%
4004,40,4,Ki +1 and ATK +1.5%
4005,40,5,Ki +1 and ATK +2.5%
4006,40,6,Ki +1 and ATK +3%
4007,40,7,Ki +1 and ATK +3.5%
4008,40,8,Ki +1 and ATK +4%
4009,40,9,Ki +1 and ATK +4.5%
4010,40,10,Ki +2 and ATK +5%
4101,41,1,ATK +25%
4102,41,2,"ATK +25% and chance of 
performing a critical hit +0.5%"
4103,41,3,"ATK +25% and chance of 
performing a critical hit +1%"
4104,41,4,"ATK +25% and chance of 
performing a critical hit +1.5%"
4105,41,5,"ATK +25% and chance of 
performing a critical hit +2.5%"
4106,41,6,"ATK +25% and chance of 
performing a critical hit +3%"
4107,41,7,"ATK +25% and chance of 
performing a critical hit +3.5%"
4108,41,8,"ATK +25% and chance of 
performing a critical hit +4%"
4109,41,9,"ATK +25% and chance of 
performing a critical hit +4.5%"
4110,41,10,"ATK +25% and chance of 
performing a critical hit +5%"
4201,42,1,ATK +10% and all enemies' DEF -10%
4202,42,2,ATK +10.5% and all enemies' DEF -10.5%
4203,42,3,ATK +11% and all enemies' DEF -11%
4204,42,4,ATK +11.5% and all enemies' DEF -11.5%
4205,42,5,ATK +12.5% and all enemies' DEF -12.5%
4206,42,6,ATK +13% and all enemies' DEF -13%
4207,42,7,ATK +13.5% and all enemies' DEF -13.5%
4208,42,8,ATK +14% and all enemies' DEF -14%
4209,42,9,ATK +14.5% and all enemies' DEF -14.5%
4210,42,10,ATK +15% and all enemies' DEF -15%
4301,43,1,ATK +20%
4302,43,2,ATK +20% and DEF +1%
4303,43,3,ATK +20% and DEF +2%
4304,43,4,ATK +20% and DEF +3%
4305,43,5,ATK +20% and DEF +5%
4306,43,6,ATK +20% and DEF +6%
4307,43,7,ATK +20% and DEF +7%
4308,43,8,ATK +20% and DEF +8%
4309,43,9,ATK +20% and DEF +9%
4310,43,10,ATK +20% and DEF +10%
4401,44,1,Ki +1
4402,44,2,Ki +1 and reduces damage received by 0.5%
4403,44,3,Ki +1 and reduces damage received by 1%
4404,44,4,Ki +1 and reduces damage received by 1.5%
4405,44,5,Ki +1 and reduces damage received by 2.5%
4406,44,6,Ki +1 and reduces damage received by 3%
4407,44,7,Ki +1 and reduces damage received by 3.5%
4408,44,8,Ki +1 and reduces damage received by 4%
4409,44,9,Ki +1 and reduces damage received by 4.5%
4410,44,10,Ki +2 and reduces damage received by 5%
4501,45,1,ATK +15%
4502,45,2,ATK +15.5%
4503,45,3,ATK +16%
4504,45,4,ATK +16.5%
4505,45,5,ATK +17.5%
4506,45,6,ATK +18%
4507,45,7,ATK +18.5%
4508,45,8,ATK +19%
4509,45,9,ATK +19.5%
4510,45,10,ATK +20%
4601,46,1,ATK +10% when performing a Super Attack
4602,46,2,ATK +10.5% when performing a Super Attack
4603,46,3,ATK +11% when performing a Super Attack
4604,46,4,ATK +11.5% when performing a Super Attack
4605,46,5,ATK +12.5% when performing a Super Attack
4606,46,6,ATK +13% when performing a Super Attack
4607,46,7,ATK +13.5% when performing a Super Attack
4608,46,8,ATK +14% when performing a Super Attack
4609,46,9,ATK +14.5% when performing a Super Attack
4610,46,10,ATK +15% when performing a Super Attack
4701,47,1,ATK +5% when performing a Super Attack
4702,47,2,ATK +5.5% when performing a Super Attack
4703,47,3,ATK +6% when performing a Super Attack
4704,47,4,ATK +6.5% when performing a Super Attack
4705,47,5,ATK +7.5% when performing a Super Attack
4706,47,6,ATK +8% when performing a Super Attack
4707,47,7,ATK +8.5% when performing a Super Attack
4708,47,8,ATK +9% when performing a Super Attack
4709,47,9,ATK +9.5% when performing a Super Attack
4710,47,10,ATK +10% when performing a Super Attack
4801,48,1,Recovers 5% HP
4802,48,2,Recovers 5% HP and ATK & DEF +0.7%
4803,48,3,Recovers 5% HP and ATK & DEF +1.4%
4804,48,4,Recovers 5% HP and ATK & DEF +2.1%
4805,48,5,Recovers 6% HP and ATK & DEF +3.5%
4806,48,6,Recovers 6% HP and ATK & DEF +4.2%
4807,48,7,Recovers 6% HP and ATK & DEF +4.9%
4808,48,8,Recovers 6% HP and ATK & DEF +5.6%
4809,48,9,Recovers 6% HP and ATK & DEF +6.3%
4810,48,10,Recovers 7% HP and ATK & DEF +7%
4901,49,1,ATK +20% when HP is 50% or less
4902,49,2,ATK +21% when HP is 50% or less
4903,49,3,ATK +22% when HP is 50% or less
4904,49,4,ATK +23% when HP is 50% or less
4905,49,5,ATK +25% when HP is 50% or less
4906,49,6,ATK +26% when HP is 50% or less
4907,49,7,ATK +27% when HP is 50% or less
4908,49,8,ATK +28% when HP is 50% or less
4909,49,9,ATK +29% when HP is 50% or less
4910,49,10,ATK +30% when HP is 50% or less
5001,50,1,ATK & DEF +25% when HP is 80% or less
5002,50,2,ATK & DEF +25% when HP is 82% or less
5003,50,3,ATK & DEF +25% when HP is 84% or less
5004,50,4,ATK & DEF +25% when HP is 86% or less
5005,50,5,ATK & DEF +25% when HP is 90% or less
5006,50,6,ATK & DEF +25% when HP is 92% or less
5007,50,7,ATK & DEF +25% when HP is 94% or less
5008,50,8,ATK & DEF +25% when HP is 96% or less
5009,50,9,ATK & DEF +25% when HP is 98% or less
5010,50,10,ATK & DEF +25%
5101,51,1,DEF +20%
5102,51,2,ATK +1% and DEF +20%
5103,51,3,ATK +2% and DEF +20%
5104,51,4,ATK +3% and DEF +20%
5105,51,5,ATK +5% and DEF +20%
5106,51,6,ATK +6% and DEF +20%
5107,51,7,ATK +7% and DEF +20%
5108,51,8,ATK +8% and DEF +20%
5109,51,9,ATK +9% and DEF +20%
5110,51,10,ATK +10% and DEF +20%
5201,52,1,DEF +15%
5202,52,2,DEF +15.5%
5203,52,3,DEF +16%
5204,52,4,DEF +16.5%
5205,52,5,DEF +17.5%
5206,52,6,"DEF +18% and 
reduces damage received by 1%"
5207,52,7,"DEF +18.5% and 
reduces damage received by 2%"
5208,52,8,"DEF +19% and 
reduces damage received by 3%"
5209,52,9,"DEF +19.5% and 
reduces damage received by 4%"
5210,52,10,"DEF +20% and 
reduces damage received by 5%"
5301,53,1,ATK +10%
5302,53,2,ATK +10.5%
5303,53,3,ATK +11%
5304,53,4,ATK +11.5%
5305,53,5,ATK +12.5%
5306,53,6,"ATK +13% and chance of evading 
enemy's attack (including Super Attack) +1%"
5307,53,7,"ATK +13.5% and chance of evading 
enemy's attack (including Super Attack) +2%"
5308,53,8,"ATK +14% and chance of evading 
enemy's attack (including Super Attack) +3%"
5309,53,9,"ATK +14.5% and chance of evading 
enemy's attack (including Super Attack) +4%"
5310,53,10,"ATK +15% and chance of evading 
enemy's attack (including Super Attack) +5%"
5401,54,1,ATK +15%
5402,54,2,ATK +15.5%
5403,54,3,ATK +16%
5404,54,4,ATK +16.5%
5405,54,5,ATK +17.5%
5406,54,6,ATK +18%
5407,54,7,ATK +18.5%
5408,54,8,ATK +19%
5409,54,9,ATK +19.5%
5410,54,10,ATK +20%
5501,55,1,ATK +10%
5502,55,2,ATK +10% and DEF +1%
5503,55,3,ATK +10% and DEF +2%
5504,55,4,ATK +10% and DEF +3%
5505,55,5,ATK +10% and DEF +5%
5506,55,6,ATK +10% and DEF +6%
5507,55,7,ATK +10% and DEF +7%
5508,55,8,ATK +10% and DEF +8%
5509,55,9,ATK +10% and DEF +9%
5510,55,10,ATK & DEF +10%
5601,56,1,Ki +2
5602,56,2,Ki +2 and ATK & DEF +1%
5603,56,3,Ki +2 and ATK & DEF +2%
5604,56,4,Ki +2 and ATK & DEF +3%
5605,56,5,Ki +2 and ATK & DEF +5%
5606,56,6,Ki +2 and ATK & DEF +6%
5607,56,7,Ki +2 and ATK & DEF +7%
5608,56,8,Ki +2 and ATK & DEF +8%
5609,56,9,Ki +2 and ATK & DEF +9%
5610,56,10,Ki +2 and ATK & DEF +10%
5701,57,1,ATK +15%
5702,57,2,ATK +15.5%
5703,57,3,ATK +16%
5704,57,4,ATK +16.5%
5705,57,5,ATK +17.5%
5706,57,6,ATK +18%
5707,57,7,ATK +18.5%
5708,57,8,ATK +19%
5709,57,9,ATK +19.5%
5710,57,10,ATK +20%
5801,58,1,ATK +10%
5802,58,2,ATK +10% and DEF +1%
5803,58,3,ATK +10% and DEF +2%
5804,58,4,ATK +10% and DEF +3%
5805,58,5,ATK +10% and DEF +5%
5806,58,6,ATK +10% and DEF +6%
5807,58,7,ATK +10% and DEF +7%
5808,58,8,ATK +10% and DEF +8%
5809,58,9,ATK +10% and DEF +9%
5810,58,10,ATK & DEF +10%
5901,59,1,ATK +15%
5902,59,2,ATK +15.5%
5903,59,3,ATK +16%
5904,59,4,ATK +16.5%
5905,59,5,ATK +17.5%
5906,59,6,ATK +18%
5907,59,7,ATK +18.5%
5908,59,8,ATK +19%
5909,59,9,ATK +19.5%
5910,59,10,ATK +20%
6001,60,1,Ki +2
6002,60,2,Ki +2 and DEF +0.5%
6003,60,3,Ki +2 and DEF +1%
6004,60,4,Ki +2 and DEF +1.5%
6005,60,5,Ki +2 and DEF +2.5%
6006,60,6,Ki +2 and DEF +3%
6007,60,7,Ki +2 and DEF +3.5%
6008,60,8,Ki +2 and DEF +4%
6009,60,9,Ki +2 and DEF +4.5%
6010,60,10,Ki +2 and DEF +5%
6101,61,1,Ki +2
6102,61,2,Ki +2 and ATK +1%
6103,61,3,Ki +2 and ATK +2%
6104,61,4,Ki +2 and ATK +3%
6105,61,5,Ki +2 and ATK +5%
6106,61,6,Ki +2 and ATK +6%
6107,61,7,Ki +2 and ATK +7%
6108,61,8,Ki +2 and ATK +8%
6109,61,9,Ki +2 and ATK +9%
6110,61,10,Ki +2 and ATK +10%
6201,62,1,Ki +1
6202,62,2,Ki +1 and ATK & DEF +1%
6203,62,3,Ki +1 and ATK & DEF +2%
6204,62,4,Ki +1 and ATK & DEF +3%
6205,62,5,Ki +1 and ATK & DEF +5%
6206,62,6,Ki +1 and ATK & DEF +6%
6207,62,7,Ki +1 and ATK & DEF +7%
6208,62,8,Ki +1 and ATK & DEF +8%
6209,62,9,Ki +1 and ATK & DEF +9%
6210,62,10,Ki +2 and ATK & DEF +10%
6301,63,1,ATK +15%
6302,63,2,ATK +15.5%
6303,63,3,ATK +16%
6304,63,4,ATK +16.5%
6305,63,5,ATK +17.5%
6306,63,6,ATK +18%
6307,63,7,ATK +18.5%
6308,63,8,ATK +19%
6309,63,9,ATK +19.5%
6310,63,10,ATK +20%
6401,64,1,Ki +2
6402,64,2,"Ki +2 and chance of evading 
enemy's attack (including Super Attack) +0.5%"
6403,64,3,"Ki +2 and chance of evading 
enemy's attack (including Super Attack) +1%"
6404,64,4,"Ki +2 and chance of evading 
enemy's attack (including Super Attack) +1.5%"
6405,64,5,"Ki +2 and chance of evading 
enemy's attack (including Super Attack) +2.5%"
6406,64,6,"Ki +2 and chance of evading 
enemy's attack (including Super Attack) +3%"
6407,64,7,"Ki +2 and chance of evading 
enemy's attack (including Super Attack) +3.5%"
6408,64,8,"Ki +2 and chance of evading 
enemy's attack (including Super Attack) +4%"
6409,64,9,"Ki +2 and chance of evading 
enemy's attack (including Super Attack) +4.5%"
6410,64,10,"Ki +3 and chance of evading 
enemy's attack (including Super Attack) +5%"
6501,65,1,Ki +2
