id,z_battle_stage_id,enemy_name,enemy_nickname,enemy_resource_id,params,created_at,updated_at
26,24,Frieza (2nd Form),Storm of Terror,1017161,"{""lwf"":{""event_top_chara"":{""x"":92,""y"":-234,""scale"":1.23},""anime_start"":{""x"":92,""y"":-234,""scale"":1.23},""anime_end"":{""x"":214,""y"":-304,""scale"":1.23},""shadow"":{""x"":-6,""y"":328,""scale"":0.76},""start_chara"":{""x"":36,""y"":26,""scale"":0.98}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
27,25,Majin Buu (Ultimate Gohan),Countdown to Despair,1008091,"{""lwf"":{""event_top_chara"":{""x"":6,""y"":-352,""scale"":1.36},""anime_start"":{""x"":6,""y"":-352,""scale"":1.36},""anime_end"":{""x"":140,""y"":-390,""scale"":1.36},""shadow"":{""x"":-166,""y"":26,""scale"":0.91},""start_chara"":{""x"":-4,""y"":-32,""scale"":1.12}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
28,26,Legendary Super Saiyan Broly,Eternal Horror,1007461,"{""lwf"":{""event_top_chara"":{""x"":68,""y"":58,""scale"":1.14},""anime_start"":{""x"":68,""y"":58,""scale"":1.14},""anime_end"":{""x"":206,""y"":-36,""scale"":1.08},""shadow"":{""x"":-92,""y"":768,""scale"":0.85},""start_chara"":{""x"":0,""y"":0,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
29,27,Fierce Battle Saga,Extreme Z-Battle,1017990,"{""lwf"":{""event_top_chara"":{""x"":-30,""y"":154,""scale"":0.72},""anime_start"":{""x"":-30,""y"":154,""scale"":0.72},""anime_end"":{""x"":-30,""y"":154,""scale"":0.72},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-4,""y"":-26,""scale"":1.13}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
30,28,Perfect Cell,Welcome to Hell,1008821,"{""lwf"":{""event_top_chara"":{""x"":10,""y"":-264,""scale"":1.2},""anime_start"":{""x"":10,""y"":-264,""scale"":1.2},""anime_end"":{""x"":162,""y"":-330,""scale"":1.2},""shadow"":{""x"":-136,""y"":270,""scale"":0.76},""start_chara"":{""x"":12,""y"":12,""scale"":0.93}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
31,29,Perfect Cell,Horrifying Resurrection,1018081,"{""lwf"":{""event_top_chara"":{""x"":-42,""y"":-432,""scale"":1.56},""anime_start"":{""x"":-42,""y"":-432,""scale"":1.56},""anime_end"":{""x"":106,""y"":-534,""scale"":1.56},""shadow"":{""x"":-208,""y"":-126,""scale"":1.06},""start_chara"":{""x"":-2,""y"":-12,""scale"":1.17}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
32,30,Super Saiyan God SS Goku,Next-Level Strike,1008631,"{""lwf"":{""event_top_chara"":{""x"":-12,""y"":128,""scale"":0.78},""anime_start"":{""x"":-12,""y"":128,""scale"":0.78},""anime_end"":{""x"":68,""y"":28,""scale"":0.78},""shadow"":{""x"":-274,""y"":984,""scale"":0.48},""start_chara"":{""x"":-12,""y"":-30,""scale"":1.11}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
33,31,Omega Shenron,Hopeless Minus Energy,1008711,"{""lwf"":{""event_top_chara"":{""x"":50,""y"":-190,""scale"":1.35},""anime_start"":{""x"":50,""y"":-190,""scale"":1.35},""anime_end"":{""x"":158,""y"":-230,""scale"":1.35},""shadow"":{""x"":-74,""y"":460,""scale"":0.75},""start_chara"":{""x"":0,""y"":-14,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
35,32,Super Vegito,Unparalleled Golden Ki,1006791,"{""lwf"":{""event_top_chara"":{""x"":-8,""y"":-178,""scale"":1.15},""anime_start"":{""x"":-8,""y"":-178,""scale"":1.15},""anime_end"":{""x"":98,""y"":-240,""scale"":1.15},""shadow"":{""x"":-172,""y"":498,""scale"":0.65},""start_chara"":{""x"":0,""y"":-8,""scale"":1.17}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
36,33,Fusion Zamasu,Wrath of the Absolute God,1009791,"{""lwf"":{""event_top_chara"":{""x"":-32,""y"":-6,""scale"":0.9},""anime_start"":{""x"":-32,""y"":-6,""scale"":0.9},""anime_end"":{""x"":-32,""y"":-6,""scale"":0.9},""shadow"":{""x"":-1000,""y"":1000,""scale"":0.0},""start_chara"":{""x"":-30,""y"":0,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
37,34,Destined Rivals Saga,Extreme Z-Battle,1019180,"{""lwf"":{""event_top_chara"":{""x"":6,""y"":78,""scale"":0.76},""anime_start"":{""x"":6,""y"":78,""scale"":0.76},""anime_end"":{""x"":6,""y"":78,""scale"":0.76},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":0,""y"":14,""scale"":1.07}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
38,35,Super Saiyan God SS Vegito,Azure Omnipotence,1009331,"{""lwf"":{""event_top_chara"":{""x"":-32,""y"":70,""scale"":0.78},""anime_start"":{""x"":-32,""y"":70,""scale"":0.78},""anime_end"":{""x"":102,""y"":-30,""scale"":0.78},""shadow"":{""x"":-204,""y"":866,""scale"":0.39},""start_chara"":{""x"":-6,""y"":-14,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
39,36,Super Saiyan God SS Vegeta,Passion of the Warrior Race,1009591,"{""lwf"":{""event_top_chara"":{""x"":42,""y"":-8,""scale"":0.96},""anime_start"":{""x"":42,""y"":-8,""scale"":0.96},""anime_end"":{""x"":172,""y"":-96,""scale"":0.96},""shadow"":{""x"":-70,""y"":766,""scale"":0.49},""start_chara"":{""x"":-2,""y"":-16,""scale"":1.16}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
40,37,Super Saiyan Trunks (Future),Blade of Hope and Dreams,1009581,"{""lwf"":{""event_top_chara"":{""x"":48,""y"":-280,""scale"":1.37},""anime_start"":{""x"":48,""y"":-280,""scale"":1.37},""anime_end"":{""x"":214,""y"":-258,""scale"":1.26},""shadow"":{""x"":-94,""y"":196,""scale"":0.97},""start_chara"":{""x"":-2,""y"":8,""scale"":1.05}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
41,38,Goku Black (Super Saiyan Rosé),Rose Stained Super Saiyan,1009351,"{""lwf"":{""event_top_chara"":{""x"":-16,""y"":18,""scale"":0.87},""anime_start"":{""x"":-16,""y"":18,""scale"":0.87},""anime_end"":{""x"":74,""y"":-74,""scale"":0.87},""shadow"":{""x"":-214,""y"":858,""scale"":0.46},""start_chara"":{""x"":-6,""y"":-14,""scale"":1.12}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
42,39,Warrioresses of Universe 6 Saga,Extreme Z-Battle,1020580,"{""lwf"":{""event_top_chara"":{""x"":-110,""y"":128,""scale"":0.77},""anime_start"":{""x"":-110,""y"":128,""scale"":0.77},""anime_end"":{""x"":-110,""y"":128,""scale"":0.77},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-4,""y"":-18,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
43,40,Super Saiyan 3 Broly,Mythic Evolution,1011171,"{""lwf"":{""event_top_chara"":{""x"":60,""y"":-94,""scale"":1.29},""anime_start"":{""x"":60,""y"":-94,""scale"":1.29},""anime_end"":{""x"":158,""y"":-194,""scale"":1.29},""shadow"":{""x"":-66,""y"":512,""scale"":0.84},""start_chara"":{""x"":-2,""y"":-20,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
44,41,Pride Troopers,Extreme Z-Battle,1020720,"{""lwf"":{""event_top_chara"":{""x"":0,""y"":72,""scale"":0.77},""anime_start"":{""x"":0,""y"":72,""scale"":0.77},""anime_end"":{""x"":0,""y"":72,""scale"":0.77},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-8,""y"":-22,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
45,42,Super #17,The Ultimate Android,1007181,"{""lwf"":{""event_top_chara"":{""x"":-2,""y"":78,""scale"":0.81},""anime_start"":{""x"":-2,""y"":78,""scale"":0.81},""anime_end"":{""x"":124,""y"":-38,""scale"":0.81},""shadow"":{""x"":-152,""y"":922,""scale"":0.46},""start_chara"":{""x"":-6,""y"":-16,""scale"":1.15}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
46,43,Buu (Kid),Transcendent Majin,1009641,"{""lwf"":{""event_top_chara"":{""x"":-32,""y"":-92,""scale"":1.13},""anime_start"":{""x"":-32,""y"":-92,""scale"":1.13},""anime_end"":{""x"":130,""y"":-126,""scale"":0.98},""shadow"":{""x"":-370,""y"":502,""scale"":0.82},""start_chara"":{""x"":2,""y"":8,""scale"":1.03}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
47,44,Masked Saiyan,Dark Intentions,1010291,"{""lwf"":{""event_top_chara"":{""x"":34,""y"":80,""scale"":0.93},""anime_start"":{""x"":34,""y"":80,""scale"":0.93},""anime_end"":{""x"":180,""y"":4,""scale"":0.93},""shadow"":{""x"":-76,""y"":812,""scale"":0.55},""start_chara"":{""x"":-2,""y"":-22,""scale"":1.12}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
48,45,Super Gogeta,Outshining Darkness,1010851,"{""lwf"":{""event_top_chara"":{""x"":-48,""y"":226,""scale"":0.74},""anime_start"":{""x"":-48,""y"":226,""scale"":0.74},""anime_end"":{""x"":64,""y"":116,""scale"":0.74},""shadow"":{""x"":-202,""y"":1124,""scale"":0.41},""start_chara"":{""x"":-6,""y"":-16,""scale"":1.16}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
49,46,Super Janemba,Evil Incursion,1010871,"{""lwf"":{""event_top_chara"":{""x"":-10,""y"":144,""scale"":1.02},""anime_start"":{""x"":-10,""y"":144,""scale"":1.02},""anime_end"":{""x"":-10,""y"":144,""scale"":1.02},""shadow"":{""x"":-2500,""y"":2500,""scale"":0.0},""start_chara"":{""x"":68,""y"":76,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
50,47,Destined Rivals Saga 2,Extreme Z-Battle,1021830,"{""lwf"":{""event_top_chara"":{""x"":62,""y"":66,""scale"":1.08},""anime_start"":{""x"":62,""y"":66,""scale"":1.08},""anime_end"":{""x"":62,""y"":66,""scale"":1.08},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-18,""y"":8,""scale"":1.02}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
51,48,Goku (Ultra Instinct -Sign-),Transdimensional Instinct,1013541,"{""lwf"":{""event_top_chara"":{""x"":-56,""y"":0,""scale"":1.01},""anime_start"":{""x"":-56,""y"":0,""scale"":1.01},""anime_end"":{""x"":54,""y"":-114,""scale"":1.01},""shadow"":{""x"":-326,""y"":796,""scale"":0.56},""start_chara"":{""x"":-8,""y"":-20,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
54,49,Goku & Frieza (Final Form) (Angel),Miraculous Outcome,1014971,"{""lwf"":{""event_top_chara"":{""x"":-6,""y"":90,""scale"":0.97},""anime_start"":{""x"":-6,""y"":90,""scale"":0.97},""anime_end"":{""x"":-6,""y"":90,""scale"":0.97},""shadow"":{""x"":-1000,""y"":-1000,""scale"":0.0},""start_chara"":{""x"":-6,""y"":-24,""scale"":1.13}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
56,50,Super Warriors' Downfall Saga,Extreme Z-Battle,1022230,"{""lwf"":{""event_top_chara"":{""x"":14,""y"":176,""scale"":0.7},""anime_start"":{""x"":14,""y"":176,""scale"":0.7},""anime_end"":{""x"":14,""y"":114,""scale"":0.7},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":18,""y"":0,""scale"":1.15}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
59,51,Super Saiyan 3 Gotenks,Naught but Rampage,1011061,"{""lwf"":{""event_top_chara"":{""x"":-68,""y"":92,""scale"":0.77},""anime_start"":{""x"":-68,""y"":92,""scale"":0.77},""anime_end"":{""x"":106,""y"":-14,""scale"":0.77},""shadow"":{""x"":-258,""y"":884,""scale"":0.41},""start_chara"":{""x"":-6,""y"":-18,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
60,52,Legendary Super Saiyan Broly,Indestructible Saiyan Evil,1010441,"{""lwf"":{""event_top_chara"":{""x"":8,""y"":-290,""scale"":1.34},""anime_start"":{""x"":8,""y"":-290,""scale"":1.34},""anime_end"":{""x"":130,""y"":-394,""scale"":1.34},""shadow"":{""x"":-164,""y"":374,""scale"":0.71},""start_chara"":{""x"":-2,""y"":-10,""scale"":1.17}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
61,53,Tapion (Hirudegarn),Phantom Majin Sealed Within,1012421,"{""lwf"":{""event_top_chara"":{""x"":-22,""y"":102,""scale"":0.89},""anime_start"":{""x"":-22,""y"":102,""scale"":0.89},""anime_end"":{""x"":100,""y"":-16,""scale"":0.89},""shadow"":{""x"":-172,""y"":916,""scale"":0.52},""start_chara"":{""x"":2,""y"":-16,""scale"":1.16}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
62,54,Destined Rivals Saga 3,Extreme Z-Battle,1022560,"{""lwf"":{""event_top_chara"":{""x"":28,""y"":-18,""scale"":0.96},""anime_start"":{""x"":28,""y"":-18,""scale"":0.96},""anime_end"":{""x"":28,""y"":-46,""scale"":0.96},""shadow"":{""x"":10000,""y"":10000,""scale"":0.0},""start_chara"":{""x"":-6,""y"":-16,""scale"":1.16}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
63,55,Cooler (Final Form),Open the Gates of Hell,1009091,"{""lwf"":{""event_top_chara"":{""x"":60,""y"":-76,""scale"":1.26},""anime_start"":{""x"":60,""y"":-76,""scale"":1.26},""anime_end"":{""x"":198,""y"":-184,""scale"":1.26},""shadow"":{""x"":-82,""y"":596,""scale"":0.73},""start_chara"":{""x"":-6,""y"":-12,""scale"":1.17}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
64,56,Super Saiyan 2 Gohan (Youth),Full-Tilt Kamehameha,1010071,"{""lwf"":{""event_top_chara"":{""x"":4,""y"":6,""scale"":1.12},""anime_start"":{""x"":4,""y"":6,""scale"":1.12},""anime_end"":{""x"":152,""y"":-100,""scale"":1.12},""shadow"":{""x"":-164,""y"":752,""scale"":0.6},""start_chara"":{""x"":-4,""y"":-18,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
65,57,Super Saiyan 3 Goku (Angel),Astounding Transformation,1010261,"{""lwf"":{""event_top_chara"":{""x"":-102,""y"":-6,""scale"":1.05},""anime_start"":{""x"":-102,""y"":-6,""scale"":1.05},""anime_end"":{""x"":90,""y"":-142,""scale"":1.05},""shadow"":{""x"":-410,""y"":694,""scale"":0.73},""start_chara"":{""x"":-4,""y"":-18,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
70,59,Heroines Edition,Extreme Z-Battle,1023340,"{""lwf"":{""event_top_chara"":{""x"":-6,""y"":86,""scale"":0.93},""anime_start"":{""x"":-6,""y"":86,""scale"":0.93},""anime_end"":{""x"":-6,""y"":30,""scale"":0.93},""shadow"":{""x"":-5000,""y"":-5000,""scale"":0.0},""start_chara"":{""x"":-10,""y"":-16,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
73,60,Majin Vegeta,Beyond the Ferocious Flash,1010161,"{""lwf"":{""event_top_chara"":{""x"":-10,""y"":-70,""scale"":1.16},""anime_start"":{""x"":-10,""y"":-70,""scale"":1.16},""anime_end"":{""x"":142,""y"":-184,""scale"":1.16},""shadow"":{""x"":-182,""y"":592,""scale"":0.65},""start_chara"":{""x"":-4,""y"":-12,""scale"":1.16}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
74,58,Frieza (1st Form),Glacial Prestige,1014821,"{""lwf"":{""event_top_chara"":{""x"":8,""y"":-6,""scale"":1.22},""anime_start"":{""x"":8,""y"":-6,""scale"":1.22},""anime_end"":{""x"":144,""y"":-100,""scale"":1.22},""shadow"":{""x"":-134,""y"":668,""scale"":0.72},""start_chara"":{""x"":-6,""y"":-16,""scale"":1.14}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
75,61,Super Saiyan Goku,Boiling Power,1014761,"{""lwf"":{""event_top_chara"":{""x"":-16,""y"":-96,""scale"":1.23},""anime_start"":{""x"":-16,""y"":-96,""scale"":1.23},""anime_end"":{""x"":114,""y"":-198,""scale"":1.23},""shadow"":{""x"":-190,""y"":502,""scale"":0.8},""start_chara"":{""x"":-6,""y"":-18,""scale"":1.12}}}",2024-07-08 11:02:42.425674,2024-07-08 11:02:42.425674
