id,budokai_opponent_attack_weight_id,ball_count,rate
179,29,1,50
180,29,3,75
181,29,5,100
182,29,7,100
183,29,9,75
184,29,11,50
185,29,12,4
186,30,1,50
187,30,3,75
188,30,5,100
189,30,7,100
190,30,9,75
191,30,11,50
192,30,12,7
193,31,1,50
194,31,3,75
195,31,5,100
196,31,7,100
197,31,9,75
198,31,11,50
199,31,12,10
200,32,1,50
201,32,3,75
202,32,5,100
203,32,7,100
204,32,9,75
205,32,11,50
206,32,12,0
207,33,1,50
208,33,3,75
209,33,5,100
210,33,7,100
211,33,9,75
212,33,11,50
213,33,12,4
214,34,1,50
215,34,3,75
216,34,5,100
217,34,7,100
218,34,9,75
219,34,11,50
220,34,12,7
221,35,1,50
222,35,3,75
223,35,5,100
224,35,7,100
225,35,9,75
226,35,11,50
227,35,12,10
228,36,1,50
229,36,3,75
230,36,5,100
231,36,7,100
232,36,9,75
233,36,11,50
234,36,12,0
235,37,1,50
236,37,3,75
237,37,5,100
238,37,7,100
239,37,9,75
240,37,11,50
241,37,12,4
242,38,1,50
243,38,3,75
244,38,5,100
245,38,7,100
246,38,9,75
247,38,11,50
248,38,12,7
249,39,1,50
250,39,3,75
251,39,5,100
252,39,7,100
253,39,9,75
254,39,11,50
255,39,12,10
256,40,1,50
257,40,3,75
258,40,5,100
259,40,7,100
260,40,9,75
261,40,11,50
262,40,12,0
263,41,1,50
264,41,3,75
265,41,5,100
266,41,7,100
267,41,9,75
268,41,11,50
269,41,12,4
270,42,1,50
271,42,3,75
272,42,5,100
273,42,7,100
274,42,9,75
275,42,11,50
276,42,12,7
277,43,1,50
278,43,3,75
279,43,5,100
280,43,7,100
281,43,9,75
282,43,11,50
283,43,12,10
284,44,1,50
285,44,3,75
286,44,5,100
287,44,7,100
288,44,9,75
289,44,11,50
290,44,12,0
291,45,1,50
292,45,3,75
293,45,5,100
294,45,7,100
295,45,9,75
296,45,11,50
297,45,12,4
298,46,1,50
299,46,3,75
300,46,5,100
301,46,7,100
302,46,9,75
303,46,11,50
304,46,12,7
305,47,1,50
306,47,3,75
307,47,5,100
308,47,7,100
309,47,9,75
310,47,11,50
311,47,12,10
312,48,1,50
313,48,3,75
314,48,5,100
315,48,7,100
316,48,9,75
317,48,11,50
318,48,12,0
319,49,1,50
320,49,3,75
321,49,5,100
322,49,7,100
323,49,9,75
324,49,11,50
325,49,12,4
326,50,1,50
327,50,3,75
328,50,5,100
329,50,7,100
330,50,9,75
331,50,11,50
332,50,12,7
333,51,1,50
334,51,3,75
335,51,5,100
336,51,7,100
337,51,9,75
338,51,11,50
339,51,12,10
340,52,1,50
341,52,3,75
342,52,5,100
343,52,7,100
344,52,9,75
345,52,11,50
346,52,12,0
347,53,1,50
348,53,3,75
349,53,5,100
350,53,7,100
351,53,9,75
352,53,11,50
353,53,12,4
354,54,1,50
355,54,3,75
356,54,5,100
357,54,7,100
358,54,9,75
359,54,11,50
360,54,12,7
361,55,1,50
362,55,3,75
363,55,5,100
364,55,7,100
365,55,9,75
366,55,11,50
367,55,12,10
368,56,1,50
369,56,3,75
370,56,5,100
371,56,7,100
372,56,9,75
373,56,11,50
374,56,12,0
375,57,1,50
376,57,3,75
377,57,5,100
378,57,7,100
379,57,9,75
380,57,11,50
381,57,12,4
382,58,1,50
383,58,3,75
384,58,5,100
385,58,7,100
386,58,9,75
387,58,11,50
388,58,12,7
389,59,1,50
390,59,3,75
391,59,5,100
392,59,7,100
393,59,9,75
394,59,11,50
395,59,12,10
396,60,1,50
397,60,3,75
398,60,5,100
399,60,7,100
400,60,9,75
401,60,11,50
402,60,12,0
403,61,1,50
404,61,3,75
405,61,5,100
406,61,7,100
407,61,9,75
408,61,11,50
409,61,12,4
410,62,1,50
411,62,3,75
412,62,5,100
413,62,7,100
414,62,9,75
415,62,11,50
416,62,12,7
417,63,1,50
418,63,3,75
419,63,5,100
420,63,7,100
421,63,9,75
422,63,11,50
423,63,12,10
424,64,1,50
425,64,3,75
426,64,5,100
427,64,7,100
428,64,9,75
429,64,11,50
430,64,12,0
431,65,1,50
432,65,3,75
433,65,5,100
434,65,7,100
435,65,9,75
436,65,11,50
437,65,12,4
438,66,1,50
439,66,3,75
440,66,5,100
441,66,7,100
442,66,9,75
443,66,11,50
444,66,12,7
445,67,1,50
446,67,3,75
447,67,5,100
448,67,7,100
449,67,9,75
450,67,11,50
451,67,12,10
17101,171,1,50
17103,171,3,75
17105,171,5,100
17107,171,7,100
17109,171,9,75
17111,171,11,50
17112,171,12,0
17201,172,1,50
17203,172,3,75
17205,172,5,100
17207,172,7,100
17209,172,9,75
17211,172,11,50
17212,172,12,4
17301,173,1,50
17303,173,3,75
17305,173,5,100
17307,173,7,100
17309,173,9,75
17311,173,11,50
17312,173,12,7
17401,174,1,50
17403,174,3,75
17405,174,5,100
17407,174,7,100
17409,174,9,75
17411,174,11,50
17412,174,12,10
18101,181,1,50
18103,181,3,75
18105,181,5,100
18107,181,7,100
18109,181,9,75
18111,181,11,50
18112,181,12,0
18201,182,1,50
18203,182,3,75
18205,182,5,100
18207,182,7,100
18209,182,9,75
18211,182,11,50
18212,182,12,4
18301,183,1,50
18303,183,3,75
18305,183,5,100
18307,183,7,100
18309,183,9,75
18311,183,11,50
18312,183,12,7
18401,184,1,50
18403,184,3,75
18405,184,5,100
18407,184,7,100
18409,184,9,75
18411,184,11,50
18412,184,12,10
19101,191,1,50
19103,191,3,75
19105,191,5,100
19107,191,7,100
19109,191,9,75
19111,191,11,50
19112,191,12,0
19201,192,1,50
19203,192,3,75
19205,192,5,100
19207,192,7,100
19209,192,9,75
19211,192,11,50
19212,192,12,4
19301,193,1,50
19303,193,3,75
19305,193,5,100
19307,193,7,100
19309,193,9,75
19311,193,11,50
19312,193,12,7
19401,194,1,50
19403,194,3,75
19405,194,5,100
19407,194,7,100
19409,194,9,75
19411,194,11,50
19412,194,12,10
20101,201,1,50
20103,201,3,75
20105,201,5,100
20107,201,7,100
20109,201,9,75
20111,201,11,50
20112,201,12,0
20201,202,1,50
20203,202,3,75
20205,202,5,100
20207,202,7,100
20209,202,9,75
20211,202,11,50
20212,202,12,4
20301,203,1,50
20303,203,3,75
20305,203,5,100
20307,203,7,100
20309,203,9,75
20311,203,11,50
20312,203,12,7
20401,204,1,50
20403,204,3,75
20405,204,5,100
20407,204,7,100
20409,204,9,75
20411,204,11,50
20412,204,12,10
21101,211,1,50
21103,211,3,75
21105,211,5,100
21107,211,7,100
21109,211,9,75
21111,211,11,50
21112,211,12,0
21201,212,1,50
21203,212,3,75
21205,212,5,100
21207,212,7,100
21209,212,9,75
21211,212,11,50
21212,212,12,4
21301,213,1,50
21303,213,3,75
21305,213,5,100
21307,213,7,100
21309,213,9,75
21311,213,11,50
21312,213,12,7
21401,214,1,50
21403,214,3,75
21405,214,5,100
21407,214,7,100
21409,214,9,75
21411,214,11,50
21412,214,12,10
22101,221,1,50
22103,221,3,75
22105,221,5,100
22107,221,7,100
22109,221,9,75
22111,221,11,50
22112,221,12,0
22201,222,1,50
22203,222,3,75
22205,222,5,100
22207,222,7,100
22209,222,9,75
22221,222,11,50
22222,222,12,4
22301,223,1,50
22303,223,3,75
22305,223,5,100
22307,223,7,100
22309,223,9,75
22311,223,11,50
22312,223,12,7
22401,224,1,50
22403,224,3,75
22405,224,5,100
22407,224,7,100
22409,224,9,75
22411,224,11,50
22412,224,12,10
23101,231,1,50
23103,231,3,75
23105,231,5,100
23107,231,7,100
23109,231,9,75
23111,231,11,50
23112,231,12,0
23201,232,1,50
23203,232,3,75
23205,232,5,100
23207,232,7,100
23209,232,9,75
23211,232,11,50
23212,232,12,4
23301,233,1,50
23303,233,3,75
23305,233,5,100
23307,233,7,100
23309,233,9,75
23311,233,11,50
23312,233,12,7
23401,234,1,50
23403,234,3,75
23405,234,5,100
23407,234,7,100
23409,234,9,75
23411,234,11,50
23412,234,12,10
24101,241,1,50
24103,241,3,75
24105,241,5,100
24107,241,7,100
24109,241,9,75
24111,241,11,50
24112,241,12,0
24201,242,1,50
24203,242,3,75
24205,242,5,100
24207,242,7,100
24209,242,9,75
24211,242,11,50
24212,242,12,4
24301,243,1,50
24303,243,3,75
24305,243,5,100
24307,243,7,100
24309,243,9,75
24311,243,11,50
24312,243,12,7
24401,244,1,50
24403,244,3,75
24405,244,5,100
24407,244,7,100
24409,244,9,75
24411,244,11,50
24412,244,12,10
25101,251,1,50
25103,251,3,75
25105,251,5,100
25107,251,7,100
25109,251,9,75
25111,251,11,50
25112,251,12,0
25201,252,1,50
25203,252,3,75
25205,252,5,100
25207,252,7,100
25209,252,9,75
25211,252,11,50
25212,252,12,4
25301,253,1,50
25303,253,3,75
25305,253,5,100
25307,253,7,100
25309,253,9,75
25311,253,11,50
25312,253,12,7
25401,254,1,50
25403,254,3,75
25405,254,5,100
25407,254,7,100
25409,254,9,75
25411,254,11,50
25412,254,12,10
26101,261,1,50
26103,261,3,75
26105,261,5,100
26107,261,7,100
26109,261,9,75
26111,261,11,50
26112,261,12,0
26201,262,1,50
26203,262,3,75
26205,262,5,100
26207,262,7,100
26209,262,9,75
26211,262,11,50
26212,262,12,4
26301,263,1,50
26303,263,3,75
26305,263,5,100
26307,263,7,100
26309,263,9,75
26311,263,11,50
26312,263,12,7
26401,264,1,50
26403,264,3,75
26405,264,5,100
26407,264,7,100
26409,264,9,75
26411,264,11,50
26412,264,12,10
27101,271,1,50
27103,271,3,75
27105,271,5,100
27107,271,7,100
27109,271,9,75
27111,271,11,50
27112,271,12,0
27201,272,1,50
27203,272,3,75
27205,272,5,100
27207,272,7,100
27209,272,9,75
27211,272,11,50
27212,272,12,4
27301,273,1,50
27303,273,3,75
27305,273,5,100
27307,273,7,100
27309,273,9,75
27311,273,11,50
27312,273,12,7
27401,274,1,50
27403,274,3,75
27405,274,5,100
27407,274,7,100
27409,274,9,75
27411,274,11,50
27412,274,12,10
28101,281,1,50
28103,281,3,75
28105,281,5,100
28107,281,7,100
28109,281,9,75
28111,281,11,50
28112,281,12,0
28201,282,1,50
28203,282,3,75
28205,282,5,100
28207,282,7,100
28209,282,9,75
28211,282,11,50
28212,282,12,4
28301,283,1,50
28303,283,3,75
28305,283,5,100
28307,283,7,100
28309,283,9,75
28311,283,11,50
28312,283,12,7
28401,284,1,50
28403,284,3,75
28405,284,5,100
28407,284,7,100
28409,284,9,75
28411,284,11,50
28412,284,12,10
29101,291,1,50
29103,291,3,75
29105,291,5,100
29107,291,7,100
29109,291,9,75
29111,291,11,50
29112,291,12,0
29201,292,1,50
29203,292,3,75
29205,292,5,100
29207,292,7,100
29209,292,9,75
29211,292,11,50
29212,292,12,4
29301,293,1,50
29303,293,3,75
29305,293,5,100
29307,293,7,100
29309,293,9,75
29311,293,11,50
29312,293,12,7
29401,294,1,50
29403,294,3,75
29405,294,5,100
29407,294,7,100
29409,294,9,75
29411,294,11,50
29412,294,12,10
30101,301,1,50
30103,301,3,75
30105,301,5,100
30107,301,7,100
30109,301,9,75
30111,301,11,50
30112,301,12,0
30201,302,1,50
30203,302,3,75
30205,302,5,100
30207,302,7,100
30209,302,9,75
30211,302,11,50
30212,302,12,4
30301,303,1,50
30303,303,3,75
30305,303,5,100
30307,303,7,100
30309,303,9,75
30311,303,11,50
30312,303,12,7
30401,304,1,50
30403,304,3,75
30405,304,5,100
30407,304,7,100
30409,304,9,75
30411,304,11,50
30412,304,12,10
31101,311,1,50
31103,311,3,75
31105,311,5,100
31107,311,7,100
31109,311,9,75
31111,311,11,50
31112,311,12,0
31201,312,1,50
31203,312,3,75
31205,312,5,100
31207,312,7,100
31209,312,9,75
31211,312,11,50
31212,312,12,4
31301,313,1,50
31303,313,3,75
31305,313,5,100
31307,313,7,100
31309,313,9,75
31311,313,11,50
31312,313,12,7
31401,314,1,50
31403,314,3,75
31405,314,5,100
31407,314,7,100
31409,314,9,75
31411,314,11,50
31412,314,12,10
32101,321,1,50
32103,321,3,75
32105,321,5,100
32107,321,7,100
32109,321,9,75
32111,321,11,50
32112,321,12,0
32201,322,1,50
32203,322,3,75
32205,322,5,100
32207,322,7,100
32209,322,9,75
32211,322,11,50
32212,322,12,4
32301,323,1,50
32303,323,3,75
32305,323,5,100
32307,323,7,100
32309,323,9,75
32311,323,11,50
32312,323,12,7
32401,324,1,50
32403,324,3,75
32405,324,5,100
32407,324,7,100
32409,324,9,75
32411,324,11,50
32412,324,12,10
33101,331,1,50
33103,331,3,75
33105,331,5,100
33107,331,7,100
33109,331,9,75
33111,331,11,50
33112,331,12,0
33201,332,1,50
33203,332,3,75
33205,332,5,100
33207,332,7,100
33209,332,9,75
33211,332,11,50
33212,332,12,4
33301,333,1,50
33303,333,3,75
33305,333,5,100
33307,333,7,100
33309,333,9,75
33311,333,11,50
33312,333,12,7
33401,334,1,50
33403,334,3,75
33405,334,5,100
33407,334,7,100
33409,334,9,75
33411,334,11,50
33412,334,12,10
34101,341,1,50
34103,341,3,75
34105,341,5,100
34107,341,7,100
34109,341,9,75
34111,341,11,50
34112,341,12,0
34201,342,1,50
34203,342,3,75
34205,342,5,100
34207,342,7,100
34209,342,9,75
34211,342,11,50
34212,342,12,4
34301,343,1,50
34303,343,3,75
34305,343,5,100
34307,343,7,100
34309,343,9,75
34311,343,11,50
34312,343,12,7
34401,344,1,50
34403,344,3,75
34405,344,5,100
34407,344,7,100
34409,344,9,75
34411,344,11,50
34412,344,12,10
35101,351,1,50
35103,351,3,75
35105,351,5,100
35107,351,7,100
35109,351,9,75
35111,351,11,50
35112,351,12,0
35201,352,1,50
35203,352,3,75
35205,352,5,100
35207,352,7,100
35209,352,9,75
35211,352,11,50
35212,352,12,4
35301,353,1,50
35303,353,3,75
35305,353,5,100
35307,353,7,100
35309,353,9,75
35311,353,11,50
35312,353,12,7
35401,354,1,50
35403,354,3,75
35405,354,5,100
35407,354,7,100
35409,354,9,75
35411,354,11,50
35412,354,12,10
36101,361,1,50
36103,361,3,75
36105,361,5,100
36107,361,7,100
36109,361,9,75
36111,361,11,50
36112,361,12,0
36201,362,1,50
36203,362,3,75
36205,362,5,100
36207,362,7,100
36209,362,9,75
36211,362,11,50
36212,362,12,4
36301,363,1,50
36303,363,3,75
36305,363,5,100
36307,363,7,100
36309,363,9,75
36311,363,11,50
36312,363,12,7
36401,364,1,50
36403,364,3,75
36405,364,5,100
36407,364,7,100
36409,364,9,75
36411,364,11,50
36412,364,12,10
37101,371,1,50
37103,371,3,75
37105,371,5,100
37107,371,7,100
37109,371,9,75
37111,371,11,50
37112,371,12,0
37201,372,1,50
37203,372,3,75
37205,372,5,100
37207,372,7,100
37209,372,9,75
37211,372,11,50
37212,372,12,4
37301,373,1,50
37303,373,3,75
37305,373,5,100
37307,373,7,100
37309,373,9,75
37311,373,11,50
37312,373,12,7
37401,374,1,50
37403,374,3,75
37405,374,5,100
37407,374,7,100
37409,374,9,75
37411,374,11,50
37412,374,12,10
40101,401,1,50
40103,401,3,75
40105,401,5,100
40107,401,7,100
40109,401,9,75
40111,401,11,50
40112,401,12,0
40201,402,1,50
40203,402,3,75
40205,402,5,100
40207,402,7,100
40209,402,9,75
40211,402,11,50
40212,402,12,4
40301,403,1,50
40303,403,3,75
40305,403,5,100
40307,403,7,100
40309,403,9,75
40311,403,11,50
40312,403,12,7
40401,404,1,50
40403,404,3,75
40405,404,5,100
40407,404,7,100
40409,404,9,75
40411,404,11,50
40412,404,12,10
41101,411,1,50
41103,411,3,75
41105,411,5,100
41107,411,7,100
41109,411,9,75
41111,411,11,50
41112,411,12,0
41201,412,1,50
41203,412,3,75
41205,412,5,100
41207,412,7,100
41209,412,9,75
41211,412,11,50
41212,412,12,4
41301,413,1,50
41303,413,3,75
41305,413,5,100
41307,413,7,100
41309,413,9,75
41311,413,11,50
41312,413,12,7
41401,414,1,50
41403,414,3,75
41405,414,5,100
41407,414,7,100
41409,414,9,75
41411,414,11,50
41412,414,12,10
42101,421,1,50
42103,421,3,75
42105,421,5,100
42107,421,7,100
42109,421,9,75
42111,421,11,50
42112,421,12,0
42201,422,1,50
42203,422,3,75
42205,422,5,100
42207,422,7,100
42209,422,9,75
42211,422,11,50
42212,422,12,4
42301,423,1,50
42303,423,3,75
42305,423,5,100
42307,423,7,100
42309,423,9,75
42311,423,11,50
42312,423,12,7
42401,424,1,50
42403,424,3,75
42405,424,5,100
42407,424,7,100
42409,424,9,75
42411,424,11,50
42412,424,12,10
43101,431,1,50
43103,431,3,75
43105,431,5,100
43107,431,7,100
43109,431,9,75
43111,431,11,50
43112,431,12,0
43201,432,1,50
43203,432,3,75
43205,432,5,100
43207,432,7,100
43209,432,9,75
43211,432,11,50
43212,432,12,4
43301,433,1,50
43303,433,3,75
43305,433,5,100
43307,433,7,100
43309,433,9,75
43311,433,11,50
43312,433,12,7
43401,434,1,50
43403,434,3,75
43405,434,5,100
43407,434,7,100
43409,434,9,75
43411,434,11,50
43412,434,12,10
44101,441,1,50
44103,441,3,75
44105,441,5,100
44107,441,7,100
44109,441,9,75
44111,441,11,50
44112,441,12,0
44201,442,1,50
44203,442,3,75
44205,442,5,100
44207,442,7,100
44209,442,9,75
44211,442,11,50
44212,442,12,4
44301,443,1,50
44303,443,3,75
44305,443,5,100
44307,443,7,100
44309,443,9,75
44311,443,11,50
44312,443,12,7
44401,444,1,50
44403,444,3,75
44405,444,5,100
44407,444,7,100
44409,444,9,75
44411,444,11,50
44412,444,12,10
45101,451,1,50
45103,451,3,75
45105,451,5,100
45107,451,7,100
45109,451,9,75
45111,451,11,50
45112,451,12,0
45201,452,1,50
45203,452,3,75
45205,452,5,100
45207,452,7,100
45209,452,9,75
45211,452,11,50
45212,452,12,4
45301,453,1,50
45303,453,3,75
45305,453,5,100
45307,453,7,100
45309,453,9,75
45311,453,11,50
45312,453,12,7
45401,454,1,50
45403,454,3,75
45405,454,5,100
45407,454,7,100
45409,454,9,75
45411,454,11,50
45412,454,12,10
46101,461,1,50
46103,461,3,75
46105,461,5,100
46107,461,7,100
46109,461,9,75
46111,461,11,50
46112,461,12,0
46201,462,1,50
46203,462,3,75
46205,462,5,100
46207,462,7,100
46209,462,9,75
46211,462,11,50
46212,462,12,4
46301,463,1,50
46303,463,3,75
46305,463,5,100
46307,463,7,100
46309,463,9,75
46311,463,11,50
46312,463,12,7
46401,464,1,50
46403,464,3,75
46405,464,5,100
46407,464,7,100
46409,464,9,75
46411,464,11,50
46412,464,12,10
47101,471,1,50
47103,471,3,75
47105,471,5,100
47107,471,7,100
47109,471,9,75
47111,471,11,50
47112,471,12,0
47201,472,1,50
47203,472,3,75
47205,472,5,100
47207,472,7,100
47209,472,9,75
47211,472,11,50
47212,472,12,4
47301,473,1,50
47303,473,3,75
47305,473,5,100
47307,473,7,100
47309,473,9,75
47311,473,11,50
47312,473,12,7
47401,474,1,50
47403,474,3,75
47405,474,5,100
47407,474,7,100
47409,474,9,75
47411,474,11,50
47412,474,12,10
48101,481,1,50
48103,481,3,75
48105,481,5,100
48107,481,7,100
48109,481,9,75
48111,481,11,50
48112,481,12,0
48201,482,1,50
48203,482,3,75
48205,482,5,100
48207,482,7,100
48209,482,9,75
48211,482,11,50
48212,482,12,4
48301,483,1,50
48303,483,3,75
48305,483,5,100
48307,483,7,100
48309,483,9,75
48311,483,11,50
48312,483,12,7
48401,484,1,50
48403,484,3,75
48405,484,5,100
48407,484,7,100
48409,484,9,75
48411,484,11,50
48412,484,12,10
49101,491,1,50
49103,491,3,75
49105,491,5,100
49107,491,7,100
49109,491,9,75
49111,491,11,50
49112,491,12,0
49201,492,1,50
49203,492,3,75
49205,492,5,100
49207,492,7,100
49209,492,9,75
49211,492,11,50
49212,492,12,4
49301,493,1,50
49303,493,3,75
49305,493,5,100
49307,493,7,100
49309,493,9,75
49311,493,11,50
49312,493,12,7
49401,494,1,50
49403,494,3,75
49405,494,5,100
49407,494,7,100
49409,494,9,75
49411,494,11,50
49412,494,12,10
50101,501,1,50
50103,501,3,75
50105,501,5,100
50107,501,7,100
50109,501,9,75
50111,501,11,50
50112,501,12,0
50201,502,1,50
50203,502,3,75
50205,502,5,100
50207,502,7,100
50209,502,9,75
50211,502,11,50
50212,502,12,4
50301,503,1,50
50303,503,3,75
50305,503,5,100
50307,503,7,100
50309,503,9,75
50311,503,11,50
50312,503,12,7
50401,504,1,50
50403,504,3,75
50405,504,5,100
50407,504,7,100
50409,504,9,75
50411,504,11,50
50412,504,12,10
51101,511,1,50
51103,511,3,75
51105,511,5,100
51107,511,7,100
51109,511,9,75
51111,511,11,50
51112,511,12,0
51201,512,1,50
51203,512,3,75
51205,512,5,100
51207,512,7,100
51209,512,9,75
51211,512,11,50
51212,512,12,4
51301,513,1,50
51303,513,3,75
51305,513,5,100
51307,513,7,100
51309,513,9,75
51311,513,11,50
51312,513,12,7
51401,514,1,50
51403,514,3,75
51405,514,5,100
51407,514,7,100
51409,514,9,75
51411,514,11,50
51412,514,12,10
52101,521,1,50
52103,521,3,75
52105,521,5,100
52107,521,7,100
52109,521,9,75
52111,521,11,50
52112,521,12,0
52201,522,1,50
52203,522,3,75
52205,522,5,100
52207,522,7,100
52209,522,9,75
52211,522,11,50
52212,522,12,4
52301,523,1,50
52303,523,3,75
52305,523,5,100
52307,523,7,100
52309,523,9,75
52311,523,11,50
52312,523,12,7
52401,524,1,50
52403,524,3,75
52405,524,5,100
52407,524,7,100
52409,524,9,75
52411,524,11,50
52412,524,12,10
921101,9211,1,50
921103,9211,3,75
921105,9211,5,100
921107,9211,7,100
921109,9211,9,75
921111,9211,11,50
921112,9211,12,0
921201,9212,1,50
921203,9212,3,75
921205,9212,5,100
921207,9212,7,100
921209,9212,9,75
921211,9212,11,50
921212,9212,12,4
921301,9213,1,50
921303,9213,3,75
921305,9213,5,100
921307,9213,7,100
921309,9213,9,75
921311,9213,11,50
921312,9213,12,7
921401,9214,1,50
921403,9214,3,75
921405,9214,5,100
921407,9214,7,100
921409,9214,9,75
921411,9214,11,50
921412,9214,12,10
922101,9221,1,50
922103,9221,3,75
922105,9221,5,100
922107,9221,7,100
922109,9221,9,75
922111,9221,11,50
922112,9221,12,0
922201,9222,1,50
922203,9222,3,75
922205,9222,5,100
922207,9222,7,100
922209,9222,9,75
922211,9222,11,50
922212,9222,12,4
922301,9223,1,50
922303,9223,3,75
922305,9223,5,100
922307,9223,7,100
922309,9223,9,75
922311,9223,11,50
922312,9223,12,7
922401,9224,1,50
922403,9224,3,75
922405,9224,5,100
922407,9224,7,100
922409,9224,9,75
922411,9224,11,50
922412,9224,12,10
923101,9231,1,50
923103,9231,3,75
923105,9231,5,100
923107,9231,7,100
923109,9231,9,75
923111,9231,11,50
923112,9231,12,0
923201,9232,1,50
923203,9232,3,75
923205,9232,5,100
923207,9232,7,100
923209,9232,9,75
923221,9232,11,50
923222,9232,12,4
923301,9233,1,50
923303,9233,3,75
923305,9233,5,100
923307,9233,7,100
923309,9233,9,75
923311,9233,11,50
923312,9233,12,7
923401,9234,1,50
923403,9234,3,75
923405,9234,5,100
923407,9234,7,100
923409,9234,9,75
923411,9234,11,50
923412,9234,12,10
