id,type,chain_battle_mission_id
85,ChainBattleMissionPeriod::DailyMissionPeriod,357
86,ChainBattleMissionPeriod::DailyMissionPeriod,358
87,ChainBattleMissionPeriod::DailyMissionPeriod,359
88,ChainBattleMissionPeriod::DailyMissionPeriod,360
89,ChainBattleMissionPeriod::DailyMissionPeriod,377
90,ChainBattleMissionPeriod::DailyMissionPeriod,378
91,ChainBattleMissionPeriod::DailyMissionPeriod,379
92,ChainBattleMissionPeriod::DailyMissionPeriod,380
93,ChainBattleMissionPeriod::DailyMissionPeriod,397
94,ChainBattleMissionPeriod::DailyMissionPeriod,398
95,ChainBattleMissionPeriod::DailyMissionPeriod,399
96,ChainBattleMissionPeriod::DailyMissionPeriod,400
97,ChainBattleMissionPeriod::DailyMissionPeriod,417
98,ChainBattleMissionPeriod::DailyMissionPeriod,418
99,ChainBattleMissionPeriod::DailyMissionPeriod,419
100,ChainBattleMissionPeriod::DailyMissionPeriod,420
101,ChainBattleMissionPeriod::DailyMissionPeriod,437
102,ChainBattleMissionPeriod::DailyMissionPeriod,438
103,ChainBattleMissionPeriod::DailyMissionPeriod,439
104,ChainBattleMissionPeriod::DailyMissionPeriod,440
105,ChainBattleMissionPeriod::DailyMissionPeriod,457
106,ChainBattleMissionPeriod::DailyMissionPeriod,458
107,ChainBattleMissionPeriod::DailyMissionPeriod,459
108,ChainBattleMissionPeriod::DailyMissionPeriod,460
109,ChainBattleMissionPeriod::DailyMissionPeriod,477
110,ChainBattleMissionPeriod::DailyMissionPeriod,478
111,ChainBattleMissionPeriod::DailyMissionPeriod,479
112,ChainBattleMissionPeriod::DailyMissionPeriod,480
113,ChainBattleMissionPeriod::DailyMissionPeriod,497
114,ChainBattleMissionPeriod::DailyMissionPeriod,498
115,ChainBattleMissionPeriod::DailyMissionPeriod,499
116,ChainBattleMissionPeriod::DailyMissionPeriod,500
117,ChainBattleMissionPeriod::DailyMissionPeriod,517
118,ChainBattleMissionPeriod::DailyMissionPeriod,518
119,ChainBattleMissionPeriod::DailyMissionPeriod,519
120,ChainBattleMissionPeriod::DailyMissionPeriod,520
121,ChainBattleMissionPeriod::DailyMissionPeriod,537
122,ChainBattleMissionPeriod::DailyMissionPeriod,538
123,ChainBattleMissionPeriod::DailyMissionPeriod,539
124,ChainBattleMissionPeriod::DailyMissionPeriod,540
125,ChainBattleMissionPeriod::DailyMissionPeriod,557
126,ChainBattleMissionPeriod::DailyMissionPeriod,558
127,ChainBattleMissionPeriod::DailyMissionPeriod,559
128,ChainBattleMissionPeriod::DailyMissionPeriod,560
129,ChainBattleMissionPeriod::DailyMissionPeriod,577
130,ChainBattleMissionPeriod::DailyMissionPeriod,578
131,ChainBattleMissionPeriod::DailyMissionPeriod,579
132,ChainBattleMissionPeriod::DailyMissionPeriod,580
133,ChainBattleMissionPeriod::DailyMissionPeriod,597
134,ChainBattleMissionPeriod::DailyMissionPeriod,598
135,ChainBattleMissionPeriod::DailyMissionPeriod,599
136,ChainBattleMissionPeriod::DailyMissionPeriod,600
137,ChainBattleMissionPeriod::DailyMissionPeriod,617
138,ChainBattleMissionPeriod::DailyMissionPeriod,618
139,ChainBattleMissionPeriod::DailyMissionPeriod,619
140,ChainBattleMissionPeriod::DailyMissionPeriod,620
141,ChainBattleMissionPeriod::DailyMissionPeriod,637
142,ChainBattleMissionPeriod::DailyMissionPeriod,638
143,ChainBattleMissionPeriod::DailyMissionPeriod,639
144,ChainBattleMissionPeriod::DailyMissionPeriod,640
145,ChainBattleMissionPeriod::DailyMissionPeriod,657
146,ChainBattleMissionPeriod::DailyMissionPeriod,658
147,ChainBattleMissionPeriod::DailyMissionPeriod,659
148,ChainBattleMissionPeriod::DailyMissionPeriod,660
149,ChainBattleMissionPeriod::DailyMissionPeriod,677
150,ChainBattleMissionPeriod::DailyMissionPeriod,678
151,ChainBattleMissionPeriod::DailyMissionPeriod,679
152,ChainBattleMissionPeriod::DailyMissionPeriod,680
153,ChainBattleMissionPeriod::DailyMissionPeriod,697
154,ChainBattleMissionPeriod::DailyMissionPeriod,698
155,ChainBattleMissionPeriod::DailyMissionPeriod,699
156,ChainBattleMissionPeriod::DailyMissionPeriod,700
157,ChainBattleMissionPeriod::DailyMissionPeriod,717
158,ChainBattleMissionPeriod::DailyMissionPeriod,718
159,ChainBattleMissionPeriod::DailyMissionPeriod,719
160,ChainBattleMissionPeriod::DailyMissionPeriod,720
161,ChainBattleMissionPeriod::DailyMissionPeriod,737
162,ChainBattleMissionPeriod::DailyMissionPeriod,738
163,ChainBattleMissionPeriod::DailyMissionPeriod,739
164,ChainBattleMissionPeriod::DailyMissionPeriod,740
165,ChainBattleMissionPeriod::DailyMissionPeriod,757
166,ChainBattleMissionPeriod::DailyMissionPeriod,758
167,ChainBattleMissionPeriod::DailyMissionPeriod,759
168,ChainBattleMissionPeriod::DailyMissionPeriod,760
169,ChainBattleMissionPeriod::DailyMissionPeriod,777
170,ChainBattleMissionPeriod::DailyMissionPeriod,778
171,ChainBattleMissionPeriod::DailyMissionPeriod,779
172,ChainBattleMissionPeriod::DailyMissionPeriod,780
