id,type,currency_id,additional_value,created_at,updated_at
35,PotentialEvent::Skill,5.0,5,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
36,PotentialEvent::Skill,7.0,5,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
37,PotentialEvent::Select,6.0,0,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
38,PotentialEvent::Defense,,600,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
39,PotentialEvent::Skill,1.0,5,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
40,PotentialEvent::Atk,,500,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
41,PotentialEvent::Skill,2.0,5,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
42,PotentialEvent::Hp,,500,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
43,PotentialEvent::Hp,,600,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
44,PotentialEvent::Hp,,54,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
45,PotentialEvent::Atk,,60,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
46,PotentialEvent::Defense,,60,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
47,PotentialEvent::Hp,,12,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
48,PotentialEvent::Atk,,6,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
49,PotentialEvent::Defense,,12,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
50,PotentialEvent::Hp,,18,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
51,PotentialEvent::Atk,,9,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
52,PotentialEvent::Defense,,18,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
53,PotentialEvent::Atk,,21,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
54,PotentialEvent::Hp,,120,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
55,PotentialEvent::Hp,,42,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
56,PotentialEvent::Defense,,42,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
57,PotentialEvent::Atk,,30,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
58,PotentialEvent::Hp,,60,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
59,PotentialEvent::Defense,,120,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
60,PotentialEvent::Defense,,360,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
61,PotentialEvent::Atk,,300,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
62,PotentialEvent::Hp,,360,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
63,PotentialEvent::Hp,,126,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
64,PotentialEvent::Atk,,140,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
65,PotentialEvent::Defense,,140,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
66,PotentialEvent::Hp,,28,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
67,PotentialEvent::Atk,,14,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
68,PotentialEvent::Defense,,28,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
69,PotentialEvent::Atk,,49,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
70,PotentialEvent::Hp,,280,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
71,PotentialEvent::Hp,,98,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
72,PotentialEvent::Defense,,98,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
73,PotentialEvent::Atk,,70,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
74,PotentialEvent::Hp,,140,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
75,PotentialEvent::Defense,,280,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
76,PotentialEvent::Defense,,840,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
77,PotentialEvent::Atk,,700,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
78,PotentialEvent::Hp,,840,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
79,PotentialEvent::Hp,,72,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
80,PotentialEvent::Atk,,80,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
81,PotentialEvent::Defense,,80,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
82,PotentialEvent::Hp,,16,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
83,PotentialEvent::Atk,,8,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
84,PotentialEvent::Defense,,16,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
85,PotentialEvent::Hp,,24,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
86,PotentialEvent::Atk,,12,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
87,PotentialEvent::Defense,,24,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
88,PotentialEvent::Hp,,40,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
89,PotentialEvent::Atk,,20,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
90,PotentialEvent::Defense,,40,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
91,PotentialEvent::Atk,,28,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
92,PotentialEvent::Hp,,160,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
93,PotentialEvent::Hp,,56,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
94,PotentialEvent::Defense,,56,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
95,PotentialEvent::Atk,,40,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
96,PotentialEvent::Hp,,80,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
97,PotentialEvent::Defense,,160,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
98,PotentialEvent::Select,7.0,0,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
99,PotentialEvent::Select,8.0,0,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
100,PotentialEvent::Skill,1.0,2,2024-07-30 10:29:38.151573,2024-07-30 10:29:38.151573
101,PotentialEvent::Skill,2.0,2,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
102,PotentialEvent::Select,9.0,0,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
103,PotentialEvent::Skill,1.0,4,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
104,PotentialEvent::Skill,2.0,4,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
105,PotentialEvent::Skill,3.0,4,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
106,PotentialEvent::Select,10.0,0,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
107,PotentialEvent::Skill,3.0,2,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
108,PotentialEvent::Select,11.0,0,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
109,PotentialEvent::Skill,1.0,1,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
110,PotentialEvent::Skill,3.0,1,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
111,PotentialEvent::Select,12.0,0,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
112,PotentialEvent::Skill,2.0,1,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
113,PotentialEvent::Skill,7.0,2,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
114,PotentialEvent::Select,13.0,0,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
115,PotentialEvent::Select,14.0,0,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
116,PotentialEvent::Select,15.0,0,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
117,PotentialEvent::Skill,6.0,2,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
118,PotentialEvent::Select,16.0,0,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
119,PotentialEvent::Select,17.0,0,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
120,PotentialEvent::Select,18.0,0,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
121,PotentialEvent::Select,19.0,0,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
122,PotentialEvent::Select,20.0,0,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
123,PotentialEvent::Skill,4.0,3,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
124,PotentialEvent::Skill,5.0,3,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
125,PotentialEvent::Select,21.0,0,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
126,PotentialEvent::Skill,6.0,3,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
127,PotentialEvent::Skill,7.0,3,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
128,PotentialEvent::Select,22.0,0,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
129,PotentialEvent::Select,23.0,0,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
130,PotentialEvent::Select,24.0,0,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
131,PotentialEvent::Skill,5.0,2,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
132,PotentialEvent::Select,25.0,0,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
133,PotentialEvent::Skill,4.0,2,2024-07-30 10:29:38.156651,2024-07-30 10:29:38.156651
