id,budokai_id,budokai_league_id,rank,name,point,bonus
2202,22,1,2,King Chappa Tier,5000,1.0
2203,22,1,3,Hercule Tier,25000,1.0
2204,22,2,4,Videl Tier,50000,1.0
2205,22,2,5,Master Roshi Tier,100000,1.0
2206,22,2,6,Korin Tier,150000,1.0
2207,22,3,7,Kami Tier,250000,1.0
2208,22,3,8,King Yemma Tier,500000,1.0
2209,22,3,9,King Kai Tier,1000000,1.0
2210,22,4,10,Supreme Kai Tier,1500000,1.0
2211,22,4,11,Elder Kai Tier,2500000,1.0
2212,22,4,12,Beerus Tier,5000000,1.0
2301,23,1,1,Pilaf Tier,0,1.0
2302,23,1,2,King Chappa Tier,5000,1.0
2303,23,1,3,Hercule Tier,25000,1.0
2304,23,2,4,Videl Tier,50000,1.0
2305,23,2,5,Master Roshi Tier,100000,1.0
2306,23,2,6,Korin Tier,150000,1.0
2307,23,3,7,Kami Tier,250000,1.0
2308,23,3,8,King Yemma Tier,500000,1.0
2309,23,3,9,King Kai Tier,1000000,1.0
2310,23,4,10,Supreme Kai Tier,1500000,1.0
2311,23,4,11,Elder Kai Tier,2500000,1.0
2312,23,4,12,Beerus Tier,5000000,1.0
2401,24,1,1,Pilaf Tier,0,1.0
2402,24,1,2,King Chappa Tier,5000,1.0
2403,24,1,3,Hercule Tier,25000,1.0
2404,24,2,4,Videl Tier,50000,1.0
2405,24,2,5,Master Roshi Tier,100000,1.0
2406,24,2,6,Korin Tier,150000,1.0
2407,24,3,7,Kami Tier,250000,1.0
2408,24,3,8,King Yemma Tier,500000,1.0
2409,24,3,9,King Kai Tier,1000000,1.0
2410,24,4,10,Supreme Kai Tier,1500000,1.0
2411,24,4,11,Elder Kai Tier,2500000,1.0
2412,24,4,12,Beerus Tier,5000000,1.0
2501,25,1,1,Pilaf Tier,0,1.0
2502,25,1,2,King Chappa Tier,5000,1.0
2503,25,1,3,Hercule Tier,25000,1.0
2504,25,2,4,Videl Tier,50000,1.0
2505,25,2,5,Master Roshi Tier,100000,1.0
2506,25,2,6,Korin Tier,150000,1.0
2507,25,3,7,Kami Tier,250000,1.0
2508,25,3,8,King Yemma Tier,500000,1.0
2509,25,3,9,King Kai Tier,1000000,1.0
2510,25,4,10,Supreme Kai Tier,1500000,1.0
2511,25,4,11,Elder Kai Tier,2500000,1.0
2512,25,4,12,Beerus Tier,5000000,1.0
2601,26,1,1,Pilaf Tier,0,1.0
2602,26,1,2,King Chappa Tier,5000,1.0
2603,26,1,3,Hercule Tier,25000,1.0
2604,26,2,4,Videl Tier,50000,1.0
2605,26,2,5,Master Roshi Tier,100000,1.0
2606,26,2,6,Korin Tier,150000,1.0
2607,26,3,7,Kami Tier,250000,1.0
2608,26,3,8,King Yemma Tier,500000,1.0
2609,26,3,9,King Kai Tier,1000000,1.0
2610,26,4,10,Supreme Kai Tier,1500000,1.0
2611,26,4,11,Elder Kai Tier,2500000,1.0
2612,26,4,12,Beerus Tier,5000000,1.0
2701,27,1,1,Pilaf Tier,0,1.0
2702,27,1,2,King Chappa Tier,5000,1.0
2703,27,1,3,Hercule Tier,25000,1.0
2704,27,2,4,Videl Tier,50000,1.0
2705,27,2,5,Master Roshi Tier,100000,1.0
2706,27,2,6,Korin Tier,150000,1.0
2707,27,3,7,Kami Tier,250000,1.0
2708,27,3,8,King Yemma Tier,500000,1.0
2709,27,3,9,King Kai Tier,1000000,1.0
2710,27,4,10,Supreme Kai Tier,1500000,1.0
2711,27,4,11,Elder Kai Tier,2500000,1.0
2712,27,4,12,Beerus Tier,5000000,1.0
2801,28,1,1,Pilaf Tier,0,1.0
2802,28,1,2,King Chappa Tier,5000,1.0
2803,28,1,3,Hercule Tier,25000,1.0
2804,28,2,4,Videl Tier,50000,1.0
2805,28,2,5,Master Roshi Tier,100000,1.0
2806,28,2,6,Korin Tier,150000,1.0
2807,28,3,7,Kami Tier,250000,1.0
2808,28,3,8,King Yemma Tier,500000,1.0
2809,28,3,9,King Kai Tier,1000000,1.0
2810,28,4,10,Supreme Kai Tier,1500000,1.0
2811,28,4,11,Elder Kai Tier,2500000,1.0
2812,28,4,12,Beerus Tier,5000000,1.0
2901,29,1,1,Pilaf Tier,0,1.0
2902,29,1,2,King Chappa Tier,5000,1.0
2903,29,1,3,Hercule Tier,25000,1.0
2904,29,2,4,Videl Tier,50000,1.0
2905,29,2,5,Master Roshi Tier,100000,1.0
2906,29,2,6,Korin Tier,150000,1.0
2907,29,3,7,Kami Tier,250000,1.0
2908,29,3,8,King Yemma Tier,500000,1.0
2909,29,3,9,King Kai Tier,1000000,1.0
2910,29,4,10,Supreme Kai Tier,1500000,1.0
2911,29,4,11,Elder Kai Tier,2500000,1.0
2912,29,4,12,Beerus Tier,5000000,1.0
3001,30,1,1,Pilaf Tier,0,1.0
3002,30,1,2,King Chappa Tier,5000,1.0
3003,30,1,3,Hercule Tier,25000,1.0
3004,30,2,4,Videl Tier,50000,1.0
3005,30,2,5,Master Roshi Tier,100000,1.0
3006,30,2,6,Korin Tier,150000,1.0
3007,30,3,7,Kami Tier,250000,1.0
3008,30,3,8,King Yemma Tier,500000,1.0
3009,30,3,9,King Kai Tier,1000000,1.0
3010,30,4,10,Supreme Kai Tier,1500000,1.0
3011,30,4,11,Elder Kai Tier,2500000,1.0
3012,30,4,12,Beerus Tier,5000000,1.0
3101,31,1,1,Pilaf Tier,0,1.0
3102,31,1,2,King Chappa Tier,5000,1.0
3103,31,1,3,Hercule Tier,25000,1.0
3104,31,2,4,Videl Tier,50000,1.0
3105,31,2,5,Master Roshi Tier,100000,1.0
3106,31,2,6,Korin Tier,150000,1.0
3107,31,3,7,Kami Tier,250000,1.0
3108,31,3,8,King Yemma Tier,500000,1.0
3109,31,3,9,King Kai Tier,1000000,1.0
3110,31,4,10,Supreme Kai Tier,1500000,1.0
3111,31,4,11,Elder Kai Tier,2500000,1.0
3112,31,4,12,Beerus Tier,5000000,1.0
3201,32,1,1,Pilaf Tier,0,1.0
3202,32,1,2,King Chappa Tier,5000,1.0
3203,32,1,3,Hercule Tier,25000,1.0
3204,32,2,4,Videl Tier,50000,1.0
3205,32,2,5,Master Roshi Tier,100000,1.0
3206,32,2,6,Korin Tier,150000,1.0
3207,32,3,7,Kami Tier,250000,1.0
3208,32,3,8,King Yemma Tier,500000,1.0
3209,32,3,9,King Kai Tier,1000000,1.0
3210,32,4,10,Supreme Kai Tier,1500000,1.0
3211,32,4,11,Elder Kai Tier,2500000,1.0
3212,32,4,12,Beerus Tier,5000000,1.0
3301,33,1,1,Pilaf Tier,0,1.0
3302,33,1,2,King Chappa Tier,5000,1.0
3303,33,1,3,Hercule Tier,25000,1.0
3304,33,2,4,Videl Tier,50000,1.0
3305,33,2,5,Master Roshi Tier,100000,1.0
3306,33,2,6,Korin Tier,150000,1.0
3307,33,3,7,Kami Tier,250000,1.0
3308,33,3,8,King Yemma Tier,500000,1.0
3309,33,3,9,King Kai Tier,1000000,1.0
3310,33,4,10,Supreme Kai Tier,1500000,1.0
3311,33,4,11,Elder Kai Tier,2500000,1.0
3312,33,4,12,Beerus Tier,5000000,1.0
3401,34,1,1,Pilaf Tier,0,1.0
3402,34,1,2,King Chappa Tier,5000,1.0
3403,34,1,3,Hercule Tier,25000,1.0
3404,34,2,4,Videl Tier,50000,1.0
3405,34,2,5,Master Roshi Tier,100000,1.0
3406,34,2,6,Korin Tier,150000,1.0
3407,34,3,7,Kami Tier,250000,1.0
3408,34,3,8,King Yemma Tier,500000,1.0
3409,34,3,9,King Kai Tier,1000000,1.0
3410,34,4,10,Supreme Kai Tier,1500000,1.0
3411,34,4,11,Elder Kai Tier,2500000,1.0
3412,34,4,12,Beerus Tier,5000000,1.0
3501,35,1,1,Pilaf Tier,0,1.0
3502,35,1,2,King Chappa Tier,5000,1.0
3503,35,1,3,Hercule Tier,25000,1.0
3504,35,2,4,Videl Tier,50000,1.0
3505,35,2,5,Master Roshi Tier,100000,1.0
3506,35,2,6,Korin Tier,150000,1.0
3507,35,3,7,Kami Tier,250000,1.0
3508,35,3,8,King Yemma Tier,500000,1.0
3509,35,3,9,King Kai Tier,1000000,1.0
3510,35,4,10,Supreme Kai Tier,1500000,1.0
3511,35,4,11,Elder Kai Tier,2500000,1.0
3512,35,4,12,Beerus Tier,5000000,1.0
3601,36,1,1,Pilaf Tier,0,1.0
3602,36,1,2,King Chappa Tier,5000,1.0
3603,36,1,3,Hercule Tier,25000,1.0
3604,36,2,4,Videl Tier,50000,1.0
3605,36,2,5,Master Roshi Tier,100000,1.0
3606,36,2,6,Korin Tier,150000,1.0
3607,36,3,7,Kami Tier,250000,1.0
3608,36,3,8,King Yemma Tier,500000,1.0
3609,36,3,9,King Kai Tier,1000000,1.0
3610,36,4,10,Supreme Kai Tier,1500000,1.0
3611,36,4,11,Elder Kai Tier,2500000,1.0
3612,36,4,12,Beerus Tier,5000000,1.0
3701,37,1,1,Pilaf Tier,0,1.0
3702,37,1,2,King Chappa Tier,5000,1.0
3703,37,1,3,Hercule Tier,25000,1.0
3704,37,2,4,Videl Tier,50000,1.0
3705,37,2,5,Master Roshi Tier,100000,1.0
3706,37,2,6,Korin Tier,150000,1.0
3707,37,3,7,Kami Tier,250000,1.0
3708,37,3,8,King Yemma Tier,500000,1.0
3709,37,3,9,King Kai Tier,1000000,1.0
3710,37,4,10,Supreme Kai Tier,1500000,1.0
3711,37,4,11,Elder Kai Tier,2500000,1.0
3712,37,4,12,Beerus Tier,5000000,1.0
4001,40,1,1,Pilaf Tier,0,1.0
4002,40,1,2,King Chappa Tier,5000,1.0
4003,40,1,3,Hercule Tier,25000,1.0
4004,40,2,4,Videl Tier,50000,1.0
4005,40,2,5,Master Roshi Tier,100000,1.0
4006,40,2,6,Korin Tier,150000,1.0
4007,40,3,7,Kami Tier,250000,1.0
4008,40,3,8,King Yemma Tier,500000,1.0
4009,40,3,9,King Kai Tier,1000000,1.0
4010,40,4,10,Supreme Kai Tier,1500000,1.0
4011,40,4,11,Elder Kai Tier,2500000,1.0
4012,40,4,12,Beerus Tier,5000000,1.0
4101,41,1,1,Pilaf Tier,0,1.0
4102,41,1,2,King Chappa Tier,5000,1.0
4103,41,1,3,Hercule Tier,25000,1.0
4104,41,2,4,Videl Tier,50000,1.0
4105,41,2,5,Master Roshi Tier,100000,1.0
4106,41,2,6,Korin Tier,150000,1.0
4107,41,3,7,Kami Tier,250000,1.0
4108,41,3,8,King Yemma Tier,500000,1.0
4109,41,3,9,King Kai Tier,1000000,1.0
4110,41,4,10,Supreme Kai Tier,1500000,1.0
4111,41,4,11,Elder Kai Tier,2500000,1.0
4112,41,4,12,Beerus Tier,5000000,1.0
4201,42,1,1,Pilaf Tier,0,1.0
4202,42,1,2,King Chappa Tier,5000,1.0
4203,42,1,3,Hercule Tier,25000,1.0
4204,42,2,4,Videl Tier,50000,1.0
4205,42,2,5,Master Roshi Tier,100000,1.0
4206,42,2,6,Korin Tier,150000,1.0
4207,42,3,7,Kami Tier,250000,1.0
4208,42,3,8,King Yemma Tier,500000,1.0
4209,42,3,9,King Kai Tier,1000000,1.0
4210,42,4,10,Supreme Kai Tier,1500000,1.0
4211,42,4,11,Elder Kai Tier,2500000,1.0
4212,42,4,12,Beerus Tier,5000000,1.0
4301,43,1,1,Pilaf Tier,0,1.0
4302,43,1,2,King Chappa Tier,5000,1.0
4303,43,1,3,Hercule Tier,25000,1.0
4304,43,2,4,Videl Tier,50000,1.0
4305,43,2,5,Master Roshi Tier,100000,1.0
4306,43,2,6,Korin Tier,150000,1.0
4307,43,3,7,Kami Tier,250000,1.0
4308,43,3,8,King Yemma Tier,500000,1.0
4309,43,3,9,King Kai Tier,1000000,1.0
4310,43,4,10,Supreme Kai Tier,1500000,1.0
4311,43,4,11,Elder Kai Tier,2500000,1.0
4312,43,4,12,Beerus Tier,5000000,1.0
4401,44,1,1,Pilaf Tier,0,1.0
4402,44,1,2,King Chappa Tier,5000,1.0
4403,44,1,3,Hercule Tier,25000,1.0
4404,44,2,4,Videl Tier,50000,1.0
4405,44,2,5,Master Roshi Tier,100000,1.0
4406,44,2,6,Korin Tier,150000,1.0
4407,44,3,7,Kami Tier,250000,1.0
4408,44,3,8,King Yemma Tier,500000,1.0
4409,44,3,9,King Kai Tier,1000000,1.0
4410,44,4,10,Supreme Kai Tier,1500000,1.0
4411,44,4,11,Elder Kai Tier,2500000,1.0
4412,44,4,12,Beerus Tier,5000000,1.0
4501,45,1,1,Pilaf Tier,0,1.0
4502,45,1,2,King Chappa Tier,5000,1.0
4503,45,1,3,Hercule Tier,25000,1.0
4504,45,2,4,Videl Tier,50000,1.0
4505,45,2,5,Master Roshi Tier,100000,1.0
4506,45,2,6,Korin Tier,150000,1.0
4507,45,3,7,Kami Tier,250000,1.0
4508,45,3,8,King Yemma Tier,500000,1.0
4509,45,3,9,King Kai Tier,1000000,1.0
4510,45,4,10,Supreme Kai Tier,1500000,1.0
4511,45,4,11,Elder Kai Tier,2500000,1.0
4512,45,4,12,Beerus Tier,5000000,1.0
4601,46,1,1,Pilaf Tier,0,1.0
4602,46,1,2,King Chappa Tier,5000,1.0
4603,46,1,3,Hercule Tier,25000,1.0
4604,46,2,4,Videl Tier,50000,1.0
4605,46,2,5,Master Roshi Tier,100000,1.0
4606,46,2,6,Korin Tier,150000,1.0
4607,46,3,7,Kami Tier,250000,1.0
4608,46,3,8,King Yemma Tier,500000,1.0
4609,46,3,9,King Kai Tier,1000000,1.0
4610,46,4,10,Supreme Kai Tier,1500000,1.0
4611,46,4,11,Elder Kai Tier,2500000,1.0
4612,46,4,12,Beerus Tier,5000000,1.0
4701,47,1,1,Pilaf Tier,0,1.0
4702,47,1,2,King Chappa Tier,5000,1.0
4703,47,1,3,Hercule Tier,25000,1.0
4704,47,2,4,Videl Tier,50000,1.0
4705,47,2,5,Master Roshi Tier,100000,1.0
4706,47,2,6,Korin Tier,150000,1.0
4707,47,3,7,Kami Tier,250000,1.0
4708,47,3,8,King Yemma Tier,500000,1.0
4709,47,3,9,King Kai Tier,1000000,1.0
4710,47,4,10,Supreme Kai Tier,1500000,1.0
4711,47,4,11,Elder Kai Tier,2500000,1.0
4712,47,4,12,Beerus Tier,5000000,1.0
4801,48,1,1,Pilaf Tier,0,1.0
4802,48,1,2,King Chappa Tier,5000,1.0
4803,48,1,3,Hercule Tier,25000,1.0
4804,48,2,4,Videl Tier,50000,1.0
4805,48,2,5,Master Roshi Tier,100000,1.0
4806,48,2,6,Korin Tier,150000,1.0
4807,48,3,7,Kami Tier,250000,1.0
4808,48,3,8,King Yemma Tier,500000,1.0
4809,48,3,9,King Kai Tier,1000000,1.0
4810,48,4,10,Supreme Kai Tier,1500000,1.0
4811,48,4,11,Elder Kai Tier,2500000,1.0
4812,48,4,12,Beerus Tier,5000000,1.0
4901,49,1,1,Pilaf Tier,0,1.0
4902,49,1,2,King Chappa Tier,5000,1.0
4903,49,1,3,Hercule Tier,25000,1.0
4904,49,2,4,Videl Tier,50000,1.0
4905,49,2,5,Master Roshi Tier,100000,1.0
4906,49,2,6,Korin Tier,150000,1.0
4907,49,3,7,Kami Tier,250000,1.0
4908,49,3,8,King Yemma Tier,500000,1.0
4909,49,3,9,King Kai Tier,1000000,1.0
4910,49,4,10,Supreme Kai Tier,1500000,1.0
4911,49,4,11,Elder Kai Tier,2500000,1.0
4912,49,4,12,Beerus Tier,5000000,1.0
5001,50,1,1,Pilaf Tier,0,1.0
5002,50,1,2,King Chappa Tier,5000,1.0
5003,50,1,3,Hercule Tier,25000,1.0
5004,50,2,4,Videl Tier,50000,1.0
5005,50,2,5,Master Roshi Tier,100000,1.0
