id,z_battle_normal_reward_table_id,item_id,item_type,quantity,card_exp_init
259,235,100381,AwakeningItem,2,0
260,236,100382,AwakeningItem,2,0
261,237,100382,AwakeningItem,4,0
262,238,100383,AwakeningItem,4,0
263,239,100384,AwakeningItem,4,0
264,240,500,TrainingItem,1,0
265,241,501,TrainingItem,1,0
266,242,502,TrainingItem,1,0
267,243,503,TrainingItem,1,0
268,244,504,TrainingItem,1,0
269,245,100391,AwakeningItem,1,0
270,246,100391,AwakeningItem,2,0
271,247,100392,AwakeningItem,2,0
272,248,100392,AwakeningItem,4,0
273,249,100393,AwakeningItem,4,0
274,250,100394,AwakeningItem,4,0
275,251,100401,AwakeningItem,1,0
276,252,100401,AwakeningItem,2,0
277,253,100402,AwakeningItem,2,0
278,254,100402,AwakeningItem,4,0
279,255,100403,AwakeningItem,4,0
280,256,100404,AwakeningItem,4,0
287,263,100411,AwakeningItem,1,0
288,264,100411,AwakeningItem,2,0
289,265,100412,AwakeningItem,2,0
290,266,100412,AwakeningItem,4,0
291,267,100413,AwakeningItem,4,0
292,268,100414,AwakeningItem,4,0
293,269,100421,AwakeningItem,1,0
294,270,100421,AwakeningItem,2,0
295,271,100422,AwakeningItem,2,0
296,272,100422,AwakeningItem,4,0
297,273,100423,AwakeningItem,4,0
298,274,100424,AwakeningItem,4,0
299,275,100431,AwakeningItem,1,0
300,276,100441,AwakeningItem,1,0
301,277,100431,AwakeningItem,2,0
302,278,100441,AwakeningItem,2,0
303,279,100432,AwakeningItem,2,0
304,280,100442,AwakeningItem,2,0
305,281,100432,AwakeningItem,4,0
306,282,100442,AwakeningItem,4,0
307,283,100433,AwakeningItem,4,0
308,284,100443,AwakeningItem,4,0
309,285,100434,AwakeningItem,4,0
310,286,100444,AwakeningItem,4,0
311,287,100451,AwakeningItem,1,0
312,288,100451,AwakeningItem,2,0
313,289,100452,AwakeningItem,2,0
314,290,100452,AwakeningItem,4,0
315,291,100453,AwakeningItem,4,0
316,292,100454,AwakeningItem,4,0
317,293,100471,AwakeningItem,1,0
318,294,100471,AwakeningItem,2,0
319,295,100472,AwakeningItem,2,0
320,296,100472,AwakeningItem,4,0
321,297,100473,AwakeningItem,4,0
322,298,100474,AwakeningItem,4,0
323,299,100481,AwakeningItem,1,0
324,300,100481,AwakeningItem,2,0
325,301,100482,AwakeningItem,2,0
326,302,100482,AwakeningItem,4,0
327,303,100483,AwakeningItem,4,0
328,304,100484,AwakeningItem,4,0
329,305,100461,AwakeningItem,1,0
330,306,100461,AwakeningItem,2,0
331,307,100462,AwakeningItem,2,0
332,308,100462,AwakeningItem,4,0
333,309,100463,AwakeningItem,4,0
334,310,100464,AwakeningItem,4,0
335,311,100491,AwakeningItem,1,0
336,312,100501,AwakeningItem,1,0
337,313,100491,AwakeningItem,2,0
338,314,100501,AwakeningItem,2,0
339,315,100492,AwakeningItem,2,0
340,316,100502,AwakeningItem,2,0
341,317,100492,AwakeningItem,4,0
342,318,100502,AwakeningItem,4,0
343,319,100493,AwakeningItem,4,0
344,320,100503,AwakeningItem,4,0
345,321,100494,AwakeningItem,4,0
346,322,100504,AwakeningItem,4,0
347,323,100511,AwakeningItem,1,0
348,324,100511,AwakeningItem,2,0
349,325,100512,AwakeningItem,2,0
350,326,100512,AwakeningItem,4,0
351,327,100513,AwakeningItem,4,0
352,328,100514,AwakeningItem,4,0
353,329,100521,AwakeningItem,1,0
354,330,100531,AwakeningItem,1,0
355,331,100521,AwakeningItem,2,0
356,332,100531,AwakeningItem,2,0
357,333,100522,AwakeningItem,2,0
358,334,100532,AwakeningItem,2,0
359,335,100522,AwakeningItem,4,0
360,336,100532,AwakeningItem,4,0
361,337,100523,AwakeningItem,4,0
362,338,100533,AwakeningItem,4,0
363,339,100524,AwakeningItem,4,0
364,340,100534,AwakeningItem,4,0
365,341,100541,AwakeningItem,1,0
366,342,100541,AwakeningItem,2,0
367,343,100542,AwakeningItem,2,0
368,344,100542,AwakeningItem,4,0
369,345,100543,AwakeningItem,4,0
370,346,100544,AwakeningItem,4,0
371,347,100551,AwakeningItem,1,0
372,348,100551,AwakeningItem,2,0
373,349,100552,AwakeningItem,2,0
374,350,100552,AwakeningItem,4,0
375,351,100553,AwakeningItem,4,0
376,352,100554,AwakeningItem,4,0
377,353,100561,AwakeningItem,1,0
378,354,100561,AwakeningItem,2,0
379,355,100562,AwakeningItem,2,0
380,356,100562,AwakeningItem,4,0
381,357,100563,AwakeningItem,4,0
382,358,100564,AwakeningItem,4,0
383,359,100571,AwakeningItem,1,0
384,360,100571,AwakeningItem,2,0
385,361,100572,AwakeningItem,2,0
386,362,100572,AwakeningItem,4,0
387,363,100573,AwakeningItem,4,0
388,364,100574,AwakeningItem,4,0
389,365,100581,AwakeningItem,1,0
390,366,100581,AwakeningItem,2,0
391,367,100582,AwakeningItem,2,0
392,368,100582,AwakeningItem,4,0
393,369,100583,AwakeningItem,4,0
394,370,100584,AwakeningItem,4,0
395,371,100591,AwakeningItem,1,0
396,372,100601,AwakeningItem,1,0
397,373,100591,AwakeningItem,2,0
398,374,100601,AwakeningItem,2,0
399,375,100592,AwakeningItem,2,0
400,376,100602,AwakeningItem,2,0
401,377,100592,AwakeningItem,4,0
402,378,100602,AwakeningItem,4,0
403,379,100593,AwakeningItem,4,0
404,380,100603,AwakeningItem,4,0
405,381,100594,AwakeningItem,4,0
406,382,100604,AwakeningItem,4,0
407,383,100611,AwakeningItem,1,0
408,384,100611,AwakeningItem,2,0
409,385,100612,AwakeningItem,2,0
410,386,100612,AwakeningItem,4,0
411,387,100613,AwakeningItem,4,0
412,388,100614,AwakeningItem,4,0
437,413,100624,AwakeningItem,3,0
439,415,100631,AwakeningItem,1,0
440,416,100641,AwakeningItem,1,0
441,417,100651,AwakeningItem,1,0
442,418,100631,AwakeningItem,2,0
443,419,100641,AwakeningItem,2,0
444,420,100651,AwakeningItem,2,0
445,421,100632,AwakeningItem,2,0
446,422,100642,AwakeningItem,2,0
447,423,100652,AwakeningItem,2,0
448,424,100632,AwakeningItem,4,0
449,425,100642,AwakeningItem,4,0
450,426,100652,AwakeningItem,4,0
451,427,100633,AwakeningItem,4,0
452,428,100643,AwakeningItem,4,0
453,429,100653,AwakeningItem,4,0
454,430,100634,AwakeningItem,4,0
455,431,100644,AwakeningItem,4,0
456,432,100654,AwakeningItem,4,0
464,440,100661,AwakeningItem,1,0
465,441,100661,AwakeningItem,2,0
466,442,100662,AwakeningItem,2,0
467,443,100662,AwakeningItem,4,0
468,444,100663,AwakeningItem,4,0
469,445,100664,AwakeningItem,4,0
470,446,100674,AwakeningItem,3,0
471,447,100681,AwakeningItem,1,0
472,448,100681,AwakeningItem,2,0
473,449,100682,AwakeningItem,2,0
474,450,100682,AwakeningItem,4,0
475,451,100683,AwakeningItem,4,0
476,452,100684,AwakeningItem,4,0
477,453,100691,AwakeningItem,1,0
478,454,100701,AwakeningItem,1,0
479,455,100691,AwakeningItem,2,0
480,456,100701,AwakeningItem,2,0
481,457,100692,AwakeningItem,2,0
482,458,100702,AwakeningItem,2,0
483,459,100692,AwakeningItem,4,0
484,460,100702,AwakeningItem,4,0
485,461,100693,AwakeningItem,4,0
486,462,100703,AwakeningItem,4,0
487,463,100694,AwakeningItem,4,0
488,464,100704,AwakeningItem,4,0
489,465,100711,AwakeningItem,1,0
490,466,100711,AwakeningItem,2,0
491,467,100712,AwakeningItem,2,0
492,468,100712,AwakeningItem,4,0
493,469,100713,AwakeningItem,4,0
494,470,100714,AwakeningItem,4,0
495,471,100724,AwakeningItem,3,0
496,472,100731,AwakeningItem,1,0
497,473,100731,AwakeningItem,2,0
498,474,100732,AwakeningItem,2,0
499,475,100732,AwakeningItem,4,0
500,476,100733,AwakeningItem,4,0
501,477,100734,AwakeningItem,4,0
540,516,100751,AwakeningItem,1,0
541,517,100761,AwakeningItem,1,0
542,518,100771,AwakeningItem,1,0
543,519,100781,AwakeningItem,1,0
544,520,100791,AwakeningItem,1,0
545,521,100751,AwakeningItem,2,0
546,522,100761,AwakeningItem,2,0
547,523,100771,AwakeningItem,2,0
548,524,100781,AwakeningItem,2,0
549,525,100791,AwakeningItem,2,0
550,526,100752,AwakeningItem,2,0
551,527,100762,AwakeningItem,2,0
552,528,100772,AwakeningItem,2,0
553,529,100782,AwakeningItem,2,0
554,530,100792,AwakeningItem,2,0
555,531,100752,AwakeningItem,4,0
556,532,100762,AwakeningItem,4,0
557,533,100772,AwakeningItem,4,0
558,534,100782,AwakeningItem,4,0
559,535,100792,AwakeningItem,4,0
560,536,100753,AwakeningItem,4,0
561,537,100763,AwakeningItem,4,0
562,538,100773,AwakeningItem,4,0
563,539,100783,AwakeningItem,4,0
564,540,100793,AwakeningItem,4,0
565,541,100754,AwakeningItem,4,0
566,542,100764,AwakeningItem,4,0
567,543,100774,AwakeningItem,4,0
568,544,100784,AwakeningItem,4,0
569,545,100794,AwakeningItem,4,0
572,548,100804,AwakeningItem,3,0
573,549,100741,AwakeningItem,1,0
574,550,100741,AwakeningItem,2,0
575,551,100742,AwakeningItem,2,0
576,552,100742,AwakeningItem,4,0
577,553,100743,AwakeningItem,4,0
578,554,100744,AwakeningItem,4,0
579,555,100811,AwakeningItem,1,0
580,556,100811,AwakeningItem,2,0
581,557,100812,AwakeningItem,2,0
582,558,100812,AwakeningItem,4,0
583,559,100813,AwakeningItem,4,0
584,560,100814,AwakeningItem,4,0
586,562,100824,AwakeningItem,3,0
587,563,100831,AwakeningItem,1,0
588,564,100841,AwakeningItem,1,0
589,565,100851,AwakeningItem,1,0
590,566,100831,AwakeningItem,2,0
591,567,100841,AwakeningItem,2,0
592,568,100851,AwakeningItem,2,0
593,569,100832,AwakeningItem,2,0
594,570,100842,AwakeningItem,2,0
595,571,100852,AwakeningItem,2,0
596,572,100832,AwakeningItem,4,0
597,573,100842,AwakeningItem,4,0
598,574,100852,AwakeningItem,4,0
599,575,100833,AwakeningItem,4,0
600,576,100843,AwakeningItem,4,0
601,577,100853,AwakeningItem,4,0
602,578,100834,AwakeningItem,4,0
603,579,100844,AwakeningItem,4,0
604,580,100854,AwakeningItem,4,0
605,581,100861,AwakeningItem,1,0
606,582,100861,AwakeningItem,2,0
607,583,100862,AwakeningItem,2,0
608,584,100862,AwakeningItem,4,0
609,585,100863,AwakeningItem,4,0
610,586,100864,AwakeningItem,4,0
612,588,100881,AwakeningItem,1,0
613,589,100891,AwakeningItem,1,0
614,590,100881,AwakeningItem,2,0
615,591,100891,AwakeningItem,2,0
616,592,100882,AwakeningItem,2,0
617,593,100892,AwakeningItem,2,0
618,594,100882,AwakeningItem,4,0
619,595,100892,AwakeningItem,4,0
620,596,100883,AwakeningItem,4,0
621,597,100893,AwakeningItem,4,0
622,598,100884,AwakeningItem,4,0
623,599,100894,AwakeningItem,4,0
708,684,100901,AwakeningItem,1,0
709,685,100911,AwakeningItem,1,0
710,686,100921,AwakeningItem,1,0
711,687,100931,AwakeningItem,1,0
712,688,100941,AwakeningItem,1,0
713,689,100951,AwakeningItem,1,0
714,690,100961,AwakeningItem,1,0
715,691,100901,AwakeningItem,2,0
716,692,100911,AwakeningItem,2,0
717,693,100921,AwakeningItem,2,0
718,694,100931,AwakeningItem,2,0
719,695,100941,AwakeningItem,2,0
720,696,100951,AwakeningItem,2,0
721,697,100961,AwakeningItem,2,0
722,698,100902,AwakeningItem,2,0
723,699,100912,AwakeningItem,2,0
724,700,100922,AwakeningItem,2,0
725,701,100932,AwakeningItem,2,0
726,702,100942,AwakeningItem,2,0
727,703,100952,AwakeningItem,2,0
728,704,100962,AwakeningItem,2,0
729,705,100902,AwakeningItem,4,0
730,706,100912,AwakeningItem,4,0
731,707,100922,AwakeningItem,4,0
732,708,100932,AwakeningItem,4,0
733,709,100942,AwakeningItem,4,0
734,710,100952,AwakeningItem,4,0
735,711,100962,AwakeningItem,4,0
736,712,100903,AwakeningItem,4,0
737,713,100913,AwakeningItem,4,0
738,714,100923,AwakeningItem,4,0
739,715,100933,AwakeningItem,4,0
740,716,100943,AwakeningItem,4,0
741,717,100953,AwakeningItem,4,0
742,718,100963,AwakeningItem,4,0
743,719,100904,AwakeningItem,4,0
744,720,100914,AwakeningItem,4,0
745,721,100924,AwakeningItem,4,0
746,722,100934,AwakeningItem,4,0
747,723,100944,AwakeningItem,4,0
748,724,100954,AwakeningItem,4,0
749,725,100964,AwakeningItem,4,0
750,726,100874,AwakeningItem,3,0
751,727,100971,AwakeningItem,1,0
752,728,100971,AwakeningItem,2,0
753,729,100972,AwakeningItem,2,0
754,730,100972,AwakeningItem,4,0
755,731,100973,AwakeningItem,4,0
756,732,100974,AwakeningItem,4,0
757,733,100981,AwakeningItem,1,0
758,734,100991,AwakeningItem,1,0
759,735,101001,AwakeningItem,1,0
760,736,101011,AwakeningItem,1,0
761,737,100981,AwakeningItem,2,0
762,738,100991,AwakeningItem,2,0
763,739,101001,AwakeningItem,2,0
764,740,101011,AwakeningItem,2,0
765,741,100982,AwakeningItem,2,0
766,742,100992,AwakeningItem,2,0
767,743,101002,AwakeningItem,2,0
768,744,101012,AwakeningItem,2,0
769,745,100982,AwakeningItem,4,0
770,746,100992,AwakeningItem,4,0
771,747,101002,AwakeningItem,4,0
772,748,101012,AwakeningItem,4,0
773,749,100983,AwakeningItem,4,0
774,750,100993,AwakeningItem,4,0
775,751,101003,AwakeningItem,4,0
776,752,101013,AwakeningItem,4,0
777,753,100984,AwakeningItem,4,0
778,754,100994,AwakeningItem,4,0
779,755,101004,AwakeningItem,4,0
780,756,101014,AwakeningItem,4,0
781,757,101021,AwakeningItem,1,0
782,758,101031,AwakeningItem,1,0
783,759,101041,AwakeningItem,1,0
784,760,101051,AwakeningItem,1,0
785,761,101061,AwakeningItem,1,0
786,762,101021,AwakeningItem,2,0
787,763,101031,AwakeningItem,2,0
788,764,101041,AwakeningItem,2,0
789,765,101051,AwakeningItem,2,0
790,766,101061,AwakeningItem,2,0
791,767,101022,AwakeningItem,2,0
792,768,101032,AwakeningItem,2,0
793,769,101042,AwakeningItem,2,0
794,770,101052,AwakeningItem,2,0
795,771,101062,AwakeningItem,2,0
796,772,101022,AwakeningItem,4,0
797,773,101032,AwakeningItem,4,0
798,774,101042,AwakeningItem,4,0
799,775,101052,AwakeningItem,4,0
800,776,101062,AwakeningItem,4,0
801,777,101023,AwakeningItem,4,0
802,778,101033,AwakeningItem,4,0
803,779,101043,AwakeningItem,4,0
804,780,101053,AwakeningItem,4,0
805,781,101063,AwakeningItem,4,0
806,782,101024,AwakeningItem,4,0
807,783,101034,AwakeningItem,4,0
808,784,101044,AwakeningItem,4,0
809,785,101054,AwakeningItem,4,0
810,786,101064,AwakeningItem,4,0
811,787,101074,AwakeningItem,3,0
812,788,101081,AwakeningItem,1,0
813,789,101091,AwakeningItem,1,0
814,790,101081,AwakeningItem,2,0
815,791,101091,AwakeningItem,2,0
816,792,101082,AwakeningItem,2,0
817,793,101092,AwakeningItem,2,0
818,794,101082,AwakeningItem,4,0
819,795,101092,AwakeningItem,4,0
820,796,101083,AwakeningItem,4,0
821,797,101093,AwakeningItem,4,0
822,798,101084,AwakeningItem,4,0
823,799,101094,AwakeningItem,4,0
824,800,101101,AwakeningItem,1,0
825,801,101111,AwakeningItem,1,0
826,802,101101,AwakeningItem,2,0
827,803,101111,AwakeningItem,2,0
828,804,101102,AwakeningItem,2,0
829,805,101112,AwakeningItem,2,0
830,806,101102,AwakeningItem,4,0
831,807,101112,AwakeningItem,4,0
832,808,101103,AwakeningItem,4,0
833,809,101113,AwakeningItem,4,0
834,810,101104,AwakeningItem,4,0
835,811,101114,AwakeningItem,4,0
836,812,101124,AwakeningItem,3,0
838,814,101134,AwakeningItem,3,0
839,815,101144,AwakeningItem,3,0
840,816,101154,AwakeningItem,3,0
841,817,101161,AwakeningItem,1,0
842,818,101161,AwakeningItem,2,0
843,819,101162,AwakeningItem,2,0
844,820,101162,AwakeningItem,4,0
845,821,101163,AwakeningItem,4,0
846,822,101164,AwakeningItem,4,0
847,823,500,TrainingItem,1,0
848,824,501,TrainingItem,1,0
849,825,502,TrainingItem,1,0
850,826,503,TrainingItem,1,0
851,827,504,TrainingItem,1,0
852,828,101171,AwakeningItem,1,0
853,829,101171,AwakeningItem,2,0
854,830,101172,AwakeningItem,2,0
855,831,101172,AwakeningItem,4,0
856,832,101173,AwakeningItem,4,0
857,833,101174,AwakeningItem,4,0
858,834,101181,AwakeningItem,1,0
859,835,101181,AwakeningItem,2,0
860,836,101182,AwakeningItem,2,0
861,837,101182,AwakeningItem,4,0
862,838,101183,AwakeningItem,4,0
863,839,101184,AwakeningItem,4,0
865,841,101194,AwakeningItem,3,0
866,842,101201,AwakeningItem,1,0
867,843,101201,AwakeningItem,2,0
868,844,101202,AwakeningItem,2,0
869,845,101202,AwakeningItem,4,0
870,846,101203,AwakeningItem,4,0
871,847,101204,AwakeningItem,4,0
872,848,101211,AwakeningItem,1,0
873,849,101221,AwakeningItem,1,0
874,850,101211,AwakeningItem,2,0
875,851,101221,AwakeningItem,2,0
876,852,101212,AwakeningItem,2,0
877,853,101222,AwakeningItem,2,0
878,854,101212,AwakeningItem,4,0
879,855,101222,AwakeningItem,4,0
880,856,101213,AwakeningItem,4,0
881,857,101223,AwakeningItem,4,0
882,858,101214,AwakeningItem,4,0
883,859,101224,AwakeningItem,4,0
884,860,101234,AwakeningItem,3,0
885,861,101244,AwakeningItem,3,0
886,862,101251,AwakeningItem,1,0
887,863,101251,AwakeningItem,2,0
888,864,101252,AwakeningItem,2,0
889,865,101252,AwakeningItem,4,0
890,866,101253,AwakeningItem,4,0
891,867,101254,AwakeningItem,4,0
893,869,101264,AwakeningItem,3,0
894,870,101271,AwakeningItem,1,0
895,871,101281,AwakeningItem,1,0
896,872,101291,AwakeningItem,1,0
897,873,101301,AwakeningItem,1,0
898,874,101271,AwakeningItem,2,0
899,875,101281,AwakeningItem,2,0
900,876,101291,AwakeningItem,2,0
901,877,101301,AwakeningItem,2,0
902,878,101272,AwakeningItem,2,0
903,879,101282,AwakeningItem,2,0
904,880,101292,AwakeningItem,2,0
905,881,101302,AwakeningItem,2,0
906,882,101272,AwakeningItem,4,0
907,883,101282,AwakeningItem,4,0
908,884,101292,AwakeningItem,4,0
909,885,101302,AwakeningItem,4,0
910,886,101273,AwakeningItem,4,0
911,887,101283,AwakeningItem,4,0
912,888,101293,AwakeningItem,4,0
913,889,101303,AwakeningItem,4,0
914,890,101274,AwakeningItem,4,0
915,891,101284,AwakeningItem,4,0
916,892,101294,AwakeningItem,4,0
917,893,101304,AwakeningItem,4,0
918,894,101311,AwakeningItem,1,0
919,895,101311,AwakeningItem,2,0
920,896,101312,AwakeningItem,2,0
921,897,101312,AwakeningItem,4,0
922,898,101313,AwakeningItem,4,0
923,899,101314,AwakeningItem,4,0
924,900,101324,AwakeningItem,3,0
925,901,101331,AwakeningItem,1,0
926,902,101331,AwakeningItem,2,0
927,903,101332,AwakeningItem,2,0
928,904,101332,AwakeningItem,4,0
929,905,101333,AwakeningItem,4,0
930,906,101334,AwakeningItem,4,0
931,907,101341,AwakeningItem,1,0
932,908,101341,AwakeningItem,2,0
933,909,101342,AwakeningItem,2,0
