id,escalation_type,level,card_id
830,761,995,1014951
831,761,997,1014961
832,761,999,9014971
833,768,1,9013561
834,768,15,9013571
835,768,25,9013581
836,775,1,80011811
837,775,15,9011801
841,789,1,9014921
842,789,4,9014931
843,789,7,9114941
844,796,1,9012021
845,796,15,9012031
846,803,1,9012751
847,803,8,9012761
848,803,16,9012731
849,803,23,9012741
850,810,1,9015601
851,810,4,9015611
852,810,7,9014081
853,817,1,1011121
854,817,4,9011131
855,817,7,9011141
856,824,1,9014121
857,824,15,9014131
861,838,1,9016351
862,838,4,9016361
863,838,7,9116371
864,845,1,9114191
865,845,8,9014181
866,845,16,9014461
867,845,23,9014061
868,852,1,9117171
870,852,20,9117191
871,852,25,9117201
872,852,10,9017181
873,859,1,9005011
874,859,4,9115561
875,859,7,9115571
876,866,1,9115361
877,866,15,9215371
878,873,1,9118181
879,873,15,9118191
880,873,25,9018201
881,880,1,9016561
882,880,15,9016571
94000,94004,1,9011771
94001,94004,15,9011781
95000,95004,1,9017281
95001,95004,4,9017301
95002,95004,7,9018361
95003,95004,10,9018341
95004,95004,14,9018331
95005,95004,18,9118301
95006,95004,22,9118461
95007,95004,26,9118321
96000,96004,1,9012141
96001,96004,4,9012151
96002,96004,7,9112161
97000,97004,1,9015961
97001,97004,15,9015971
97002,97004,25,9015981
98000,98004,1,9015991
98001,98004,15,9016001
98002,98004,25,9016011
99000,99004,1,9005311
99001,99004,7,9005321
99002,99004,13,9112651
99003,99004,19,9012681
99004,99004,25,9010731
100000,100004,1,9017611
100001,100004,4,9017621
100002,100004,7,9017631
100003,100004,10,9017641
101000,101004,1,9017881
101001,101004,4,81017891
101002,101004,7,9017901
101003,101004,10,9017911
102000,102004,1,9018231
102001,102004,4,9018241
102002,102004,7,9018251
103000,103004,1,9012581
103001,103004,15,9012381
104000,104004,1,9015041
104001,104004,15,9015051
105000,105004,1,9018471
105001,105004,4,9018481
105002,105004,7,9018491
106000,106004,1,9018531
106001,106004,15,9118541
107000,107004,1,9018601
107001,107004,4,9118611
107002,107004,7,9018621
107003,107004,10,9017971
108000,108004,1,9018631
108001,108004,4,9118641
108002,108004,7,9018651
108003,108004,10,9017981
109000,109004,1,1013751
109001,109004,4,1013761
109002,109004,7,9013771
110000,110004,1,9014901
110001,110004,15,80014911
111000,111004,1,9016821
111001,111004,4,9016831
111002,111004,7,9116841
112000,112004,1,80017481
112001,112004,15,9017491
112002,112004,25,9017501
113000,113004,1,9016791
113001,113004,4,9016801
113002,113004,7,9116811
114000,114004,1,9019331
114001,114004,15,9019341
115000,115004,1,9014331
115001,115004,15,9014351
115002,115004,25,9014491
116000,116004,1,9016501
116001,116004,15,9116511
117000,117004,1,9016251
117001,117004,15,9117701
118000,118004,1,9016381
118001,118004,4,9016391
118002,118004,7,9316401
119000,119004,1,9017071
119001,119004,10,9117081
119002,119004,20,9017091
119003,119004,25,9017101
120000,120004,1,9017111
120001,120004,10,9017121
120002,120004,20,9017131
120003,120004,25,9017141
121000,121004,1,9018111
121001,121004,15,9118121
121002,121004,25,9018131
122000,122004,1,9100231
122001,122004,8,9008531
122002,122004,16,9019271
122003,122004,23,9019281
123000,123004,1,9015461
123001,123004,15,9015471
123002,123004,25,9015481
124000,124004,1,9118861
124001,124004,4,9118871
124002,124004,7,9018881
124003,124004,10,9018891
125000,125004,1,9013481
125001,125004,15,9113941
126000,126004,1,9020551
126001,126004,4,9020651
126002,126004,7,9020671
126003,126004,10,9020821
126004,126004,14,9020831
126005,126004,18,9020841
126006,126004,22,9020851
126007,126004,26,9020911
127000,127004,1,80019381
127001,127004,4,9019391
127002,127004,7,9019401
127003,127004,10,9019411
128000,128004,1,9018011
128001,128004,4,9018021
128002,128004,7,9018031
128003,128004,10,9118041
129000,129004,1,9018261
129001,129004,15,9018271
129002,129004,25,9218281
130000,130004,1,1007831
130001,130004,4,1007841
130002,130004,7,9012721
131000,131004,1,1019801
131001,131004,4,1019811
131002,131004,7,9119821
132000,132004,1,9119731
132001,132004,10,9019741
132002,132004,20,9119751
132003,132004,25,9019761
133000,133004,1,9018981
133001,133004,4,9018991
133002,133004,7,9019001
134000,134004,1,9020291
134001,134004,4,9120301
134002,134004,7,9320311
135000,135004,1,9220321
135001,135004,4,9020331
135002,135004,7,9320341
136000,136004,1,9222641
136001,136004,15,9022651
137000,137004,1,9019971
137001,137004,4,9119981
137002,137004,7,9019991
138000,138004,1,9119131
138001,138004,15,9119141
138002,138004,25,9019151
139000,139004,1,9019621
139001,139004,10,9119631
139002,139004,20,9119641
139003,139004,25,9019651
140000,140004,1,9020441
140001,140004,4,9020451
140002,140004,7,9020461
140003,140004,10,9120471
141000,141004,1,9220351
141001,141004,4,9020361
141002,141004,7,9020371
141003,141004,10,9120381
142000,142004,1,9119581
142001,142004,10,9019591
142002,142004,20,9019601
142003,142004,25,9019611
144000,144004,1,9120081
144001,144004,15,9020091
144002,144004,25,9020101
145000,145004,1,9021461
145001,145004,4,80021471
145002,145004,7,9021481
146000,146004,1,9021411
146001,146004,4,9021421
146002,146004,7,9021431
148000,148004,1,9114701
148001,148004,4,9113961
148002,148004,7,9019911
701000,701004,1,9003210
702000,702004,1,1006211
703000,703004,1,9103311
704000,704004,1,9108851
