id,name,description,rarity,selling_exchange_point,image_suffix_number,will_expire,created_at,updated_at
2000,Battlefield Memory,"Treasures you can obtain in Ultimate Clash.
These can be traded for all kinds of items at Baba's Shop!",2,0,2000,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
2001,Emblem of Cooperation,"A Treasure you can acquire in ""Chain Battle"". 
Can be exchanged for Secret Treasure Chests 
at Baba's Shop.",2,0,2001,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
2002,Emblem of Unity,"A Treasure you can acquire in ""Chain Battle"". 
Can be exchanged for Secret Treasure Chests 
at Baba's Shop.",2,0,2002,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
2003,Burst Coin,"A Treasure you can acquire in Burst Mode. 
Can be exchanged for tracks in the Music Collection.",0,0,2003,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
2004,Burst Coin (Silver),"A Treasure you can acquire in Burst Mode. 
Can be exchanged for all kinds of items at Baba's Shop.",0,0,2004,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
2100,Proof of Ordeal 1,"A Treasure you can acquire in Stage 1 of 
""Awakened Power! A Trial Towards 
New Horizons"". Can be exchanged for 
Secret Treasure Chests at Baba's Shop.",2,0,2100,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
2101,Proof of Ordeal 2,"A Treasure you can acquire in Stage 2 of 
""Awakened Power! A Trial Towards 
New Horizons"". Can be exchanged for 
Secret Treasure Chests at Baba's Shop.",2,0,2101,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
2102,Secret Treasure Chest (EX Skill Orb) Ticket,"A Treasure that can be obtained in the event 
""In Search of Greater Power! God-Level 
Intensive Training"" and through other means. 
Can be exchanged for Secret Treasure Chests at Baba's Shop.",2,0,2102,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
2200,Whirling Cherry Blossoms Lucky Ticket,"A Treasure available for a limited time. 
Can be exchanged for a Secret Treasure Chest 
at Baba's Shop. Valid until 5/7/2023 15:59 PST.",2,0,2200,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
2201,Explosive Power Lucky Ticket,"A Treasure available for a limited time. 
Can be exchanged for a Secret Treasure Chest 
at Baba's Shop. Valid until 5/3/2024 15:59 PST.",2,0,2201,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
3000,劇戦の書 第一巻,龍石購入時に入手できるアイテム,2,0,30,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
3001,劇戦の書 第二巻,龍石購入時に入手できるアイテム,2,0,31,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
3002,劇戦の書 第三巻,龍石購入時に入手できるアイテム,2,0,3002,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
3003,劇戦の書 第四巻,龍石購入時に入手できるアイテム,2,0,3003,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
3100,Book of War: Son Family,An item available only for a limited time.,2,0,3100,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
3200,Royal Family Crest of Vegeta,"A special Treasure available during a limited period.
Can be used at Baba's Shop.",2,0,3200,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
4001,Supreme Kai Stone,"A treasure you can acquire from ""Trial Missions"".",2,1,4001,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
5002,Gourmet Chocolate,"A Treasure obtained in the event 
""Evil Revived! The Most Fearsome Majin"". 
Can be used at Baba's Shop.",2,1,5002,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
7000,Dokkan Festival Coin,"A treasure you can acquire through specified Summons. 
Can be used at Baba's Shop.",3,0,7000,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
7001,Legendary Summon Coin,"A treasure you can acquire through specified Summons. 
Can be used at Baba's Shop.",3,0,7001,0,2024-06-26 10:51:11.468710,2024-06-26 10:51:11.468710
7002,Summon Coin,"A treasure you can acquire through specified Summons. 
Can be used at Baba's Shop.",3,0,7002,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
7003,Carnival Coin,"A treasure you can acquire through specified Summons. 
Can be used at Baba's Shop.",3,0,7003,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
7100,Legendary Summon Coin (Limited),"A treasure you can acquire through specified Summons. 
Can be used at Baba's Shop.",3,0,7100,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
7101,Legendary Summon Coin (Limited) 2,"A treasure you can acquire through specified Summons. 
Can be used at Baba's Shop.",3,0,7101,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
7102,Legendary Summon Coin (Limited) 3,"A treasure you can acquire through specified Summons. 
Can be used at Baba's Shop.",3,0,7102,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
7103,Legendary Summon Coin (Limited) 4,"A treasure you can acquire through specified Summons. 
Can be used at Baba's Shop.",3,0,7103,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9101,Opening Celebration SSR Ticket,"An item you can acquire 
when purchasing ""Opening Celebration Pack"".
Valid until 2019/4/21 21:59 PST.",2,0,9101,1,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9102,Beginner’s Ticket,"An item you can acquire 
when purchasing ""Beginner’s Pack"".",2,0,9102,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9103,Super Dragon Stone 2,"Blue Dragon Stones you can acquire 
when purchasing ""Appreciation Pack"".",2,0,21,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9104,God Dragon Stone 2,"Red Dragon Stones available 
for a limited time.",2,0,20,1,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9105,Kamehameha Special Ticket,"An item you can acquire 
when purchasing ""Kamehameha Special Pack"".",2,0,9105,1,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9106,Beginner’s Ticket,"An item you can acquire 
when purchasing ""Beginner’s Pack"".",2,0,9106,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9107,Dokkan Thank-You Celebration Gift Card,"A Treasure that can be acquired 
during ""Dokkan Thank-You Celebration"".
Exchange it for a powerful character at Baba's Shop.",2,0,9107,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9108,Dokkan Thank-You Celebration Gift Card 2,"A Treasure that can be acquired 
during ""Dokkan Thank-You Celebration"".
Exchange it for a powerful character at Baba's Shop.
Valid until 2019/12/15 15:59 PST.",2,0,9108,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9109,Beginner’s Ticket,"An item you can acquire 
when purchasing ""Beginner’s Pack"".",2,0,9109,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9110,God Dragon Stone 8,"Red Dragon Stone available for a limited time.
Valid until 2020/01/07 15:59 PST.",2,0,9110,1,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9111,Love-Filled Chocolate,"A Treasure available during 
the event period of the ""Heart Skips a Beat! 
Valentine's Day Special Missions"". 
Can be used at Baba's Shop.",2,1,9111,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9112,Growth Badge,"A Treasure available 
during the ""Filled with Energy! 
Max-Power Reinforcement Campaign"". 
Can be used at Baba's Shop.",2,1,9112,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9113,Autumnal Training Ticket,"A Treasure available during 
the ""Late Autumn Awakening! 
Autumnal Training Campaign"". 
Can be used at Baba's Shop.",2,0,9113,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9114,Dokkan Thank-You Celebration Gift Card 3,"A Treasure that can be acquired 
during ""Dokkan Thank-You Celebration"".
Exchange it for a powerful character at Baba's Shop.
Valid until 2020/12/10 15:59 PST.",2,0,9114,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9115,Love-Filled Chocolate 2021,"A Treasure available for a limited time. 
Can be used at Baba's Shop. 
Valid until 2/23/2021 15:59 PST.",2,0,9115,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9116,Beginner’s Ticket,"An item you can acquire 
when purchasing ""Beginner’s Pack"".",2,0,9116,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9117,Dokkan Thank-You Celebration Gift Card 4,"A Treasure that can be acquired 
during ""Dokkan Thank-You Celebration"".
Exchange it for a powerful character at Baba's Shop.
Valid until 12/9/2021 21:59 PST.",2,0,9117,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9118,Heart-Shaped Chocolate 2022,"A Treasure available for a limited time. 
Can be used at Baba's Shop. 
Valid until 2/21/2022 15:59 PST.",2,0,9118,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9119,Power Surge Ticket,"An item you can acquire when purchasing 
""Beginner's Power Surge Pack"". 
Can be used at Baba's Shop.",2,0,9119,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9120,Dragon Ore,"A special item you can acquire from 
""Countdown to the 7th Anniversary! 
Super Missions from the 7 Masters"". 
Can be exchanged for Dragon Stones 
during the 7th Anniversary Celebration.",2,0,9120,1,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9121,Dokkan Thank-You Celebration Gift Card 5,"A Treasure that can be acquired 
during ""Dokkan Thank-You Celebration"".
Exchange it for a powerful character at Baba's Shop.
Valid until 12/4/2022 21:59 PST.",2,0,9121,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9122,SSR Force Ticket,"An item you can acquire when purchasing certain
Rank Growth Packs. Can be used at Baba's Shop.",2,0,9122,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9123,Heart-Shaped Chocolate 2023,"A Treasure available for a limited time. 
Can be used at Baba's Shop. 
Valid until 2/21/2023 15:59 PST.",2,0,9123,1,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9124,Growth Badge 2,"A Treasure available during the event period of 
the ""8th Anniversary Countdown! Rapid Growth 
Special Missions"". Can be used at Baba's Shop.
Valid until 7/30/2023 15:59 PST.",2,0,9124,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9125,Dokkan Thank-You Celebration Gift Card 6,"A Treasure that can be acquired 
during ""Dokkan Thank-You Celebration"". 
Exchange it for a powerful character at Baba's Shop. 
Valid until 12/6/2023 21:59 PST.",2,0,9125,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9126,Heart-Shaped Chocolate 2024,"A Treasure available for a limited time. 
Can be used at Baba's Shop. 
Valid until 2/21/2024 15:59 PST.",2,0,9126,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
9127,Decisive Punch Ticket,"A treasure you can acquire through specified Summons. 
Can be used at Baba's Shop.",2,0,9127,0,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
91001,Super Dragon Stone 4,"Blue Dragon Stone valid
until 2019/1/7 21:59 PST.",2,0,21,1,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
91002,God Dragon Stone 5,"Red Dragon Stones available 
for a limited time. 
Valid until 2019/1/7 21:59 PST.",2,0,20,1,2024-06-26 10:51:11.481852,2024-06-26 10:51:11.481852
