id,name,description,zeni,rarity,selling_exchange_point,event_jumpable
3082,Gohan (Teen),Character-specific Medal required for Awakening.,10000,3,12,1
3083,Hercule,Character-specific Medal required for Awakening.,10000,3,12,1
3084,Chi-Chi,Character-specific Medal required for Awakening.,10000,3,12,1
3085,Bulma,Character-specific Medal required for Awakening.,5000,3,12,1
3086,Spopovich,Character-specific Medal required for Awakening.,10000,3,12,1
3087,Yamu,Character-specific Medal required for Awakening.,10000,3,12,1
3088,Majin Buu (Pure Evil),Character-specific Medal required for Awakening.,20000,3,12,1
3089,Buu (Super),Character-specific Medal required for Awakening.,20000,3,12,1
3141,Beerus,Character-specific Medal required for Awakening.,6000,3,12,1
3142,Whis,Character-specific Medal required for Awakening.,6000,3,12,1
3143,Goten (Kid),Character-specific Medal required for Awakening.,6000,3,12,1
3144,Trunks (Kid),Character-specific Medal required for Awakening.,6000,3,12,1
3145,Videl,Character-specific Medal required for Awakening.,6000,3,12,1
3146,Ultimate Gohan,Character-specific Medal required for Awakening.,6000,3,12,1
3147,Vegeta,Character-specific Medal required for Awakening.,6000,3,12,1
3151,Fruit of the Tree of Might,Character-specific Medal required for Awakening.,5000,3,12,1
3181,Metal Cooler Core,Character-specific Medal required for Awakening.,6000,3,12,1
4031,Frieza’s Hoverchair,Character-specific Medal required for Awakening.,6000,3,12,1
5011,Kakarot,Character-specific Medal required for Awakening.,20000,3,12,1
5012,Super Saiyan Broly,Character-specific Medal required for Awakening.,20000,3,12,1
5021,Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5022,Cell (Perfect Form),Character-specific Medal required for Awakening.,20000,3,12,1
5031,Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5032,Buu (Kid),Character-specific Medal required for Awakening.,20000,3,12,1
5041,Four-Star-Ball,Character-specific Medal required for Awakening.,20000,3,12,1
5042,Super Saiyan Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5043,Super Saiyan 3 Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5051,Super Gogeta,Character-specific Medal required for Awakening.,20000,3,12,1
5061,Super Janemba,Character-specific Medal required for Awakening.,20000,3,12,1
5062,Janemba,Character-specific Medal required for Awakening.,20000,3,12,1
5071,Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5072,Frieza (Full Power),Character-specific Medal required for Awakening.,20000,3,12,1
5081,Elder Kai,Character-specific Medal required for Awakening.,20000,3,12,1
5082,Gohan (Teen),Character-specific Medal required for Awakening.,20000,3,12,1
5091,Tien,Character-specific Medal required for Awakening.,320,3,12,1
5092,Saibaiman,Character-specific Medal required for Awakening.,320,3,12,1
5101,Super Saiyan 3 Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
5111,Beerus,Character-specific Medal required for Awakening.,20000,3,12,1
5112,Beerus,Character-specific Medal required for Awakening.,20000,3,12,1
5121,Super Vegito,Character-specific Medal required for Awakening.,20000,3,12,1
5122,Super Vegito,Character-specific Medal required for Awakening.,20000,3,12,1
5131,Super Saiyan 3 Gotenks,Character-specific Medal required for Awakening.,20000,3,12,1
5132,Super Saiyan 3 Gotenks,Character-specific Medal required for Awakening.,20000,3,12,1
5133,Gotenks,Character-specific Medal required for Awakening.,20000,3,12,1
5141,Super Saiyan God SS Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5142,Super Saiyan God SS Goku (Kaioken),Character-specific Medal required for Awakening.,20000,3,12,1
5151,Majin Buu (Ultimate Gohan),Character-specific Medal required for Awakening.,20000,3,12,1
5152,Buu (Super),Character-specific Medal required for Awakening.,20000,3,12,1
5153,Majin Buu (Good),Character-specific Medal required for Awakening.,20000,3,12,1
5154,Majin Buu (Gotenks),Character-specific Medal required for Awakening.,20000,3,12,1
5161,Golden Frieza,Character-specific Medal required for Awakening.,20000,3,12,1
5171,Omega Shenron,Character-specific Medal required for Awakening.,20000,3,12,1
5172,Omega Shenron,Character-specific Medal required for Awakening.,20000,3,12,1
5181,Goku Black,Character-specific Medal required for Awakening.,20000,3,12,1
5182,Goku Black,Character-specific Medal required for Awakening.,20000,3,12,1
5191,Super Saiyan God SS Vegito,Character-specific Medal required for Awakening.,20000,3,12,1
5192,Super Saiyan God SS Vegito,Character-specific Medal required for Awakening.,20000,3,12,1
5193,Vegito,Character-specific Medal required for Awakening.,20000,3,12,1
5194,Super Saiyan God SS Goku & Super Saiyan God SS Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
5201,Goku Black (Super Saiyan Rosé),Character-specific Medal required for Awakening.,20000,3,12,1
5202,Goku Black (Super Saiyan Rosé),Character-specific Medal required for Awakening.,20000,3,12,1
5203,Goku Black (Super Saiyan Rosé),Character-specific Medal required for Awakening.,20000,3,12,1
5211,Arale Norimaki,Character-specific Medal required for Awakening.,20000,3,12,0
5221,Super Saiyan Trunks (Future),Character-specific Medal required for Awakening.,20000,3,12,1
5222,Trunks (Teen) (Future),Character-specific Medal required for Awakening.,20000,3,12,1
5231,Fusion Zamasu,Character-specific Medal required for Awakening.,20000,3,12,1
5232,Zamasu,Character-specific Medal required for Awakening.,20000,3,12,1
5233,Fusion Zamasu,Character-specific Medal required for Awakening.,20000,3,12,1
5241,Super Saiyan God SS Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
5242,Super Saiyan God SS Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
5243,Super Saiyan God SS Evolved Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
5251,Super Saiyan 4 Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5252,Super Saiyan 4 Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5261,Super Saiyan 4 Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
5262,Super Saiyan 4 Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
5271,Cooler (Final Form),Character-specific Medal required for Awakening.,20000,3,12,1
5272,Cooler,Character-specific Medal required for Awakening.,20000,3,12,1
5273,Cooler (Final Form),Character-specific Medal required for Awakening.,20000,3,12,1
5281,Super Saiyan 3 Goku (Angel),Character-specific Medal required for Awakening.,20000,3,12,1
5282,Super Saiyan 2 Goku (Angel),Character-specific Medal required for Awakening.,20000,3,12,1
5283,Super Saiyan 3 Goku (Angel),Character-specific Medal required for Awakening.,20000,3,12,1
5291,Masked Saiyan,Character-specific Medal required for Awakening.,20000,3,12,1
5301,Super #17,Character-specific Medal required for Awakening.,20000,3,12,1
5302,Android #17 & Hell Fighter #17,Character-specific Medal required for Awakening.,20000,3,12,1
5311,Super Saiyan 3 Broly,Character-specific Medal required for Awakening.,20000,3,12,1
5321,Super Saiyan 4 Gogeta,Character-specific Medal required for Awakening.,20000,3,12,1
5322,Super Saiyan 4 Gogeta,Character-specific Medal required for Awakening.,20000,3,12,1
5323,Super Saiyan 4 Goku & Super Saiyan 4 Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
5331,Golden Frieza (Angel),Character-specific Medal required for Awakening.,20000,3,12,1
5332,Frieza (Final Form) (Angel),Character-specific Medal required for Awakening.,20000,3,12,1
5341,Super Saiyan 3 Bardock,Character-specific Medal required for Awakening.,20000,3,12,1
5351,Hirudegarn,Character-specific Medal required for Awakening.,20000,3,12,1
5352,Hirudegarn,Character-specific Medal required for Awakening.,20000,3,12,1
5361,Super Gogeta,Character-specific Medal required for Awakening.,20000,3,12,1
5362,Super Gogeta,Character-specific Medal required for Awakening.,20000,3,12,1
5371,Super Vegito,Character-specific Medal required for Awakening.,20000,3,12,1
5372,Super Vegito,Character-specific Medal required for Awakening.,20000,3,12,1
5381,Goku (Ultra Instinct -Sign-),Character-specific Medal required for Awakening.,20000,3,12,1
5382,Goku (Ultra Instinct),Character-specific Medal required for Awakening.,20000,3,12,1
5391,Turles,Character-specific Medal required for Awakening.,20000,3,12,1
5392,Turles,Character-specific Medal required for Awakening.,20000,3,12,1
5401,Jiren,Character-specific Medal required for Awakening.,20000,3,12,1
5411,Super Saiyan Gohan (Future),Character-specific Medal required for Awakening.,20000,3,12,1
5412,Gohan (Future),Character-specific Medal required for Awakening.,20000,3,12,1
5421,Super Full Power Saiyan 4 Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5422,Super Saiyan 4 Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5431,Android #17,Character-specific Medal required for Awakening.,20000,3,12,1
5441,Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5451,Frieza (1st Form),Character-specific Medal required for Awakening.,20000,3,12,1
5461,Metal Cooler,Character-specific Medal required for Awakening.,20000,3,12,1
5471,Hit,Character-specific Medal required for Awakening.,20000,3,12,1
5481,Super Saiyan Broly,Character-specific Medal required for Awakening.,20000,3,12,1
5482,Super Saiyan Broly,Character-specific Medal required for Awakening.,20000,3,12,1
5491,Super Saiyan Gogeta,Character-specific Medal required for Awakening.,20000,3,12,1
5492,Gogeta,Character-specific Medal required for Awakening.,20000,3,12,1
5501,Goku (Youth),Character-specific Medal required for Awakening.,20000,3,12,1
5511,Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
5521,Super Saiyan Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5531,Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5532,Super Saiyan Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5541,Piccolo,Character-specific Medal required for Awakening.,20000,3,12,1
5551,Super Saiyan Gohan (Youth),Character-specific Medal required for Awakening.,20000,3,12,1
5561,Android #13,Character-specific Medal required for Awakening.,20000,3,12,1
5571,Super Saiyan 2 Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
5572,Majin Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
5581,Bardock,Character-specific Medal required for Awakening.,20000,3,12,1
5591,Kefla,Character-specific Medal required for Awakening.,20000,3,12,1
5592,Caulifla & Kale,Character-specific Medal required for Awakening.,20000,3,12,1
5601,Super Saiyan God SS Goku & Super Saiyan God SS Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
5611,Super Saiyan 4 Vegito (Xeno),Character-specific Medal required for Awakening.,20000,3,12,1
5621,Boujack,Character-specific Medal required for Awakening.,20000,3,12,1
5631,Paikuhan,Character-specific Medal required for Awakening.,20000,3,12,1
5641,Super Saiyan Trunks (Kid) & Super Saiyan Goten (Kid),Character-specific Medal required for Awakening.,20000,3,12,1
5651,Videl,Character-specific Medal required for Awakening.,20000,3,12,1
5661,Super Saiyan Goku (GT),Character-specific Medal required for Awakening.,20000,3,12,1
5671,Super Saiyan Vegeta (GT),Character-specific Medal required for Awakening.,20000,3,12,1
5681,Gohan (Kid),Character-specific Medal required for Awakening.,20000,3,12,1
5691,Super Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
5701,Trunks (Teen),Character-specific Medal required for Awakening.,20000,3,12,1
5711,Super Saiyan God Trunks (Xeno),Character-specific Medal required for Awakening.,20000,3,12,1
5721,Androids #17 (Future) & #18 (Future),Character-specific Medal required for Awakening.,20000,3,12,1
5731,Super Saiyan God Goku & Super Saiyan God Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
5741,Captain Ginyu,Character-specific Medal required for Awakening.,20000,3,12,1
5751,Raditz,Character-specific Medal required for Awakening.,20000,3,12,1
5761,Super Saiyan Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5771,Cell (1st Form),Character-specific Medal required for Awakening.,20000,3,12,1
5781,Super Saiyan God SS Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5791,Super Saiyan God SS Vegeta & Super Saiyan Trunks (Future),Character-specific Medal required for Awakening.,20000,3,12,1
5801,Pan (GT),Character-specific Medal required for Awakening.,20000,3,12,1
5811,Super Saiyan Goku & Super Saiyan Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
5821,Goku (Youth),Character-specific Medal required for Awakening.,20000,3,12,1
5831,Gamma 1,Character-specific Medal required for Awakening.,20000,3,12,1
5841,Gamma 2,Character-specific Medal required for Awakening.,20000,3,12,1
5851,Bardock,Character-specific Medal required for Awakening.,20000,3,12,1
5861,Super Full Power Saiyan 4 Limit Breaker Goku (Xeno),Character-specific Medal required for Awakening.,20000,3,12,1
5862,Super Full Power Saiyan 4 Limit Breaker Vegeta (Xeno),Character-specific Medal required for Awakening.,20000,3,12,1
5871,Yamcha,Character-specific Medal required for Awakening.,20000,3,12,1
5881,Ultimate Gohan,Character-specific Medal required for Awakening.,20000,3,12,1
5882,Gohan (Beast),Character-specific Medal required for Awakening.,20000,3,12,1
5891,Piccolo (Power Awakening),Character-specific Medal required for Awakening.,20000,3,12,1
5901,Super Saiyan 3 Goku & Super Saiyan 2 Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
5911,Goku (GT) & Super Saiyan 4 Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
5921,Super Saiyan God Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5931,Kale (Berserk),Character-specific Medal required for Awakening.,20000,3,12,1
5941,Goku,Character-specific Medal required for Awakening.,20000,3,12,1
5951,Piccolo Jr.,Character-specific Medal required for Awakening.,20000,3,12,1
5961,Super Saiyan Trunks (Teen),Character-specific Medal required for Awakening.,20000,3,12,1
5971,Androids #17 & #18,Character-specific Medal required for Awakening.,20000,3,12,1
5981,Piccolo & Gohan (Kid),Character-specific Medal required for Awakening.,20000,3,12,1
5991,Super Full Power Saiyan 4 Limit Breaker Vegito (Xeno),Character-specific Medal required for Awakening.,20000,3,12,1
13501,Pan (GT) (Honey),"Character-specific Medal required for Awakening. 
Obtainable from the missions of 
""Pan's Secret Adventure.""",20000,3,12,1
13502,Pan (GT) (Honey),"Character-specific Medal required for Awakening. 
Obtainable from the missions of 
""Pan's Secret Adventure.""",20000,3,12,1
13701,Barlot,Character-specific Medal required for Awakening.,20000,3,12,1
15001,Bulma (Youth),"Character-specific Medal required for Awakening. 
Obtainable from the missions of 
""Looking For Mr. Right!""",20000,3,12,1
15011,Android #21 (Normal),Character-specific Medal required for Awakening.,20000,3,12,1
15021,Frieza (1st Form),Character-specific Medal required for Awakening.,20000,3,12,1
15031,Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
15051,Majin Buu (Good),Character-specific Medal required for Awakening.,20000,3,12,1
15101,Goku (Angel),Character-specific Medal required for Awakening.,20000,3,12,1
15102,Paikuhan,Character-specific Medal required for Awakening.,20000,3,12,1
15201,Vegito (Candy),Character-specific Medal required for Awakening.,20000,3,12,1
16001,Maiden's Love,Character-specific Medal required for Awakening.,20000,3,12,1
16101,Trunks (Kid),"Character-specific Medal required for Awakening. 
Obtainable from the missions of 
""Leave It to Us! Little Rangers!""",20000,3,12,1
16102,Goten (Kid),"Character-specific Medal required for Awakening. 
Obtainable from the missions of 
""Leave It to Us! Little Rangers!""",20000,3,12,1
16103,Marron,"Character-specific Medal required for Awakening. 
Obtainable from the missions of 
""Leave It to Us! Little Rangers!""",20000,3,12,1
16201,Android #21 (Normal),Character-specific Medal required for Awakening.,20000,3,12,1
17101,Super Saiyan Gotenks & Ghost,Character-specific Medal required for Awakening.,20000,3,12,1
17501,Monaka,Character-specific Medal required for Awakening.,20000,3,12,1
17502,Beerus,Character-specific Medal required for Awakening.,20000,3,12,1
17901,Vegeta (Dokkan Butoden),Character-specific Medal required for Awakening.,20000,3,12,1
17902,Goku (Dokkan Butoden),Character-specific Medal required for Awakening.,20000,3,12,1
18101,Beat,Character-specific Medal required for Awakening.,20000,3,12,1
18102,Ahms,Character-specific Medal required for Awakening.,20000,3,12,1
18103,Supreme Kai of Time,Character-specific Medal required for Awakening.,20000,3,12,1
18104,Sealas,Character-specific Medal required for Awakening.,20000,3,12,1
18801,Trunks (Kid) (Great Saiyaman),Character-specific Medal required for Awakening.,20000,3,12,1
18901,Evil Saiyan,Character-specific Medal required for Awakening.,20000,3,12,1
19301,Borgos,"Character-specific Medal required for Awakening. 
Obtainable from the missions of 
""Battle-Smart Brawlers! Team Bardock"".",20000,3,12,1
19401,Tora,"Character-specific Medal required for Awakening. 
Obtainable from the missions of 
""Battle-Smart Brawlers! Team Bardock"".",20000,3,12,1
19501,Fasha,"Character-specific Medal required for Awakening. 
Obtainable from the missions of 
""Battle-Smart Brawlers! Team Bardock"".",20000,3,12,1
19601,Bardock,"Character-specific Medal required for Awakening. 
Obtainable from the missions of 
""Battle-Smart Brawlers! Team Bardock"".",20000,3,12,1
19701,Shugesh,"Character-specific Medal required for Awakening. 
Obtainable from the missions of 
""Battle-Smart Brawlers! Team Bardock"".",20000,3,12,1
20101,Bulma (Youth),"Character-specific Medal required for Awakening. 
Obtainable from the missions of 
""Accelerate! Bulma's Wild Chase!"".",20000,3,12,1
21101,Grandpa Gohan & Pan (GT),Character-specific Medal required for Awakening.,20000,3,12,1
21201,Mechikabura,Character-specific Medal required for Awakening.,20000,3,12,1
21501,Great Saiyaman,Character-specific Medal required for Awakening.,20000,3,12,1
22401,Hacchan (Berserk),Character-specific Medal required for Awakening.,20000,3,12,1
23201,Metamo-Ring,Character-specific Medal required for Awakening.,20000,3,12,1
23401,Para Para Brothers,Character-specific Medal required for Awakening.,20000,3,12,1
23901,Dabura (Angel),Character-specific Medal required for Awakening.,20000,3,12,1
24201,Lagss,Character-specific Medal required for Awakening.,20000,3,12,1
25101,Super Saiyan Goku,Character-specific Medal required for Awakening.,20000,3,12,1
26401,Oolong & Launch,Character-specific Medal required for Awakening.,20000,3,12,1
26601,Towa,Character-specific Medal required for Awakening.,20000,3,12,1
30001,Warrior's Mark (SS Goku),Character-specific Medal required for Awakening.,20000,3,12,1
30002,Warrior's Mark (SS Vegeta),Character-specific Medal required for Awakening.,20000,3,12,1
30003,Warrior's Mark (Piccolo),Character-specific Medal required for Awakening.,20000,3,12,1
30004,Warrior's Mark (SS Trunks),Character-specific Medal required for Awakening.,20000,3,12,1
30005,Warrior's Mark (SS Gohan),Character-specific Medal required for Awakening.,20000,3,12,1
30006,Warrior's Mark (Majin Vegeta),Character-specific Medal required for Awakening.,20000,3,12,1
30007,Warrior's Mark (Majin Buu (Good)),Character-specific Medal required for Awakening.,20000,3,12,1
30008,Warrior's Mark (SS2 Goku),Character-specific Medal required for Awakening.,20000,3,12,1
30009,Warrior's Mark (Turles),Character-specific Medal required for Awakening.,20000,3,12,1
30010,Warrior's Mark (SS2 Vegeta),Character-specific Medal required for Awakening.,20000,3,12,1
30011,Warrior's Mark (SS Gohan),Character-specific Medal required for Awakening.,20000,3,12,1
30012,Warrior's Mark (SS Goku (GT)),Character-specific Medal required for Awakening.,20000,3,12,1
30013,Warrior's Mark (Mr. Buu),Character-specific Medal required for Awakening.,20000,3,12,1
30014,Warrior's Mark (Goku (Kaioken)),Character-specific Medal required for Awakening.,20000,3,12,1
30015,Warrior's Mark (Great Saiyaman 1),Character-specific Medal required for Awakening.,20000,3,12,1
30016,Warrior's Mark (Great Saiyaman 2),Character-specific Medal required for Awakening.,20000,3,12,1
31001,Warrior's Mark (Vegeta),Character-specific Medal required for Awakening.,20000,3,12,1
31002,Warrior's Mark (Cyborg Tao),Character-specific Medal required for Awakening.,20000,3,12,1
31003,Warrior's Mark (King Cold),Character-specific Medal required for Awakening.,20000,3,12,1
31004,Warrior's Mark (Jackie Chun),Character-specific Medal required for Awakening.,20000,3,12,1
31005,Warrior's Mark (Mecha Frieza),Character-specific Medal required for Awakening.,20000,3,12,1
31006,Warrior's Mark (Paikuhan),Character-specific Medal required for Awakening.,20000,3,12,1
31007,Warrior's Mark (King Vegeta),Character-specific Medal required for Awakening.,20000,3,12,1
31008,Warrior's Mark (Trunks (Teen)),Character-specific Medal required for Awakening.,20000,3,12,1
31009,Warrior's Mark (Mighty Mask),Character-specific Medal required for Awakening.,20000,3,12,1
31010,Warrior's Mark (Android #16),Character-specific Medal required for Awakening.,20000,3,12,1
31011,Warrior's Mark (SS Goku),Character-specific Medal required for Awakening.,20000,3,12,1
31012,Warrior's Mark (Tien),Character-specific Medal required for Awakening.,20000,3,12,1
31013,Warrior's Mark (Piccolo),Character-specific Medal required for Awakening.,20000,3,12,1
31014,Warrior's Mark (Chilled),Character-specific Medal required for Awakening.,20000,3,12,1
31015,Warrior's Mark (Gotenks (Failure) A),Character-specific Medal required for Awakening.,20000,3,12,1
31016,Warrior's Mark (Gotenks (Failure) B),Character-specific Medal required for Awakening.,20000,3,12,1
31017,Warrior's Mark (Trunks (Xeno)),Character-specific Medal required for Awakening.,20000,3,12,1
31018,Warrior's Mark (Grandpa Gohan),Character-specific Medal required for Awakening.,20000,3,12,1
31019,Warrior's Mark (Frieza (1st Form)),Character-specific Medal required for Awakening.,20000,3,12,1
31020,Warrior's Mark (Vegeta (Kid)),Character-specific Medal required for Awakening.,20000,3,12,1
31021,Warrior's Mark (Trunks (Teen) (Future)),Character-specific Medal required for Awakening.,20000,3,12,1
31022,Warrior’s Mark (Vegeta),Character-specific Medal required for Awakening.,20000,3,13,1
31023,Warrior's Mark (Cell (1st Form)),Character-specific Medal required for Awakening.,20000,3,12,1
31024,Warrior's Mark (Krillin),Character-specific Medal required for Awakening.,20000,3,12,1
31025,Warrior's Mark (Babidi),Character-specific Medal required for Awakening.,20000,3,12,1
31026,Warrior's Mark (Gohan (Kid)),Character-specific Medal required for Awakening.,20000,3,12,1
31027,Warrior's Mark (Tien),Character-specific Medal required for Awakening.,20000,3,12,1
31028,Warrior's Mark (Dr. Wheelo),Character-specific Medal required for Awakening.,20000,3,12,1
31901,Hatchiyack,Character-specific Medal required for Awakening.,20000,3,12,1
32001,Whis,Character-specific Medal required for Awakening.,20000,3,12,1
32101,Android #17,Character-specific Medal required for Awakening.,20000,3,12,1
32102,Android #18,Character-specific Medal required for Awakening.,20000,3,12,1
32103,Super Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1
32104,Cell (1st Form),Character-specific Medal required for Awakening.,20000,3,12,1
32105,Gohan (Future),Character-specific Medal required for Awakening.,20000,3,12,1
32201,Trunks (GT),Character-specific Medal required for Awakening.,20000,3,12,1
32202,Pan (GT),Character-specific Medal required for Awakening.,20000,3,12,1
32203,Super Sigma,Character-specific Medal required for Awakening.,20000,3,12,1
32204,Dr. Myuu,Character-specific Medal required for Awakening.,20000,3,12,1
32205,General Rilldo,"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with 
""Metal Fruits"", which can be acquired in 
the event ""Dragon Ball GT: Ultimate DB Saga"".",20000,3,12,1
32206,Goku (GT),"Character-specific Medal required for Awakening. 
Can be obtained at Baba's Shop with 
""Metal Fruits"", which can be acquired in 
the event ""Dragon Ball GT: Ultimate DB Saga"".",20000,3,12,1
32301,Goku,Character-specific Medal required for Awakening.,20000,3,12,1
32302,Chiaotzu,Character-specific Medal required for Awakening.,20000,3,12,1
32303,Krillin,Character-specific Medal required for Awakening.,20000,3,12,1
32304,Piccolo,Character-specific Medal required for Awakening.,20000,3,12,1
32305,Moon (Nappa),Character-specific Medal required for Awakening.,20000,3,12,1
