id,sound_effect_set_id,sound_effect_id,start_offset_millisecond,created_at,updated_at
44,10,17,660,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
45,10,1035,1330,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
46,10,9,1930,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
47,10,1018,2700,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
48,10,3,3560,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
49,11,1047,250,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
50,11,1018,1100,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
51,11,1035,1650,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
52,12,1050,250,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
53,12,1018,1100,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
54,12,1035,1650,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
55,13,1049,250,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
56,13,1018,750,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
57,13,1060,1650,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
58,13,1035,2200,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
59,14,1018,250,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
60,14,1035,1100,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
61,14,17,2150,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
62,14,1040,3350,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
63,14,1026,4350,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
64,14,40,5500,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
65,15,1047,250,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
66,15,1018,1100,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
67,15,1035,1650,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
68,16,1050,250,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
69,16,1018,1100,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
70,16,1035,1650,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
71,17,1064,250,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
72,17,1018,750,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
73,17,1060,1650,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
74,17,1035,2200,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
75,18,1018,250,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
76,18,1035,1250,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
77,18,1049,2150,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
78,18,1040,3700,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
79,18,1042,4400,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
80,18,1068,5650,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
81,19,1018,300,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
82,19,44,1300,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
83,19,49,2060,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
84,19,49,2640,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
85,19,49,3220,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
86,19,8,3800,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
87,19,1072,4700,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
88,19,31,5400,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
89,19,17,6000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
90,19,1035,7000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
91,20,1018,300,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
92,20,44,1300,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
93,20,49,2060,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
94,20,49,2640,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
95,20,49,3220,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
96,20,8,3800,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
97,20,1072,4700,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
98,20,31,5400,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
99,20,17,6000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
100,20,1035,7000,2024-07-08 11:02:50.089454,2024-07-08 11:02:50.089454
101,21,1018,300,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
102,21,44,1300,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
103,21,49,2060,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
104,21,49,2640,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
105,21,49,3220,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
106,21,8,3800,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
107,21,1072,4700,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
108,21,31,5400,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
109,21,17,6000,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
110,21,1060,7000,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
111,22,1018,466,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
112,22,1037,1500,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
113,22,1022,3033,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
114,22,1019,4300,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
115,22,3,5633,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
116,23,1044,0,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
117,23,1018,698,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
118,23,1018,2128,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
119,23,1072,2760,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
120,23,1067,4084,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
121,24,1044,0,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
122,24,1018,698,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
123,24,1018,2128,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
124,24,1072,2760,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
125,24,1024,4084,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
126,25,1018,531,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
127,25,24,1800,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
128,25,24,1920,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
129,25,24,2040,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
130,25,32,2160,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
131,25,44,2622,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
132,25,1073,3196,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
133,25,17,4049,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
134,25,40,5902,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
135,26,1047,250,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
136,26,1018,1100,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
137,26,1035,1650,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
138,27,1050,250,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
139,27,1018,1100,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
140,27,1035,1650,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
141,28,1049,250,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
142,28,1018,750,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
143,28,1060,1650,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
144,28,1035,2200,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
145,29,1018,250,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
146,29,1035,1100,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
147,29,17,2150,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
148,29,1040,3350,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
149,29,1026,4350,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
150,29,40,5500,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
151,31,1018,156,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
152,31,1042,508,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
153,31,32,1859,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
154,31,32,2922,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
155,31,1003,4110,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
156,31,1048,4330,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
157,31,1048,4510,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
158,31,1048,4690,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
159,31,1048,4870,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
160,31,1048,5050,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
161,31,17,5225,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
162,31,3,7138,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
163,32,1018,0,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
164,32,1035,1000,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
165,32,1004,1900,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
166,32,1021,2700,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
167,32,1036,3100,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
168,32,1036,3500,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
169,32,1036,3900,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
170,30,1018,66,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
171,30,1021,1328,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
172,30,1023,2589,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
173,30,17,3486,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
174,30,1036,6142,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
175,30,1036,6507,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
176,30,1036,6872,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
177,30,1036,7237,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
178,30,1036,7602,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
179,33,1008,0,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
180,33,1008,980,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
181,33,1023,1301,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
182,33,1018,1560,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
183,33,1064,2324,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
184,33,1042,3686,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
185,33,1021,4116,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
186,33,8,5780,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
187,33,3,6342,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
188,34,44,498,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
189,34,1035,1328,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
190,34,1018,2490,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
191,34,17,3519,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
192,34,8,4715,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
193,34,8,5379,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
194,34,1008,6109,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
195,34,3,7138,2024-07-08 11:02:50.094854,2024-07-08 11:02:50.094854
