id,leader_skill_set_id,exec_timing_type,target_type,sub_target_type_set_id,causality_conditions,efficacy_type,efficacy_values,calc_option
283,100057,1,2,0,,19,"[2,15,0]",2
284,100057,1,2,0,,19,"[3,15,0]",2
285,100057,1,2,0,,19,"[4,15,0]",2
286,100058,1,2,0,,19,"[0,15,0]",2
287,100058,1,2,0,,19,"[1,15,0]",2
288,100058,1,2,0,,19,"[2,15,0]",2
289,100058,1,2,0,,19,"[3,15,0]",2
290,100058,1,2,0,,19,"[4,15,0]",2
291,100059,1,4,0,,17,"[0,30,0]",3
292,100059,1,4,0,,0,"[0,0,0]",0
293,100059,1,4,0,,0,"[0,0,0]",0
294,100059,1,4,0,,0,"[0,0,0]",0
295,100059,1,4,0,,0,"[0,0,0]",0
296,100060,1,2,0,,13,"[90,0,0]",3
297,100060,1,2,0,,0,"[0,0,0]",0
298,100060,1,2,0,,0,"[0,0,0]",0
299,100060,1,2,0,,0,"[0,0,0]",0
300,100060,1,2,0,,0,"[0,0,0]",0
301,100061,1,2,0,,16,"[1,15,0]",2
302,100061,1,2,0,,0,"[0,0,0]",0
303,100061,1,2,0,,0,"[0,0,0]",0
304,100061,1,2,0,,0,"[0,0,0]",0
305,100061,1,2,0,,0,"[0,0,0]",0
306,100062,1,2,0,,16,"[1,15,0]",2
307,100062,1,2,0,,0,"[0,0,0]",0
308,100062,1,2,0,,0,"[0,0,0]",0
309,100062,1,2,0,,0,"[0,0,0]",0
310,100062,1,2,0,,0,"[0,0,0]",0
311,100063,1,2,0,,16,"[0,15,0]",2
312,100063,1,2,0,,0,"[0,0,0]",0
313,100063,1,2,0,,0,"[0,0,0]",0
314,100063,1,2,0,,0,"[0,0,0]",0
315,100063,1,2,0,,0,"[0,0,0]",0
316,100064,0,0,0,,0,"[0,0,0]",0
317,100064,0,0,0,,0,"[0,0,0]",0
318,100064,0,0,0,,0,"[0,0,0]",0
319,100064,0,0,0,,0,"[0,0,0]",0
320,100064,0,0,0,,0,"[0,0,0]",0
321,100065,0,0,0,,0,"[0,0,0]",0
322,100065,0,0,0,,0,"[0,0,0]",0
323,100065,0,0,0,,0,"[0,0,0]",0
324,100065,0,0,0,,0,"[0,0,0]",0
325,100065,0,0,0,,0,"[0,0,0]",0
326,100066,0,0,0,,0,"[0,0,0]",0
327,100066,0,0,0,,0,"[0,0,0]",0
328,100066,0,0,0,,0,"[0,0,0]",0
329,100066,0,0,0,,0,"[0,0,0]",0
330,100066,0,0,0,,0,"[0,0,0]",0
331,100067,0,0,0,,0,"[0,0,0]",0
332,100067,0,0,0,,0,"[0,0,0]",0
333,100067,0,0,0,,0,"[0,0,0]",0
334,100067,0,0,0,,0,"[0,0,0]",0
335,100067,0,0,0,,0,"[0,0,0]",0
336,100068,0,0,0,,0,"[0,0,0]",0
337,100068,0,0,0,,0,"[0,0,0]",0
338,100068,0,0,0,,0,"[0,0,0]",0
339,100068,0,0,0,,0,"[0,0,0]",0
340,100068,0,0,0,,0,"[0,0,0]",0
341,100069,0,0,0,,0,"[0,0,0]",0
342,100069,0,0,0,,0,"[0,0,0]",0
343,100069,0,0,0,,0,"[0,0,0]",0
344,100069,0,0,0,,0,"[0,0,0]",0
345,100069,0,0,0,,0,"[0,0,0]",0
346,100070,0,0,0,,0,"[0,0,0]",0
347,100070,0,0,0,,0,"[0,0,0]",0
348,100070,0,0,0,,0,"[0,0,0]",0
349,100070,0,0,0,,0,"[0,0,0]",0
350,100070,0,0,0,,0,"[0,0,0]",0
351,100071,0,0,0,,0,"[0,0,0]",0
352,100071,0,0,0,,0,"[0,0,0]",0
353,100071,0,0,0,,0,"[0,0,0]",0
354,100071,0,0,0,,0,"[0,0,0]",0
355,100071,0,0,0,,0,"[0,0,0]",0
356,100072,0,0,0,,0,"[0,0,0]",0
357,100072,0,0,0,,0,"[0,0,0]",0
358,100072,0,0,0,,0,"[0,0,0]",0
359,100072,0,0,0,,0,"[0,0,0]",0
360,100072,0,0,0,,0,"[0,0,0]",0
361,100073,0,0,0,,0,"[0,0,0]",0
362,100073,0,0,0,,0,"[0,0,0]",0
363,100073,0,0,0,,0,"[0,0,0]",0
364,100073,0,0,0,,0,"[0,0,0]",0
365,100073,0,0,0,,0,"[0,0,0]",0
366,100074,0,0,0,,0,"[0,0,0]",0
367,100074,0,0,0,,0,"[0,0,0]",0
368,100074,0,0,0,,0,"[0,0,0]",0
369,100074,0,0,0,,0,"[0,0,0]",0
370,100074,0,0,0,,0,"[0,0,0]",0
371,100075,0,0,0,,0,"[0,0,0]",0
372,100075,0,0,0,,0,"[0,0,0]",0
373,100075,0,0,0,,0,"[0,0,0]",0
374,100075,0,0,0,,0,"[0,0,0]",0
375,100075,0,0,0,,0,"[0,0,0]",0
376,100076,0,0,0,,0,"[0,0,0]",0
377,100076,0,0,0,,0,"[0,0,0]",0
378,100076,0,0,0,,0,"[0,0,0]",0
379,100076,0,0,0,,0,"[0,0,0]",0
380,100076,0,0,0,,0,"[0,0,0]",0
381,100077,0,0,0,,0,"[0,0,0]",0
382,100077,0,0,0,,0,"[0,0,0]",0
383,100077,0,0,0,,0,"[0,0,0]",0
384,100077,0,0,0,,0,"[0,0,0]",0
385,100077,0,0,0,,0,"[0,0,0]",0
386,100078,0,0,0,,0,"[0,0,0]",0
387,100078,0,0,0,,0,"[0,0,0]",0
388,100078,0,0,0,,0,"[0,0,0]",0
389,100078,0,0,0,,0,"[0,0,0]",0
390,100078,0,0,0,,0,"[0,0,0]",0
391,100079,0,0,0,,0,"[0,0,0]",0
392,100079,0,0,0,,0,"[0,0,0]",0
393,100079,0,0,0,,0,"[0,0,0]",0
394,100079,0,0,0,,0,"[0,0,0]",0
395,100079,0,0,0,,0,"[0,0,0]",0
396,100080,0,0,0,,0,"[0,0,0]",0
397,100080,0,0,0,,0,"[0,0,0]",0
398,100080,0,0,0,,0,"[0,0,0]",0
399,100080,0,0,0,,0,"[0,0,0]",0
400,100080,0,0,0,,0,"[0,0,0]",0
401,100081,1,2,0,,1,"[10,0,0]",2
402,100081,1,2,0,,0,"[0,0,0]",0
403,100081,1,2,0,,0,"[0,0,0]",0
404,100081,1,2,0,,0,"[0,0,0]",0
405,100081,1,2,0,,0,"[0,0,0]",0
406,100082,1,2,0,,20,"[0,1,0]",0
407,100082,1,2,0,,20,"[2,1,0]",0
408,100082,1,2,0,,20,"[4,1,0]",0
409,100082,1,2,0,,0,"[0,0,0]",0
410,100082,1,2,0,,0,"[0,0,0]",0
411,100083,1,2,0,,16,"[1,30,0]",2
412,100083,1,2,0,,16,"[2,30,0]",2
413,100083,1,2,0,,16,"[3,30,0]",2
414,100083,1,2,0,,0,"[0,0,0]",0
415,100083,1,2,0,,0,"[0,0,0]",0
416,100084,1,2,0,,16,"[0,30,0]",2
417,100084,1,2,0,,16,"[2,30,0]",2
418,100084,1,2,0,,16,"[4,30,0]",2
419,100084,1,2,0,,0,"[0,0,0]",0
420,100084,1,2,0,,0,"[0,0,0]",0
421,100085,1,2,0,,20,"[0,1,0]",0
422,100085,1,2,0,,20,"[2,1,0]",0
423,100085,1,2,0,,20,"[4,1,0]",0
424,100085,1,2,0,,0,"[0,0,0]",0
425,100085,1,2,0,,0,"[0,0,0]",0
426,100086,1,2,0,,18,"[4,20,20]",2
427,100086,1,2,0,,0,"[0,0,0]",0
428,100086,1,2,0,,0,"[0,0,0]",0
429,100086,1,2,0,,0,"[0,0,0]",0
430,100086,1,2,0,,0,"[0,0,0]",0
431,100087,1,2,0,"{""source"":""15"",""compiled"":15}",1,"[25,0,0]",2
432,100087,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
433,100087,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
434,100087,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
435,100087,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
436,100088,1,2,0,,20,"[1,2,0]",0
437,100088,1,2,0,,0,"[0,0,0]",0
438,100088,1,2,0,,0,"[0,0,0]",0
439,100088,1,2,0,,0,"[0,0,0]",0
440,100088,1,2,0,,0,"[0,0,0]",0
441,100089,1,2,0,,16,"[1,25,0]",2
442,100089,1,2,0,,16,"[3,25,0]",2
443,100089,1,2,0,,0,"[0,0,0]",0
444,100089,1,2,0,,0,"[0,0,0]",0
445,100089,1,2,0,,0,"[0,0,0]",0
446,100090,1,2,0,"{""source"":""42"",""compiled"":42}",1,"[20,0,0]",2
447,100090,1,2,0,"{""source"":""42"",""compiled"":42}",0,"[0,0,0]",0
448,100090,1,2,0,"{""source"":""42"",""compiled"":42}",0,"[0,0,0]",0
449,100090,1,2,0,"{""source"":""42"",""compiled"":42}",0,"[0,0,0]",0
450,100090,1,2,0,"{""source"":""42"",""compiled"":42}",0,"[0,0,0]",0
451,100091,1,2,0,,20,"[3,2,0]",0
452,100091,1,2,0,,0,"[0,0,0]",0
453,100091,1,2,0,,0,"[0,0,0]",0
454,100091,1,2,0,,0,"[0,0,0]",0
455,100091,1,2,0,,0,"[0,0,0]",0
456,100092,1,2,0,,17,"[1,30,0]",2
457,100092,1,2,0,,0,"[0,0,0]",0
458,100092,1,2,0,,0,"[0,0,0]",0
459,100092,1,2,0,,0,"[0,0,0]",0
460,100092,1,2,0,,0,"[0,0,0]",0
461,100093,1,2,0,,20,"[0,2,0]",0
462,100093,1,2,0,,0,"[0,0,0]",0
463,100093,1,2,0,,0,"[0,0,0]",0
464,100093,1,2,0,,0,"[0,0,0]",0
465,100093,1,2,0,,0,"[0,0,0]",0
466,100094,1,2,0,"{""source"":""42"",""compiled"":42}",3,"[15,15,0]",2
467,100094,1,2,0,"{""source"":""42"",""compiled"":42}",0,"[0,0,0]",0
468,100094,1,2,0,"{""source"":""42"",""compiled"":42}",0,"[0,0,0]",0
469,100094,1,2,0,"{""source"":""42"",""compiled"":42}",0,"[0,0,0]",0
470,100094,1,2,0,"{""source"":""42"",""compiled"":42}",0,"[0,0,0]",0
471,100095,1,2,0,,16,"[2,25,0]",2
472,100095,1,2,0,,0,"[0,0,0]",0
473,100095,1,2,0,,0,"[0,0,0]",0
474,100095,1,2,0,,0,"[0,0,0]",0
475,100095,1,2,0,,0,"[0,0,0]",0
476,100096,1,2,0,"{""source"":""15"",""compiled"":15}",1,"[25,0,0]",2
477,100096,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
478,100096,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
479,100096,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
480,100096,1,2,0,"{""source"":""15"",""compiled"":15}",0,"[0,0,0]",0
481,100097,1,2,0,"{""source"":""21"",""compiled"":21}",1,"[10,0,0]",2
482,100097,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
483,100097,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
484,100097,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
485,100097,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
486,100098,1,2,0,,16,"[2,25,0]",2
487,100098,1,2,0,,0,"[0,0,0]",0
488,100098,1,2,0,,0,"[0,0,0]",0
489,100098,1,2,0,,0,"[0,0,0]",0
490,100098,1,2,0,,0,"[0,0,0]",0
491,100099,1,2,0,"{""source"":""21"",""compiled"":21}",1,"[15,0,0]",2
492,100099,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
493,100099,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
494,100099,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
495,100099,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
496,100100,1,2,0,"{""source"":""21"",""compiled"":21}",5,"[1,0,0]",0
497,100100,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
498,100100,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
499,100100,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
500,100100,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
501,100101,1,2,0,"{""source"":""21"",""compiled"":21}",1,"[15,0,0]",2
502,100101,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
503,100101,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
504,100101,1,2,0,"{""source"":""21"",""compiled"":21}",0,"[0,0,0]",0
