id,max_point,seconds_per_cure_one_point,start_at,end_at,created_at,updated_at
37,5,18000,2023-09-29 00:00:00,2023-10-01 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
38,3,28800,2023-10-02 00:00:00,2023-11-02 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
39,3,14400,2023-11-03 00:00:00,2023-11-04 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
40,5,14400,2023-11-05 00:00:00,2023-11-05 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
41,3,14400,2023-11-06 00:00:00,2023-11-11 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
42,5,14400,2023-11-12 00:00:00,2023-11-12 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
43,3,14400,2023-11-13 00:00:00,2023-11-18 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
44,5,14400,2023-11-19 00:00:00,2023-11-19 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
45,3,14400,2023-11-20 00:00:00,2023-11-25 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
46,5,14400,2023-11-26 00:00:00,2023-11-26 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
47,3,14400,2023-11-27 00:00:00,2023-11-29 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
48,3,28800,2023-11-30 00:00:00,2024-02-29 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
49,5,18000,2024-07-05 00:00:00,2024-07-07 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
50,3,28800,2024-07-08 00:00:00,2024-07-11 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
51,5,18000,2024-07-12 00:00:00,2024-07-14 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
52,3,28800,2024-07-15 00:00:00,2024-07-18 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
53,5,18000,2024-07-19 00:00:00,2024-07-21 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
54,3,28800,2024-07-22 00:00:00,2024-07-25 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
55,5,18000,2024-07-26 00:00:00,2024-07-28 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
56,3,28800,2024-07-29 00:00:00,2024-08-01 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
57,5,18000,2024-08-02 00:00:00,2024-08-04 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
58,3,28800,2024-08-05 00:00:00,2024-08-08 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
59,5,18000,2024-08-09 00:00:00,2024-08-11 23:59:59,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
60,3,28800,2024-08-12 00:00:00,2038-01-01 00:00:00,2024-07-30 10:30:55.180260,2024-07-30 10:30:55.180260
