id,card_unique_info_id,card_unique_info_set_id
329,500,43
330,534,12
331,553,13
332,553,17
333,553,27
334,553,30
335,554,13
336,554,17
337,554,27
338,554,30
339,7,44
341,561,13
342,561,17
343,561,30
344,565,13
345,565,30
346,566,45
347,38,45
348,570,17
349,571,17
350,557,13
351,557,30
352,557,44
353,180,45
354,574,31
355,575,31
356,579,17
357,583,39
358,582,32
359,122,46
360,123,46
361,357,46
362,588,46
363,216,47
364,376,47
365,377,47
366,561,47
367,570,47
368,571,47
369,592,1
370,593,31
371,594,13
372,594,30
373,594,38
374,595,17
375,595,27
376,607,37
377,611,31
378,612,21
379,612,6
380,57,48
381,79,48
382,128,48
383,494,48
384,501,48
385,502,48
386,613,36
387,613,34
388,9,49
389,95,49
390,152,49
391,607,49
392,9,50
393,96,51
394,97,51
395,209,51
396,367,51
397,439,51
398,468,51
399,469,51
400,149,52
401,568,52
402,592,52
403,593,52
404,147,53
405,243,53
406,410,53
407,526,53
408,527,53
409,560,53
410,562,53
411,614,53
412,369,54
413,370,54
414,615,54
415,7,55
416,10,56
417,414,56
418,499,56
419,592,56
420,625,56
421,625,13
422,625,30
423,626,31
424,627,56
425,627,37
426,627,49
427,168,57
428,496,57
429,151,58
430,168,58
431,199,58
432,364,58
433,496,58
434,18,59
435,20,59
436,21,59
437,22,59
438,82,59
439,83,59
440,134,59
441,137,59
442,138,59
443,288,59
444,403,59
445,406,59
446,407,59
447,408,59
448,409,59
449,503,59
450,504,59
451,521,59
452,607,59
453,611,59
454,612,59
455,632,37
456,632,49
457,632,17
458,633,17
459,634,37
460,634,49
461,634,44
462,635,17
463,635,13
464,635,30
465,636,37
466,636,49
467,636,44
468,639,13
469,639,30
470,640,13
471,640,30
472,642,59
473,647,12
474,647,18
475,650,12
476,654,13
477,654,30
478,655,17
479,659,59
480,660,59
481,661,11
482,662,11
483,663,11
484,661,12
485,662,12
486,661,24
487,662,24
488,20,60
489,82,60
490,288,60
491,330,60
492,331,60
493,503,60
494,611,60
495,612,60
496,642,60
497,659,60
498,664,13
499,664,30
500,665,17
501,665,13
502,665,30
503,666,27
504,666,17
505,666,13
506,666,30
507,667,17
508,667,13
509,667,30
510,669,51
511,669,34
512,669,36
513,670,13
514,670,30
515,671,17
516,671,58
517,672,17
518,672,58
519,35,61
520,676,61
521,17,62
522,235,62
523,325,62
524,379,62
525,675,62
526,8,63
527,56,63
528,107,63
529,113,63
530,117,63
531,129,63
532,176,63
533,227,63
534,229,63
535,230,63
536,244,63
537,311,63
538,323,63
539,324,63
540,348,63
541,366,63
542,413,63
543,444,63
544,445,63
545,455,63
546,474,63
547,475,63
548,497,63
549,498,63
550,505,63
551,534,63
552,613,63
553,617,63
554,647,63
555,650,63
556,661,63
557,662,63
558,669,63
559,10046,63
560,679,40
561,681,13
562,681,30
563,681,56
564,682,1
565,682,56
566,683,4
567,683,48
568,685,5
569,684,8
570,685,8
571,686,59
572,687,13
573,687,30
574,687,48
575,654,38
576,689,27
577,689,17
578,689,13
579,689,30
580,690,17
581,690,27
582,691,12
583,691,17
584,691,24
585,691,27
586,691,63
587,692,13
588,692,30
589,692,44
590,693,13
591,693,30
592,141,64
593,142,64
594,190,64
595,191,64
596,192,64
597,193,64
598,194,64
599,195,64
600,404,64
601,508,64
602,509,64
603,512,64
604,695,63
605,452,65
606,695,65
607,153,66
608,175,66
609,236,66
610,252,66
611,318,66
612,455,66
613,176,67
614,323,67
615,324,67
616,455,67
617,617,67
618,695,67
619,10046,67
620,697,37
621,697,49
622,697,48
623,698,13
624,698,17
625,698,30
626,512,14
627,190,68
628,191,68
629,192,68
630,193,68
631,194,68
632,195,68
633,404,68
634,13,69
635,440,69
636,23,70
637,99,70
638,314,70
639,608,70
640,171,71
641,481,72
642,642,72
643,136,73
644,291,73
645,199,74
646,67,75
647,74,75
648,259,75
649,328,75
650,368,75
651,535,75
652,540,75
653,541,75
654,582,75
655,705,13
656,705,30
657,705,38
658,706,17
659,709,14
660,709,64
661,709,68
662,713,12
663,713,18
664,713,63
665,714,56
666,700,76
667,701,77
668,715,13
669,715,30
670,715,17
671,716,13
672,716,30
673,716,17
674,717,13
675,717,30
676,717,66
677,717,17
678,718,17
679,719,56
680,721,17
681,11,78
682,361,78
683,608,78
684,722,3
685,722,13
686,722,30
687,723,17
689,724,17
690,725,59
691,725,60
692,726,60
693,728,22
694,729,13
695,729,30
696,735,13
697,735,30
699,734,13
700,734,30
701,737,27
702,738,28
703,739,63
704,740,12
705,740,18
706,740,63
707,739,12
708,741,12
709,741,24
710,741,63
711,21,79
712,83,79
713,288,79
714,403,79
715,503,79
716,607,79
717,659,79
718,686,79
719,746,80
720,746,81
721,746,82
722,750,41
723,750,42
724,750,43
726,752,71
727,757,27
728,759,56
729,759,44
730,760,55
732,762,59
733,763,59
734,760,44
735,765,8
736,765,31
737,757,17
738,766,12
739,766,13
740,766,17
741,766,18
742,766,30
743,766,63
744,767,13
745,767,30
746,764,59
747,764,79
748,770,56
749,770,44
750,773,33
751,774,33
752,775,29
753,700,83
754,701,83
755,777,83
756,777,76
757,777,77
758,778,83
759,778,76
760,778,77
761,779,83
762,779,76
763,779,77
764,780,83
765,780,76
766,780,77
767,771,27
768,776,39
769,2,84
770,4,84
771,87,84
772,115,84
773,131,84
774,178,84
775,197,84
776,210,84
777,216,84
778,223,84
779,247,84
780,302,84
781,317,84
782,364,84
783,373,84
784,374,84
785,376,84
786,377,84
787,391,84
788,433,84
789,448,84
790,458,84
791,459,84
792,460,84
793,461,84
794,465,84
795,488,84
796,497,84
797,525,84
798,543,84
799,544,84
800,553,84
801,554,84
802,561,84
803,570,84
804,571,84
805,579,84
806,595,84
807,632,84
808,633,84
809,635,84
810,655,84
811,665,84
812,666,84
813,667,84
814,671,84
815,672,84
816,689,84
817,690,84
818,691,84
819,698,84
820,706,84
821,715,84
822,716,84
823,717,84
824,718,84
825,721,84
826,723,84
827,724,84
828,757,84
829,766,84
830,784,84
831,784,17
832,75,84
833,536,84
834,198,85
835,204,85
836,205,85
837,217,85
838,273,85
839,289,85
840,290,85
841,334,85
842,427,85
843,516,85
844,545,85
845,546,85
846,658,85
847,719,85
848,787,2
849,787,30
850,787,57
851,787,58
852,787,49
853,789,12
854,789,24
855,789,63
856,106,86
857,790,13
858,790,30
859,790,38
