id,special_set_id,type,efficacy_type,target_type,calc_option,turn,prob,causality_conditions,eff_value1,eff_value2,eff_value3
304,304,Special::NormalEfficacySpecial,1,3,3,3,100,,30,0,0
305,305,Special::ExtraEfficacySpecial,9,3,0,2,15,,0,0,0
307,307,Special::NormalEfficacySpecial,1,3,3,3,100,,20,0,0
309,309,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
310,310,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
319,319,Special::NormalEfficacySpecial,1,1,2,99,100,,50,0,0
320,320,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
322,322,Special::NormalEfficacySpecial,1,1,2,99,100,,50,0,0
323,323,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
324,324,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
325,325,Special::ExtraEfficacySpecial,9,3,0,2,15,,0,0,0
326,326,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
328,328,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0
329,329,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
334,334,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
338,338,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0
341,341,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0
342,342,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
343,343,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
344,344,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
345,345,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
347,347,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
349,349,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
351,351,Special::NormalEfficacySpecial,1,3,3,3,100,,20,0,0
358,358,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
362,362,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
366,366,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0
367,367,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
368,368,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
370,370,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0
371,371,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
374,374,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
376,376,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
381,381,Special::NormalEfficacySpecial,1,2,2,1,100,,25,0,0
382,382,Special::NormalEfficacySpecial,1,2,2,1,100,,30,0,0
385,385,Special::NormalEfficacySpecial,1,2,2,1,100,,30,0,0
387,387,Special::NormalEfficacySpecial,1,2,2,1,100,,25,0,0
388,388,Special::ExtraEfficacySpecial,9,3,0,2,10,,0,0,0
389,389,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
391,391,Special::ExtraEfficacySpecial,9,3,0,2,15,,0,0,0
392,392,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
393,393,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
394,394,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
396,396,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
399,399,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
404,404,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
405,405,Special::NormalEfficacySpecial,1,1,2,1,100,,100,0,0
406,406,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
408,408,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
410,410,Special::NormalEfficacySpecial,84,1,3,1,100,,7,0,0
413,413,Special::NormalEfficacySpecial,84,1,3,1,100,,5,0,0
414,414,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0
415,415,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
416,416,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
420,420,Special::NormalEfficacySpecial,84,1,3,0,100,,20,0,0
422,422,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
425,425,Special::NormalEfficacySpecial,3,3,3,3,100,,20,20,0
428,428,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
429,429,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
430,430,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
433,433,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
434,434,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
435,435,Special::NormalEfficacySpecial,1,1,2,99,100,,67,0,0
438,438,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0
439,439,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
440,440,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
448,448,Special::NormalEfficacySpecial,3,3,3,3,100,,20,20,0
450,450,Special::NormalEfficacySpecial,1,3,3,3,100,,30,0,0
451,451,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
452,452,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0
453,453,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0
454,454,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
455,455,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
456,456,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
457,457,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
458,458,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
459,459,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
460,460,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0
461,461,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
462,462,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
463,463,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
465,465,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
466,466,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
469,469,Special::NormalEfficacySpecial,3,3,3,3,100,,20,20,0
483,483,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
484,484,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
485,485,Special::ExtraEfficacySpecial,9,3,0,2,70,,0,0,0
486,486,Special::NormalEfficacySpecial,84,1,3,1,100,,7,0,0
491,491,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
494,494,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
497,497,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
498,498,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
499,499,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0
500,500,Special::NormalEfficacySpecial,1,1,2,6,100,,50,0,0
501,501,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
502,502,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
503,503,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
509,509,Special::NormalEfficacySpecial,3,1,2,99,100,,20,20,0
510,510,Special::NormalEfficacySpecial,3,1,2,99,100,,20,20,0
511,511,Special::NormalEfficacySpecial,3,1,2,99,100,,20,20,0
534,534,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
535,535,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
541,541,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0
542,542,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0
545,545,Special::NormalEfficacySpecial,1,3,3,3,100,,20,0,0
549,549,Special::NormalEfficacySpecial,3,3,3,3,100,,20,20,0
550,550,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
551,551,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
553,553,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0
554,554,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
555,555,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
556,556,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
557,557,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
558,558,Special::NormalEfficacySpecial,3,3,3,3,100,,30,30,0
561,561,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
562,562,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
566,566,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0
568,568,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
570,570,Special::NormalEfficacySpecial,1,1,2,99,100,,50,0,0
581,581,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
583,583,Special::NormalEfficacySpecial,2,1,2,6,100,,30,0,0
584,584,Special::NormalEfficacySpecial,2,1,2,6,100,,30,0,0
585,585,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
586,586,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
587,587,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0
588,588,Special::NormalEfficacySpecial,1,2,2,1,100,,25,0,0
589,589,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
590,590,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
592,592,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0
595,595,Special::NormalEfficacySpecial,1,1,2,99,100,,50,0,0
596,596,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
597,597,Special::ExtraEfficacySpecial,9,3,0,2,25,,0,0,0
598,598,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
599,599,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
602,602,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
606,606,Special::NormalEfficacySpecial,2,2,2,1,100,,30,0,0
607,607,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0
608,608,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
609,609,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0
612,612,Special::NormalEfficacySpecial,84,1,0,1,100,,7777,0,0
613,613,Special::NormalEfficacySpecial,3,3,3,3,100,,20,20,0
614,614,Special::NormalEfficacySpecial,3,1,2,6,100,,30,30,0
615,615,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0
616,616,Special::NormalEfficacySpecial,2,1,2,3,100,,30,0,0
617,617,Special::NormalEfficacySpecial,1,1,2,1,100,,30,0,0
619,619,Special::NormalEfficacySpecial,1,1,2,1,100,,50,0,0
620,620,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
621,621,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
622,622,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
623,623,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
625,625,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
626,626,Special::NormalEfficacySpecial,84,1,2,1,100,,15,0,0
628,628,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
629,629,Special::NormalEfficacySpecial,84,1,0,1,100,,7000,0,0
630,630,Special::NormalEfficacySpecial,3,3,3,3,100,,20,20,0
631,631,Special::NormalEfficacySpecial,3,3,3,3,100,,20,20,0
632,632,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
633,633,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
635,635,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
637,637,Special::NormalEfficacySpecial,1,1,2,6,100,,50,0,0
638,638,Special::NormalEfficacySpecial,84,1,0,1,100,,8888,0,0
639,639,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
640,640,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
642,642,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
643,643,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
644,644,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
645,645,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
646,646,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
650,650,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
651,651,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
652,652,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
653,653,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
654,654,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
655,655,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
656,656,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
657,657,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
658,658,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0
659,659,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
660,660,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
661,661,Special::NormalEfficacySpecial,84,1,3,1,100,,10,0,0
662,662,Special::NormalEfficacySpecial,84,1,2,1,100,,10,0,0
663,663,Special::NormalEfficacySpecial,84,1,2,1,100,,12,0,0
664,664,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
665,665,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
666,666,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0
667,667,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0
668,668,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
674,674,Special::NormalEfficacySpecial,3,3,3,3,100,,20,20,0
675,675,Special::NormalEfficacySpecial,3,3,3,3,100,,20,20,0
676,676,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
677,677,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
678,678,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
679,679,Special::NormalEfficacySpecial,1,3,3,3,100,,30,0,0
680,680,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
690,690,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
691,691,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
692,692,Special::NormalEfficacySpecial,1,3,3,3,100,,20,0,0
693,693,Special::NormalEfficacySpecial,1,3,3,3,100,,20,0,0
694,694,Special::NormalEfficacySpecial,2,1,2,6,100,,30,0,0
695,695,Special::NormalEfficacySpecial,1,1,2,1,100,,50,0,0
696,696,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
697,697,Special::NormalEfficacySpecial,1,1,2,6,100,,50,0,0
698,698,Special::NormalEfficacySpecial,1,1,2,6,100,,50,0,0
699,699,Special::NormalEfficacySpecial,1,2,2,1,100,,25,0,0
700,700,Special::ExtraEfficacySpecial,9,3,0,2,50,,0,0,0
701,701,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
702,702,Special::NormalEfficacySpecial,1,1,2,1,100,,100,0,0
703,703,Special::NormalEfficacySpecial,1,1,2,1,100,,30,0,0
704,704,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
705,705,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0
706,706,Special::NormalEfficacySpecial,1,1,2,6,100,,50,0,0
710,710,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0
711,711,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0
712,712,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0
713,713,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0
714,714,Special::NormalEfficacySpecial,1,1,2,6,100,,50,0,0
715,715,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0
716,716,Special::NormalEfficacySpecial,1,1,2,3,100,,50,0,0
719,719,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
720,720,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
721,721,Special::NormalEfficacySpecial,2,1,2,3,100,,50,0,0
723,723,Special::NormalEfficacySpecial,2,1,2,3,100,,30,0,0
724,724,Special::NormalEfficacySpecial,2,1,2,3,100,,30,0,0
725,725,Special::NormalEfficacySpecial,2,1,2,6,100,,30,0,0
726,726,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
727,727,Special::NormalEfficacySpecial,1,1,2,1,100,,50,0,0
728,728,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0
730,730,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
731,731,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
738,738,Special::NormalEfficacySpecial,1,2,2,1,100,,25,0,0
739,739,Special::NormalEfficacySpecial,1,1,2,1,100,,50,0,0
746,746,Special::NormalEfficacySpecial,1,3,3,3,100,,30,0,0
747,747,Special::NormalEfficacySpecial,1,3,3,3,100,,30,0,0
750,750,Special::NormalEfficacySpecial,84,1,3,1,100,,7,0,0
751,751,Special::NormalEfficacySpecial,84,1,3,1,100,,7,0,0
752,752,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
753,753,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
755,755,Special::NormalEfficacySpecial,2,1,2,1,100,,30,0,0
756,756,Special::NormalEfficacySpecial,2,1,3,1,100,,30,0,0
757,757,Special::ExtraEfficacySpecial,9,3,0,2,25,,0,0,0
758,758,Special::NormalEfficacySpecial,1,1,2,1,100,,50,0,0
763,763,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0
764,764,Special::NormalEfficacySpecial,3,1,2,1,100,,30,30,0
765,765,Special::NormalEfficacySpecial,3,1,2,1,100,,50,50,0
766,766,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
767,767,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
768,768,Special::NormalEfficacySpecial,2,3,3,3,100,,20,0,0
769,769,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
770,770,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0
771,771,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0
780,780,Special::NormalEfficacySpecial,3,1,2,3,100,,30,30,0
781,781,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
783,783,Special::NormalEfficacySpecial,2,1,2,3,100,,30,0,0
784,784,Special::NormalEfficacySpecial,2,1,2,3,100,,30,0,0
785,785,Special::NormalEfficacySpecial,2,1,2,3,100,,30,0,0
786,786,Special::NormalEfficacySpecial,1,1,2,6,100,,50,0,0
787,787,Special::NormalEfficacySpecial,2,1,2,6,100,,30,0,0
788,788,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
789,789,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
790,790,Special::NormalEfficacySpecial,1,1,2,1,100,,50,0,0
792,792,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0
793,793,Special::NormalEfficacySpecial,2,3,3,3,100,,40,0,0
795,795,Special::NormalEfficacySpecial,1,1,2,99,100,,30,0,0
796,796,Special::NormalEfficacySpecial,1,1,2,99,100,,30,0,0
797,797,Special::NormalEfficacySpecial,1,1,2,99,100,,30,0,0
799,799,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
800,800,Special::NormalEfficacySpecial,1,1,2,1,100,,50,0,0
803,803,Special::NormalEfficacySpecial,2,1,2,1,100,,30,0,0
804,804,Special::NormalEfficacySpecial,1,1,3,1,100,,30,0,0
805,805,Special::NormalEfficacySpecial,2,1,2,1,100,,30,0,0
806,806,Special::NormalEfficacySpecial,1,1,2,1,100,,50,0,0
807,807,Special::NormalEfficacySpecial,1,1,2,9,100,,50,0,0
808,808,Special::NormalEfficacySpecial,1,2,2,1,100,,20,0,0
809,809,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
810,810,Special::ExtraEfficacySpecial,48,3,0,2,100,,0,0,0
811,811,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
814,814,Special::ExtraEfficacySpecial,9,3,0,2,25,,0,0,0
815,815,Special::NormalEfficacySpecial,1,3,3,3,100,,10,0,0
816,816,Special::NormalEfficacySpecial,2,1,2,6,100,,30,0,0
818,818,Special::ExtraEfficacySpecial,9,3,0,2,20,,0,0,0
819,819,Special::NormalEfficacySpecial,1,12,2,1,100,,25,0,0
820,820,Special::NormalEfficacySpecial,1,1,2,6,100,,50,0,0
823,823,Special::NormalEfficacySpecial,3,3,3,3,100,,10,10,0
825,825,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
826,826,Special::NormalEfficacySpecial,2,3,3,3,100,,50,0,0
