id,rmbattle_id,type,name,priority,target_value,conditions,is_attention
1023,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 3 times.,976,3,"{""level"":3}",0
1024,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 4 times.,975,4,"{""level"":3}",0
1025,1,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 5 times.,974,5,"{""level"":3}",0
2001,2,RMBattleMission::EntryMission::CountMission,Enter an Ultimate Clash.,1000,1,{},0
2002,2,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear 3 stages.,999,3,{},0
2003,2,RMBattleMission::StageClearMission::CountMission,Clear 1 stage.,998,1,{},0
2004,2,RMBattleMission::StageClearMission::CountMission,Clear 2 stages.,997,2,{},0
2005,2,RMBattleMission::StageClearMission::CountMission,Clear 3 stages.,996,3,{},0
2006,2,RMBattleMission::StageClearMission::CountMission,Clear 4 stages.,995,4,{},0
2007,2,RMBattleMission::StageClearMission::CountMission,Clear 5 stages.,994,5,{},0
2008,2,RMBattleMission::StageClearMission::CountMission,Clear 6 stages.,993,6,{},0
2009,2,RMBattleMission::StageClearMission::CountMission,Clear 7 stages.,992,7,{},0
2010,2,RMBattleMission::StageClearMission::CountMission,Clear 8 stages.,991,8,{},0
2011,2,RMBattleMission::LevelClearMission::CountMission,Clear Level 1.,988,1,"{""level"":1}",0
2012,2,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 2 times.,987,2,"{""level"":1}",0
2013,2,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 3 times.,986,3,"{""level"":1}",0
2014,2,RMBattleMission::LevelClearMission::CountMission,Clear Level 2.,983,1,"{""level"":2}",0
2015,2,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 2 times.,982,2,"{""level"":2}",0
2016,2,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 3 times.,981,3,"{""level"":2}",0
2017,2,RMBattleMission::LevelClearMission::CountMission,Clear Level 3.,978,1,"{""level"":3}",0
2018,2,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 2 times.,977,2,"{""level"":3}",0
2019,2,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 3 times.,976,3,"{""level"":3}",0
3001,3,RMBattleMission::EntryMission::CountMission,Enter an Ultimate Clash.,1000,1,{},0
3002,3,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear 3 stages.,999,3,{},0
3003,3,RMBattleMission::StageClearMission::CountMission,Clear 1 stage.,998,1,{},0
3004,3,RMBattleMission::StageClearMission::CountMission,Clear 2 stages.,997,2,{},0
3005,3,RMBattleMission::StageClearMission::CountMission,Clear 3 stages.,996,3,{},0
3006,3,RMBattleMission::StageClearMission::CountMission,Clear 4 stages.,995,4,{},0
3007,3,RMBattleMission::StageClearMission::CountMission,Clear 5 stages.,994,5,{},0
3008,3,RMBattleMission::StageClearMission::CountMission,Clear 6 stages.,993,6,{},0
3009,3,RMBattleMission::StageClearMission::CountMission,Clear 7 stages.,992,7,{},0
3010,3,RMBattleMission::StageClearMission::CountMission,Clear 8 stages.,991,8,{},0
3011,3,RMBattleMission::StageClearMission::CountMission,Clear 9 stages.,990,9,{},0
3012,3,RMBattleMission::LevelClearMission::CountMission,Clear Level 1.,989,1,"{""level"":1}",0
3013,3,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 2 times.,988,2,"{""level"":1}",0
3014,3,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 3 times.,987,3,"{""level"":1}",0
3015,3,RMBattleMission::LevelClearMission::CountMission,Clear Level 2.,986,1,"{""level"":2}",0
3016,3,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 2 times.,985,2,"{""level"":2}",0
3017,3,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 3 times.,984,3,"{""level"":2}",0
3018,3,RMBattleMission::LevelClearMission::CountMission,Clear Level 3.,983,1,"{""level"":3}",0
3019,3,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 2 times.,982,2,"{""level"":3}",0
3020,3,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 3 times.,981,3,"{""level"":3}",0
4001,4,RMBattleMission::EntryMission::CountMission,Enter an Ultimate Clash.,1000,1,{},1
4002,4,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 3 times.,999,3,{},1
4003,4,RMBattleMission::StageClearMission::CountMission,Clear a stage once.,998,1,{},0
4004,4,RMBattleMission::StageClearMission::CountMission,Clear a stage 2 times.,997,2,{},0
4005,4,RMBattleMission::StageClearMission::CountMission,Clear a stage 3 times.,996,3,{},0
4006,4,RMBattleMission::StageClearMission::CountMission,Clear a stage 4 times.,995,4,{},0
4007,4,RMBattleMission::StageClearMission::CountMission,Clear a stage 5 times.,994,5,{},0
4008,4,RMBattleMission::StageClearMission::CountMission,Clear a stage 6 times.,993,6,{},0
4009,4,RMBattleMission::StageClearMission::CountMission,Clear a stage 7 times.,992,7,{},0
4010,4,RMBattleMission::StageClearMission::CountMission,Clear a stage 8 times.,991,8,{},0
4011,4,RMBattleMission::StageClearMission::CountMission,Clear a stage 9 times.,990,9,{},0
4012,4,RMBattleMission::LevelClearMission::CountMission,Clear Level 1.,989,1,"{""level"":1}",0
4013,4,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 2 times.,988,2,"{""level"":1}",0
4014,4,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 3 times.,987,3,"{""level"":1}",0
4015,4,RMBattleMission::LevelClearMission::CountMission,Clear Level 2.,986,1,"{""level"":2}",0
4016,4,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 2 times.,985,2,"{""level"":2}",0
4017,4,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 3 times.,984,3,"{""level"":2}",0
4018,4,RMBattleMission::LevelClearMission::CountMission,Clear Level 3.,983,1,"{""level"":3}",0
4019,4,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 2 times.,982,2,"{""level"":3}",0
4020,4,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 3 times.,981,3,"{""level"":3}",0
5001,5,RMBattleMission::EntryMission::CountMission,Enter an Ultimate Clash.,1000,1,{},1
5002,5,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage once.,999,1,{},1
5003,5,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 2 times.,998,2,{},1
5004,5,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 3 times.,997,3,{},1
5005,5,RMBattleMission::StageClearMission::CountMission,Clear a stage once.,996,1,{},0
5006,5,RMBattleMission::StageClearMission::CountMission,Clear a stage 2 times.,995,2,{},0
5007,5,RMBattleMission::StageClearMission::CountMission,Clear a stage 3 times.,994,3,{},0
5008,5,RMBattleMission::StageClearMission::CountMission,Clear a stage 4 times.,993,4,{},0
5009,5,RMBattleMission::StageClearMission::CountMission,Clear a stage 5 times.,992,5,{},0
5010,5,RMBattleMission::StageClearMission::CountMission,Clear a stage 6 times.,991,6,{},0
5011,5,RMBattleMission::StageClearMission::CountMission,Clear a stage 7 times.,990,7,{},0
5012,5,RMBattleMission::StageClearMission::CountMission,Clear a stage 8 times.,989,8,{},0
5013,5,RMBattleMission::StageClearMission::CountMission,Clear a stage 9 times.,988,9,{},0
5014,5,RMBattleMission::StageClearMission::CountMission,Clear a stage 10 times.,987,10,{},0
5015,5,RMBattleMission::LevelClearMission::CountMission,Clear Level 1.,986,1,"{""level"":1}",0
5016,5,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 2 times.,985,2,"{""level"":1}",0
5017,5,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 3 times.,984,3,"{""level"":1}",0
5018,5,RMBattleMission::LevelClearMission::CountMission,Clear Level 2.,983,1,"{""level"":2}",0
5019,5,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 2 times.,982,2,"{""level"":2}",0
5020,5,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 3 times.,981,3,"{""level"":2}",0
5021,5,RMBattleMission::LevelClearMission::CountMission,Clear Level 3.,980,1,"{""level"":3}",0
5022,5,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 2 times.,979,2,"{""level"":3}",0
5023,5,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 3 times.,978,3,"{""level"":3}",0
6001,6,RMBattleMission::EntryMission::CountMission,Enter an Ultimate Clash.,1000,1,{},1
6002,6,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage once.,999,1,{},1
6003,6,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 2 times.,998,2,{},1
6004,6,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 3 times.,997,3,{},1
6005,6,RMBattleMission::StageClearMission::CountMission,Clear a stage once.,996,1,{},0
6006,6,RMBattleMission::StageClearMission::CountMission,Clear a stage 2 times.,995,2,{},0
6007,6,RMBattleMission::StageClearMission::CountMission,Clear a stage 3 times.,994,3,{},0
6008,6,RMBattleMission::StageClearMission::CountMission,Clear a stage 4 times.,993,4,{},0
6009,6,RMBattleMission::StageClearMission::CountMission,Clear a stage 5 times.,992,5,{},0
6010,6,RMBattleMission::StageClearMission::CountMission,Clear a stage 6 times.,991,6,{},0
6011,6,RMBattleMission::StageClearMission::CountMission,Clear a stage 7 times.,990,7,{},0
6012,6,RMBattleMission::StageClearMission::CountMission,Clear a stage 8 times.,989,8,{},0
6013,6,RMBattleMission::StageClearMission::CountMission,Clear a stage 9 times.,988,9,{},0
6014,6,RMBattleMission::StageClearMission::CountMission,Clear a stage 10 times.,987,10,{},0
6015,6,RMBattleMission::LevelClearMission::CountMission,Clear Level 1.,986,1,"{""level"":1}",0
6016,6,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 2 times.,985,2,"{""level"":1}",0
6017,6,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 3 times.,984,3,"{""level"":1}",0
6018,6,RMBattleMission::LevelClearMission::CountMission,Clear Level 2.,983,1,"{""level"":2}",0
6019,6,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 2 times.,982,2,"{""level"":2}",0
6020,6,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 3 times.,981,3,"{""level"":2}",0
6021,6,RMBattleMission::LevelClearMission::CountMission,Clear Level 3.,980,1,"{""level"":3}",0
6022,6,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 2 times.,979,2,"{""level"":3}",0
6023,6,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 3 times.,978,3,"{""level"":3}",0
7001,7,RMBattleMission::EntryMission::CountMission,Enter an Ultimate Clash.,1000,1,{},1
7002,7,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage once.,999,1,{},1
7003,7,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 2 times.,998,2,{},1
7004,7,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 3 times.,997,3,{},1
7005,7,RMBattleMission::StageClearMission::CountMission,Clear a stage once.,996,1,{},0
7006,7,RMBattleMission::StageClearMission::CountMission,Clear a stage 2 times.,995,2,{},0
7007,7,RMBattleMission::StageClearMission::CountMission,Clear a stage 3 times.,994,3,{},0
7008,7,RMBattleMission::StageClearMission::CountMission,Clear a stage 4 times.,993,4,{},0
7009,7,RMBattleMission::StageClearMission::CountMission,Clear a stage 5 times.,992,5,{},0
7010,7,RMBattleMission::StageClearMission::CountMission,Clear a stage 6 times.,991,6,{},0
7011,7,RMBattleMission::StageClearMission::CountMission,Clear a stage 7 times.,990,7,{},0
7012,7,RMBattleMission::StageClearMission::CountMission,Clear a stage 8 times.,989,8,{},0
7013,7,RMBattleMission::StageClearMission::CountMission,Clear a stage 9 times.,988,9,{},0
7014,7,RMBattleMission::StageClearMission::CountMission,Clear a stage 10 times.,987,10,{},0
7015,7,RMBattleMission::LevelClearMission::CountMission,Clear Level 1.,986,1,"{""level"":1}",0
7016,7,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 2 times.,985,2,"{""level"":1}",0
7017,7,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 3 times.,984,3,"{""level"":1}",0
7018,7,RMBattleMission::LevelClearMission::CountMission,Clear Level 2.,983,1,"{""level"":2}",0
7019,7,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 2 times.,982,2,"{""level"":2}",0
7020,7,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 3 times.,981,3,"{""level"":2}",0
7021,7,RMBattleMission::LevelClearMission::CountMission,Clear Level 3.,980,1,"{""level"":3}",0
7022,7,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 2 times.,979,2,"{""level"":3}",0
7023,7,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 3 times.,978,3,"{""level"":3}",0
8001,8,RMBattleMission::EntryMission::CountMission,Enter an Ultimate Clash.,1000,1,{},1
8002,8,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage once.,999,1,{},1
8003,8,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 2 times.,998,2,{},1
8004,8,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 3 times.,997,3,{},1
8005,8,RMBattleMission::StageClearMission::CountMission,Clear a stage once.,996,1,{},0
8006,8,RMBattleMission::StageClearMission::CountMission,Clear a stage 2 times.,995,2,{},0
8007,8,RMBattleMission::StageClearMission::CountMission,Clear a stage 3 times.,994,3,{},0
8008,8,RMBattleMission::StageClearMission::CountMission,Clear a stage 4 times.,993,4,{},0
8009,8,RMBattleMission::StageClearMission::CountMission,Clear a stage 5 times.,992,5,{},0
8010,8,RMBattleMission::StageClearMission::CountMission,Clear a stage 6 times.,991,6,{},0
8011,8,RMBattleMission::StageClearMission::CountMission,Clear a stage 7 times.,990,7,{},0
8012,8,RMBattleMission::StageClearMission::CountMission,Clear a stage 8 times.,989,8,{},0
8013,8,RMBattleMission::LevelClearMission::CountMission,Clear Level 1.,988,1,"{""level"":1}",0
8014,8,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 2 times.,987,2,"{""level"":1}",0
8015,8,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 3 times.,986,3,"{""level"":1}",0
8016,8,RMBattleMission::LevelClearMission::CountMission,Clear Level 2.,985,1,"{""level"":2}",0
8017,8,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 2 times.,984,2,"{""level"":2}",0
8018,8,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 3 times.,983,3,"{""level"":2}",0
8019,8,RMBattleMission::LevelClearMission::CountMission,Clear Level 3.,982,1,"{""level"":3}",0
8020,8,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 2 times.,981,2,"{""level"":3}",0
8021,8,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 3 times.,980,3,"{""level"":3}",0
9001,9,RMBattleMission::EntryMission::CountMission,Enter an Ultimate Clash.,1000,1,{},1
9002,9,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage once.,999,1,{},1
9003,9,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 2 times.,998,2,{},1
9004,9,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 3 times.,997,3,{},1
9005,9,RMBattleMission::StageClearMission::CountMission,Clear a stage once.,996,1,{},0
9006,9,RMBattleMission::StageClearMission::CountMission,Clear a stage 2 times.,995,2,{},0
9007,9,RMBattleMission::StageClearMission::CountMission,Clear a stage 3 times.,994,3,{},0
9008,9,RMBattleMission::StageClearMission::CountMission,Clear a stage 4 times.,993,4,{},0
9009,9,RMBattleMission::StageClearMission::CountMission,Clear a stage 5 times.,992,5,{},0
9010,9,RMBattleMission::StageClearMission::CountMission,Clear a stage 6 times.,991,6,{},0
9011,9,RMBattleMission::StageClearMission::CountMission,Clear a stage 7 times.,990,7,{},0
9012,9,RMBattleMission::StageClearMission::CountMission,Clear a stage 8 times.,989,8,{},0
9013,9,RMBattleMission::LevelClearMission::CountMission,Clear Level 1.,988,1,"{""level"":1}",0
9014,9,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 2 times.,987,2,"{""level"":1}",0
9015,9,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 3 times.,986,3,"{""level"":1}",0
9016,9,RMBattleMission::LevelClearMission::CountMission,Clear Level 2.,985,1,"{""level"":2}",0
9017,9,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 2 times.,984,2,"{""level"":2}",0
9018,9,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 3 times.,983,3,"{""level"":2}",0
9019,9,RMBattleMission::LevelClearMission::CountMission,Clear Level 3.,982,1,"{""level"":3}",0
9020,9,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 2 times.,981,2,"{""level"":3}",0
9021,9,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 3 times.,980,3,"{""level"":3}",0
10001,10,RMBattleMission::EntryMission::CountMission,Enter an Ultimate Clash.,1000,1,{},1
10002,10,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage once.,999,1,{},1
10003,10,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 2 times.,998,2,{},1
10004,10,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 3 times.,997,3,{},1
10005,10,RMBattleMission::StageClearMission::CountMission,Clear a stage once.,996,1,{},0
10006,10,RMBattleMission::StageClearMission::CountMission,Clear a stage 2 times.,995,2,{},0
10007,10,RMBattleMission::StageClearMission::CountMission,Clear a stage 3 times.,994,3,{},0
10008,10,RMBattleMission::StageClearMission::CountMission,Clear a stage 4 times.,993,4,{},0
10009,10,RMBattleMission::StageClearMission::CountMission,Clear a stage 5 times.,992,5,{},0
10010,10,RMBattleMission::StageClearMission::CountMission,Clear a stage 6 times.,991,6,{},0
10011,10,RMBattleMission::StageClearMission::CountMission,Clear a stage 7 times.,990,7,{},0
10012,10,RMBattleMission::StageClearMission::CountMission,Clear a stage 8 times.,989,8,{},0
10013,10,RMBattleMission::StageClearMission::CountMission,Clear a stage 9 times.,988,9,{},0
10014,10,RMBattleMission::LevelClearMission::CountMission,Clear Level 1.,987,1,"{""level"":1}",0
10015,10,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 2 times.,986,2,"{""level"":1}",0
10016,10,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 3 times.,985,3,"{""level"":1}",0
10017,10,RMBattleMission::LevelClearMission::CountMission,Clear Level 2.,984,1,"{""level"":2}",0
10018,10,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 2 times.,983,2,"{""level"":2}",0
10019,10,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 3 times.,982,3,"{""level"":2}",0
10020,10,RMBattleMission::LevelClearMission::CountMission,Clear Level 3.,981,1,"{""level"":3}",0
10021,10,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 2 times.,980,2,"{""level"":3}",0
10022,10,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 3 times.,979,3,"{""level"":3}",0
11001,11,RMBattleMission::EntryMission::CountMission,Enter an Ultimate Clash.,1000,1,{},1
11002,11,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage once.,999,1,{},1
11003,11,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 2 times.,998,2,{},1
11004,11,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 3 times.,997,3,{},1
11005,11,RMBattleMission::StageClearMission::CountMission,Clear a stage once.,996,1,{},0
11006,11,RMBattleMission::StageClearMission::CountMission,Clear a stage 2 times.,995,2,{},0
11007,11,RMBattleMission::StageClearMission::CountMission,Clear a stage 3 times.,994,3,{},0
11008,11,RMBattleMission::StageClearMission::CountMission,Clear a stage 4 times.,993,4,{},0
11009,11,RMBattleMission::StageClearMission::CountMission,Clear a stage 5 times.,992,5,{},0
11010,11,RMBattleMission::StageClearMission::CountMission,Clear a stage 6 times.,991,6,{},0
11011,11,RMBattleMission::StageClearMission::CountMission,Clear a stage 7 times.,990,7,{},0
11012,11,RMBattleMission::StageClearMission::CountMission,Clear a stage 8 times.,989,8,{},0
11013,11,RMBattleMission::StageClearMission::CountMission,Clear a stage 9 times.,988,9,{},0
11014,11,RMBattleMission::LevelClearMission::CountMission,Clear Level 1.,987,1,"{""level"":1}",0
11015,11,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 2 times.,986,2,"{""level"":1}",0
11016,11,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 3 times.,985,3,"{""level"":1}",0
11017,11,RMBattleMission::LevelClearMission::CountMission,Clear Level 2.,984,1,"{""level"":2}",0
11018,11,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 2 times.,983,2,"{""level"":2}",0
11019,11,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 3 times.,982,3,"{""level"":2}",0
11020,11,RMBattleMission::LevelClearMission::CountMission,Clear Level 3.,981,1,"{""level"":3}",0
11021,11,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 2 times.,980,2,"{""level"":3}",0
11022,11,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 3 times.,979,3,"{""level"":3}",0
12001,12,RMBattleMission::EntryMission::CountMission,Enter an Ultimate Clash.,1000,1,{},1
12002,12,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage once.,999,1,{},1
12003,12,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 2 times.,998,2,{},1
12004,12,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 3 times.,997,3,{},1
12005,12,RMBattleMission::StageClearMission::CountMission,Clear a stage once.,996,1,{},0
12006,12,RMBattleMission::StageClearMission::CountMission,Clear a stage 2 times.,995,2,{},0
12007,12,RMBattleMission::StageClearMission::CountMission,Clear a stage 3 times.,994,3,{},0
12008,12,RMBattleMission::StageClearMission::CountMission,Clear a stage 4 times.,993,4,{},0
12009,12,RMBattleMission::StageClearMission::CountMission,Clear a stage 5 times.,992,5,{},0
12010,12,RMBattleMission::StageClearMission::CountMission,Clear a stage 6 times.,991,6,{},0
12011,12,RMBattleMission::StageClearMission::CountMission,Clear a stage 7 times.,990,7,{},0
12012,12,RMBattleMission::StageClearMission::CountMission,Clear a stage 8 times.,989,8,{},0
12013,12,RMBattleMission::StageClearMission::CountMission,Clear a stage 9 times.,988,9,{},0
12014,12,RMBattleMission::LevelClearMission::CountMission,Clear Level 1.,987,1,"{""level"":1}",0
12015,12,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 2 times.,986,2,"{""level"":1}",0
12016,12,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 3 times.,985,3,"{""level"":1}",0
12017,12,RMBattleMission::LevelClearMission::CountMission,Clear Level 2.,984,1,"{""level"":2}",0
12018,12,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 2 times.,983,2,"{""level"":2}",0
12019,12,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 3 times.,982,3,"{""level"":2}",0
12020,12,RMBattleMission::LevelClearMission::CountMission,Clear Level 3.,981,1,"{""level"":3}",0
12021,12,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 2 times.,980,2,"{""level"":3}",0
12022,12,RMBattleMission::LevelClearMission::CountMission,Clear Level 3 for 3 times.,979,3,"{""level"":3}",0
13001,13,RMBattleMission::EntryMission::CountMission,Enter an Ultimate Clash.,1000,1,{},1
13002,13,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage once.,999,1,{},1
13003,13,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 2 times.,998,2,{},1
13004,13,RMBattleMission::StageClearMission::CountMission,[Weekly] Clear a stage 3 times.,997,3,{},1
13005,13,RMBattleMission::StageClearMission::CountMission,Clear a stage once.,996,1,{},0
13006,13,RMBattleMission::StageClearMission::CountMission,Clear a stage 2 times.,995,2,{},0
13007,13,RMBattleMission::StageClearMission::CountMission,Clear a stage 3 times.,994,3,{},0
13008,13,RMBattleMission::StageClearMission::CountMission,Clear a stage 4 times.,993,4,{},0
13009,13,RMBattleMission::StageClearMission::CountMission,Clear a stage 5 times.,992,5,{},0
13010,13,RMBattleMission::StageClearMission::CountMission,Clear a stage 6 times.,991,6,{},0
13011,13,RMBattleMission::StageClearMission::CountMission,Clear a stage 7 times.,990,7,{},0
13012,13,RMBattleMission::StageClearMission::CountMission,Clear a stage 8 times.,989,8,{},0
13013,13,RMBattleMission::StageClearMission::CountMission,Clear a stage 9 times.,988,9,{},0
13014,13,RMBattleMission::StageClearMission::CountMission,Clear a stage 10 times.,987,10,{},0
13015,13,RMBattleMission::LevelClearMission::CountMission,Clear Level 1.,986,1,"{""level"":1}",0
13016,13,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 2 times.,985,2,"{""level"":1}",0
13017,13,RMBattleMission::LevelClearMission::CountMission,Clear Level 1 for 3 times.,984,3,"{""level"":1}",0
13018,13,RMBattleMission::LevelClearMission::CountMission,Clear Level 2.,983,1,"{""level"":2}",0
13019,13,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 2 times.,982,2,"{""level"":2}",0
13020,13,RMBattleMission::LevelClearMission::CountMission,Clear Level 2 for 3 times.,981,3,"{""level"":2}",0
13021,13,RMBattleMission::LevelClearMission::CountMission,Clear Level 3.,980,1,"{""level"":3}",0
