id,equipment_skill_limitation_set_id,type,conditions
36,36,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[22]}"
37,37,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[6]}"
38,38,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[12]}"
39,39,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[13]}"
40,40,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[23]}"
41,41,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[15]}"
42,42,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[16]}"
43,43,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[19]}"
44,44,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[20]}"
45,45,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[21]}"
46,46,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[17]}"
47,47,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[14]}"
48,48,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1013041,1013050,1013051]}"
49,49,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1013061,1013070,1013071]}"
50,50,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1013081,1013090,1013091]}"
51,51,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1013021,1013030,1013031]}"
52,52,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1013001,1013010,1013011]}"
53,53,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"":[17,30]}"
54,54,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[22]}"
55,55,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[24]}"
56,56,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[26]}"
57,57,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[29]}"
58,58,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[30]}"
59,59,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1011661,1012390,1012391,1011680,1011681]}"
60,60,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[31]}"
61,61,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[29]}"
62,62,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[16]}"
63,63,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[33]}"
64,64,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1019161,1019170,1019171,1019191,1019200,1019201,1019081,1019090,1019091,1019231,1019240,1019241,1019211,1019220,1019221]}"
65,65,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1013041,1013050,1013051,1013061,1013070,1013071,1013081,1013090,1013091,1013021,1013030,1013031,1013001,1013010,1013011]}"
66,66,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[36]}"
67,67,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1005181,1010250,1010251]}"
68,68,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[46]}"
69,69,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[47]}"
70,70,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[88]}"
71,71,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[48]}"
72,72,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[90]}"
73,73,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[2,9]}"
74,74,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1005271,1005280,1005281]}"
75,75,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1002801,1005050,1005051]}"
76,76,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1009421,1009430,1009431]}"
77,77,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1009821,1009830,1009831]}"
78,78,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1012881,1012890,1012891,1012900,1012901]}"
79,79,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1012911,1012920,1012921,1012930,1012931]}"
80,80,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1015741,1015750,1015751,1014210,1014211]}"
81,81,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1015761,1015770,1015771,1014220,1014221]}"
82,82,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1018631,1018640,1018641,1018650,1018651]}"
83,83,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1018601,1018610,1018611,1018620,1018621]}"
84,84,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1020321,1020330,1020331,1020340,1020341]}"
85,85,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1020291,1020300,1020301,1020310,1020311]}"
86,86,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1022361,1022370,1022371,1022380,1022381]}"
87,87,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1022401,1022410,1022411,1022420,1022421]}"
88,88,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1025711,1025720,1025721,1025730,1025731]}"
89,89,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1025751,1025760,1025761,1025770,1025771]}"
90,90,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[49]}"
91,91,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1012360,1012361]}"
92,92,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[50]}"
93,93,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[51]}"
94,94,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[52]}"
95,95,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[53]}"
96,96,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[54]}"
97,97,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[38]}"
98,98,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[55]}"
99,99,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1027241,1027250,1027251]}"
100,100,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1027401,1027410,1027411,1027600,1027601]}"
101,101,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[74]}"
102,102,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[57]}"
103,103,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[42]}"
104,104,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[61]}"
105,105,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[28]}"
106,106,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[43]}"
107,108,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[35]}"
109,109,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[92]}"
110,110,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1027961,1027970,1027971,1027980,1027981]}"
111,111,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1028351,1028360,1028361,1028370,1028371]}"
112,112,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[80]}"
113,113,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[40]}"
114,114,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1028001,1028010,1028011,1028020,1028021]}"
115,115,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1028301,1028310,1028311,1028320,1028321]}"
116,116,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1025541,1025550,1025551,1025560,1025561]}"
117,117,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1025571,1025580,1025581,1025590,1025591]}"
118,118,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1026081,1026090,1026091]}"
119,119,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1025501,1025510,1025511]}"
120,120,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1025521,1025530,1025531]}"
121,121,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1028531,1028540,1028541,1028550,1028551]}"
122,122,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1018971,1028600,1028601]}"
123,123,EquipmentSkillLimitation::CardLimitation,"{""card_ids"":[1026061,1026070,1026071]}"
124,124,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[37]}"
125,125,EquipmentSkillLimitation::CardUniqueInfoSetLimitation,"{""card_unique_info_set_ids"":[31]}"
126,126,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[75]}"
127,127,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[39]}"
130,130,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[41]}"
131,131,EquipmentSkillLimitation::CardCategoryLimitation,"{""card_category_ids"":[45]}"
