id,budokai_help_id,image_path,description,created_at,updated_at
22,7,images/en/help_ten1/tour_icon_nikuman.png,Land on a tile with a Meat Bun icon to recover HP.,2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
23,7,,{color: #FFFF00}Tournament Points{color},2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
24,7,images/en/help_ten1/tour_icon_point.png,"Land on a tile with a Tournament Point icon 
to get Tournament Points.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
25,7,,"
{color: #FFFF00}Characters{color}",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
26,7,images/en/help_ten1/tour_icon_card.png,Land on a tile with a Character icon to recruit a character.,2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
27,8,,"The items or characters found on the map will 
be acquired or recruited after the round ends.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
28,8,images/en/help_ten1/2_3_1.png,"However, if you are defeated or choose to 
""Abandon Quest"", you will not be able to obtain and 
recruit the items and characters you have found.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
29,9,,"In the World Tournament, exploration of the map 
will end under the following conditions. 

- Your HP drops to 0. 
- All other teams are eliminated. 
- The given rounds are up. 
- You choose to ""Abandon Quest"" from ""Menu"", 
   which is located at the bottom-right of the screen.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
30,9,images/en/help_ten1/2_4_1.png,"One round passes when every player has finished moving 
around the map. The given number of rounds varies 
according to each round (preliminaries, semifinals, etc.).",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
31,10,,"Battles in the World Tournament adopt the rule of {color: #FFFF00}7{color} on {color: #FFFF00}7{color}, 
including your Friend.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
32,10,images/en/help_ten1/3_1_1.png,"All the opponents have their own HP. Also, 
please note that your Friend's Leader Skill 
will not be activated in the World Tournament. 

The icons of opponents that will attack you 
in the round will be marked with a yellow frame 
on the upper side of your screen. 

Just as in other battles, you can choose your target, 
use items, launch Super Attacks and enter Dokkan Mode.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
33,11,,"In battles, {color: #FFFF00}Tournament Points{color} can be obtained 
in the following ways. 

1. Collecting Ki Spheres. (You will get more points if the 
    collected Ki Spheres match the character's Type.) 
2. Defeating the opponent by dropping their HP to 0. 
3. Defeating the opponent's team. 

In addition, you will receive extra points if you bring 
an opponent's HP to 0 with a Super Attack or with 
a character of an advantageous Type. The extra points 
received will also vary according to the opponent's level.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
34,12,,"Battles end under the following situations. 

- Your HP drops to 0. 
- All the characters on the opponent's team are defeated. 
- The given number of charges are up. 
- You choose to ""Abandon Quest"" from ""Menu"", 
   which is located at the bottom-right of the screen.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
35,12,,"One charge passes after a character collects Ki Spheres. 
The number of remaining charges will be shown on the screen.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
36,12,images/en/help_ten1/3_3_1.png,"The given number of charges varies according 
to each round (preliminaries, semifinals, etc.).",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
37,13,,"You can obtain various {color: #FFFF00}rewards{color} in the World Tournament. 

The rewards collected in a round will be acquired after the 
round ends. However, if you are defeated (GAME OVER) or 
select ""Abandon Quest"", you will not be able to acquire 
these rewards. 

Unlike other battles, you will not gain Friend Points, and you gain 
character EXP after the round ends, not directly after the battle.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
38,14,,"After the World Tournament ends, {color: #FFFF00}ranking rewards{color} 
will be distributed according to your ranking, which 
is decided by your Total Tournament Points. 

Please refer to the ""Reward"" page on the World Tournament 
main page for more information on ranking rewards.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
39,14,images/en/help_ten1/10.png,"The reward distribution period will vary according to each World 
Tournament. Please refer to the announcements for details.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
40,15,,"Rewards can be obtained by completing missions 
related to the World Tournament.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
41,15,,"Please navigate the following path for more information 
on missions and rewards: ""World Tournament main page"" 
--> ""Reward"" --> ""Missions"".",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
42,15,images/en/help_ten1/6.png,"In addition, some missions will be listed under 
""Daily Missions"" or ""Event Missions"".",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
43,15,images/en/help/help_mission_01.png,"Please tap the ""Mission"" button located on the Home Screen 
for more information. 

Note that you will not be able to claim Daily Mission rewards 
if they are not claimed before the daily update of the missions. 
Please check the details of each mission for the deadline.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
44,17,,"In addition to defeating opponents, Tournament Points 
can also be gained as bonuses in other ways. 

The more rounds (the number of moves left on the map) left 
before the round concludes, the more extra points you will get. 

Moreover, Bonus Teams will appear randomly.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
45,17,images/en/help_ten1/1_7_1.png,"You can earn more Tournament Points than usual 
by defeating opponents from Bonus Teams. Information 
regarding bonuses will be displayed on the result page.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
46,18,,"Local Ranking is a ranking in which a small number of players 
compete against each other. 

The rankings are determined based on {color: #FFFF00}the number of 
Tournament Points players earn while the Local Ranking 
is being held.{color}",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
47,18,images/en/help_ten1/1.png,"
Rewards are given out according to the final rankings 
after the event period ends. Players who earn the 
same number of Tournament Points will be given 
the same ranking. 

* During the event period, rankings are not updated 
in real time. It may take several minutes before the 
latest information appears.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
48,19,,"Rankings are determined based on the number of Tournament 
Points you earn while the Local Ranking is being held. Rewards 
are given out according to the final rankings.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
49,19,images/en/help_ten1/7.png,"You can check the available rewards by tapping 
""Reward"" on the World Tournament main page. 

Once the final rankings have been calculated after the event 
period of the Local Ranking ends, you can confirm your rewards 
on the Home Screen or the World Tournament main page. 
* Rewards can be claimed from the Gift Box.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
50,20,,"The Win Streak Bonus allows you to receive {color: #FFFF00}extra 
Tournament Points{color} when consecutive wins are achieved.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
51,20,images/en/help_ten1/2.png,"
The Win Streak Bonus is an additional bonus added 
to your regular Win Bonus. Your Victory Points are 
therefore calculated using these two bonuses. 

Example: In the case of Victory Points x1.3, 
the bonus is made up of two parts: 
the Win Bonus (1) + Win Streak Bonus (0.3).",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
52,20,images/en/help_ten1/3-1.png,"
Your Win Streak Bonus grows as you rack up 
more wins in a row, but it stops increasing after 
your ninth consecutive win. It will reset if you lose or 
retire during a tournament, but you can start another 
Win Streak Bonus by winning consecutively again. 

* The Win Streak Bonus will be reset at the start of 
each World Tournament. It cannot be carried over 
from the previous World Tournament.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
53,21,,"You can select your Ambition by tapping the 
""Participate"" button on the World Tournament main page.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
54,21,,"The Ambition you select will determine the strength 
of your opponents in the tournament. Based on your 
choice, an Ambition Bonus will also be added to your 
Victory Bonus (bonus for winning the preliminaries, 
bonus for winning the tournament etc.). 

In the case of Victory Bonus x10, for example, the bonus 
is made up of two parts: the regular Victory Bonus (1) + 
Ambition Bonus (9).",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
55,21,images/en/help_ten1/4-2.png,,2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
56,21,images/en/help_ten1/5-1.png,"
You cannot change your Ambition after entering a tournament.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
57,21,images/en/help_ten1/5-2.png,"
You can view more details on the Ambition you have 
selected by tapping ""Ambition"" at the upper part of 
the ""Check Progress"" screen.",2024-07-16 08:42:36.559641,2024-07-16 08:42:36.559641
