id,z_battle_first_reward_set_id,item_id,item_type,quantity,card_exp_init
179,54,100013,AwakeningItem,6,0
180,54,14,PotentialItem,40,0
181,55,11,Point::Stone,1,0
182,55,100013,AwakeningItem,7,0
183,55,4,PotentialItem,500,0
184,56,11,Point::Stone,1,0
185,56,100013,AwakeningItem,8,0
186,56,9,PotentialItem,400,0
187,56,1012260,Card,2,0
188,57,11,Point::Stone,1,0
189,57,100014,AwakeningItem,4,0
190,57,14,PotentialItem,40,0
191,58,11,Point::Stone,1,0
192,58,100014,AwakeningItem,5,0
193,58,4,PotentialItem,500,0
194,59,11,Point::Stone,1,0
195,59,100014,AwakeningItem,6,0
196,59,9,PotentialItem,400,0
197,60,11,Point::Stone,1,0
198,60,100014,AwakeningItem,7,0
199,60,14,PotentialItem,40,0
200,61,11,Point::Stone,1,0
201,61,100014,AwakeningItem,8,0
202,61,4,PotentialItem,500,0
203,61,9,PotentialItem,400,0
204,61,14,PotentialItem,40,0
205,61,1012260,Card,3,0
206,62,1005480,Card,1,765122
207,63,100021,AwakeningItem,1,0
208,63,1,PotentialItem,160,0
209,64,100021,AwakeningItem,1,0
210,64,2,PotentialItem,160,0
211,65,100021,AwakeningItem,1,0
212,65,3,PotentialItem,160,0
213,66,100021,AwakeningItem,1,0
214,66,4,PotentialItem,160,0
215,67,100021,AwakeningItem,1,0
216,67,5,PotentialItem,160,0
217,67,1012260,Card,1,0
218,68,100021,AwakeningItem,1,0
219,68,6,PotentialItem,130,0
220,69,100021,AwakeningItem,2,0
221,69,7,PotentialItem,130,0
222,70,100021,AwakeningItem,2,0
223,70,8,PotentialItem,130,0
224,71,100021,AwakeningItem,2,0
225,71,9,PotentialItem,130,0
226,72,100021,AwakeningItem,3,0
227,72,10,PotentialItem,130,0
228,72,1012260,Card,1,0
229,73,100022,AwakeningItem,1,0
230,73,11,PotentialItem,10,0
231,74,100022,AwakeningItem,1,0
232,74,12,PotentialItem,10,0
233,75,100022,AwakeningItem,2,0
234,75,13,PotentialItem,10,0
235,76,100022,AwakeningItem,2,0
236,76,14,PotentialItem,10,0
237,77,100022,AwakeningItem,4,0
238,77,15,PotentialItem,10,0
239,77,1012260,Card,1,0
240,78,100022,AwakeningItem,4,0
241,78,1,PotentialItem,180,0
242,79,100022,AwakeningItem,5,0
243,79,2,PotentialItem,180,0
244,80,100022,AwakeningItem,6,0
245,80,3,PotentialItem,180,0
246,81,100022,AwakeningItem,7,0
247,81,4,PotentialItem,180,0
248,82,100022,AwakeningItem,8,0
249,82,5,PotentialItem,180,0
250,82,1012260,Card,1,0
251,83,100023,AwakeningItem,4,0
252,83,6,PotentialItem,140,0
253,84,100023,AwakeningItem,5,0
254,84,7,PotentialItem,140,0
255,85,100023,AwakeningItem,6,0
256,85,8,PotentialItem,140,0
257,86,100023,AwakeningItem,7,0
258,86,9,PotentialItem,140,0
259,87,100023,AwakeningItem,8,0
260,87,10,PotentialItem,140,0
261,87,1012260,Card,1,0
262,88,100024,AwakeningItem,4,0
263,88,11,PotentialItem,12,0
264,89,100024,AwakeningItem,5,0
265,89,12,PotentialItem,12,0
266,90,100024,AwakeningItem,6,0
267,90,13,PotentialItem,12,0
268,91,100024,AwakeningItem,7,0
269,91,14,PotentialItem,12,0
270,92,100024,AwakeningItem,8,0
271,92,15,PotentialItem,12,0
272,92,1012260,Card,1,0
273,93,1,PotentialItem,190,0
274,94,2,PotentialItem,190,0
275,95,3,PotentialItem,190,0
276,96,4,PotentialItem,190,0
277,97,5,PotentialItem,190,0
278,98,6,PotentialItem,145,0
279,99,7,PotentialItem,145,0
280,100,8,PotentialItem,145,0
281,101,9,PotentialItem,145,0
282,102,10,PotentialItem,145,0
283,102,1012230,Card,1,0
284,103,11,PotentialItem,13,0
285,104,12,PotentialItem,13,0
286,105,13,PotentialItem,13,0
287,106,14,PotentialItem,13,0
288,107,15,PotentialItem,13,0
289,108,1,PotentialItem,200,0
290,109,2,PotentialItem,200,0
291,110,3,PotentialItem,200,0
292,111,4,PotentialItem,200,0
293,112,5,PotentialItem,200,0
294,112,1012240,Card,1,0
295,113,6,PotentialItem,150,0
296,114,7,PotentialItem,150,0
297,115,8,PotentialItem,150,0
298,116,9,PotentialItem,150,0
299,117,10,PotentialItem,150,0
300,118,11,PotentialItem,14,0
301,119,12,PotentialItem,14,0
302,120,13,PotentialItem,14,0
303,121,14,PotentialItem,14,0
304,122,15,PotentialItem,14,0
305,122,1012250,Card,1,0
306,123,1,PotentialItem,210,0
307,124,2,PotentialItem,210,0
308,125,3,PotentialItem,210,0
309,126,4,PotentialItem,210,0
310,127,5,PotentialItem,210,0
311,128,6,PotentialItem,160,0
312,129,7,PotentialItem,160,0
313,130,8,PotentialItem,160,0
314,131,9,PotentialItem,160,0
315,132,10,PotentialItem,160,0
316,132,1012260,Card,1,0
317,133,11,PotentialItem,15,0
318,134,12,PotentialItem,15,0
319,135,13,PotentialItem,15,0
320,136,14,PotentialItem,15,0
321,137,15,PotentialItem,15,0
322,138,1,PotentialItem,250,0
323,138,2,PotentialItem,250,0
324,138,3,PotentialItem,250,0
325,138,4,PotentialItem,250,0
326,138,5,PotentialItem,250,0
327,138,6,PotentialItem,180,0
328,138,7,PotentialItem,180,0
329,138,8,PotentialItem,180,0
330,138,9,PotentialItem,180,0
331,138,10,PotentialItem,180,0
332,138,11,PotentialItem,20,0
333,138,12,PotentialItem,20,0
334,138,13,PotentialItem,20,0
335,138,14,PotentialItem,20,0
336,138,15,PotentialItem,20,0
337,139,1,PotentialItem,250,0
338,139,2,PotentialItem,250,0
339,139,3,PotentialItem,250,0
340,139,4,PotentialItem,250,0
341,139,5,PotentialItem,250,0
342,139,6,PotentialItem,180,0
343,139,7,PotentialItem,180,0
344,139,8,PotentialItem,180,0
345,139,9,PotentialItem,180,0
346,139,10,PotentialItem,180,0
347,139,11,PotentialItem,20,0
348,139,12,PotentialItem,20,0
349,139,13,PotentialItem,20,0
350,139,14,PotentialItem,20,0
351,139,15,PotentialItem,20,0
352,139,1012270,Card,1,0
353,140,1005480,Card,1,765122
354,141,11,Point::Stone,1,0
355,141,100031,AwakeningItem,1,0
356,141,5,PotentialItem,370,0
357,142,11,Point::Stone,1,0
358,142,100031,AwakeningItem,1,0
359,142,10,PotentialItem,270,0
360,143,11,Point::Stone,1,0
361,143,100031,AwakeningItem,1,0
362,143,15,PotentialItem,20,0
363,144,11,Point::Stone,1,0
364,144,100031,AwakeningItem,1,0
365,144,5,PotentialItem,370,0
366,145,11,Point::Stone,1,0
367,145,100031,AwakeningItem,1,0
368,145,10,PotentialItem,270,0
369,145,1012270,Card,1,0
370,146,11,Point::Stone,1,0
371,146,100031,AwakeningItem,1,0
372,146,15,PotentialItem,20,0
373,147,11,Point::Stone,1,0
374,147,100031,AwakeningItem,2,0
375,147,5,PotentialItem,370,0
376,148,11,Point::Stone,1,0
377,148,100031,AwakeningItem,2,0
378,148,10,PotentialItem,270,0
379,149,11,Point::Stone,1,0
380,149,100031,AwakeningItem,2,0
381,149,15,PotentialItem,20,0
382,150,11,Point::Stone,1,0
383,150,100031,AwakeningItem,3,0
384,150,5,PotentialItem,370,0
385,150,10,PotentialItem,270,0
386,150,15,PotentialItem,20,0
387,150,1012270,Card,1,0
388,151,11,Point::Stone,1,0
389,151,100032,AwakeningItem,1,0
390,151,5,PotentialItem,430,0
391,152,11,Point::Stone,1,0
392,152,100032,AwakeningItem,1,0
393,152,10,PotentialItem,330,0
394,153,11,Point::Stone,1,0
395,153,100032,AwakeningItem,2,0
396,153,15,PotentialItem,30,0
397,154,11,Point::Stone,1,0
398,154,100032,AwakeningItem,2,0
399,154,5,PotentialItem,430,0
400,155,11,Point::Stone,1,0
401,155,100032,AwakeningItem,4,0
402,155,10,PotentialItem,330,0
403,155,1012270,Card,2,0
404,156,11,Point::Stone,1,0
405,156,100032,AwakeningItem,4,0
406,156,15,PotentialItem,30,0
407,157,11,Point::Stone,1,0
408,157,100032,AwakeningItem,5,0
409,157,5,PotentialItem,430,0
410,158,11,Point::Stone,1,0
411,158,100032,AwakeningItem,6,0
412,158,10,PotentialItem,330,0
413,159,11,Point::Stone,1,0
414,159,100032,AwakeningItem,7,0
415,159,15,PotentialItem,30,0
416,160,11,Point::Stone,1,0
417,160,100032,AwakeningItem,8,0
418,160,5,PotentialItem,430,0
419,160,10,PotentialItem,330,0
420,160,15,PotentialItem,30,0
421,160,1012270,Card,2,0
422,161,11,Point::Stone,1,0
423,161,100033,AwakeningItem,4,0
424,161,5,PotentialItem,500,0
425,162,11,Point::Stone,1,0
426,162,100033,AwakeningItem,5,0
427,162,10,PotentialItem,400,0
428,163,11,Point::Stone,1,0
429,163,100033,AwakeningItem,6,0
430,163,15,PotentialItem,40,0
431,164,11,Point::Stone,1,0
432,164,100033,AwakeningItem,7,0
433,164,5,PotentialItem,500,0
434,165,11,Point::Stone,1,0
435,165,100033,AwakeningItem,8,0
436,165,10,PotentialItem,400,0
437,165,1012270,Card,2,0
438,166,11,Point::Stone,1,0
439,166,100034,AwakeningItem,4,0
440,166,15,PotentialItem,40,0
441,167,11,Point::Stone,1,0
442,167,100034,AwakeningItem,5,0
443,167,5,PotentialItem,500,0
444,168,11,Point::Stone,1,0
445,168,100034,AwakeningItem,6,0
446,168,10,PotentialItem,400,0
447,169,11,Point::Stone,1,0
448,169,100034,AwakeningItem,7,0
449,169,15,PotentialItem,40,0
450,170,11,Point::Stone,1,0
451,170,100034,AwakeningItem,8,0
452,170,5,PotentialItem,500,0
453,170,10,PotentialItem,400,0
454,170,15,PotentialItem,40,0
455,170,1012270,Card,3,0
456,171,1005480,Card,1,765122
620,203,11,Point::Stone,1,0
621,203,100041,AwakeningItem,1,0
622,203,100051,AwakeningItem,1,0
623,203,100061,AwakeningItem,1,0
624,203,4,PotentialItem,370,0
625,204,11,Point::Stone,1,0
626,204,100041,AwakeningItem,1,0
627,204,100051,AwakeningItem,1,0
628,204,100061,AwakeningItem,1,0
629,204,9,PotentialItem,270,0
630,205,11,Point::Stone,1,0
631,205,100041,AwakeningItem,1,0
632,205,100051,AwakeningItem,1,0
633,205,100061,AwakeningItem,1,0
634,205,14,PotentialItem,20,0
635,206,11,Point::Stone,1,0
636,206,100041,AwakeningItem,1,0
637,206,100051,AwakeningItem,1,0
638,206,100061,AwakeningItem,1,0
639,206,4,PotentialItem,370,0
640,207,11,Point::Stone,1,0
641,207,100041,AwakeningItem,1,0
642,207,100051,AwakeningItem,1,0
643,207,100061,AwakeningItem,1,0
644,207,9,PotentialItem,270,0
645,207,1012260,Card,1,0
646,208,11,Point::Stone,1,0
647,208,100041,AwakeningItem,1,0
648,208,100051,AwakeningItem,1,0
649,208,100061,AwakeningItem,1,0
650,208,14,PotentialItem,20,0
651,209,11,Point::Stone,1,0
652,209,100041,AwakeningItem,2,0
653,209,100051,AwakeningItem,2,0
654,209,100061,AwakeningItem,2,0
655,209,4,PotentialItem,370,0
656,210,11,Point::Stone,1,0
657,210,100041,AwakeningItem,2,0
658,210,100051,AwakeningItem,2,0
659,210,100061,AwakeningItem,2,0
660,210,9,PotentialItem,270,0
661,211,11,Point::Stone,1,0
662,211,100041,AwakeningItem,2,0
663,211,100051,AwakeningItem,2,0
664,211,100061,AwakeningItem,2,0
665,211,14,PotentialItem,20,0
666,212,11,Point::Stone,1,0
667,212,100041,AwakeningItem,3,0
668,212,100051,AwakeningItem,3,0
669,212,100061,AwakeningItem,3,0
670,212,4,PotentialItem,370,0
671,212,9,PotentialItem,270,0
672,212,14,PotentialItem,20,0
673,212,1012260,Card,1,0
674,213,11,Point::Stone,1,0
675,213,100042,AwakeningItem,1,0
676,213,100052,AwakeningItem,1,0
677,213,100062,AwakeningItem,1,0
678,213,1,PotentialItem,430,0
679,214,11,Point::Stone,1,0
680,214,100042,AwakeningItem,1,0
681,214,100052,AwakeningItem,1,0
682,214,100062,AwakeningItem,1,0
683,214,6,PotentialItem,330,0
684,215,11,Point::Stone,1,0
685,215,100042,AwakeningItem,2,0
686,215,100052,AwakeningItem,2,0
687,215,100062,AwakeningItem,2,0
688,215,11,PotentialItem,30,0
689,216,11,Point::Stone,1,0
690,216,100042,AwakeningItem,2,0
691,216,100052,AwakeningItem,2,0
692,216,100062,AwakeningItem,2,0
693,216,1,PotentialItem,430,0
694,217,11,Point::Stone,1,0
695,217,100042,AwakeningItem,4,0
696,217,100052,AwakeningItem,4,0
697,217,100062,AwakeningItem,4,0
698,217,6,PotentialItem,330,0
699,217,1012230,Card,2,0
700,218,11,Point::Stone,1,0
701,218,100042,AwakeningItem,4,0
702,218,100052,AwakeningItem,4,0
703,218,100062,AwakeningItem,4,0
704,218,11,PotentialItem,30,0
705,219,11,Point::Stone,1,0
706,219,100042,AwakeningItem,5,0
707,219,100052,AwakeningItem,5,0
708,219,100062,AwakeningItem,5,0
709,219,1,PotentialItem,430,0
710,220,11,Point::Stone,1,0
711,220,100042,AwakeningItem,6,0
712,220,100052,AwakeningItem,6,0
713,220,100062,AwakeningItem,6,0
714,220,6,PotentialItem,330,0
715,221,11,Point::Stone,1,0
716,221,100042,AwakeningItem,7,0
717,221,100052,AwakeningItem,7,0
718,221,100062,AwakeningItem,7,0
719,221,11,PotentialItem,30,0
720,222,11,Point::Stone,1,0
721,222,100042,AwakeningItem,8,0
722,222,100052,AwakeningItem,8,0
723,222,100062,AwakeningItem,8,0
724,222,1,PotentialItem,430,0
725,222,6,PotentialItem,330,0
726,222,11,PotentialItem,30,0
727,222,1012230,Card,2,0
728,223,11,Point::Stone,1,0
729,223,100043,AwakeningItem,4,0
730,223,100053,AwakeningItem,4,0
731,223,100063,AwakeningItem,4,0
732,223,4,PotentialItem,500,0
733,224,11,Point::Stone,1,0
734,224,100043,AwakeningItem,5,0
735,224,100053,AwakeningItem,5,0
736,224,100063,AwakeningItem,5,0
737,224,9,PotentialItem,400,0
738,225,11,Point::Stone,1,0
739,225,100043,AwakeningItem,6,0
740,225,100053,AwakeningItem,6,0
741,225,100063,AwakeningItem,6,0
742,225,14,PotentialItem,40,0
743,226,11,Point::Stone,1,0
744,226,100043,AwakeningItem,7,0
745,226,100053,AwakeningItem,7,0
746,226,100063,AwakeningItem,7,0
747,226,4,PotentialItem,500,0
748,227,11,Point::Stone,1,0
749,227,100043,AwakeningItem,8,0
750,227,100053,AwakeningItem,8,0
751,227,100063,AwakeningItem,8,0
752,227,9,PotentialItem,400,0
753,227,1012260,Card,2,0
754,228,11,Point::Stone,1,0
755,228,100044,AwakeningItem,4,0
756,228,100054,AwakeningItem,4,0
757,228,100064,AwakeningItem,4,0
758,228,14,PotentialItem,40,0
759,229,11,Point::Stone,1,0
760,229,100044,AwakeningItem,5,0
761,229,100054,AwakeningItem,5,0
762,229,100064,AwakeningItem,5,0
763,229,4,PotentialItem,500,0
764,230,11,Point::Stone,1,0
765,230,100044,AwakeningItem,6,0
766,230,100054,AwakeningItem,6,0
767,230,100064,AwakeningItem,6,0
768,230,9,PotentialItem,400,0
769,231,11,Point::Stone,1,0
770,231,100044,AwakeningItem,7,0
771,231,100054,AwakeningItem,7,0
772,231,100064,AwakeningItem,7,0
773,231,14,PotentialItem,40,0
774,232,11,Point::Stone,1,0
775,232,100044,AwakeningItem,8,0
776,232,100054,AwakeningItem,8,0
777,232,100064,AwakeningItem,8,0
778,232,4,PotentialItem,500,0
779,232,9,PotentialItem,400,0
780,232,14,PotentialItem,40,0
781,232,1012260,Card,3,0
782,233,1005480,Card,1,765122
783,234,11,Point::Stone,1,0
784,234,100071,AwakeningItem,1,0
785,234,2,PotentialItem,370,0
786,235,11,Point::Stone,1,0
787,235,100071,AwakeningItem,1,0
788,235,7,PotentialItem,270,0
789,236,11,Point::Stone,1,0
790,236,100071,AwakeningItem,1,0
791,236,12,PotentialItem,20,0
792,237,11,Point::Stone,1,0
793,237,100071,AwakeningItem,1,0
794,237,2,PotentialItem,370,0
795,238,11,Point::Stone,1,0
796,238,100071,AwakeningItem,1,0
797,238,7,PotentialItem,270,0
798,238,1012240,Card,1,0
799,239,11,Point::Stone,1,0
800,239,100071,AwakeningItem,1,0
801,239,12,PotentialItem,20,0
802,240,11,Point::Stone,1,0
803,240,100071,AwakeningItem,2,0
804,240,2,PotentialItem,370,0
805,241,11,Point::Stone,1,0
806,241,100071,AwakeningItem,2,0
807,241,7,PotentialItem,270,0
808,242,11,Point::Stone,1,0
809,242,100071,AwakeningItem,2,0
810,242,12,PotentialItem,20,0
811,243,11,Point::Stone,1,0
812,243,100071,AwakeningItem,3,0
813,243,2,PotentialItem,370,0
814,243,7,PotentialItem,270,0
815,243,12,PotentialItem,20,0
816,243,1012240,Card,1,0
817,244,11,Point::Stone,1,0
818,244,100072,AwakeningItem,1,0
819,244,2,PotentialItem,430,0
820,245,11,Point::Stone,1,0
821,245,100072,AwakeningItem,1,0
822,245,7,PotentialItem,330,0
823,246,11,Point::Stone,1,0
824,246,100072,AwakeningItem,2,0
825,246,12,PotentialItem,30,0
826,247,11,Point::Stone,1,0
827,247,100072,AwakeningItem,2,0
828,247,2,PotentialItem,430,0
829,248,11,Point::Stone,1,0
830,248,100072,AwakeningItem,4,0
831,248,7,PotentialItem,330,0
832,248,1012240,Card,2,0
833,249,11,Point::Stone,1,0
834,249,100072,AwakeningItem,4,0
835,249,12,PotentialItem,30,0
836,250,11,Point::Stone,1,0
837,250,100072,AwakeningItem,5,0
838,250,2,PotentialItem,430,0
839,251,11,Point::Stone,1,0
840,251,100072,AwakeningItem,6,0
841,251,7,PotentialItem,330,0
842,252,11,Point::Stone,1,0
843,252,100072,AwakeningItem,7,0
844,252,12,PotentialItem,30,0
845,253,11,Point::Stone,1,0
846,253,100072,AwakeningItem,8,0
847,253,2,PotentialItem,430,0
848,253,7,PotentialItem,330,0
849,253,12,PotentialItem,30,0
850,253,1012240,Card,2,0
851,254,11,Point::Stone,1,0
852,254,100073,AwakeningItem,4,0
853,254,2,PotentialItem,500,0
854,255,11,Point::Stone,1,0
855,255,100073,AwakeningItem,5,0
856,255,7,PotentialItem,400,0
857,256,11,Point::Stone,1,0
858,256,100073,AwakeningItem,6,0
859,256,12,PotentialItem,40,0
860,257,11,Point::Stone,1,0
861,257,100073,AwakeningItem,7,0
862,257,2,PotentialItem,500,0
863,258,11,Point::Stone,1,0
864,258,100073,AwakeningItem,8,0
865,258,7,PotentialItem,400,0
866,258,1012240,Card,2,0
867,259,11,Point::Stone,1,0
868,259,100074,AwakeningItem,4,0
869,259,12,PotentialItem,40,0
870,260,11,Point::Stone,1,0
871,260,100074,AwakeningItem,5,0
872,260,2,PotentialItem,500,0
873,261,11,Point::Stone,1,0
874,261,100074,AwakeningItem,6,0
875,261,7,PotentialItem,400,0
876,262,11,Point::Stone,1,0
877,262,100074,AwakeningItem,7,0
878,262,12,PotentialItem,40,0
879,263,11,Point::Stone,1,0
880,263,100074,AwakeningItem,8,0
881,263,2,PotentialItem,500,0
882,263,7,PotentialItem,400,0
883,263,12,PotentialItem,40,0
884,263,1012240,Card,3,0
885,264,1005480,Card,1,765122
886,265,11,Point::Stone,1,0
887,265,100081,AwakeningItem,1,0
888,265,3,PotentialItem,370,0
889,266,11,Point::Stone,1,0
890,266,100081,AwakeningItem,1,0
891,266,8,PotentialItem,270,0
892,267,11,Point::Stone,1,0
893,267,100081,AwakeningItem,1,0
894,267,13,PotentialItem,20,0
895,268,11,Point::Stone,1,0
896,268,100081,AwakeningItem,1,0
897,268,3,PotentialItem,370,0
898,269,11,Point::Stone,1,0
899,269,100081,AwakeningItem,1,0
900,269,8,PotentialItem,270,0
901,269,1012250,Card,1,0
902,270,11,Point::Stone,1,0
903,270,100081,AwakeningItem,1,0
904,270,13,PotentialItem,20,0
905,271,11,Point::Stone,1,0
906,271,100081,AwakeningItem,2,0
907,271,3,PotentialItem,370,0
908,272,11,Point::Stone,1,0
909,272,100081,AwakeningItem,2,0
910,272,8,PotentialItem,270,0
911,273,11,Point::Stone,1,0
912,273,100081,AwakeningItem,2,0
913,273,13,PotentialItem,20,0
914,274,11,Point::Stone,1,0
915,274,100081,AwakeningItem,3,0
916,274,3,PotentialItem,370,0
917,274,8,PotentialItem,270,0
918,274,13,PotentialItem,20,0
919,274,1012250,Card,1,0
920,275,11,Point::Stone,1,0
921,275,100082,AwakeningItem,1,0
922,275,3,PotentialItem,430,0
923,276,11,Point::Stone,1,0
924,276,100082,AwakeningItem,1,0
925,276,8,PotentialItem,330,0
926,277,11,Point::Stone,1,0
927,277,100082,AwakeningItem,2,0
928,277,13,PotentialItem,30,0
929,278,11,Point::Stone,1,0
930,278,100082,AwakeningItem,2,0
931,278,3,PotentialItem,430,0
932,279,11,Point::Stone,1,0
933,279,100082,AwakeningItem,4,0
934,279,8,PotentialItem,330,0
935,279,1012250,Card,2,0
936,280,11,Point::Stone,1,0
937,280,100082,AwakeningItem,4,0
938,280,13,PotentialItem,30,0
939,281,11,Point::Stone,1,0
940,281,100082,AwakeningItem,5,0
941,281,3,PotentialItem,430,0
942,282,11,Point::Stone,1,0
943,282,100082,AwakeningItem,6,0
944,282,8,PotentialItem,330,0
945,283,11,Point::Stone,1,0
946,283,100082,AwakeningItem,7,0
947,283,13,PotentialItem,30,0
948,284,11,Point::Stone,1,0
949,284,100082,AwakeningItem,8,0
950,284,3,PotentialItem,430,0
951,284,8,PotentialItem,330,0
952,284,13,PotentialItem,30,0
953,284,1012250,Card,2,0
954,285,11,Point::Stone,1,0
955,285,100083,AwakeningItem,4,0
956,285,3,PotentialItem,500,0
957,286,11,Point::Stone,1,0
