id,bg_anime,chara_anime,bgm_id,start_at,end_at,created_at,updated_at
42,ef_071,ef_070,169.0,2022-04-01 00:00:00,2022-04-01 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
43,ef_067,ef_066,167.0,2022-07-07 00:00:00,2022-08-07 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
44,ef_069,ef_068,167.0,2022-08-08 00:00:00,2022-08-15 06:29:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
45,ef_069,ef_068,,2022-08-15 06:30:00,2022-08-26 05:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
46,ef_075,ef_074,212.0,2022-08-26 06:00:00,2022-09-09 05:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
47,ef_077,ef_076,213.0,2022-09-09 06:00:00,2022-10-03 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
48,ef_069,ef_068,,2022-10-04 00:00:00,2022-11-27 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
49,ef_073,ef_072,,2022-11-28 00:00:00,2022-12-27 14:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
50,ef_079,ef_078,230.0,2022-12-27 15:00:00,2023-01-30 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
51,ef_069,ef_068,,2023-01-31 00:00:00,2023-03-31 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
52,ef_083,ef_082,,2023-04-01 00:00:00,2023-04-01 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
53,ef_069,ef_068,,2023-04-02 00:00:00,2023-07-06 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
54,ef_081,ef_080,167.0,2023-07-07 00:00:00,2023-08-06 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
55,ef_081,ef_080,253.0,2023-08-07 00:00:00,2023-08-11 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
56,ef_069,ef_068,,2023-08-12 00:00:00,2023-08-25 05:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
57,ef_087,ef_086,304.0,2023-08-25 06:00:00,2023-09-14 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
58,ef_087,ef_086,306.0,2023-09-15 00:00:00,2023-09-22 05:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
59,ef_089,ef_088,306.0,2023-09-22 06:00:00,2023-10-04 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
60,ef_069,ef_068,,2023-10-05 00:00:00,2023-11-02 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
61,ef_085,ef_084,,2023-11-03 00:00:00,2023-11-29 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
62,ef_069,ef_068,,2023-11-30 00:00:00,2024-03-31 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
63,ef_095,ef_094,,2024-04-01 00:00:00,2024-04-01 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
64,ef_069,ef_068,,2024-04-02 00:00:00,2024-07-06 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
65,ef_091,ef_090,178.0,2024-07-07 00:00:00,2024-07-12 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
66,ef_091,ef_090,353.0,2024-07-13 00:00:00,2024-07-18 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
67,ef_093,ef_092,230.0,2024-07-18 00:00:00,2024-07-30 23:59:59,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
68,ef_093,ef_092,305.0,2024-07-31 00:00:00,2038-01-01 00:00:00,2024-07-16 08:41:20.534471,2024-07-16 08:41:20.534471
