id,name,description,exec_timing_type,calc_option,turn,probability,causality_conditions,icon_type,target_type,target_value1,target_value2,target_value3,sub_target_type_set_id,efficacy_type,eff_value1,eff_value2,eff_value3,is_eternal,created_at,updated_at
21,"Deactivate ""Disable ATK & DEF Reduction""",Deactivates the effect that disables ATK & DEF Reduction,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,4,0,0,0,0,22,18,20,1.0,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
30,ATK & DEF Boost,Greatly increases ATK & DEF,1,2,1,100,"{""source"":""3076"",""compiled"":3076}",0,4,0,0,0,0,23,20,20,,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
31,"Deactivate ""ATK & DEF Boost""",Deactivates the effect that greatly increases ATK & DEF,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,4,0,0,0,0,22,18,5,1.0,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
40,Damage Reduction,Reduces damage received,1,2,1,100,"{""source"":""3076"",""compiled"":3076}",0,4,0,0,0,0,24,0,0,,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
41,"Deactivate ""Damage Reduction""",Deactivates the effect that reduces damage received,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,4,0,0,0,0,22,18,40,1.0,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
42,Disable ATK & DEF Reduction,Disables ATK & DEF Reduction,1,0,1,100,"{""source"":""3076"",""compiled"":3076}",0,4,0,0,0,0,13,3,0,,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
43,"Deactivate ""Disable ATK & DEF Reduction""",Deactivates the effect that disables ATK & DEF Reduction,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,4,0,0,0,0,22,18,42,1.0,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
44,Disable Super Attack Sealing,Nullifies Super Attack sealing effect,1,0,1,100,"{""source"":""3076"",""compiled"":3076}",0,4,0,0,0,0,14,0,0,,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
45,"Deactivate ""Disable Super Attack Sealing""",Deactivates the effect that nullifies Super Attack sealing,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,4,0,0,0,0,22,18,44,1.0,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
46,Stun Immunity,Grants immunity to being stunned,1,0,1,100,"{""source"":""3076"",""compiled"":3076}",0,4,0,0,0,0,10,0,0,,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
47,"Deactivate ""Stun Immunity""",Deactivates the effect that grants immunity to being stunned,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,4,0,0,0,0,22,18,46,1.0,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
50,DEF Boost,Greatly increases DEF,1,2,1,100,"{""source"":""3076"",""compiled"":3076}",0,4,0,0,0,0,23,0,20,,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
51,"Deactivate ""DEF Boost""",Deactivates the effect that greatly increases DEF,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,4,0,0,0,0,22,18,50,1.0,1,2024-07-08 11:03:18.211632,2024-07-08 11:03:18.211632
