id,kind,description,conditions
79,4,Prices in Zeni 4% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":40}"
80,4,Prices in Zeni 5% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":50}"
81,3,STA restoration time shortens by 3 seconds,"{""shortened_sec"":3}"
82,1,Amount of Zeni obtained increases by 12%,"{""benefit_permil"":120}"
83,1,Amount of Zeni obtained increases by 14%,"{""benefit_permil"":140}"
84,1,Amount of Zeni obtained increases by 16%,"{""benefit_permil"":160}"
85,1,Amount of Zeni obtained increases by 18%,"{""benefit_permil"":180}"
86,1,Amount of Zeni obtained increases by 20%,"{""benefit_permil"":200}"
87,1,Amount of Zeni obtained increases by 22%,"{""benefit_permil"":220}"
88,1,Amount of Zeni obtained increases by 24%,"{""benefit_permil"":240}"
89,1,Amount of Zeni obtained increases by 26%,"{""benefit_permil"":260}"
90,1,Amount of Zeni obtained increases by 28%,"{""benefit_permil"":280}"
91,1,Amount of Zeni obtained increases by 30%,"{""benefit_permil"":300}"
92,1,Amount of Zeni obtained increases by 32%,"{""benefit_permil"":320}"
93,1,Amount of Zeni obtained increases by 34%,"{""benefit_permil"":340}"
94,1,Amount of Zeni obtained increases by 36%,"{""benefit_permil"":360}"
95,1,Amount of Zeni obtained increases by 38%,"{""benefit_permil"":380}"
96,1,Amount of Zeni obtained increases by 40%,"{""benefit_permil"":400}"
97,1,Amount of Zeni obtained increases by 42%,"{""benefit_permil"":420}"
98,1,Amount of Zeni obtained increases by 44%,"{""benefit_permil"":440}"
99,1,Amount of Zeni obtained increases by 46%,"{""benefit_permil"":460}"
100,1,Amount of Zeni obtained increases by 48%,"{""benefit_permil"":480}"
101,1,Amount of Zeni obtained increases by 50%,"{""benefit_permil"":500}"
102,1,Amount of Zeni obtained increases by 52%,"{""benefit_permil"":520}"
103,1,Amount of Zeni obtained increases by 54%,"{""benefit_permil"":540}"
104,1,Amount of Zeni obtained increases by 56%,"{""benefit_permil"":560}"
105,1,Amount of Zeni obtained increases by 58%,"{""benefit_permil"":580}"
106,1,Amount of Zeni obtained increases by 60%,"{""benefit_permil"":600}"
107,1,Amount of Zeni obtained increases by 62%,"{""benefit_permil"":620}"
108,1,Amount of Zeni obtained increases by 64%,"{""benefit_permil"":640}"
109,1,Amount of Zeni obtained increases by 66%,"{""benefit_permil"":660}"
110,1,Amount of Zeni obtained increases by 68%,"{""benefit_permil"":680}"
111,1,Amount of Zeni obtained increases by 70%,"{""benefit_permil"":700}"
112,1,Amount of Zeni obtained increases by 72%,"{""benefit_permil"":720}"
113,1,Amount of Zeni obtained increases by 74%,"{""benefit_permil"":740}"
114,1,Amount of Zeni obtained increases by 76%,"{""benefit_permil"":760}"
115,1,Amount of Zeni obtained increases by 78%,"{""benefit_permil"":780}"
116,1,Amount of Zeni obtained increases by 80%,"{""benefit_permil"":800}"
117,1,Amount of Zeni obtained increases by 82%,"{""benefit_permil"":820}"
118,1,Amount of Zeni obtained increases by 84%,"{""benefit_permil"":840}"
119,1,Amount of Zeni obtained increases by 86%,"{""benefit_permil"":860}"
120,1,Amount of Zeni obtained increases by 88%,"{""benefit_permil"":880}"
121,1,Amount of Zeni obtained increases by 90%,"{""benefit_permil"":900}"
122,1,Amount of Zeni obtained increases by 92%,"{""benefit_permil"":920}"
123,1,Amount of Zeni obtained increases by 94%,"{""benefit_permil"":940}"
124,1,Amount of Zeni obtained increases by 96%,"{""benefit_permil"":960}"
125,1,Amount of Zeni obtained increases by 98%,"{""benefit_permil"":980}"
126,1,Amount of Zeni obtained increases by 100%,"{""benefit_permil"":1000}"
127,2,Reward Boost restoration time shortens by 10 seconds,"{""shortened_sec"":10}"
128,2,Reward Boost restoration time shortens by 15 seconds,"{""shortened_sec"":15}"
129,2,Reward Boost restoration time shortens by 20 seconds,"{""shortened_sec"":20}"
130,2,Reward Boost restoration time shortens by 25 seconds,"{""shortened_sec"":25}"
131,2,Reward Boost restoration time shortens by 30 seconds,"{""shortened_sec"":30}"
132,2,Reward Boost restoration time shortens by 35 seconds,"{""shortened_sec"":35}"
133,2,Reward Boost restoration time shortens by 40 seconds,"{""shortened_sec"":40}"
134,2,Reward Boost restoration time shortens by 45 seconds,"{""shortened_sec"":45}"
135,2,Reward Boost restoration time shortens by 50 seconds,"{""shortened_sec"":50}"
136,2,Reward Boost restoration time shortens by 55 seconds,"{""shortened_sec"":55}"
137,2,Reward Boost restoration time shortens by 60 seconds,"{""shortened_sec"":60}"
138,3,STA restoration time shortens by 4 seconds,"{""shortened_sec"":4}"
139,3,STA restoration time shortens by 5 seconds,"{""shortened_sec"":5}"
140,3,STA restoration time shortens by 6 seconds,"{""shortened_sec"":6}"
141,4,Prices in Trade Points 6% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":60}"
142,4,Prices in Trade Points 7% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":70}"
143,4,Prices in Trade Points 8% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":80}"
144,4,Prices in Trade Points 9% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":90}"
145,4,Prices in Trade Points 10% off,"{""shop_type"":""Shop::ExchangePointShop"",""benefit_permil"":100}"
146,4,Prices in Zeni 6% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":60}"
147,4,Prices in Zeni 7% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":70}"
148,4,Prices in Zeni 8% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":80}"
149,4,Prices in Zeni 9% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":90}"
150,4,Prices in Zeni 10% off,"{""shop_type"":""Shop::ZeniShop"",""benefit_permil"":100}"
151,5,"Number of available attempts for 
""Give it a Dokkan! Punch Machine!"" increases by 1","{""area_id"":711,""additional_count"":1}"
152,5,"Number of available attempts for 
""Epic! Transcendent! Gods of Destruction Assemble"" increases by 1","{""area_id"":750,""additional_count"":1}"
153,5,"Number of available attempts for 
""Ultimate Red Zone [GT Edition]"" increases by 1","{""area_id"":770,""additional_count"":1}"
154,5,"Number of available attempts for 
""Ultimate Red Zone [Movie Edition]"" increases by 1","{""area_id"":771,""additional_count"":1}"
155,5,"Number of available attempts for 
""Ultimate Red Zone [Wicked Bloodline Edition]"" increases by 1","{""area_id"":772,""additional_count"":1}"
156,5,"Number of available attempts for 
""Ultimate Red Zone [SDBH Edition]"" increases by 1","{""area_id"":773,""additional_count"":1}"
157,5,"Number of available attempts for 
""Ultimate Red Zone [Red Ribbon Army Edition]"" increases by 1","{""area_id"":774,""additional_count"":1}"
158,5,"Number of available attempts for 
""Ultimate Red Zone [Dismal Future Edition]"" increases by 1","{""area_id"":775,""additional_count"":1}"
159,2,Reward Boost restoration time shortens by 70 seconds,"{""shortened_sec"":70}"
160,2,Reward Boost restoration time shortens by 80 seconds,"{""shortened_sec"":80}"
161,2,Reward Boost restoration time shortens by 90 seconds,"{""shortened_sec"":90}"
162,2,Reward Boost restoration time shortens by 100 seconds,"{""shortened_sec"":100}"
163,2,Reward Boost restoration time shortens by 110 seconds,"{""shortened_sec"":110}"
164,2,Reward Boost restoration time shortens by 120 seconds,"{""shortened_sec"":120}"
165,3,STA restoration time shortens by 7 seconds,"{""shortened_sec"":7}"
166,3,STA restoration time shortens by 8 seconds,"{""shortened_sec"":8}"
167,3,STA restoration time shortens by 9 seconds,"{""shortened_sec"":9}"
168,3,STA restoration time shortens by 10 seconds,"{""shortened_sec"":10}"
169,0,Drop rates of Training Items increase by 11%,"{""item_type"":""TrainingItem"",""benefit_permil"":110}"
170,0,Drop rates of Training Items increase by 12%,"{""item_type"":""TrainingItem"",""benefit_permil"":120}"
171,0,Drop rates of Training Items increase by 13%,"{""item_type"":""TrainingItem"",""benefit_permil"":130}"
172,0,Drop rates of Training Items increase by 14%,"{""item_type"":""TrainingItem"",""benefit_permil"":140}"
173,0,Drop rates of Training Items increase by 15%,"{""item_type"":""TrainingItem"",""benefit_permil"":150}"
174,0,Drop rates of Training Items increase by 16%,"{""item_type"":""TrainingItem"",""benefit_permil"":160}"
175,0,Drop rates of Training Items increase by 17%,"{""item_type"":""TrainingItem"",""benefit_permil"":170}"
176,0,Drop rates of Training Items increase by 18%,"{""item_type"":""TrainingItem"",""benefit_permil"":180}"
177,0,Drop rates of Training Items increase by 19%,"{""item_type"":""TrainingItem"",""benefit_permil"":190}"
178,0,Drop rates of Training Items increase by 20%,"{""item_type"":""TrainingItem"",""benefit_permil"":200}"
179,0,Drop rates of Training Items increase by 21%,"{""item_type"":""TrainingItem"",""benefit_permil"":210}"
180,0,Drop rates of Training Items increase by 22%,"{""item_type"":""TrainingItem"",""benefit_permil"":220}"
181,0,Drop rates of Training Items increase by 23%,"{""item_type"":""TrainingItem"",""benefit_permil"":230}"
182,0,Drop rates of Training Items increase by 24%,"{""item_type"":""TrainingItem"",""benefit_permil"":240}"
183,0,Drop rates of Training Items increase by 25%,"{""item_type"":""TrainingItem"",""benefit_permil"":250}"
184,0,Drop rates of Training Items increase by 26%,"{""item_type"":""TrainingItem"",""benefit_permil"":260}"
185,0,Drop rates of Training Items increase by 27%,"{""item_type"":""TrainingItem"",""benefit_permil"":270}"
186,0,Drop rates of Training Items increase by 28%,"{""item_type"":""TrainingItem"",""benefit_permil"":280}"
187,0,Drop rates of Training Items increase by 29%,"{""item_type"":""TrainingItem"",""benefit_permil"":290}"
188,0,Drop rates of Training Items increase by 30%,"{""item_type"":""TrainingItem"",""benefit_permil"":300}"
189,0,Drop rates of Training Items increase by 31%,"{""item_type"":""TrainingItem"",""benefit_permil"":310}"
190,0,Drop rates of Training Items increase by 32%,"{""item_type"":""TrainingItem"",""benefit_permil"":320}"
191,0,Drop rates of Training Items increase by 33%,"{""item_type"":""TrainingItem"",""benefit_permil"":330}"
192,0,Drop rates of Training Items increase by 34%,"{""item_type"":""TrainingItem"",""benefit_permil"":340}"
193,0,Drop rates of Training Items increase by 35%,"{""item_type"":""TrainingItem"",""benefit_permil"":350}"
194,0,Drop rates of Training Items increase by 36%,"{""item_type"":""TrainingItem"",""benefit_permil"":360}"
195,0,Drop rates of Training Items increase by 37%,"{""item_type"":""TrainingItem"",""benefit_permil"":370}"
196,0,Drop rates of Training Items increase by 38%,"{""item_type"":""TrainingItem"",""benefit_permil"":380}"
197,0,Drop rates of Training Items increase by 39%,"{""item_type"":""TrainingItem"",""benefit_permil"":390}"
198,0,Drop rates of Training Items increase by 40%,"{""item_type"":""TrainingItem"",""benefit_permil"":400}"
199,0,Drop rates of Training Items increase by 41%,"{""item_type"":""TrainingItem"",""benefit_permil"":410}"
200,0,Drop rates of Training Items increase by 42%,"{""item_type"":""TrainingItem"",""benefit_permil"":420}"
201,0,Drop rates of Training Items increase by 43%,"{""item_type"":""TrainingItem"",""benefit_permil"":430}"
202,0,Drop rates of Training Items increase by 44%,"{""item_type"":""TrainingItem"",""benefit_permil"":440}"
203,0,Drop rates of Training Items increase by 45%,"{""item_type"":""TrainingItem"",""benefit_permil"":450}"
204,0,Drop rates of Training Items increase by 46%,"{""item_type"":""TrainingItem"",""benefit_permil"":460}"
205,0,Drop rates of Training Items increase by 47%,"{""item_type"":""TrainingItem"",""benefit_permil"":470}"
206,0,Drop rates of Training Items increase by 48%,"{""item_type"":""TrainingItem"",""benefit_permil"":480}"
207,0,Drop rates of Training Items increase by 49%,"{""item_type"":""TrainingItem"",""benefit_permil"":490}"
208,0,Drop rates of Training Items increase by 50%,"{""item_type"":""TrainingItem"",""benefit_permil"":500}"
209,2,Reward Boost restoration time shortens by 130 seconds,"{""shortened_sec"":130}"
210,2,Reward Boost restoration time shortens by 135 seconds,"{""shortened_sec"":135}"
211,2,Reward Boost restoration time shortens by 140 seconds,"{""shortened_sec"":140}"
212,2,Reward Boost restoration time shortens by 145 seconds,"{""shortened_sec"":145}"
213,2,Reward Boost restoration time shortens by 150 seconds,"{""shortened_sec"":150}"
214,2,Reward Boost restoration time shortens by 155 seconds,"{""shortened_sec"":155}"
215,2,Reward Boost restoration time shortens by 160 seconds,"{""shortened_sec"":160}"
216,2,Reward Boost restoration time shortens by 165 seconds,"{""shortened_sec"":165}"
217,2,Reward Boost restoration time shortens by 170 seconds,"{""shortened_sec"":170}"
218,2,Reward Boost restoration time shortens by 180 seconds,"{""shortened_sec"":180}"
219,0,Drop rates of Support Items increase by 11%,"{""item_type"":""SupportItem"",""benefit_permil"":110}"
220,0,Drop rates of Support Items increase by 12%,"{""item_type"":""SupportItem"",""benefit_permil"":120}"
221,0,Drop rates of Support Items increase by 13%,"{""item_type"":""SupportItem"",""benefit_permil"":130}"
222,0,Drop rates of Support Items increase by 14%,"{""item_type"":""SupportItem"",""benefit_permil"":140}"
223,0,Drop rates of Support Items increase by 15%,"{""item_type"":""SupportItem"",""benefit_permil"":150}"
224,0,Drop rates of Support Items increase by 16%,"{""item_type"":""SupportItem"",""benefit_permil"":160}"
225,0,Drop rates of Support Items increase by 17%,"{""item_type"":""SupportItem"",""benefit_permil"":170}"
226,0,Drop rates of Support Items increase by 18%,"{""item_type"":""SupportItem"",""benefit_permil"":180}"
227,0,Drop rates of Support Items increase by 19%,"{""item_type"":""SupportItem"",""benefit_permil"":190}"
228,0,Drop rates of Support Items increase by 20%,"{""item_type"":""SupportItem"",""benefit_permil"":200}"
229,0,Drop rates of Support Items increase by 21%,"{""item_type"":""SupportItem"",""benefit_permil"":210}"
230,0,Drop rates of Support Items increase by 22%,"{""item_type"":""SupportItem"",""benefit_permil"":220}"
231,0,Drop rates of Support Items increase by 23%,"{""item_type"":""SupportItem"",""benefit_permil"":230}"
232,0,Drop rates of Support Items increase by 24%,"{""item_type"":""SupportItem"",""benefit_permil"":240}"
233,0,Drop rates of Support Items increase by 25%,"{""item_type"":""SupportItem"",""benefit_permil"":250}"
234,0,Drop rates of Support Items increase by 26%,"{""item_type"":""SupportItem"",""benefit_permil"":260}"
235,0,Drop rates of Support Items increase by 27%,"{""item_type"":""SupportItem"",""benefit_permil"":270}"
236,0,Drop rates of Support Items increase by 28%,"{""item_type"":""SupportItem"",""benefit_permil"":280}"
237,0,Drop rates of Support Items increase by 29%,"{""item_type"":""SupportItem"",""benefit_permil"":290}"
238,0,Drop rates of Support Items increase by 30%,"{""item_type"":""SupportItem"",""benefit_permil"":300}"
239,0,Drop rates of Support Items increase by 31%,"{""item_type"":""SupportItem"",""benefit_permil"":310}"
240,0,Drop rates of Support Items increase by 32%,"{""item_type"":""SupportItem"",""benefit_permil"":320}"
241,0,Drop rates of Support Items increase by 33%,"{""item_type"":""SupportItem"",""benefit_permil"":330}"
242,0,Drop rates of Support Items increase by 34%,"{""item_type"":""SupportItem"",""benefit_permil"":340}"
243,0,Drop rates of Support Items increase by 35%,"{""item_type"":""SupportItem"",""benefit_permil"":350}"
244,0,Drop rates of Support Items increase by 36%,"{""item_type"":""SupportItem"",""benefit_permil"":360}"
245,0,Drop rates of Support Items increase by 37%,"{""item_type"":""SupportItem"",""benefit_permil"":370}"
246,0,Drop rates of Support Items increase by 38%,"{""item_type"":""SupportItem"",""benefit_permil"":380}"
247,0,Drop rates of Support Items increase by 39%,"{""item_type"":""SupportItem"",""benefit_permil"":390}"
248,0,Drop rates of Support Items increase by 40%,"{""item_type"":""SupportItem"",""benefit_permil"":400}"
249,0,Drop rates of Support Items increase by 41%,"{""item_type"":""SupportItem"",""benefit_permil"":410}"
250,0,Drop rates of Support Items increase by 42%,"{""item_type"":""SupportItem"",""benefit_permil"":420}"
251,0,Drop rates of Support Items increase by 43%,"{""item_type"":""SupportItem"",""benefit_permil"":430}"
252,0,Drop rates of Support Items increase by 44%,"{""item_type"":""SupportItem"",""benefit_permil"":440}"
253,0,Drop rates of Support Items increase by 45%,"{""item_type"":""SupportItem"",""benefit_permil"":450}"
254,0,Drop rates of Support Items increase by 46%,"{""item_type"":""SupportItem"",""benefit_permil"":460}"
255,0,Drop rates of Support Items increase by 47%,"{""item_type"":""SupportItem"",""benefit_permil"":470}"
256,0,Drop rates of Support Items increase by 48%,"{""item_type"":""SupportItem"",""benefit_permil"":480}"
257,0,Drop rates of Support Items increase by 49%,"{""item_type"":""SupportItem"",""benefit_permil"":490}"
258,0,Drop rates of Support Items increase by 50%,"{""item_type"":""SupportItem"",""benefit_permil"":500}"
259,2,Reward Boost restoration time shortens by 190 seconds,"{""shortened_sec"":190}"
260,2,Reward Boost restoration time shortens by 195 seconds,"{""shortened_sec"":195}"
261,2,Reward Boost restoration time shortens by 200 seconds,"{""shortened_sec"":200}"
262,2,Reward Boost restoration time shortens by 205 seconds,"{""shortened_sec"":205}"
263,2,Reward Boost restoration time shortens by 215 seconds,"{""shortened_sec"":215}"
264,2,Reward Boost restoration time shortens by 220 seconds,"{""shortened_sec"":220}"
265,2,Reward Boost restoration time shortens by 225 seconds,"{""shortened_sec"":225}"
266,2,Reward Boost restoration time shortens by 230 seconds,"{""shortened_sec"":230}"
267,2,Reward Boost restoration time shortens by 240 seconds,"{""shortened_sec"":240}"
268,5,"Number of available attempts for 
""Study Hard, Play Hard! Turtle School's Intensive Training"" increases by 1","{""area_id"":223,""additional_count"":1}"
269,5,"Number of available attempts for 
""Pan's Secret Adventure"" increases by 1","{""area_id"":135,""additional_count"":1}"
270,5,"Number of available attempts for 
""In Search of Greater Power! God-Level Intensive Training"" increases by 1","{""area_id"":252,""additional_count"":1}"
271,5,"Number of available attempts for 
""[All Types] Activate Your Hidden Potential"" increases by 1","{""area_id"":231,""additional_count"":1}"
272,0,Drop rates of Potential Orbs increase by 11%,"{""item_type"":""PotentialItem"",""benefit_permil"":110}"
273,0,Drop rates of Potential Orbs increase by 12%,"{""item_type"":""PotentialItem"",""benefit_permil"":120}"
274,0,Drop rates of Potential Orbs increase by 13%,"{""item_type"":""PotentialItem"",""benefit_permil"":130}"
275,0,Drop rates of Potential Orbs increase by 14%,"{""item_type"":""PotentialItem"",""benefit_permil"":140}"
276,0,Drop rates of Potential Orbs increase by 15%,"{""item_type"":""PotentialItem"",""benefit_permil"":150}"
277,0,Drop rates of Potential Orbs increase by 16%,"{""item_type"":""PotentialItem"",""benefit_permil"":160}"
278,0,Drop rates of Potential Orbs increase by 17%,"{""item_type"":""PotentialItem"",""benefit_permil"":170}"
279,0,Drop rates of Potential Orbs increase by 18%,"{""item_type"":""PotentialItem"",""benefit_permil"":180}"
280,0,Drop rates of Potential Orbs increase by 19%,"{""item_type"":""PotentialItem"",""benefit_permil"":190}"
281,0,Drop rates of Potential Orbs increase by 20%,"{""item_type"":""PotentialItem"",""benefit_permil"":200}"
282,0,Drop rates of Potential Orbs increase by 21%,"{""item_type"":""PotentialItem"",""benefit_permil"":210}"
283,0,Drop rates of Potential Orbs increase by 22%,"{""item_type"":""PotentialItem"",""benefit_permil"":220}"
284,0,Drop rates of Potential Orbs increase by 23%,"{""item_type"":""PotentialItem"",""benefit_permil"":230}"
285,0,Drop rates of Potential Orbs increase by 24%,"{""item_type"":""PotentialItem"",""benefit_permil"":240}"
286,0,Drop rates of Potential Orbs increase by 25%,"{""item_type"":""PotentialItem"",""benefit_permil"":250}"
287,0,Drop rates of Potential Orbs increase by 26%,"{""item_type"":""PotentialItem"",""benefit_permil"":260}"
288,0,Drop rates of Potential Orbs increase by 27%,"{""item_type"":""PotentialItem"",""benefit_permil"":270}"
289,0,Drop rates of Potential Orbs increase by 28%,"{""item_type"":""PotentialItem"",""benefit_permil"":280}"
290,0,Drop rates of Potential Orbs increase by 29%,"{""item_type"":""PotentialItem"",""benefit_permil"":290}"
291,0,Drop rates of Potential Orbs increase by 30%,"{""item_type"":""PotentialItem"",""benefit_permil"":300}"
292,0,Drop rates of Potential Orbs increase by 31%,"{""item_type"":""PotentialItem"",""benefit_permil"":310}"
293,0,Drop rates of Potential Orbs increase by 32%,"{""item_type"":""PotentialItem"",""benefit_permil"":320}"
294,0,Drop rates of Potential Orbs increase by 33%,"{""item_type"":""PotentialItem"",""benefit_permil"":330}"
