id,name,description
100046,Exquisite Technique,Damage received reduced by 10%
100047,Ghoulish Burst,STR Type ATK + 15%
100048,Demon's Disciple,PHY Type ATK + 15%
100049,Terror's Descent,AGL Type ATK + 15%
100050,Surging Rage,Damage received reduced by 10%
100051,Obstacle Eliminator,STR Type ATK + 15%
100052,Dazzling Destruction,PHY Type ATK + 15%
100053,The Timestopper,INT Type DEF + 20%
100054,Unfathomable Speed,AGL Type Ki +1
100055,Elite Squadron's Pride,STR Type ATK + 15%
100056,A Moment's Chance,PHY Type ATK + 15%
100057,Namek's Last Warrior,HP + 15%
100058,Champion's Honor,HP + 15%
100059,Buried Passion,AGL Type enemy DEF - 30%
100060,Tiny Terror,Damage received reduced by 10%
100061,Savagery Unleashed,TEQ Type ATK + 15%
100062,Malicious Scheme,TEQ Type ATK + 15%
100063,Light-Devouring Beast,AGL Type ATK + 15%
100064,Undisputed Champion,None
100065,Slayer of Evil,None
100066,Simple-Minded Devil,None
100067,Ominous Will,None
100068,Wicked of Heart,None
100069,Assassin in the Shadows,None
100070,Warrior from Planet Voon,None
100071,Steadfast Soldier,None
100072,Fierce Raider,None
100073,Loyal Servant,None
100074,Unarmed Power,None
100075,Capable in Love and War,None
100076,Well-Trained Fist,None
100077,Deep Sea Guardsman,None
100078,Earthborn Warrior,None
100079,Lethal Underling,None
100080,Infamous Army,None
100081,Messenger from the Future,ATK + 10% for all Types
100082,Hero Chosen by Earth,"AGL, INT & PHY Types Ki +1"
100083,Convulsing Rage,"TEQ, INT & STR Types ATK +30%"
100084,Super Attack Supreme,"AGL, INT and PHY Type ATK +30%"
100085,Determined Defender,"AGL, INT & PHY Types Ki +1"
100086,Extreme Elite's Pride,PHY Type ATK & DEF +20%
100087,Exploding Rage,ATK +25% when HP is 30% or less
100088,Blitz Blade,TEQ Type Ki +2
100089,Martial Stability,TEQ & STR Types ATK +25%
100090,Demonic Pride,ATK +20% when HP is 80% or less
100091,Respect to the Strong,STR Type Ki +2
100092,Power at the Eleventh Hour,TEQ Type DEF + 30%
100093,Indomitable Human Spirit,AGL Type Ki +2
100094,Evil Elegance,ATK & DEF + 15% when HP 80% or below
100095,Brilliant Battle Prowess,INT Type ATK +25%
100096,Saiyan Baptism,ATK +25% when HP is 30% or less
100097,Killer Instinct,ATK + 10% when HP is 50% or above
100098,Cunning Strategy,INT Type ATK + 25%
100099,Dauntless Runner,ATK +15% when HP is 50% or more
100100,Beautiful but Deadly,Ki +1 when HP is 50% or more
100101,The Warrior Awakens,ATK +15% when HP is 50% or more
100102,Martial Guidance,AGL Type ATK +25%
100103,Professional Tactician,AGL and INT Type ATK + 15%
100104,Heart of Innocence,STR Type ATK +25%
100105,Reckless Rage,"TEQ, STR & PHY Types HP +20%"
100106,Never-Ending Assault,PHY Type ATK + 30%
100107,Master of Magic,Enemy DEF - 25%
100108,Speed Tactics,All Types Ki +1
100109,Maximum Firepower,PHY Type enemy ATK - 25%
100110,Call of Duty,Immune to negative effects
100111,Imminent Showdown,STR Type ATK + 25%
100112,Blazing Justice,ATK +20% when HP is 80% or less
100113,Space Invader,TEQ Type ATK + 15%
100114,Inevitable Preemptive Strike,ATK + 20% when HP is 30% or below
100115,Resistance of Tyranny,HP + 25%
100116,Passionate Friendship,HP + 15%
100117,Burdened by Destiny,TEQ Type Ki +1
100118,Lightning Onslaught,Damage received reduced by 10%
100119,Daring Interception,INT Type enemy DEF - 30%
100120,Unwavering Confidence,Damage received reduced by 10%
100121,Display of Strength,STR Type ATK + 15%
100122,Considerate Captain,HP + 15%
100123,Target Confirmed,Damage received reduced by 10%
100124,Precise Action,INT Type ATK + 15%
100125,Free at Last,AGL Type ATK + 15%
100126,Cold Analytics,ATK + 10% when HP is 50% or above
100127,Ironclad Intentions,HP + 15%
100128,Earnest Passion,Damage received reduced by 10%
100129,Storm of Destruction,PHY Type ATK + 15%
100130,Death Sentence,STR Type ATK + 15%
100131,Well-Played Trump Card,TEQ Type DEF + 15%
100132,Speed Impulse,AGL Type Ki +1
100133,Lesson in Fear,TEQ Type ATK + 15%
100134,Cowardly Savior,PHY Type Ki +1
100135,Facing Fate,HP + 15%
100136,Craving of Battle,INT Type ATK + 15%
100137,Paragon of Justice,Damage received reduced by 10%
100138,Crane School's Prestige,INT Type ATK + 25%
100139,Successor of the Strongest,"AGL, INT & PHY Type HP & ATK +20%"
100140,Transcending Limits,ATK +30% when HP is 80% or below
100142,Cruel Tactics,TEQ Type HP & ATK +20%
100143,Cocky Counter,AGL & PHY Types ATK +25%
100144,Burning Spirit,TEQ & STR Types Ki +2
100145,Proud till the Last,PHY Type ATK +40%
100146,Eternal Bond,All Types ATK +15%
100148,The Fruits of Training,"AGL, TEQ and STR Type ATK +30%"
100149,The First Awakened,All Types ATK +25%
100150,Warrior of Daring,ATK + 15% for all Types
100151,Lone Warrior,AGL & STR Types HP & ATK +30%
100152,The Nightmare Transformed,STR Type ATK + 30%
100153,Warrior of Beauty's Trump,STR Type enemy ATK - 25%
100154,Warrior of Conviction,HP + 15%
100155,Warrior of Few Words,STR Type ATK + 20%
100156,Warrior of Ferocity,Damage received reduced by 10%
100157,Ultimate Sacrifice,HP + 15%
100158,Horror from Hell,"TEQ, INT, STR Type HP & ATK + 20%"
100159,Super Saiyan from the Future,"TEQ, INT, STR Type HP & ATK +20%"
100160,Savage Speed,TEQ & STR Types ATK +25%
100161,Intimidating Body Exchange,HP + 30%
100162,Furious Impact,ATK +20% when HP is 80% or less
100163,Namekian Rage,ATK +30% when HP is 80% or below
100167,Technician of Time,PHY Type DEF + 20%
100168,Wisdom and Experience,AGL Type Ki +1
100169,Terror Perfected,ATK +25% for all Types
100170,Saiyan Spirit,"AGL, TEQ & STR Types HP & ATK +20%"
100171,Strength Evolved,STR Type ATK +30%
100172,Perfect Power,"AGL, INT & PHY Types Ki +1"
100173,A Future Forsaken,INT Type enemies' ATK -25%
100174,Dastardly Demoness,INT & PHY Types ATK +25%
100175,Miraculous Return,PHY Type ATK + 15%
100176,Elite Offspring,TEQ Type Ki +2
100177,The True Value of Master Shen,ATK + 15% for all Types
100179,Combative Will,"AGL, TEQ & PHY Types HP & ATK +20%"
100180,Surging Spirit,"TEQ, INT, STR Type HP & ATK +20%"
100182,Great Power Unleashed,INT Type HP & ATK +30%
100183,Pure Corruption,INT Type enemy ATK -25%
100184,Engineered Evil,Enemy DEF - 25%
100185,A New Start,AGL and STR Type ATK +15%
100186,Honed for Battle,AGL & PHY Types ATK +25%
100188,Acclaimed Ability,AGL and STR Type ATK +15%
100189,Wolf of the Gale,None
100190,The Way of Battle,None
100191,Anticipated Telekinesis,None
100192,The Power to Shake the Universe,All Types ATK +25%
100193,A Warrior Obsessed,"AGL, TEQ & STR Types HP & ATK +20%"
100194,A Monster Unleashed,ATK +25% for all Types
100195,Evil Incarnate,"TEQ, INT & STR Type ATK +30%"
100196,Savage Battle Instinct,TEQ Type ATK +50%
100197,Origin of Despair,HP +50%
100198,Demonic Lord of Darkness,AGL Type ATK +40%
100199,Mesmerizing Might,TEQ Type Ki +2
100200,Fighting Prodigy,AGL Type Ki +1
100202,Power Awakened,All Types Ki +2
100203,Infinite Potential,ATK + 15% for all Types
100204,Bursting with Power,HP + 15%
100205,Malevolent Magician,"AGL, INT and PHY Type Ki +1"
100206,Twin-Clawed Terror,Damage received reduced by 10%
100207,Confident Sentry,AGL Type Ki +1
100208,A God Evolved,"AGL, STR & PHY Types ATK +30%"
100209,To Greater Heights,"AGL, STR, PHY Type ATK & DEF + 25%"
100210,Fear's Ultimate Form,"TEQ, INT & STR Types HP & ATK +20%"
100211,Carnage Awakens,None
100212,Mysterious Mentor,None
100213,Top-Tier Training,TEQ Type ATK +30%
100214,Tireless Training,PHY Type ATK +30%
100215,The Nightmare Returns,AGL Type Ki +2
100216,3rd Stellar Region Officer,ATK + 500 for all Types
100217,Underling's Devotion,HP + 15%
100218,Protector of the Peace,PHY Type DEF + 25%
100219,Hasty Charge,TEQ Type Ki +1
100220,Indomitable Sense of Justice,AGL & PHY Type ATK +25%
100221,Galactic Patrolman,ATK +15% when HP is 50% or more
100222,Miraculous Frontline Return,HP + 25%
100224,Innocent Challenger,ATK + 10% for all Types
100225,An Exciting Adventure,ATK + 25% for all Types
100226,Terror Strikes Again,All Types Ki +2
100227,Full Power Desperation,"TEQ, INT & STR Types ATK +30%"
100228,Heir to the Evil King,PHY Type Ki +3
100230,Impressive Ninja Skills,AGL Type Ki +1
100231,Deep Blue Gaze,AGL and INT Type ATK + 20%
100232,A Girl's Rage,Damage received reduced by 15%
100233,Marauding Bandit of the Wild,INT Type enemy ATK - 25%
100234,Boundless Ambition,AGL and STR Type ATK +25%
100235,Masterful Technique,TEQ Type ATK +30%
100236,Devilish Deception,ATK + 25% when HP is 30% or below
100237,Bone-Dry Battle,HP + 15%
100238,Unusual Battle Skills,Immune to negative effects
100239,The Miracle of Potara,ATK +25% for all Types
100240,Double the Power,All Types Ki +2
100241,Unpredictable Paunch,PHY Type HP & ATK & DEF + 20%
100242,Divine Evolution,ATK + 15% for all Types
100243,Full Strength,STR Type ATK + 25%
100245,Great Brilliance,AGL & STR Types HP & ATK +30%
100246,Exerted Ability,INT & PHY Types HP & ATK +30%
100247,Coldhearted Invasion,TEQ & INT Types ATK +20%
100248,Overwhelming Fear,TEQ & INT Types ATK +25%
100249,Ruthless Intellect,All Types Ki +1
100250,Decimating Power,Damage received reduced by 10%
100251,Astonishing Strategy,HP +15%
100252,Evil-Borne Monster,"TEQ, STR, PHY Type ATK & DEF +15%"
100253,Deadliest Fusion Power,"TEQ, STR, PHY Type ATK & DEF +20%"
100254,Fearless Fighter,None
100255,Fearless Fighter,None
100256,Full Strength Tremor,STR Type ATK +50%
100257,Talented Son,STR Type ATK +30%
100258,Promising Son,All Types ATK +15%
100259,Crimson Rush,STR Type ATK + 20%
100260,Strength of Trust,TEQ & INT Types ATK +25%
100261,Seasoned Warrior,HP + 15%
100262,Amazing Combat Sense,PHY Type HP & DEF +60%
100263,"Worth 1,000,000 Zeni",A character for selling
100264,"Worth 500,000 Zeni",A character for selling
100265,"Worth 250,000 Zeni",A character for selling
100266,Carnage Awakens,TEQ Type ATK +40%
100267,Mysterious Mentor,"AGL, INT & PHY Types HP & ATK +20%"
100268,Grand Plan,AGL and PHY Type ATK +15%
100269,Resolute Valor,AGL and PHY Type ATK +25%
100270,Entrusted Mission,AGL and STR Type HP & ATK +30%
100271,Transcended Power Level,PHY Type Ki +2
100279,Aggregate of Evil,"AGL & PHY Types 
Ki +1 and HP, ATK & DEF +20%"
100280,Wickedness Personified,INT Type ATK +60%
100281,Frontline Battle,All Types HP & ATK +20%
100282,Savage Power,HP +50%
100283,Warriors' Pride,AGL Type HP & DEF +60%
100286,Message from Another World,ATK + 15% for all Types
100287,Resolute Assault,HP + 30%
100288,Divine Wisdom,TEQ Type HP & ATK + 30%
100289,Future Hope,STR Type HP & ATK + 30%
100290,Beyond Limits,AGL Type HP & ATK + 30%
100291,Master Martial Artist,STR Type enemy ATK -30%
100292,Imaginative Technique,TEQ Type ATK +50%
100293,Polished Technique,Ki +2 when HP is 30% or above
100294,Hero of Love and Justice,AGL and STR Type ATK +25%
100295,Goddess of Peace,TEQ & STR Types Ki +2
100296,Going Galactic,ATK + 15% for all Types
100298,Curiosity for the Unknown,Enemies' DEF -25%
100299,Experience and Growth,"Recover 500 HP per Ki of character's Type 
gained"
100300,Reignited Fighting Spirit,STR Type ATK + 40%
100302,Dashing Light,HP & ATK + 20% for all Types
100303,Quintessential Saiyan,All Types HP and ATK +20%
100304,Focused on Victory,"All Types HP, ATK & DEF +20%"
100306,Symbol of Peace,Damage received reduced by 10%
100307,New Evolution,STR Type ATK +60%
100313,Proof of a Warrior,TEQ and PHY Type Ki +2
100314,Reaching New Heights,"TEQ, INT and STR Types Ki +1"
100315,The Will of the Victorious,Damage received reduced by 10%
100316,Mutating Monster,TEQ and PHY Type HP & ATK + 20%
100317,Beyond Super Saiyan God,STR Type Ki +2
100318,Unlimited Power,TEQ and STR Type HP & ATK +30%
100319,Triumphant Light,ATK +25% for all Types
100320,Aiming for the Top,STR & PHY Types HP & ATK +30%
100321,Mystery Super Technique,AGL Type Ki +3 and ATK +3000
100322,Last Minute Technique,INT Type ATK +40%
100323,Overbearing Power,"TEQ, STR & PHY Type Ki +2"
100324,Limit-Breaking Elite,All Types Ki +2
100325,Rocky Road to Peace,"AGL, TEQ & STR Types ATK +20%"
100326,Unyielding Sincerity,ATK +25% for all Types
100327,Inherited Mission,All Types Ki +2
100328,A Slash of Respect,STR Type enemy ATK -25%
100329,Swelling Power,All Types ATK +25%
100330,Flare of Death,TEQ Type Ki +2 and ATK +2500
100331,Heartless Destruction,"Raises allies' ATK by up to 50% 
(the more HP remaining, 
the greater the ATK boost)"
100332,Omen of Doom,PHY Type Ki +2 and ATK +2500
100333,Beyond Human Intellect,HP + 30%
100334,The Trump Card,"AGL, TEQ & PHY Types HP & ATK +25%"
100335,State of God,PHY Type ATK +50%
100336,Irreversible Judgement,"TEQ, INT & STR Types ATK +30%"
100337,Enigmatic Power,"AGL, TEQ & STR Types ATK & DEF +25%"
100338,Raging Rampage,All Types ATK +20%
100340,Vengeful Spirit,AGL Type enemy ATK - 20%
100344,Kami's Ordeal,None
100345,Martial Artist's Belief,ATK + 15% for all Types
100346,Letter of the Law,STR Type HP & ATK +30%
100347,Unforeseen Fusion,ATK +15% for all Types
100348,Holy Might,INT & STR Types Ki +2
100350,Deadly Awakening,"TEQ, INT & STR Types HP & ATK +20%"
100351,Cultivated Technique,AGL & STR Types ATK +25%
100352,Heightened Intuition,INT Type Ki +1
100353,Masterful Technique,AGL Type ATK +30%
100354,A Girl's Rage,Damage received reduced by 15%
100355,Captured Wisdom,TEQ Type enemy ATK -25%
100356,Eradicator of Hope,"STR Type HP, ATK and DEF +20%"
100357,The Strongest Majin,ATK +3% for every Ki Sphere obtained
100358,Hero of Love and Justice,"AGL, TEQ & STR Types ATK +30%"
100359,Goddess of Peace,All Types ATK +25%
100360,Ever-Evolving Legend,"AGL, STR & PHY Types ATK & DEF +25%"
100361,Proudest in the Universe,"AGL, TEQ & PHY Types ATK & DEF +25%"
100364,Endless Horror,All Types Ki +1
100365,Fighting Machine,Damage received reduced by 10%
100366,The Fearsome Tree of Might,All Types Ki +2
100367,The Weight of Hope,INT Type enemies' ATK & DEF -40%
100368,A New Legend Begins,"AGL, INT & PHY Types Ki +1"
100369,Absolute Realm of God,ATK +25% for all Types
100370,Bright Future,Damage received reduced by 10%
100372,Trusted Strength,TEQ & STR Types HP & ATK +30%
100373,Earth's Savior,HP +30%
100375,White Hot Face-Off,PHY Type ATK +40%
100376,Ceaseless Terror,ATK +30% for all Types
100377,Symbol of Death,ATK +30% when HP is 80% or more
100378,Flawless Combat,"TEQ, INT, STR Type HP & ATK +20%"
100379,True Might,"TEQ, INT and STR Type Ki +2"
100380,Super Warrior of Destruction,"STR Type Ki +3, ATK +3000"
100382,Evil Wizardry,PHY Type enemy ATK -25%
100383,Latent Power,INT & STR Types HP & ATK +30%
100384,Train Anywhere,TEQ and INT Type ATK +15%
100385,Sworn Comrade,TEQ and AGL Type ATK + 25%
100386,A Present from the Heart,Ki +2 when HP is 50% or above
100387,Never-Ending Battle,AGL & INT Types HP & ATK +20%
100388,Audacious Adventurer,HP +15%
100389,New Challenges,TEQ and INT Type ATK +25%
100390,In Pursuit of a Formidable Foe,AGL Type Ki +2
100392,Dangerous Cyborg Fighter,AGL and STR Type HP & ATK + 20%
100393,Daring Charger,STR & PHY Types Ki +2
100394,Ferocious Physique,STR Type ATK + 40%
100395,Mindpower Destruction,Damage received reduced by 10%
100396,Twin Blitzer,TEQ Type Ki +1
100397,Mysterious Ritual,"Guarantees Super Attack to level up by 1 
in Training"
100398,Seeking Thrill and Romance,"INT, STR and PHY Type Ki +1"
100399,The Last Instant Transmission,ATK + 20% for all Types
100400,Merging Destinies,Ki +3 when HP is 80% or more
100401,Fury Unleashed,"AGL, TEQ & PHY Types HP & ATK +25%"
100402,Time to Get Serious,AGL & STR Types Ki +2
100404,Eternal Rival,ATK + 20% for all Types
100407,Crusher of Evil,"TEQ Type ATK +30% 
per TEQ Ki Sphere obtained"
100408,Burning Fury,PHY Type ATK +30% per PHY Ki Sphere obtained
100409,Golden Emperor,"AGL Type ATK +30% 
per AGL Ki Sphere obtained"
100410,Glorious Radiance,Super Class Ki +3
100417,Martial Artist's Pride,TEQ & INT Types Ki +3
100418,Stimulating Beauty,ATK +15% for all Types
100419,Dual Personality,STR Type ATK + 30%
100420,Legendary Super Saiyan,"TEQ Type HP, ATK & DEF +20%"
100421,Breaking Barriers,TEQ Type HP & DEF +60%
100422,Stunning Metamorphosis,AGL Type Ki +2 and ATK +2500
100425,Emperor's Devotion,PHY Type Ki +3 and ATK +3000
100426,Glimpses of Ability,AGL Type HP & ATK + 30%
100428,Inherited Honor,TEQ & PHY Types HP & ATK +20%
100430,Terrible Declaration,AGL Type ATK +50%
100434,Father's Pride,"AGL, INT & STR Type HP & ATK +30%"
100435,Brother's Will,ATK +30% when HP is 80% or below
100436,Brother's Wish,ATK +5% per Ki Sphere obtained
100437,Pure Confidence,"AGL, STR & PHY Types HP & ATK +30%"
100438,Fist of Conviction,All Types Ki +2
100439,"Farewell, Proud Warrior","AGL, TEQ & STR Types HP & ATK +25%"
100440,Evolved Form,"AGL Type HP, ATK and DEF +25%"
100441,Murderous Designs,ATK + 20% for all Types
100442,Ruinous Rule,"INT Type HP, ATK and DEF +30%"
100444,Talent from Dad,AGL & STR Types ATK +25%
100446,Danger Sense,All Types ATK +15%
100447,Heart of Gold,Damage received reduced by 20%
100448,Ferocious Counterattack,"STR & PHY Types 
Ki +2 and HP, ATK & DEF +20%"
100449,Despicable Mastermind,"""Majin Buu Saga"" Category 
Ki +2 and HP, ATK & DEF +80%"
100451,Fabled Champion,"STR Type Ki +3, HP, ATK & DEF +20%"
100452,Bold Onslaught,STR Type HP & DEF +50%
100453,Reliable Helper,"TEQ Type HP, ATK and DEF +60%"
100454,Cell Fusion,"AGL Type HP, ATK and DEF +20%"
100456,Wrath-Bred Evil,INT Type enemies' ATK -25%
100457,Innocent Assault,ATK + 15% for all Types
100460,Immortal Grudge,All Types Ki +2
100465,Surpassing All,TEQ Type Ki +3 and ATK +3000
100466,Winged Beast,HP +15%
100467,Fulfilled Dreams,Damage received reduced by 10%
100468,All-Out Charge,"AGL, TEQ and STR Type ATK + 30%"
100469,Gentle-Hearted Warrior,HP + 30%
100470,Ace Up the Sleeve,All Types ATK + 20%
100471,Frontline Fighter,AGL Type ATK +50%
100472,Faith in Super Fusion,All Types Ki +2
100474,Flaring Rage,All Types ATK +25%
100475,Bulging Power,"AGL, TEQ & INT Types HP & ATK +20%"
100476,In Pursuit of Change,Ki +2 when HP is 80% or below
100480,Extra Bulge,PHY Type Ki +3
100481,Early Exhaustion,TEQ Type Ki +3
100482,Roots of an Evil Line,INT Type HP & ATK +30%
100483,Mighty Mettle,ATK + 15% for all Types
100484,Tough Gaze,STR Type ATK +40%
100487,Unexpected Use,All Types Ki +1
100488,Umpire of Annihilation,"TEQ, INT & STR Types HP & ATK +30%"
100489,Puzzle Wrapped in Enigma,AGL Type HP & DEF +50%
100490,Murderous Awakening,PHY Type enemy ATK -30%
100491,Flouting Objectives,TEQ Type enemy ATK -40%
100493,Oppressive Tyrant,AGL Type enemy ATK -30%
100494,Galactic Annihilation,AGL Type ATK + 50%
100495,Heavenly Deity,All Types Ki +2
100496,Sinister Scientist,"Recover 500 HP per Ki of character's Type 
gained"
100497,Infernal Android,PHY Type ATK +50%
100498,Ominous Designs,Ki +3 when HP is 50% or above
100499,A Critical Mission,AGL Type ATK +50%
100500,Uncontrollable Instinct,HP +70%
100501,Long-Awaited 100%,"""Full Power"" Category 
Ki +2 and HP, ATK & DEF +80%; or 
Extreme STR Type Ki +2 and HP, ATK & DEF +70%"
100502,Inescapable Malice,"INT Type HP, ATK and DEF +20%"
100503,Clutching Victory,All Types ATK +30%
100505,Netherworld Demon,INT Type ATK +80%
100507,Flawless Technique,"TEQ Type HP, ATK & DEF +30%"
100508,Return from the Dark,All Types ATK +20%
100509,Enraged Onslaught,TEQ & INT Types HP & ATK +20%
100510,Defying the All-Powerful,TEQ & INT Types Ki +2
100511,Gushing Evil Powers,"""Namekians"" Category 
Ki +3, HP +70% and ATK & DEF +50%"
100512,Annihilating Power,Ki +3 when HP is 50% or more
100513,Unquestionable Cruelty,"INT Type HP, ATK and DEF +30%"
100514,Warrior Race's Backbone,Ki +3 when HP is 50% or above
100515,Decadent Saiyans,All Types Ki +2 and ATK & DEF +20%
100516,Saiyan Power Unleashed,STR Type ATK +50%
100517,Threat to Peace,STR Type ATK +50%
100518,24-Hour Revival,STR and PHY Type HP & ATK +30%
100519,A Meaningful Strike,All Types ATK +25%
100520,Fiery Soul,Ki +3 when HP is 80% or less
100521,Rage of Justice,PHY Type ATK +50%
100522,Fist from the Heavens,All Types HP & ATK +20%
100524,Namekian Pride,"Recover 300 HP per Ki of character's Type 
gained"
100525,Soul Succession,HP +30%
100526,Peerless Combination,HP & ATK +20% for all Types
100527,Almighty Fusion,"All Types Ki +2, ATK +2500"
100528,The Supreme Warrior,"All Types Ki +3, ATK +3000"
100529,Destructive Whim,"Recovers 500 HP per Ki Sphere of 
character's Type obtained"
100530,Devastating Punishment,TEQ Type ATK +80%
100531,Guide to the New Beyond,"AGL, INT & PHY Types 
Ki +3 and HP, ATK & DEF +20%"
100532,Imprinted Discipline,"AGL, TEQ & STR Types 
Ki +2 and HP, ATK & DEF +30%"
100534,Masterful Comeback,"STR Type ATK & DEF +50% when HP is 
30% or above"
100535,Saiyan Savior of Legend,INT Type ATK +50%
100536,Furious Limit-Breaking,All Types Ki +1
100537,Willing to Fight,All Types ATK +15%
100539,Soaring New-Generation,"AGL, INT & PHY Type HP & ATK +25%"
100540,Future-Carving Power,"TEQ, INT and STR Type HP & ATK +25%"
100541,Confident Fusion,Ki +3 when HP is 50% or more
100542,Royal Blood,Damage received reduced by 15%
100544,The Return of The Demon,"TEQ Type Ki +1 and ATK & DEF +50% 
when HP is 30% or above"
100546,Into the Big Wide World,HP +30%
100547,Curiosity and Adventure,HP +30%
100548,"Worth 1,500,000 Zeni",A character for selling
100550,Limitless Strength,Ki +2 when HP is 50% or above
100551,Lord of Time,Ki +2 when HP is 80% or below
100552,Reinstating History,TEQ Type HP & ATK +30%
100553,Monumental Dreams,All Types ATK + 20%
100554,Leaping Ever Higher,"AGL, INT & PHY Types ATK & DEF +30%"
100555,Reclaim the Summit,"TEQ, INT and STR Types ATK & DEF +30%"
100557,Awe-Inspiring Evolution,"Ki +3 and ATK & DEF +30% 
when HP is 30% or more"
100558,A True Master's Dignity,"ATK & DEF +30% when HP is 80% or 
below"
100559,Fearful Concentration,Ki +2 when HP is 80% or below
100560,Fetid Stench,Damage received reduced by 10%
100561,The Future Bearer,ATK + 15% for all Types
100562,The Future Changer,"INT Type HP, ATK and DEF +30%"
100563,Impetuous God,TEQ Type ATK +60%
100564,Pinnacle of Rage,"AGL, TEQ & STR Types HP & ATK +30%"
100566,Struggle Beyond All Expectations,AGL Type Ki +2 and HP & DEF +70%
100567,Glorious Battle,PHY Type Ki +2 and HP & DEF +70%
100568,Noble Prince,AGL & TEQ Types Ki +3
100569,Tenacious Clan,PHY and STR Type Ki +3
100570,Explosive Vengeance,PHY Type Ki +3
100571,Intensified Killing,STR & AGL Types Ki +3
100572,Peculiar Collaboration,AGL and TEQ Type Ki +3
100573,Warrior's True Value,STR Type ATK +80%
100574,Power to Decimate,All Types Ki +3
100575,Powers Combined,All Types Ki +3
100576,Irrepressible Impact,All Types Ki +2 and HP +50%
100577,The All-Out Release,HP +40%
100578,Cultivated Ability,"AGL, TEQ and PHY Type ATK & DEF +30%"
100580,Hell-Forged Warrior,"INT and PHY Type Ki +3 and HP, ATK & 
DEF +30%"
100581,Furious Assault,"STR Type Ki +2 and HP, ATK & DEF +30%"
100583,State of Calmness,PHY Type Ki +2
100584,Swan Song,TEQ Type ATK +50%
100587,Impassioned Strike,TEQ & PHY Types Ki +2
100592,Mighty Machine Mutant,STR Type HP & DEF +30%
100593,Encompassing Destroyer,STR Type HP & DEF +50%
100594,Planet of Steel,STR Type HP & DEF +60%
100599,Nightmares Incarnate,"Extreme AGL Type 
Ki +2 and HP, ATK & DEF +100%; 
Super AGL Type HP, ATK & DEF +40%"
100600,Wicked Life Form,"Recover 300 HP per Ki of character's Type 
gained"
100601,Dreadful Fusion,All Types HP and ATK +15%
100602,Corroding Menace,"All Types HP, ATK & DEF +30%"
100603,Revenge Exacted,"INT allies' ATK +30% for every INT Ki 
obtained"
100608,Ruler of Fry-Pan Mountain,"PHY Type Ki +2 and HP, ATK & DEF +30%"
100614,Full Moon Grudge,TEQ Type Ki +2
100615,Aiming for the World's Top,PHY Type Ki +2
100621,Grim Reaper of Justice's Rampage,"TEQ Type Ki +3 and HP, ATK & DEF +70%"
100625,Sound Judgment,All Types ATK +15%
100627,Evil Transferred,AGL Type enemy ATK -20%
100628,Ambitious First Step,INT Type enemy ATK -20%
100629,A Heart Corrupted,TEQ Type enemy ATK -20%
100630,Viciousness Released,AGL Type enemy ATK -25%
100631,Inception of Evil,INT Type enemy ATK -25%
100632,Surging Bloodlust,TEQ Type enemy ATK -25%
100633,Agent of Destruction,PHY Type ATK & DEF +60%
