id,name,description,increase_rate,aim_target,created_at,updated_at
32,[en]アースブレイカー,[en]敵全体に超極大+100%,540,1,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
33,[en]親子ギャリック砲,[en]究極ダメージ+100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
34,[en]さようなら天さん,[en]究極ダメージを与える,550,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
35,[en]絶対のいかずち,[en]究極ダメージ+100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
36,とっておきのかめはめ波,究極ダメージ+50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
37,スーパーノヴァ,究極ダメージ+50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
38,超サイヤ人怒る！！！,究極ダメージ+50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
39,生命エネルギー吸収,究極ダメージ+50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
40,不可能を可能にする力,究極ダメージ,550,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
41,[en]怒りのかめはめ波,[en]800%ダメージ,800,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
42,[en]ファイナルスピリッツキャノン,[en]究極ダメージを与える,550,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
43,[en]最大出力かめはめ波,[en]610%ダメージ,610,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
44,[en]特大繰気弾,[en]究極ダメージ,550,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
45,魔貫光殺砲,究極ダメージ+50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
46,[en]フルパワー一斉攻撃,[en]究極ダメージ+100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
47,[en]元気玉,[en]究極ダメージ+100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
48,[en]満月の出来事,[en]究極ダメージ+100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
49,ゴッドの世界を吸収したサイヤ人,究極ダメージ,550,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
50,[en]リベンジデスボンバー,[en]究極ダメージ+100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
51,超爆裂魔波,敵全体に超極大ダメージ+100%,540,1,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
52,[en]プラネットゲイザー,[en]究極ダメージ+100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
53,[en]サイヤ人にふさわしい生き方をしろ！,[en]究極ダメージ+50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
54,[en]スーパー元気玉,[en]究極ダメージ+100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
55,[en]マイナスエネルギーパワーボール,[en]究極ダメージ+50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
56,[en]ゴッドインパクト,[en]究極ダメージ,550,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
57,[en]地獄を生き抜いた男,[en]究極ダメージ+50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
58,[en]地獄を生き抜いた男,[en]究極ダメージ+100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
59,[en]アナザーホープ,[en]究極ダメージ+100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
60,[en]ギャラクシーエターナルソード,[en]究極ダメージ+50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
61,アブソリュートリリースボール,究極ダメージ+100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
62,[en]元気玉超サイヤ人,[en]究極ダメージ+100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
63,[en]ヘルズバスター,[en]究極ダメージ+50%,600,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
65,[en]この宇宙で最高のショー,[en]究極ダメージ,550,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
66,ビッグ・バン・アタック,究極ダメージ+100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
68,[en]フルパワーかめはめ波,[en]究極ダメージ+100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
69,[en]お菓子光線,[en]究極ダメージ+100%,650,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
70,[en]爆裂ラッシュ,[en]究極ダメージ,550,0,2024-06-05 09:25:09.402761,2024-06-05 09:25:09.402761
