id,escalation_type,level,escalation_value
380,92,7,188
381,92,15,306
382,92,18,365
383,92,28,418
384,92,30,447
385,92,31,450
386,93,1,100
387,93,2,100
388,93,28,158
389,93,30,165
390,93,31,167
391,94,1,100
392,94,3,100
393,94,28,1333
394,94,30,1333
395,94,31,1378
396,95,1,100
397,95,17,100
398,95,18,115
399,95,25,115
400,95,26,125
401,95,30,125
402,99,1,100
403,99,7,188
404,99,15,306
405,99,18,365
406,99,28,406
407,99,30,438
408,99,31,441
409,100,1,100
410,100,2,100
411,100,28,154
412,100,30,160
413,100,31,162
414,101,1,100
415,101,3,100
416,101,28,1340
417,101,30,1340
418,101,31,1380
419,102,1,100
420,102,17,100
421,102,18,115
422,102,25,115
423,102,26,125
424,102,30,125
425,106,1,100
426,106,7,172
427,106,15,283
428,106,18,339
429,106,28,389
430,106,30,414
431,106,31,417
432,107,1,100
433,107,2,100
434,107,28,156
435,107,30,163
436,107,31,165
437,108,1,100
438,108,3,100
439,108,28,1133
440,108,30,1133
441,108,31,1167
442,109,1,100
443,109,17,100
444,109,18,115
445,109,25,115
446,109,26,125
447,109,30,125
448,113,1,100
449,113,7,214
450,113,15,357
451,113,18,429
452,113,28,493
453,113,30,525
454,113,31,529
455,114,1,100
456,114,2,100
457,114,28,155
458,114,30,162
459,114,31,163
460,115,1,100
461,115,3,100
462,115,28,1575
463,115,30,1575
464,115,31,1625
465,116,1,100
466,116,17,100
467,116,18,115
468,116,25,115
469,116,26,125
470,116,30,125
471,120,1,100
472,120,7,179
473,120,15,284
474,120,18,337
475,120,28,389
476,120,30,411
477,120,31,413
478,121,1,100
479,121,2,100
480,121,28,159
481,121,30,166
482,121,31,168
483,122,1,100
484,122,3,100
485,122,28,1296
486,122,30,1296
487,122,31,1333
488,123,1,100
489,123,17,100
490,123,18,115
491,123,25,115
492,123,26,125
493,123,30,125
494,127,1,100
495,127,7,226
496,127,15,264
497,127,18,327
498,127,30,371
499,127,31,377
500,128,1,100
501,128,2,100
502,128,30,159
503,128,31,162
504,129,1,100
505,129,3,100
506,129,30,530
507,129,31,597
508,130,1,100
509,130,17,100
510,130,18,110
511,130,25,110
512,130,26,120
513,130,30,120
514,134,1,100
515,134,7,225
516,134,15,263
517,134,18,325
518,134,30,372
519,134,31,378
520,135,1,100
521,135,2,100
522,135,30,159
523,135,31,163
524,136,1,100
525,136,3,100
526,136,30,567
527,136,31,633
528,137,1,100
529,137,17,100
530,137,18,110
531,137,25,110
532,137,26,120
533,137,30,120
534,141,1,100
535,141,10,120
536,141,11,140
537,141,20,160
538,141,21,180
539,141,30,200
540,141,31,220
541,141,40,250
542,141,41,300
543,141,50,375
544,141,100,450
545,141,998,550
546,141,999,1300
547,142,1,100
548,142,10,116
549,142,11,120
550,142,20,136
551,142,21,140
552,142,30,156
553,142,31,160
554,142,40,176
555,142,41,180
556,142,50,200
557,142,100,232
558,142,998,268
559,142,999,280
560,143,1,100
561,143,10,100
562,143,11,200
563,143,20,400
564,143,21,600
565,143,30,800
566,143,31,1000
567,143,40,1200
568,143,41,1400
569,143,50,1600
570,143,100,1800
571,143,998,2200
572,143,999,2400
573,144,1,100
574,144,10,100
575,144,11,105
576,144,20,105
577,144,21,110
578,144,30,110
579,144,31,115
580,144,40,115
581,144,41,120
582,144,999,120
583,148,1,100
584,148,5,122
585,148,6,144
586,148,10,167
587,148,11,200
588,148,15,222
589,148,16,256
590,148,20,278
591,148,21,311
592,148,30,389
593,148,31,400
594,149,1,100
595,149,30,117
596,149,31,120
597,150,1,100
598,150,3,100
599,150,30,760
600,150,31,800
601,151,1,100
602,151,5,100
603,151,6,105
604,151,10,105
605,151,11,110
606,151,20,110
607,151,21,115
608,151,30,115
609,155,1,100
610,155,21,100
611,155,30,123
612,155,31,127
613,156,1,100
614,156,21,100
615,156,30,108
616,156,31,110
617,157,1,100
618,157,21,100
619,157,30,105
620,157,31,111
621,158,1,115
622,158,21,115
623,158,30,115
624,162,1,100
625,162,7,179
626,162,15,279
627,162,18,332
628,162,28,368
629,162,30,395
630,162,31,398
631,163,1,100
632,163,2,100
633,163,28,163
634,163,30,171
635,163,31,172
636,164,1,100
637,164,3,100
638,164,28,1080
639,164,30,1080
640,164,31,1120
641,165,1,100
642,165,17,100
643,165,18,115
644,165,25,115
645,165,26,125
646,165,30,125
647,169,1,100
648,169,7,197
649,169,15,297
650,169,18,350
651,169,28,387
652,169,30,416
653,169,31,418
654,170,1,100
655,170,2,100
656,170,28,165
657,170,30,173
658,170,31,175
659,171,1,100
660,171,3,100
661,171,28,1607
662,171,30,1607
663,171,31,1643
664,172,1,100
665,172,17,100
666,172,18,115
667,172,25,115
668,172,26,125
669,172,30,125
670,176,1,100
671,176,7,200
672,176,15,306
673,176,18,361
674,176,28,400
675,176,30,431
676,176,31,434
677,177,1,100
678,177,2,100
679,177,28,161
680,177,30,169
681,177,31,171
682,178,1,100
683,178,3,100
684,178,28,1000
685,178,30,1000
686,178,31,1034
687,179,1,100
688,179,17,100
689,179,18,115
690,179,25,115
691,179,26,125
692,179,30,125
693,183,1,100
694,183,7,225
695,183,15,263
696,183,18,325
697,183,30,356
698,183,31,363
699,184,1,100
700,184,2,100
701,184,30,163
702,184,31,166
703,185,1,100
704,185,3,100
705,185,30,667
706,185,31,733
707,186,1,100
708,186,17,100
709,186,18,110
710,186,25,110
711,186,26,120
712,186,30,120
713,190,1,100
714,190,7,189
715,190,15,294
716,190,18,356
717,190,28,406
718,190,30,431
719,190,31,433
720,191,1,100
721,191,2,100
722,191,28,162
723,191,30,168
724,191,31,170
725,192,1,100
726,192,3,100
727,192,28,1000
728,192,30,1000
729,192,31,1036
730,193,1,100
731,193,17,100
732,193,18,115
733,193,25,115
734,193,26,125
735,193,30,125
736,197,1,100
737,197,7,200
738,197,15,306
739,197,18,361
740,197,28,400
741,197,30,428
742,197,31,431
743,198,1,100
744,198,2,100
745,198,28,231
746,198,30,237
747,198,31,239
748,199,1,100
749,199,3,100
750,199,28,1833
751,199,30,1833
752,199,31,1867
753,200,1,100
754,200,17,100
755,200,18,115
756,200,25,115
757,200,26,125
758,200,30,125
759,204,1,100
762,204,5,124
763,204,6,132
764,204,10,152
765,204,11,160
766,204,15,180
767,204,16,188
768,204,20,208
769,204,21,216
770,204,25,236
771,204,26,244
772,204,30,264
773,205,1,100
776,205,5,119
777,205,6,126
778,205,10,137
779,205,11,144
780,205,15,156
781,205,16,163
782,205,20,174
783,205,21,181
784,205,25,193
785,205,26,200
786,205,30,211
787,206,1,100
792,206,10,360
793,206,11,400
794,206,15,440
795,206,16,480
796,206,20,520
797,206,21,560
798,206,25,600
799,206,26,640
800,206,30,700
801,207,1,100
802,207,10,100
803,207,11,105
804,207,15,105
805,207,16,110
806,207,20,110
807,207,21,115
808,207,25,115
809,207,26,120
810,207,30,120
811,211,1,100
812,211,7,189
813,211,15,300
814,211,18,356
815,211,28,408
816,211,30,436
817,211,31,439
818,212,1,100
819,212,2,100
820,212,28,162
821,212,30,169
822,212,31,171
823,213,1,100
824,213,3,100
825,213,28,1125
826,213,30,1125
827,213,31,1175
828,214,1,100
829,214,17,100
830,214,18,115
831,214,25,115
832,214,26,125
833,214,30,125
834,204,31,266
835,205,31,215
836,206,31,740
837,218,1,100
838,218,10,158
839,218,11,175
840,218,20,233
841,218,21,250
842,218,30,308
843,218,31,325
844,218,40,350
845,218,41,367
846,218,998,500
847,218,999,1000
848,219,1,100
849,219,10,117
850,219,11,121
851,219,20,138
852,219,21,142
853,219,30,158
854,219,31,163
855,219,40,179
856,219,41,183
857,219,998,275
858,219,999,290
859,220,1,100
860,220,10,350
861,220,11,500
862,220,20,750
863,220,21,900
864,220,30,1150
865,220,31,1300
866,220,40,1550
867,220,41,1700
868,220,998,2500
869,220,999,2750
870,221,1,100
871,221,10,100
872,221,11,105
873,221,20,105
874,221,21,110
875,221,30,110
876,221,31,115
877,221,40,115
878,221,41,120
879,221,998,120
880,221,999,125
881,225,1,100
882,225,7,202
883,225,15,304
884,225,18,355
885,225,28,381
886,225,30,406
887,225,31,409
888,226,1,100
889,226,2,100
890,226,28,167
891,226,30,174
892,226,31,176
893,227,1,100
894,227,3,100
895,227,28,1303
896,227,30,1303
897,227,31,1334
898,228,1,100
899,228,17,100
900,228,18,115
901,228,25,115
902,228,26,125
903,228,30,125
904,232,1,100
905,232,7,210
906,232,15,315
907,232,18,367
908,232,28,393
909,232,30,425
910,232,31,427
911,233,1,100
912,233,2,100
913,233,28,159
914,233,30,166
915,233,31,167
916,234,1,100
917,234,3,100
918,234,28,1313
919,234,30,1313
920,234,31,1346
921,235,1,100
922,235,17,100
923,235,18,115
924,235,25,115
925,235,26,125
926,235,30,125
950,246,1,100
951,246,7,210
952,246,15,320
953,246,18,375
954,246,28,397
955,246,30,424
956,246,31,424
957,247,1,100
958,247,2,100
959,247,28,152
960,247,30,159
961,247,31,160
962,248,1,100
963,248,3,100
964,248,28,1161
965,248,30,1161
966,248,31,1194
967,249,1,100
968,249,17,100
969,249,18,115
970,249,25,115
971,249,26,125
972,249,30,125
973,253,1,100
974,253,7,202
975,253,15,303
976,253,18,354
977,253,28,377
978,253,30,405
979,253,31,408
980,254,1,100
981,254,2,100
982,254,28,156
983,254,30,164
984,254,31,165
985,255,1,100
986,255,3,100
987,255,28,1011
988,255,30,1011
989,255,31,1044
990,256,1,105
991,256,17,105
992,256,18,120
993,256,25,120
994,256,26,130
995,256,30,130
996,260,1,100
997,260,5,109
998,260,6,118
999,260,10,127
1000,260,11,141
1001,260,15,150
1002,260,16,164
1003,260,20,173
1004,260,21,186
1005,260,30,236
1006,260,31,241
1007,261,1,100
1008,261,30,134
1009,261,31,136
1010,262,1,100
1011,262,3,100
1012,262,30,712
1013,262,31,746
1014,263,1,100
1015,263,5,100
1016,263,6,105
1017,263,10,105
1018,263,11,110
1019,263,20,110
1020,263,21,115
1021,263,30,115
1022,267,1,100
1023,267,21,100
1024,267,30,116
1025,267,31,119
1026,268,1,100
1027,268,21,105
1028,268,30,126
1029,268,31,128
1030,269,1,100
1031,269,21,100
1032,269,30,105
1033,269,31,111
1034,270,1,115
1035,270,21,115
1036,270,30,115
1037,274,1,100
1038,274,7,178
1039,274,15,256
1040,274,18,308
1041,274,28,379
1042,274,30,407
1043,274,31,410
1044,275,1,100
1045,275,2,100
1046,275,28,153
1047,275,30,159
1048,275,31,161
1049,276,1,100
1050,276,3,100
1051,276,28,1161
1052,276,30,1161
1053,276,31,1194
1054,277,1,100
1055,277,17,100
1056,277,18,115
1057,277,25,115
1058,277,26,125
1059,277,30,125
1060,281,1,100
1061,281,7,220
1062,281,15,322
1063,281,18,384
1064,281,28,410
1065,281,30,435
1066,281,31,438
1067,282,1,100
1068,282,2,100
1069,282,28,159
1070,282,30,165
1071,282,31,167
1072,283,1,100
1073,283,3,100
1074,283,28,1000
1075,283,30,1000
1076,283,31,1033
1077,284,1,105
1078,284,17,105
1079,284,18,120
1080,284,25,120
1081,284,26,130
1082,284,30,130
1083,288,1,100
1084,288,7,205
1085,288,15,316
1086,288,18,368
1087,288,28,450
1088,288,30,479
1089,288,31,482
1090,289,1,100
1091,289,2,100
1092,289,28,135
1093,289,30,142
1094,289,31,143
1095,290,1,100
1096,290,3,100
1097,290,28,954
1098,290,30,954
1099,290,31,985
1100,291,1,105
1101,291,17,105
1102,291,18,120
1103,291,25,120
1104,291,26,130
1105,291,30,130
1106,295,1,100
1107,295,7,200
1108,295,15,325
1109,295,18,375
1110,295,28,453
1111,295,30,475
1112,295,31,478
1113,296,1,100
1114,296,2,100
1115,296,28,213
1116,296,30,217
1117,296,31,218
1118,297,1,100
1119,297,3,100
1120,297,28,1000
1121,297,30,1000
1122,297,31,1030
1123,298,1,100
1124,298,17,100
1125,298,18,115
1126,298,25,115
1127,298,26,125
1128,298,30,125
1129,302,1,100
1130,302,5,115
1131,302,6,120
1132,302,10,125
1133,302,11,133
1134,302,15,138
1135,302,16,148
1136,302,20,153
1137,302,21,158
1138,302,30,177
1139,302,31,179
1140,303,1,100
1141,303,30,112
1142,303,31,114
1143,304,1,100
1144,304,3,100
1145,304,30,767
1146,304,31,800
1147,305,1,100
1148,305,5,100
1149,305,6,105
1150,305,10,105
1151,305,11,110
1152,305,20,110
1153,305,21,115
1154,305,30,115
1155,309,1,100
1156,309,21,100
1157,309,30,112
1158,309,31,113
1159,310,1,100
1160,310,21,100
1161,310,30,115
1162,310,31,117
1163,311,1,100
1164,311,21,100
1165,311,30,104
1166,311,31,109
1167,312,1,120
1168,312,21,120
1169,312,30,120
1170,316,1,100
1171,316,7,202
1172,316,15,303
1173,316,18,354
1174,316,28,377
1175,316,30,405
1176,316,31,408
1177,317,1,100
1178,317,2,100
1179,317,28,156
1180,317,30,164
1181,317,31,165
1182,318,1,100
1183,318,3,100
1184,318,28,1011
1185,318,30,1011
1186,318,31,1044
1187,319,1,105
1188,319,17,105
1189,319,18,120
1190,319,25,120
1191,319,26,130
1192,319,30,130
1193,323,1,100
1194,323,5,121
1195,323,6,128
1196,323,10,134
1197,323,11,145
1198,323,15,152
1199,323,16,166
1200,323,20,172
1201,323,21,179
1202,323,30,207
1203,323,31,210
1204,324,1,100
1205,324,30,112
1206,324,31,114
1207,325,1,100
1208,325,3,100
1209,325,30,767
1210,325,31,800
1211,326,1,100
1212,326,5,100
1213,326,6,105
1214,326,10,105
1215,326,11,110
1216,326,20,110
1217,326,21,115
1218,326,30,115
1219,330,1,100
1220,330,21,100
1221,330,30,114
1222,330,31,116
1223,331,1,100
1224,331,21,100
1225,331,30,108
1226,331,31,110
1227,332,1,100
1228,332,21,100
1229,332,30,105
1230,332,31,110
1231,333,1,115
1232,333,21,115
1233,333,30,115
1234,337,1,100
1235,337,7,150
1236,337,15,225
1237,337,18,275
1238,337,28,353
1239,337,30,375
1240,337,31,378
1241,338,1,100
1242,338,2,100
1243,338,28,217
1244,338,30,222
1245,338,31,224
1246,339,1,100
1247,339,3,100
1248,339,28,1000
1249,339,30,1000
1250,339,31,1030
1251,340,1,100
1252,340,17,100
1253,340,18,115
1254,340,25,115
1255,340,26,125
1256,340,30,125
1257,344,1,100
1258,344,7,205
1259,344,15,316
1260,344,18,368
1261,344,28,450
1262,344,30,479
1263,344,31,482
1264,345,1,100
1265,345,2,100
1266,345,28,131
1267,345,30,136
1268,345,31,138
1269,346,1,100
1270,346,3,100
1271,346,28,954
1272,346,30,954
1273,346,31,985
1274,347,1,100
1275,347,17,100
1276,347,18,115
1277,347,25,115
1278,347,26,125
1279,347,30,125
1280,351,1,100
1281,351,7,181
1282,351,15,262
1283,351,18,303
1284,351,28,321
1285,351,30,343
1286,351,31,345
1287,352,1,100
1288,352,2,100
1289,352,28,156
1290,352,30,164
1291,352,31,165
1292,353,1,100
1293,353,3,100
1294,353,28,1009
1295,353,30,1009
1296,353,31,1038
1297,354,1,100
1298,354,17,100
1299,354,18,115
1300,354,25,115
1301,354,26,125
1302,354,30,125
1303,358,1,100
1304,358,7,183
1305,358,15,271
1306,358,18,313
1307,358,28,377
1308,358,30,400
1309,358,31,402
1310,359,1,100
1311,359,2,100
1312,359,28,129
1313,359,30,134
1314,359,31,136
1315,360,1,100
1316,360,3,100
1317,360,28,954
1318,360,30,954
1319,360,31,985
1320,361,1,105
1321,361,17,105
1322,361,18,120
1323,361,25,120
1324,361,26,130
1325,361,30,130
1326,365,1,100
1327,365,7,139
1328,365,15,176
1329,365,18,194
1330,365,28,204
1331,365,30,215
1332,365,31,216
1333,366,1,100
1334,366,2,100
1335,366,28,147
1336,366,30,152
1337,366,31,154
1338,367,1,100
1339,367,3,100
1340,367,28,1313
1341,367,30,1313
1342,367,31,1346
1343,368,1,100
1344,368,17,100
1345,368,18,115
1346,368,25,115
1347,368,26,125
1348,368,30,125
1349,372,1,100
1350,372,5,106
1351,372,6,113
1352,372,10,119
1353,372,11,128
1354,372,15,134
1355,372,16,144
1356,372,20,150
1357,372,21,159
1358,372,30,197
1359,372,31,200
1360,373,1,100
1361,373,30,134
1362,373,31,136
1363,374,1,100
1364,374,3,100
1365,374,30,712
1366,374,31,746
1367,375,1,100
1368,375,5,100
1369,375,6,105
1370,375,10,105
1371,375,11,110
1372,375,20,110
1373,375,21,115
1374,375,30,115
1375,379,1,100
1376,379,21,100
1377,379,30,113
1378,379,31,115
1379,380,1,100
1380,380,21,105
1381,380,30,126
1382,380,31,128
1383,381,1,100
1384,381,21,100
1385,381,30,105
1386,381,31,111
1387,382,1,115
1388,382,21,115
1389,382,30,115
1390,386,1,100
1391,386,7,153
1392,386,15,205
1393,386,18,232
1394,386,28,242
1395,386,30,255
1396,386,31,255
1397,387,1,100
1398,387,2,100
1399,387,28,145
1400,387,30,149
1401,387,31,150
1402,388,1,100
1403,388,3,100
1404,388,28,1154
1405,388,30,1154
1406,388,31,1185
1407,389,1,105
1408,389,17,110
1409,389,18,125
1410,389,25,125
1411,389,26,135
1412,389,30,135
1492,421,1,100
1493,421,3,104
1494,421,4,113
1495,421,6,121
1496,421,7,129
1497,421,10,146
1498,421,11,148
1499,422,1,100
1500,422,2,104
1501,422,3,104
1502,422,4,115
1503,422,6,115
1504,422,7,123
1505,422,9,127
1506,422,10,131
1507,422,11,133
1508,423,1,100
1509,423,3,100
1510,423,4,121
1511,423,6,121
1512,423,7,143
1513,423,8,164
1514,423,9,186
1515,423,10,214
1516,423,11,219
1517,424,1,130
1518,424,4,135
1519,424,7,140
1520,424,9,145
1521,424,10,150
1522,422,8,127
1554,435,1,100
1555,435,5,106
1556,435,6,113
1557,435,10,119
1558,435,11,128
1559,435,15,134
1560,435,16,144
1561,435,20,150
1562,435,21,159
1563,435,30,197
1564,435,31,200
1565,436,1,100
1566,436,30,134
1567,436,31,136
1568,437,1,100
1569,437,3,100
1570,437,30,712
1571,437,31,746
1572,438,1,100
1573,438,5,100
1574,438,6,105
1575,438,10,105
1576,438,11,110
1577,438,20,110
1578,438,21,115
1579,438,30,115
1580,442,1,100
1581,442,21,100
1582,442,30,113
1583,442,31,115
1584,443,1,100
1585,443,21,105
1586,443,30,126
1587,443,31,128
1588,444,1,100
1589,444,21,100
1590,444,30,105
1591,444,31,111
1592,445,1,115
1593,445,21,115
1594,445,30,115
1618,456,1,100
1619,456,26,100
1620,456,30,113
1621,456,31,115
1622,457,1,100
1623,457,26,100
1624,457,30,122
1625,457,31,125
1626,458,1,100
1627,458,26,100
1628,458,30,105
1629,458,31,111
1630,459,1,115
1631,459,26,115
1632,459,30,115
1664,470,1,100
1665,470,7,139
1666,470,15,176
1667,470,18,194
1668,470,28,204
1669,470,30,215
1670,470,31,216
1671,471,1,100
1672,471,2,100
1673,471,28,147
1674,471,30,152
1675,471,31,154
1676,472,1,100
1677,472,3,100
1678,472,28,1292
1679,472,30,1292
1680,472,31,1324
1681,473,1,100
1682,473,17,100
1683,473,18,115
1684,473,25,115
1685,473,26,125
1686,473,30,125
1687,477,1,100
1688,477,3,107
1689,477,4,121
1690,477,6,136
1691,477,7,150
1692,477,10,179
1693,477,11,182
1694,478,1,100
1695,478,2,107
1696,478,3,107
1697,478,4,129
1698,478,6,129
1699,478,7,143
1700,478,8,150
1701,478,9,150
1702,478,10,157
1703,478,11,161
1704,479,1,100
1705,479,3,100
1706,479,4,121
1707,479,6,121
1708,479,7,143
1709,479,8,164
1710,479,9,186
1711,479,10,214
1712,479,11,219
1713,480,1,130
1714,480,4,135
1715,480,7,140
1716,480,9,145
1717,480,10,150
1718,484,1,100
1719,484,7,139
1720,484,15,176
1721,484,18,194
1722,484,28,204
1723,484,30,215
1724,484,31,216
1725,485,1,100
1726,485,2,100
1727,485,28,147
1728,485,30,152
1729,485,31,154
1730,486,1,100
1731,486,3,100
1732,486,28,1203
1733,486,30,1203
1734,486,31,1233
1735,487,1,100
1736,487,17,100
1737,487,18,115
1738,487,25,115
1739,487,26,125
1740,487,30,125
1741,491,1,100
1745,491,21,233
1746,491,30,267
1747,491,31,267
1748,492,1,100
1750,492,21,180
1751,492,30,200
1752,492,31,206
1753,493,1,100
1755,493,21,167
1756,493,30,250
1757,493,31,255
1758,494,1,115
1761,494,25,140
1763,494,30,150
1764,498,1,100
1765,498,21,233
1766,498,30,267
1767,498,31,267
1768,499,1,100
1769,499,21,180
1770,499,30,200
1771,499,31,206
1772,500,1,100
1773,500,21,167
1774,500,30,250
1775,500,31,255
1776,501,1,115
1777,501,21,135
1779,501,30,150
1780,491,6,133
1781,491,11,167
1782,491,16,200
1783,492,6,120
1784,492,11,140
1785,492,16,160
1786,493,6,117
1787,493,11,133
1788,493,16,150
1789,494,11,125
1790,494,21,135
1791,501,25,140
1792,505,1,100
1793,505,7,118
1794,505,15,136
1795,505,18,145
1796,505,28,149
1797,505,30,154
1798,505,31,155
1799,506,1,100
1800,506,2,100
1801,506,28,215
1802,506,30,220
1803,506,31,221
1804,507,1,100
1805,507,3,100
1806,507,28,1292
1807,507,30,1292
1808,507,31,1324
1809,508,1,105
1810,508,17,105
1811,508,18,125
1812,508,25,125
1813,508,26,135
1814,508,30,135
1815,512,1,100
1816,512,3,111
1817,512,4,133
1818,512,6,156
1819,512,7,178
1820,512,10,222
1821,512,11,228
1822,513,1,100
1823,513,2,108
1824,513,3,108
1825,513,4,131
1826,513,6,131
1827,513,7,146
1828,513,8,154
1829,513,9,154
1830,513,10,162
1831,513,11,166
1832,514,1,100
1833,514,3,100
1834,514,4,121
1835,514,6,121
1836,514,7,143
1837,514,8,164
1838,514,9,186
1839,514,10,214
1840,514,11,219
1841,515,1,130
1842,515,4,135
1843,515,7,140
1844,515,9,145
1845,515,10,150
1846,519,1,100
1847,519,7,131
1848,519,15,162
1849,519,18,177
1850,519,28,184
1851,519,30,193
1852,519,31,194
1853,520,1,100
1854,520,2,100
1855,520,28,151
1856,520,30,158
1857,520,31,160
1858,521,1,100
1859,521,3,100
1860,521,28,1009
1861,521,30,1009
1862,521,31,1038
1863,522,1,100
1864,522,17,100
1865,522,18,115
1866,522,25,115
1867,522,26,125
1868,522,30,125
2001,554,1,100
2002,554,6,111
2003,554,7,115
2004,554,9,124
2005,554,10,127
2006,554,12,136
2007,554,13,140
2008,554,18,149
2009,554,19,153
2010,554,24,175
2011,554,25,178
2012,554,30,182
2013,554,31,183
2014,555,1,100
2015,555,6,114
2016,555,7,119
2017,555,9,127
2018,555,10,132
2019,555,12,141
2020,555,13,146
2021,555,18,154
2022,555,19,159
2023,555,24,168
2024,555,25,173
2025,555,30,181
2026,555,31,184
2027,556,1,100
2028,556,9,360
2029,556,10,400
2030,556,12,440
2031,556,13,480
2032,556,18,520
2033,556,19,560
2034,556,24,600
2035,556,25,640
2036,556,30,700
2037,556,31,740
2038,557,1,100
2039,557,9,100
2040,557,10,105
2041,557,12,105
2042,557,13,110
2043,557,18,110
2044,557,19,115
2045,557,24,115
2046,557,25,120
2047,557,30,120
2110,575,1,100
2111,575,3,111
2112,575,4,133
