id,name,race,sex,size,created_at,updated_at
213,King Cold,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
214,Mighty Mask,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
215,Jackie Chun,0,0,3,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
216,Trunks (Teen) (Future),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
217,Mecha Frieza,0,0,3,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
218,Vegeta (Evil) (Scouter),0,0,2,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
225,Goten(Kid),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
226,Hercule,0,0,5,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
227,Super Saiyan 3 Goku,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
228,Majin Vegeta,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
229,Majin Buu,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
230,Majin Buu (Pure Evil),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
231,Buu (Super),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
232,Kid Buu,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
233,Dabura,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
234,Videl (Kid),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
235,Ultimate Gohan,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
236,Uub (Teen),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
237,Pan (Kid),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
238,Babidi,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
239,Super Saiyan God SS Goku,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
240,Super Saiyan God SS Vegeta,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
241,Golden Frieza,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
242,Beerus,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
243,Whis,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
244,Goku (Movie),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
245,Vegeta,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
247,Sorbet,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
248,Tagoma,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
249,krillin,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
250,Gohan,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
251,Super Saiyan Gohan,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
252,Jaco,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
253,Master Roshi (Max Power),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
254,Broly,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
255,Super Saiyan Broly,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
256,LegendarySuperSaiyan Broly ,0,0,7,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
257,Tien,0,0,5,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
258,Paragus,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
259,[en]ガーリックJr.,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
260,[en]スーパーガーリックJr.,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
261,Goku (Kid),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
262,Demon King Piccolo (Elder),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
263,Demon King Piccolo,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
264,Piccolo Jr.,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
266,Murasaki,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
267,General Blue,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
268,Chi-Chi (Kid),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
269,Yamcha,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
270,Krillin (Teen),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
271,Master Roshi (Max Power),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
272,Devilman,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
273,Bandages,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
274,Dracula Man,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
275,Vegito,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
276,Gotenks,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
277,Veku,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
278,Super Saiyan Trunks (Kid),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
279,Super Saiyan Goten (Kid),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
280,Great Saiyaman,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
281,Goku,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
282,Vegeta,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
283,Cooler,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
284,Cooler (Final Form),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
285,Thouser,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
286,Doure,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
287,Neiz,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
288,Android #13,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
289,Fusion Android #13,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
290,Android #14,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
291,Android #15,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
292,Boujack,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
293,Full Power Boujack,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
294,Zangya,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
295,Gokua,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
296,Bido,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
297,Bujin,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
298,Turles,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
299,Tien,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
300,Goku,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
301,Android #17,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
302,Android #18,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
303,Shisami,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
304,Tien,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
305,Gohan (Youth),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
306,Super Saiyan Gohan (Youth),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
307,Super Saiyan 2 Gohan (Youth),0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
308,ヒルデガーン,0,0,10,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
309,ヒルデガーン(上半身),0,0,10,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
310,ヒルデガーン(下半身),0,0,10,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
311,ヒルデガーン,0,0,10,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
312,ホイ,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
313,タピオン,0,0,4,2024-07-30 10:31:11.732401,2024-07-30 10:31:11.732401
314,ミノシア,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
315,Janemba (Big Character),0,0,10,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
317,Great Ape,0,0,10,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
318,Giant Ape Goku (Kid),0,0,10,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
319,大猿ベジータ,0,0,10,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
320,大猿孫悟飯(少年期),0,0,10,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
321,Goku(Angel),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
322,Gohan (Kid),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
323,Great Saiyaman 2,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
324,Goku (GT),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
326,Pan (GT),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
327,Super Saiyan Trunks (GT),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
328,Vegeta (GT),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
329,ドクター・ミュー,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
330,Super Saiyan Goku (GT),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
331,Super Saiyan 2 Goku (GT),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
332,超サイヤ人3孫悟空(GT),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
334,Hercule (GT),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
335,Super Saiyan 3 Vegeta,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
336,超サイヤ人4ベジータ,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
337,Ledgic,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
338,Mutchy,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
339,Super Sigma 2,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
341,Super Saiyan Gohan (GT),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
342,Goku,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
343,King Chappa,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
344,Oolong,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
345,Super Saiyan Goku,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
346,Gohan (Teen),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
347,Super Saiyan Gohan (Teen),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
348,Super Saiyan 2 Gohan (Teen),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
349,Frieza (Full Power),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
350,Super Saiyan God Goku Limitbreaker Kamehameha,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
351,Hatchiyack,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
352,Super Hatchiyack,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
353,Dr. Lychee,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
354,[en]アービー,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
355,[en]キンカーン,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
356,[en]スカッド,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
357,Mr. Popo,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
358,Mutaito,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
359,Kibito,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
360,Kibito Kai,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
361,Supreme Kai,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
362,0,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
363,Majin Buu (Piccolo),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
364,魔人ブウ(アルティメット悟飯吸収),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
365,Majin Buu (Gotenks),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
366,Great Saiyaman,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
367,メタルクウラ・コア,0,0,10,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
368,Metal Cooler,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
369,Robot Soldier,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
370,Goku,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
371,ウーブ(少年期),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
373,Goku,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
374,Trunks (Teen) Victory Cannon,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
375,Goten (Teen) Kamehameha,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
376,Bulma,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
377,Hercule Statue (Gold),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
378,Hercule Statue (Silver),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
379,Hercule Statue (Bronze),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
380,Amond,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
381,Rasin,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
382,Lakasei,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
383,Elder Kai,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
384,Cacao,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
385,Bulma,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
386,Daiz,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
387,Super Saiyan Goku,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
388,Majuub,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
389,孫悟天(GT),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
390,孫悟天(GT),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
391,Super Saiyan Vegeta (GT),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
392,[en]ナッパ(青年期),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
393,超サイヤ人3トランクス(青年期),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
394,ミスター・サタン,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
398,餃子,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
399,兎人参化,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
400,Bulma,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
401,Launch,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
402,Super Saiyan 2 Goku (Angel),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
403,超サイヤ人3孫悟空(天使),0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
404,アンゴル,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
405,モア,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
407,0,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
408,Super Saiyan Goku,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
409,Super Saiyan 2 Vegeta,0,0,4,2024-07-30 10:31:11.738952,2024-07-30 10:31:11.738952
