id,help_category_id,num,title,description,created_at,updated_at
11,2,900,Difficulty,"各ステージには「NORMAL」「HARD」「Z-HARD」の３つの難易度が存在します。

はじめはNORMALしか選べませんが、クリアすることで順に開放されます。

難易度の高いステージは手強い敵が出現しますが、その分経験値やゼニーなどの報酬に期待できます。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
12,2,890,Tile Description,"すごろく状になっているマップには、さまざまなマスが存在します。

基本的に赤を危険を、青は報酬を、黄色はハプニングを表しています。

マスの中には強制的に停止を強いられる「STOP」マスが存在します。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
13,2,880,Stamina,"冒険に出発する際にはACT(行動力)を消費します。

消費するACTはステージ毎に決められています。

ACTは5分に1回復しますが、龍石を1つ消費して全回復することもできます。

※ランクアップすると最大ACTが上がることがあります。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
14,2,870,Dragon Balls,"ステージには、ドラゴンボールが落ちていることがあります。

ドラゴンボールが落ちているステージは、「ホーム」＞「ドラゴンボール」画面で、未取得のドラゴンボールをタップすることで確認することができます。

取得するためにはそのマスに停まる必要があるので、マップを見渡し、考えながら先へ進みましょう。

また、ドラゴンボールは７つ集めると願いを叶えることができます。
どんな願いが叶えられるのかは、自分の目で確かめてみましょう。
※ドラゴンボールは願いを叶えない限り、配置が変わることはありません。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
15,2,860,How to Give Up,"冒険中（バトル中）に画面右上にある「MENU」から「あきらめる」を選択すると、冒険を途中でやめることが出来ます。

バトル中に「あきらめる」をした場合、バトルでなく冒険自体のリタイアとなるのでご注意ください。

「あきらめる」を選択した場合、バトル勝利で得たキャラクター経験値以外のアイテムは全て破棄されます。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
16,3,850,"Win, Lose and Continue",,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
17,3,840,Ki and Ki Spheres,"バトル時、気の玉を消した数だけ気力ゲージが上昇し、攻撃力が決まります。

キャラクターの属性と同色の気力玉を消した場合のみ、通常の2倍上昇します。

※気力ゲージは蓄積されず、そのターンのみ有効となります。そのため、1回の攻撃で一定量貯める必要があります。

※キャラクターのスキルやステージのマスの効果によって予め上昇してる場合があります。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
18,3,830,Type and Guard,"キャラクターはそれぞれ属性を持っています。相性は下記の通りです。

・力（赤）……体（橙）に強く、速（青）に弱い
・速（青）……力（赤）に強く、技（緑）に弱い
・技（緑）……速（青）に強く、知（紫）に弱い
・知（紫）……技（緑）に強く、体（橙）に弱い
・体（橙）……知（紫）に強く、力（赤）に弱い

有利な属性だとダメージが増加しますが、不利な属性に攻撃をするとガードが発動しダメージが軽減されます。

またキャラクターが「Ｚ覚醒」により進化すると、属性に「超」か「極」が付きます。（超力、極技など）
この属性になると有利属性への攻撃力が増し、弱点属性への耐久が強化されます。
※「超」同士、「極」同士の属性でバトルを行った場合は、上記５すくみと同等の優劣関係となります。
",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
19,3,820,Target,"バトル画面で、画面上部の敵アイコンをタッチすると攻撃対象を切り替えることができます。

属性の関係や先に倒しておくべきキャラクターなどを考慮し、戦略的に敵を攻撃しましょう。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
20,3,810,Attack and Defense,"攻撃順は、バトル画面下部に表示されており、左から順番に攻撃をしかけていきます。

まだ気の玉を選択前のキャラクターであれば、順番を入れ替えることができます。

敵は「直前に攻撃をしていたキャラクター」を狙って攻撃をしかけてきます。

敵の攻撃アイコンが表示されている場合、その直前にいるキャラクターが攻撃を受けることになるので、防御力の高いキャラクターを配置するなどして工夫してみましょう。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
21,3,800,Super Attack,"気力ゲージが一定量貯めることができると、キャラクターは必殺技を発動させます。

必要な気力の量については、それぞれのキャラクター詳細画面で確認できます。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
22,3,790,Dokkan Mode,"HPバーの下部にあるドッカンゲージを全て溜めたうえでキャラクターの必殺技が確定すると、ドッカンモードに突入します。

ドッカンモードは必殺技の攻撃力が増し、全ての敵に命中します。

ドッカンゲージは気力玉を消すことで溜まっていきます。
※ドッカンゲージはステージをまたぐとリセットされます。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
23,4,780,Support Items,"サポートアイテムは冒険に持っていくことができます。

HPを回復したり攻撃力を上昇させるなど、様々な効果をもったアイテムが存在するので、各ステージに合ったアイテムを選択しましょう。

冒険に持ち込めるアイテムは、ドラゴンボールの願いによって最大6種類まで増やすことができます。

また、アイテムによって冒険に持ち込める数が決まっていたり、バトル中は使用できないなどの制限があるので注意しましょう。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
24,4,770,Training Items,"修業の際、修業アイテムを使用することで、経験値を多く獲得することができます。

1回の修業で最大5個まで同時に使用することができます。

修業アイテムは冒険やログインボーナスなどで獲得することができます。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
25,4,760,Awakening Medals,"キャラクターを覚醒させるために必要なアイテムです。

覚醒に必要なアイテムの種類や数はキャラクターによって異なります。

覚醒メダルは冒険やログインボーナスで獲得することができます。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
26,5,750,Friends,"フレンドとなったプレーヤーを冒険の際に選択すると、フレンドptが多く獲得できます。

最大フレンド数はプレーヤーランクが上がると増加することがあります。

フレンドをたくさん増やして、より優位に冒険を進めましょう。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
27,5,740,Friend Points,"友情ポイントがあれば、友情ガシャを回すことができます。

フレンドになっているプレーヤーと一緒に冒険にいくことで100ポイント、それ以外のプレーヤーの場合は50ポイントがもらえます。

ポイントがもらえるのは1プレーヤーにつき1日1回までとなり、同じプレーヤーを選択しつづけてもポイントは増えないので注意しましょう。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
28,9,730,Data Linking & Back Up,"１．「メニュー」＞「機種変更・バックアップ」＞「機種変更コードの発行」ページ内にて「発行する」ボタンを押すと、機種変更コードが発行されます。
２．「ユーザーID」「機種変更コード」が表示されますので、お手元にお控えください。
３．新端末で「ドラゴンボールＺ　ドッカンバトル」を新たにインストールして下さい。
４．タイトル画面の「機種変更」ボタンを押し、「機種変更」＞「機種変更コードの入力」画面にて、「ユーザーID」と「機種変更コード」を入力すると、引き継ぎが完了します。
※タイトル画面の「機種変更」ボタンは消えないため、一度ゲームを始めた後でも基本的にはデータ引き継ぎを行うことが出来ます。

※異なるOS間の以降の場合、「龍石」を引き継ぐことはできません。
※冒険中に移行した場合、冒険に復帰することはできません。
※コードの有効期限は発行から2週間です。発行するたびにパスワードと有効期限が更新されます。
　 有効期限内に最新のもののみが有効となり、古いものは無効となります。
※移行が完了したコードは無効となります。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
29,9,720,Closing the App,"冒険途中でアプリを再起動した場合、中断した箇所から再開されます。

※中断データを破棄した場合、冒険で得たアイテムやキャラクターの経験値が破棄されますのでご注意ください。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
30,6,710,What are Missions?,"達成することで、様々な報酬がもらえる機能です。
　・カリン様ミッション
　・神様ミッション
　・界王様ミッション
　・限定ミッション
の４つのカテゴリに分かれており、それぞれ挑戦に必要なランクや時間が異なります。

カテゴリを選択後、ミッション一覧画面で「詳細」ボタンを押すと、ミッションの内容や報酬が確認できます。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
31,6,700,New Missions & Unclaimed Rewards,"ホーム画面の「ミッション」アイコン「！」マークは、報酬受け取り可能なミッションがあることを示しています。

受け取り可能な件数は、カテゴリ一覧画面で確認できます。

また「NEW」マークは、まだ詳細画面を確認していないものを表しています。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
32,6,690,Completion and Rewards,"ミッションを達成すると、ミッション一覧画面で「詳細」ボタンが「達成」に変わり、報酬を受け取ることができます。

報酬はプレゼントボックスではなく、直接付与されるのでご注意下さい。

達成の進捗状況は一覧で「達成度」として表示され、確認することができます。
（「１度の冒険で〜」といった条件付のものは、最高記録が達成度として表示されます）

また期限付きのミッションは、期限が過ぎると報酬受取ができなくなりますのでご注意下さい。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
33,6,680,Trial Missions,"ミッション一覧画面では、画面右下にあるボタンで「挑戦中」のものと「達成済」のものの表示切替が行えます。

既に報酬を受け取ったものは「挑戦中」から「達成済」に移されます。
達成済一覧画面では、いつでも詳細と受け取った報酬を確認することができます。",2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
34,7,670,What is Baba's Shop?,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
35,7,660,How to Acquire Trade Points,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
36,7,650,Trading Zeni,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
37,7,640,Trading Treasure,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
38,7,630,Trading Tips,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
39,3,620,Battle Icons,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
40,3,610,"Giant Form, Giant Ape & Rage",,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
41,8,600,Hidden Potential Activation,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
42,8,590,Potential Orbs,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
43,8,580,Hidden Potential Stats,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
44,8,570,Hidden Potential Skills,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
45,8,560,Forgetting Optional Skills,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
46,8,550,Growth Categories,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
47,8,540,Unlocking Additional Routes,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
48,8,530,Reverse,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
49,8,520,Reverse Dokkan Awakening,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
50,1,510,Category,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
51,1,965,Extreme Z-Awakening,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
52,10,100,Extreme Z-Battle,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
53,10,90,Enemy Level and Boost,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
54,10,80,Select Level,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
55,10,70,Victory Rewards,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
56,8,500,HP Node,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
57,8,490,ATK Node,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
58,8,480,DEF Node,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
59,8,470,Hidden Potential Skill Node,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
61,11,100,Portal of Memories,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
62,11,90,Keys,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
63,3,600,Active Skill,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
64,1,931,Active Skill,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
65,1,939,Transformation,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
66,2,895,Reward Boost,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
67,12,470,What Are Skill Orbs?,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
68,12,450,Slot Unlocking Conditions,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
69,12,460,How to Equip Skill Orbs,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
70,4,440,Special Sticker,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
71,9,714,About Animation Brightness Setting,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
72,7,639,Secret Treasure Chest,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
73,12,430,About Special Skill Orbs,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
74,3,590,Conditional Super Attack,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
75,4,775,Support Memories/Film,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
76,3,580,Revival Skill,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
77,3,570,Visual Change,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
78,1,500,Super Attack Type,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
79,2,850,Auto Mode,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
80,13,390,My Profile,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
81,13,370,Favorite Character,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
82,13,360,Title,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
83,13,350,Power Level,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
84,13,340,Pixel Character,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
85,13,380,Subpage,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
86,2,840,"""Attempt Again"" Function",,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
87,14,230,Burst Mode,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
88,14,220,Burst Mode Conditions,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
89,14,210,Score,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
90,15,330,Music Collection,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
91,15,320,How to Obtain Tracks,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
92,15,310,How to Set a Track,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
93,15,300,How to Remove a Track,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
94,1,490,Standby Skill,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
95,4,774,Memory Medals,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
96,5,745,Special Friends,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
97,3,560,Domain,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
98,4,755,Link Skill Orbs,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
99,13,345,Power Level Bonuses,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
100,9,719,아이템 확률 정보,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
101,3,550,Territory Skill,,2024-07-24 07:39:52.450008,2024-07-24 07:39:52.450008
102,1,964,Super Extreme Z-Awakening,,2024-07-24 07:39:52.454491,2024-07-24 07:39:52.454491
103,10,60,Lv. SUPER,,2024-07-24 07:39:52.454491,2024-07-24 07:39:52.454491
104,2,830,Reward Confirmation,,2024-07-24 07:39:52.454491,2024-07-24 07:39:52.454491
901,4,1000,STA-Restoring Items,,2024-07-24 07:39:52.454491,2024-07-24 07:39:52.454491
