id,step_id,process_type,parameters,number,created_at,updated_at
40018,4000,DESCRIPTION_DIALOG,"{""id"":2090}",19,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
50000,5000,WAIT_TIMER,"{""time"":1}",1,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
50001,5000,DESCRIPTION_DIALOG,"{""id"":2100}",2,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
50002,5000,DESCRIPTION_DIALOG,"{""id"":2110}",3,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
50003,5000,DESCRIPTION_DIALOG,"{""id"":2120}",4,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
50004,5000,AWAKEN_START,{},5,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
50005,5000,CHARAGEKI,"{""file"":""0000008.kks""}",6,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
60000,6000,WAIT_TIMER,"{""time"":1}",1,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
60001,6000,DESCRIPTION_DIALOG,"{""id"":2200}",2,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
60002,6000,DESCRIPTION_DIALOG,"{""id"":2210}",3,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
60003,6000,DOKKAN_AWAKEN_START,{},4,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
60100,6010,WAIT_TIMER,"{""time"":1}",1,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
60101,6010,CHARAGEKI,"{""file"":""0000009.kks""}",2,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
70000,7000,WAIT_TIMER,"{""time"":1}",1,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
70001,7000,CHARAGEKI,"{""file"":""0000010.kks""}",2,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
70100,7010,WAIT_INITIALIZE_PUZZLE,{},1,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
70101,7010,WAIT_TIMER,"{""time"":1}",2,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
70102,7010,DESCRIPTION_DIALOG,"{""id"":3000}",3,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
70103,7010,DESCRIPTION_DIALOG,"{""id"":3010}",4,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
70104,7010,PUZZLE_ACTIVE_SKILL,"{""index"":0,""player_attack_damage"":1273530}",5,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
70105,7010,WAIT_FINISH_BATTLE,"{""enemy_attack_damages"":[111,222,333]}",6,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
70200,7020,WAIT_TIMER,"{""time"":1}",1,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
70201,7020,CHARAGEKI,"{""file"":""0000011.kks""}",2,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
80000,8000,DOWNLOAD_ASSET,{},1,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
90000,9000,WAIT_INPUT_NAME,{},1,2024-06-05 09:25:09.386673,2024-06-05 09:25:09.386673
