id,scene_name,description
73,CharacterReawakeConfirmScene,"After a Reverse Dokkan Awakening, the character's level, stats and Super Attack Level will be restored to the pre-Reversed status. If the character's Super Attack Level increased during the Reverse, it will be carried over after a Reverse Dokkan Awakening."
74,PotentialItemScene,Tap to view details.
80,SpecialMissionSelectScene,Select a stage to view the details of the stage's trials.
81,GashaHistoryScene,You can check the results of your past 50 Summons. Single Summons and Multi-Summons both count as single entries.
82,ZBattleTopScene,"Tap the ""Fight"" button to fight enemies of the level you selected. The highest level you reach will not be reset even if you rechallenge a level you have already cleared."
83,ZBattleSelectCompanyScene,"Select a friend to join the battle. Tap the ""Battle Info"" button to view a variety of information, including enemy data."
84,ZBattleTeamSelectScene,"This is the final check before the battle begins. You cannot use Continues or Support Items when challenging. Tap the ""Start!"" button if you are ready to go."
85,PorungaDragonBallListScene,Tap the Porunga Dragon Balls you haven't obtained yet for a hint on their location.
86,RMBattleTopScene,"Tap the ""Start"" button to play the Ultimate Clash mode."
87,RMBattleMissionScene,"You can check the mission requirements and mission rewards for the Ultimate Clash missions. Completed missions will be marked with ""Success""."
88,RMBattleHelpScene,You can check the instructions for playing the Ultimate Clash mode by selecting the menu.
89,RMHelpCategoryScene,Choose the entry you would like to check.
90,RMBattleStatusCheckScene,You can check the progress and remaining characters.
91,RMBattleSelectTeamScene,"Choose up to 112 characters to enter in the Ultimate Clash. 112 characters will be selected automatically if you tap the ""Auto"" button. Tap ""Confirm"" to proceed to the next screen."
92,RMBattleSelectStageScene,"Select a stage you would like to challenge. Clear all the stages positioned around the ""?"" to challenge the boss."
93,RMBattleSelectDeckScene,"The first character selected will be the leader and the second, the sub-leader. The Leader Skills of these two characters will be activated during the battle. Tap ""Confirm"" when you're ready to move to the next screen."
94,EventKagiTopScene,Select the event you want to challenge.
95,EventKagiQuestSelectScene,Select the stage you want to challenge.
96,SelectDifficultyKagiEventScene,"Select the difficulty you want to challenge. The number of required Keys, strength of the opponents and contents of the rewards will all vary depending on the difficulty. The difficulties where you can take on ""Trial Missions"" will be marked with a scroll icon."
97,SelectTeamEventScene,This is the final confirmation before the challenge starts. You can swipe left and right to change your team. You can also set up the Support Items you want to use in the battle.
98,BlackSmokeDragonBallListScene,Tap a Dragon Ball you haven't obtained yet for a hint on its location.
99,WallpaperSelectScene,"Tap a wallpaper to view its details. On the details page, you can set it as the Home Screen's wallpaper."
100,ExchangeTrainingFieldScene,You can exchange your Training Locations for Trade Points. The exchange rate will differ depending on the item.
101,ExchangeTreasureItemScene,You can exchange your Treasure Items for Trade Points. The exchange rate will differ depending on the item.
102,ExchangePotentialItemScene,You can exchange your Potential Orbs for Trade Points. The exchange rate will differ depending on the item.
103,TrainingFieldItemScene,Tap to view details.
104,ExchangeOtherItemScene,You can exchange your items for Trade Points. The exchange rate will differ depending on the item.
105,EquipmentItemScene,Tap to view details.
106,ExchangeEquipmentItemScene,You can exchange your Skill Orbs for Trade Points. The exchange rate will differ depending on the item.
107,CardStickerItemScene,Tap to view details.
108,CardStickerCharacterListScene,Select a character on whom to use a Special Sticker.
109,SecretBoxScene,Exchange Treasure Items for a Secret Treasure Chest. You can obtain random items from Secret Treasure Chests.
110,ChainBattle::BattleLogScene,You can check the Battle Log of Explosive Chain Battle.
111,ChainBattle::TopScene,"Tap the ""Start"" button to play the Explosive Chain Battle mode."
112,ChainBattle::RescueTeamScene,Please select your Supporters. You must select 10 characters each for your Super Type and Extreme Type teams.
113,ChainBattle::RescueTeamEditScene,You can only select Z-Awakened characters. The icons of characters who are effective against the enemy will glow.
114,ChainBattle::MissionScene,"You can check the mission requirements and mission rewards. Completed missions will be marked with ""Success""."
115,ChainBattle::RankingScene,The total damage dealt in a single battle is recorded as your High Score. It may take some time for new records to be updated.
116,ChainBattle::HelpScene,You can check the instructions for playing the Explosive Chain Battle mode by selecting the menu.
117,ChainBattle::HelpCategoryScene,Choose the item you would like to check.
118,JointCampaign::TopScene::Private,You can check the progress of Personal Missions on this page. You can obtain the rewards for Co-Op or Showdown Missions after you complete the mission(s) marked with the icon.
119,JointCampaign::TopScene::Cooperation,You can check the progress of Co-Op Missions on this page. Work together with other players and aim to complete the missions.
120,JointCampaign::TopScene::Match,You can check the progress of Showdown Missions on this page. Work together with other players and aim for victory.
121,SDBattle::BinderSelectScene,Select the Collection you would like to browse.
122,SDBattle::BinderScene,Tap the Sticker Card you would like to view to check its details.
123,SDBattle::SealListScene,Tap the Sticker Card you would like to check to view its details.
124,SDBattle::HelpScene,"You can check the instructions for playing the Pettan Battle mode by tapping ""Menu""."
125,SDBattle::HelpCategoryScene,Choose the entry you would like to check.
127,SDBattle::TopScene,Select a battlefield.
128,SDBattle::ArenaScene,Select the enemy character you would like to battle.
129,SDBattle::BattleScene,Please play other content until the battle ends. Battle will continue even if you close the app.
130,SupportMemory::SelectionScene,"Tap to select, and hold to view details."
131,SupportMemory::ItemScene,Tap to view details.
132,ExchangeRedundantCharacterScene,You can exchange characters that meet certain conditions for various types of Coins.
133,JointCampaign::TopScene::Team,You can check the progress of Team Missions on this page. Work together with other players and aim to complete the mission(s).
137,SubscriptionConfirmScene,You can check the status of your Daily Capsule subscription.
138,StandardMission::TopScene::Daily,These are missions that will be updated daily. Please note you will not be able to claim the rewards if you fail to claim them before the daily update.
139,StandardMission::TopScene::Normal,These are missions that can be completed at any time.
140,StandardMission::TopScene::Event,"The missions are displayed separately by events. You can check the total number of certain items obtainable as mission rewards at the ""Main Rewards"" section."
141,StandardMission::DetailScene::Event,These are missions related to events.
142,StandardMission::TopScene::Special,These are Trial Missions from the Supreme Kai.
143,StandardMission::TopScene::Kagi,"These are missions of events available in the Portal of Memories. You can check the total number of certain items obtainable as mission rewards at the ""Main Rewards"" section."
144,StandardMission::DetailScene::Kagi,These are missions related to events in the Portal of Memories.
145,DBStorySeriesSelectScene,"In Dragon Ball Story, you can relive stories of the Dragon Ball series. Please select a series."
146,DBStoryAreaSelectScene,Select a saga.
147,DBStoryQuestSelectScene,Select a stage.
148,DBStoryDifficultySelectScene,"Select a difficulty. The required STA, enemy strength and the rewards obtained differ between difficulties."
149,MyDataScene::MainPage,You can view information about the user.
150,MyDataScene::MainPageCharacterSelectPage,You can set the character you would like to display on the main page.
151,MyDataScene::SubPage,"You can view the number of ""battles participated in by each character"" and ""stages cleared for each event type""."
152,MyDataScene::AchievementCategoryListPage,You can view the requirements for acquiring Titles and change the Title displayed on the main page.
153,MyDataScene::AchievementListPage,You can view the requirements for acquiring Titles and change the Title displayed on the main page.
154,MyDataScene::AchievementDetailPage,You can view the requirements for acquiring Titles and change the Title displayed on the main page.
155,TeamMemberSelectSupporterScene,You can select the character who will help other players.
156,JukeboxScene::AlbumList,Select an album.
157,JukeboxScene::TrackList,"Select the track you want to play. Please tap the ""?"" button for more information."
158,SupportMemory::EnhancementItemScene,Tap to view details.
160,CharacterGrowthRootScene::Training,Select a character to strengthen through Training.
161,CharacterGrowthRootScene::Awakening,Select a character to awaken.
162,CharacterGrowthRootScene::LinkSkill,Select a character whose Link Skill level(s) you would like to raise.
163,LinkSkillLvUpScene,"Select the Link Skill(s) to level up. By selecting ""Level Up All"", you can level up all the Link Skills at once."
164,UserScoreBenefitScene,You can check the power level bonuses that are activated.
165,UserScoreBenefitAllListScene,You can check the list of power level bonuses.
902,SubscriptionStatusScene,Tap to view details
