id,sd_map_id,position_x,position_y,symbol_item_type,symbol_item_id,background_image_id
137,29,7,-7,PotentialItem,1,3
138,29,0,0,SD::Pack,1101,1
139,30,-7,7,TrainingItem,100,2
140,30,7,7,Point::Zeni,13,4
141,30,-7,-7,AwakeningItem,1,5
142,30,7,-7,PotentialItem,1,3
143,30,0,0,SD::Pack,1201,1
144,31,-7,7,TrainingItem,100,2
145,31,7,7,Point::Zeni,13,4
146,31,-7,-7,AwakeningItem,1,5
147,31,7,-7,PotentialItem,1,3
148,31,0,0,SD::Pack,1201,1
149,32,-7,7,TrainingItem,100,2
150,32,7,7,Point::Zeni,13,4
151,32,-7,-7,AwakeningItem,1,5
152,32,7,-7,PotentialItem,1,3
153,32,0,0,SD::Pack,1301,1
