id,budokai_mission_id,item_id,item_type,quantity,card_exp_init,description,gift_description,created_at,updated_at
53,53,4,TrainingField,10,0,Snake Way x10,2nd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
54,54,8,TrainingField,5,0,Supreme Kai's Planet x5,2nd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
55,55,11,Point::Stone,5,0,Dragon Stone x5,2nd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
56,56,20,AwakeningItem,1,0,Elder Kai x1,2nd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
57,57,11,Point::Stone,5,0,Dragon Stone x5,2nd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
58,58,11,Point::Stone,3,0,Dragon Stone x3,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
59,59,11,Point::Stone,1,0,Dragon Stone x1,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
60,60,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
61,61,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
62,62,11,Point::Stone,3,0,Dragon Stone x3,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
63,63,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
64,64,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
65,65,6,TrainingField,10,0,Gravity Chamber (50G) x10,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
66,66,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
67,67,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
68,68,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
69,69,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
70,70,6,SupportItem,15,0,Senzu Bean x15,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
71,71,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
72,72,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
73,73,2,SpecialItem,1,0,(Gold) World Tournament Ticket x1,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
74,74,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
75,75,7,TrainingField,10,0,Gravity Chamber (150G) x10,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
76,76,19,AwakeningItem,1,0,Supreme Kai x1,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
77,77,11,Point::Stone,5,0,Dragon Stone x5,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
78,78,2,SpecialItem,2,0,(Gold) World Tournament Ticket x2,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
79,79,11,Point::Stone,7,0,Dragon Stone x7,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
80,80,2,SpecialItem,3,0,(Gold) World Tournament Ticket x3,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
81,81,4,SpecialItem,1,0,SSR Guaranteed Ticket x1,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
82,82,11,Point::Stone,1,0,Dragon Stone x1,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
83,83,1002640,Card,1,93879,"(500,000 Zeni) Hercule Statue (Silver) x1",3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
84,84,5,TrainingField,3,0,King Kai's Planet (10G) x3,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
85,85,1,AwakeningItem,30,0,Gregory x30,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
86,86,6,SupportItem,10,0,Senzu Bean x10,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
87,87,11,Point::Stone,1,0,Dragon Stone x1,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
88,88,4,TrainingField,10,0,Snake Way x10,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
89,89,8,TrainingField,5,0,Supreme Kai's Planet x5,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
90,90,11,Point::Stone,5,0,Dragon Stone x5,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
91,91,20,AwakeningItem,1,0,Elder Kai x1,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
92,92,11,Point::Stone,5,0,Dragon Stone x5,3rd World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
93,93,11,Point::Stone,3,0,Dragon Stone x3,4th World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
94,94,11,Point::Stone,1,0,Dragon Stone x1,4th World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
95,95,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,4th World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
96,96,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,4th World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
97,97,11,Point::Stone,3,0,Dragon Stone x3,4th World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
98,98,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,4th World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
99,99,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,4th World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
100,100,6,TrainingField,10,0,Gravity Chamber (50G) x10,4th World Tournament Mission Rewards,2024-05-17 11:40:55.453785,2024-05-17 11:40:55.453785
101,101,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
102,102,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
103,103,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
104,104,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
105,105,6,SupportItem,15,0,Senzu Bean x15,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
106,106,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
107,107,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
108,108,2,SpecialItem,1,0,(Gold) World Tournament Ticket x1,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
109,109,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
110,110,7,TrainingField,10,0,Gravity Chamber (150G) x10,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
111,111,11,Point::Stone,2,0,Dragon Stone x2,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
112,112,19,AwakeningItem,1,0,Supreme Kai x1,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
113,113,2,SpecialItem,2,0,(Gold) World Tournament Ticket x2,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
114,114,11,Point::Stone,5,0,Dragon Stone x5,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
115,115,2,SpecialItem,3,0,(Gold) World Tournament Ticket x3,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
116,116,11,Point::Stone,7,0,Dragon Stone x7,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
117,117,4,SpecialItem,1,0,SSR Guaranteed Ticket x1,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
118,118,11,Point::Stone,1,0,Dragon Stone x1,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
119,119,1002640,Card,1,93879,"(500,000 Zeni) Hercule Statue (Silver) x1",4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
120,120,5,TrainingField,3,0,King Kai's Planet (10G) x3,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
121,121,1,AwakeningItem,30,0,Gregory x30,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
122,122,6,SupportItem,10,0,Senzu Bean x10,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
123,123,11,Point::Stone,1,0,Dragon Stone x1,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
124,124,4,TrainingField,10,0,Snake Way x10,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
125,125,8,TrainingField,5,0,Supreme Kai's Planet x5,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
126,126,11,Point::Stone,5,0,Dragon Stone x5,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
127,127,20,AwakeningItem,1,0,Elder Kai x1,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
128,128,11,Point::Stone,5,0,Dragon Stone x5,4th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
129,129,11,Point::Stone,3,0,Dragon Stone x3,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
130,130,11,Point::Stone,1,0,Dragon Stone x1,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
131,131,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
132,132,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
133,133,11,Point::Stone,3,0,Dragon Stone x3,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
134,134,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
135,135,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
136,136,6,TrainingField,10,0,Gravity Chamber (50G) x10,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
137,137,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
138,138,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
139,139,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
140,140,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
141,141,6,SupportItem,15,0,Senzu Bean x15,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
142,142,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
143,143,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
144,144,2,SpecialItem,1,0,(Gold) World Tournament Ticket x1,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
145,145,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
146,146,7,TrainingField,10,0,Gravity Chamber (150G) x10,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
147,147,19,AwakeningItem,1,0,Supreme Kai x1,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
148,148,11,Point::Stone,2,0,Dragon Stone x2,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
149,149,2,SpecialItem,2,0,(Gold) World Tournament Ticket x2,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
150,150,11,Point::Stone,5,0,Dragon Stone x5,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
151,151,2,SpecialItem,3,0,(Gold) World Tournament Ticket x3,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
152,152,11,Point::Stone,7,0,Dragon Stone x7,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
153,153,4,SpecialItem,1,0,SSR Guaranteed Ticket x1,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
154,154,11,Point::Stone,1,0,Dragon Stone x1,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
155,155,1002640,Card,1,93879,"(500,000 Zeni) Hercule Statue (Silver) x1",5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
156,156,5,TrainingField,3,0,King Kai's Planet (10G) x3,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
157,157,1,AwakeningItem,30,0,Gregory x30,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
158,158,6,SupportItem,10,0,Senzu Bean x10,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
159,159,11,Point::Stone,1,0,Dragon Stone x1,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
160,160,4,TrainingField,10,0,Snake Way x10,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
161,161,8,TrainingField,5,0,Supreme Kai's Planet x5,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
162,162,11,Point::Stone,5,0,Dragon Stone x5,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
163,163,20,AwakeningItem,1,0,Elder Kai x1,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
164,164,11,Point::Stone,5,0,Dragon Stone x5,5th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
165,165,11,Point::Stone,3,0,Dragon Stone x3,8th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
166,166,11,Point::Stone,1,0,Dragon Stone x1,8th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
167,167,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,8th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
168,168,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,8th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
169,169,1003500,Card,2,0,(Deadly Awakening) Super Saiyan Goku x2,8th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
170,169,11,Point::Stone,3,0,Dragon Stone x3,8th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
171,170,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,8th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
172,171,1,SpecialItem,3,0,(Silver) World Tournament Ticket x3,8th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
173,172,1003500,Card,2,0,(Deadly Awakening) Super Saiyan Goku x2,8th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
174,172,6,TrainingField,10,0,Gravity Chamber (50G) x10,8th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
175,173,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,8th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
176,174,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,8th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
177,175,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,8th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
178,176,1,SpecialItem,1,0,(Silver) World Tournament Ticket x1,8th World Tournament Mission Rewards,2024-05-17 11:40:55.462090,2024-05-17 11:40:55.462090
