id,name,description,max_exec_count,priority,support_film_id,cost,unlock_quantity,script_name,lite_flicker_rate,open_at,close_at,created_at,updated_at
20014,Declaration of the Cell Games,"""Androids/Cell Saga"" Category 
Extreme Class allies' ATK & DEF +15% in battle",1,0,2,200,100,sm20014,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
20015,Gift from Piccolo,"""Androids/Cell Saga"" Category 
Super Class allies' ATK & DEF +15% in battle",1,0,2,200,100,sm20015,50,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
20016,Wavering Thoughts,"""Androids"" or ""Earthlings"" Category allies' 
ATK & DEF +10% in battle",1,0,2,200,10,sm20016,30,2023-11-10 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
20017,Goku Finally Arrives!,"All allies' Ki +2 for 2 turns when HP is 59% or less 
with an ""Earth-Bred Fighters"" Category ally 
on the team (once only)",1,0,2,120,8,sm20017,30,2023-06-20 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
30001,Pull Out the Tail!,"Super Class allies' ATK +15% 
for 1 turn when there is an 
Extreme Class enemy (once only)",1,0,3,70,100,sm30001,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
30002,Enter the Para Para Brothers!,"Seals all enemies' Super Attacks for 1 turn 
when HP is 88% or more starting from the 
3rd turn from the start of battle (once only)",1,0,3,120,100,sm30002,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
30003,Bulla Went Shopping,"Chance of obtaining bonus rewards +85% 
in events with the special effect 
""Bonus Reward Drop Rate Increased"" 
(once only)",1,0,3,120,100,sm30003,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
30004,In Unison! Piccolo and Dende,"Randomly changes Ki Spheres of a certain Type 
(PHY excluded) to PHY Ki Spheres and ""GT Heroes"" 
Category allies' ATK & DEF +20% for 1 turn 
on the 3rd turn from the start of battle (once only)",1,0,3,120,100,sm30004,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
30005,Goku Becomes a Kid?!,"All enemies' ATK & DEF -5% for 2 turns 
from the start of battle, plus an additional 
ATK & DEF -5% for all enemies if there is a 
""Goku's Family"" Category enemy (once only)",1,0,3,170,10,sm30005,50,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
30006,"Farewell, Goku!","""GT Heroes"" Category allies' ATK & DEF +10% 
in battle and for 7 turns from the start of battle, 
Ki +1 for allies whose names include ""Goku"" 
(Captain Ginyu, Jr., etc. excluded) (once only)",1,0,3,200,100,sm30006,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
30008,Shenron as an Enemy?!,"""Shadow Dragon Saga"" Category allies' ATK & DEF +10% 
in battle and ""Shadow Dragon Saga"" Category Extreme Class 
allies' Ki +1 for 7 turns from the start of battle (once only)",1,0,3,200,7,sm30008,30,2023-07-07 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
30009,Piccolo's Encouragement,"Ki +3 for all allies plus an additional Ki +1 
for Super Class allies for 2 turns 
when HP is 59% or less with a ""Saviors"" 
Category ally on the team (once only)",1,0,3,150,100,sm30009,30,2023-07-18 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
30010,Pan's First Kiss,"""Bond of Friendship"" Category allies' 
ATK & DEF +10% for 2 turns from 
the start of battle (once only)",1,0,3,100,8,sm30010,30,2024-01-03 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
40001,First Taste of Tempura,"All allies' Ki +3 for 1 turn on the 
3rd turn from the start of battle 
(once only)",1,0,4,70,100,sm40001,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
40002,Master and Disciple's Goal,"""Bond of Master and Disciple"" 
Category allies' ATK & DEF +10% 
for 2 turns from the start of battle 
(once only)",1,0,4,100,100,sm40002,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
40003,Zen-Ohs' Welcome Words,"""Universe Survival Saga"" Category 
allies' ATK & DEF +10% in battle",1,0,4,200,12,sm40003,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
40004,Bond of Sister and Brother,"Recovers 18% HP and, for 1 turn, 
""Siblings' Bond"" Category allies' ATK & DEF +18% 
when HP is 50% or less (once only)",1,0,4,100,100,sm40004,50,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
40005,Trunks and Mai's Reunion,"All allies' ATK & DEF +10% for 2 turns 
from the start of battle when there are 
2 or more ""Time Travelers"" Category 
allies on the team (once only)",1,0,4,120,100,sm40005,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
40006,Bulla Is Born!,"""Vegeta's Family"" Category allies' 
ATK & DEF +10% in battle",1,0,4,200,10,sm40006,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
40007,Two Zamasus,"""Worldwide Chaos"" Category allies' 
ATK & DEF +10% in battle and for 7 turns from 
the start of battle, Ki +1 for allies whose names 
include ""Zamasu"" or ""Goku Black"" (once only)",1,0,4,200,9,sm40007,30,2023-09-22 06:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
40008,Lamentation of the Absolute God,"""Realm of Gods"" Category allies' 
ATK & DEF +10% for 3 turns when there is 
a ""Time Travelers"" Category enemy (once only)",1,0,4,120,100,sm40008,30,2023-09-22 06:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
40009,Trunks and Mai's Departure,"""Future Saga"" Category allies' ATK & DEF +10% 
in battle and for 7 turns from the start of battle, 
Ki +1 for allies whose names include ""Trunks"" 
(Kid and GT excluded) or ""Mai (Future)"" (once only)",1,0,4,200,100,sm40009,30,2023-09-22 06:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
40010,The Miracle of Super Hercule?!,"Super Class allies' Ki +4 and 
ATK & DEF +10% for 3 turns when there is 
a ""Realm of Gods"" Category enemy (once only)",1,0,4,150,100,sm40010,30,2024-04-02 06:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
50001,"Fly, Icarus!","All allies' ATK & DEF +10% for 1 turn 
when HP is 70% or less (once only)",1,0,5,70,100,sm50001,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
50002,Krillin Sings His Heart Out,"All enemies' ATK 
-5% on the first turn of battle, 
-4% on the second turn and 
-3% on the third turn (once only)",1,0,5,120,100,sm50002,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
50003,Kakarot,"""Movie Heroes"" Category allies' ATK & DEF +10% 
in battle and for 7 turns from the start of battle, 
Ki +1 for allies whose names include ""Goku"" 
(Captain Ginyu, Jr., etc. excluded) (once only)",1,0,5,200,100,sm50003,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
50004,Curiosity About the Realm of Gods,"""Realm of Gods"" Category allies' ATK & DEF +10% for 2 turns 
from the start of battle (once only); all allies' Ki +1 for 2 turns 
when there is a ""Realm of Gods"" Category enemy (once only)",1,0,5,120,7,sm50004,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
50005,Strike from the Otherworld,"All allies' ATK & DEF +10% for 2 turns on the 5th turn 
from the start of battle, and Super Class allies' ATK +10% 
for 1 turn when there is a ""Movie Bosses"" Category enemy 
starting from the 5th turn from the start of battle (once only)",1,0,5,120,9,sm50005,50,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
50006,Cooler's Cold Remark,"""Wicked Bloodline"" Category allies' ATK & DEF +10% 
in battle and for 7 turns from the start of battle, Ki +1 
for allies whose names include ""Cooler"" (once only)",1,0,5,200,100,sm50006,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
50007,Cruel Provocation,"""Terrifying Conquerors"" Category allies' 
Ki +1 and ATK & DEF +10% for 2 turns 
from the start of battle (once only)",1,0,5,120,7,sm50007,50,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
50008,Rescue Gohan!,"Starting from the 4th turn from the start of battle and 
if HP is 58% or less, Super Class allies' ATK & DEF +20% 
for 1 turn and when there is a ""Saviors"" Category ally 
on the team, recovers 10% HP (once only)",1,0,5,150,8,sm50008,30,2020-01-01 00:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
50009,Gohan's Heart,"""Hybrid Saiyans"" Category allies' ATK & DEF +20% 
and ""Giant Ape Power"" Category allies' Ki +2 
for 2 turns when HP is 58% or less starting from 
the 3rd turn from the start of battle (once only)",1,0,5,150,9,sm50009,30,2023-10-05 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
50010,Gift from the Hero,"""Storied Figures"" Category allies' 
ATK & DEF +10% for 2 turns 
from the start of battle (once only)",1,0,5,100,6,sm50010,30,2024-04-09 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
100012,Oolong's Wish,"Chance of obtaining bonus rewards +60% 
in events with the special effect 
""Bonus Reward Drop Rate Increased"" 
(once only)",1,0,1,70,1,sm10001,30,2023-05-22 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
100013,Oolong's Wish,"Chance of obtaining bonus rewards +85% 
in events with the special effect 
""Bonus Reward Drop Rate Increased"" 
(once only)",1,0,1,70,1,sm10001,30,2023-05-22 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
100022,Goku Gets Married!,"""Goku's Family"" Category allies' 
ATK & DEF +15% in battle",1,0,1,200,1,sm10002,30,2024-04-19 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
100023,Goku Gets Married!,"""Goku's Family"" Category allies' 
Ki +1 and ATK & DEF +20% in battle",1,0,1,200,1,sm10002,30,2024-04-19 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
200012,Frieza's Fury,"Extreme Class allies' ATK +20% 
for 1 turn when there is a 
Super Class enemy (once only)",1,0,2,70,1,sm20001,30,2023-05-22 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
200013,Frieza's Fury,"Extreme Class allies' ATK +20% 
for 2 turns when there is a 
Super Class enemy (once only)",1,0,2,70,1,sm20001,30,2023-05-22 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
200042,Transcend the Super Saiyan!,"""Pure Saiyans"" or ""Hybrid Saiyans"" Category allies' Ki +1, 
""Super Saiyans"" Category allies' ATK & DEF +10% and 
""Super Saiyan 2"" Category allies' ATK & DEF +20% 
for 2 turns from the start of battle (once only)",1,0,2,150,1,sm20004,30,2023-12-14 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
200043,Transcend the Super Saiyan!,"""Pure Saiyans"" or ""Hybrid Saiyans"" Category allies' Ki +1, 
""Super Saiyans"" Category allies' Ki +1 and 
ATK & DEF +15% and ""Super Saiyan 2"" Category 
allies' Ki +2 and ATK & DEF +25% 
for 2 turns from the start of battle (once only)",1,0,2,150,1,sm20004,30,2023-12-14 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
200044,Transcend the Super Saiyan!,"""Pure Saiyans"" or ""Hybrid Saiyans"" Category allies' 
Ki +1 and ATK +5%, ""Super Saiyans"" 
Category allies' Ki +1 and ATK & DEF +15% 
and ""Super Saiyan 2"" Category allies' 
Ki +2 and ATK & DEF +25% for 2 turns 
from the start of battle (once only)",1,0,2,150,1,sm20004,30,2023-12-14 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
200045,Transcend the Super Saiyan!,"""Pure Saiyans"" or ""Hybrid Saiyans"" Category allies' 
Ki +1 and ATK +8%, ""Super Saiyans"" 
Category allies' Ki +1 and ATK & DEF +15% 
and ""Super Saiyan 2"" Category allies' 
Ki +2 and ATK & DEF +25% for 3 turns 
from the start of battle (once only)",1,0,2,150,1,sm20004,30,2023-12-14 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
200082,Curious Destiny,"Recovers 35% HP on the 4th turn from the start of battle, 
or when HP is 40% or less with a ""Pure Saiyans"" or 
""Earthlings"" Category ally on the team (once only)",1,0,2,170,1,sm20008,30,2023-05-22 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
200083,Curious Destiny,"Recovers 50% HP on the 4th turn from the start of battle, 
or when HP is 40% or less with a ""Pure Saiyans"" or 
""Earthlings"" Category ally on the team (once only)",1,0,2,170,1,sm20008,30,2023-05-22 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
200084,Curious Destiny,"Recovers 50% HP and, for 1 turn, ""Pure Saiyans"" 
or ""Earthlings"" Category allies' ATK & DEF +10% 
on the 4th turn from the start of battle, or 
when HP is 40% or less with a ""Pure Saiyans"" or 
""Earthlings"" Category ally on the team (once only)",1,0,2,170,1,sm20008,30,2023-05-22 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
200085,Curious Destiny,"Recovers 50% HP and, for 2 turns, ""Pure Saiyans"" 
or ""Earthlings"" Category allies' ATK & DEF +10% 
on the 4th turn from the start of battle, or 
when HP is 40% or less with a ""Pure Saiyans"" or 
""Earthlings"" Category ally on the team (once only)",1,0,2,170,1,sm20008,30,2023-05-22 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
200112,Bonds Forged in the Past,"""Vegeta's Family"" or ""Bond of Parent and Child"" 
Category allies' ATK & DEF +15% for 2 turns 
from the start of battle (once only)",1,0,2,100,1,sm20010,30,2024-01-10 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
200113,Bonds Forged in the Past,"""Vegeta's Family"" or ""Bond of Parent and Child"" 
Category allies' Ki +1 and ATK & DEF +15% 
for 2 turns from the start of battle (once only)",1,0,2,100,1,sm20010,30,2024-01-10 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
200114,Bonds Forged in the Past,"""Vegeta's Family"" or ""Bond of Parent and Child"" 
Category allies' Ki +1 and ATK & DEF +20% 
for 2 turns from the start of battle (once only)",1,0,2,100,1,sm20010,30,2024-01-10 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
200115,Bonds Forged in the Past,"""Vegeta's Family"" or ""Bond of Parent and Child"" 
Category allies' Ki +1 and ATK & DEF +20% 
for 3 turns from the start of battle (once only)",1,0,2,100,1,sm20010,30,2024-01-10 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
300012,Pull Out the Tail!,"Super Class allies' ATK +20% 
for 1 turn when there is an 
Extreme Class enemy (once only)",1,0,3,70,1,sm30001,30,2023-05-22 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
300013,Pull Out the Tail!,"Super Class allies' ATK +20% 
for 2 turns when there is an 
Extreme Class enemy (once only)",1,0,3,70,1,sm30001,30,2023-05-22 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
300052,Goku Becomes a Kid?!,"All enemies' ATK & DEF -5% for 2 turns from the 
start of battle, plus an additional ATK & DEF -10% 
for all enemies if there is a ""Goku's Family"" or 
""GT Heroes"" Category enemy (once only)",1,0,3,170,1,sm30005,50,2023-11-03 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
300053,Goku Becomes a Kid?!,"All enemies' ATK & DEF -10% for 2 turns from the 
start of battle, plus an additional ATK & DEF -10% 
for all enemies if there is a ""Goku's Family"" or 
""GT Heroes"" Category enemy (once only)",1,0,3,170,1,sm30005,50,2023-11-03 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
300054,Goku Becomes a Kid?!,"All enemies' ATK & DEF -15% for 2 turns from the 
start of battle, plus an additional ATK & DEF -10% 
for all enemies if there is a ""Goku's Family"" or 
""GT Heroes"" Category enemy (once only)",1,0,3,170,1,sm30005,50,2023-11-03 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
300055,Goku Becomes a Kid?!,"All enemies' ATK & DEF -15% for 3 turns from the 
start of battle, plus an additional ATK & DEF -10% 
for all enemies if there is a ""Goku's Family"" or 
""GT Heroes"" Category enemy (once only)",1,0,3,170,1,sm30005,50,2023-11-03 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
400012,First Taste of Tempura,"All allies' Ki +3 for 2 turns on the 
3rd turn from the start of battle 
(once only)",1,0,4,70,1,sm40001,30,2023-05-22 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
400013,First Taste of Tempura,"All allies' Ki +3 for 3 turns on the 
3rd turn from the start of battle 
(once only)",1,0,4,70,1,sm40001,30,2023-05-22 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
400042,Bond of Sister and Brother,"Recovers 18% HP and, for 1 turn, ""Siblings' Bond"" or 
""Representatives of Universe 7"" Category allies' Ki +1 
and ATK & DEF +18% when HP is 50% or less (once only)",1,0,4,100,1,sm40004,50,2024-02-07 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
400043,Bond of Sister and Brother,"Recovers 18% HP and, for 2 turns, ""Siblings' Bond"" or 
""Representatives of Universe 7"" Category allies' Ki +1 
and ATK & DEF +18% when HP is 50% or less (once only)",1,0,4,100,1,sm40004,50,2024-02-07 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
400044,Bond of Sister and Brother,"Recovers 35% HP and, for 2 turns, ""Siblings' Bond"" or 
""Representatives of Universe 7"" Category allies' Ki +1 
and ATK & DEF +18% when HP is 50% or less (once only)",1,0,4,100,1,sm40004,50,2024-02-07 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
400045,Bond of Sister and Brother,"Recovers 35% HP and, for 2 turns, ""Siblings' Bond"" or 
""Representatives of Universe 7"" Category allies' 
Ki +1, ATK & DEF +18% and chance of performing 
a critical hit +17% when HP is 50% or less (once only)",1,0,4,100,1,sm40004,50,2024-02-07 06:30:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
400052,Trunks and Mai's Reunion,"All allies' ATK & DEF +15% for 2 turns 
from the start of battle when there are 
2 or more ""Time Travelers"" Category 
allies on the team (once only)",1,0,4,120,1,sm40005,30,2023-09-22 06:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
400053,Trunks and Mai's Reunion,"All allies' Ki +1 and ATK & DEF +15% 
for 2 turns from the start of battle 
when there are 2 or more ""Time Travelers"" 
Category allies on the team (once only)",1,0,4,120,1,sm40005,30,2023-09-22 06:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
400054,Trunks and Mai's Reunion,"All allies' Ki +1 and ATK & DEF +15%, plus an 
additional ATK & DEF +5% for ""Time Travelers"" 
Category allies, for 2 turns from the start of battle 
when there are 2 or more ""Time Travelers"" 
Category allies on the team (once only)",1,0,4,120,1,sm40005,30,2023-09-22 06:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
400055,Trunks and Mai's Reunion,"All allies' Ki +1 and ATK & DEF +15%, plus an 
additional ATK & DEF +5% for ""Time Travelers"" 
Category allies, for 3 turns from the start of battle 
when there are 2 or more ""Time Travelers"" 
Category allies on the team (once only)",1,0,4,120,1,sm40005,30,2023-09-22 06:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
500012,"Fly, Icarus!","All allies' ATK & DEF +15% for 1 turn 
when HP is 70% or less (once only)",1,0,5,70,1,sm50001,30,2023-05-22 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
500013,"Fly, Icarus!","All allies' ATK & DEF +15% for 1 turn and 
recovers 15% HP when HP is 70% or less (once only)",1,0,5,70,1,sm50001,30,2023-05-22 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
500052,Strike from the Otherworld,"All allies' ATK & DEF +15% for 2 turns 
on the 5th turn from the start of battle, 
and Super Class allies' ATK +10% for 1 turn 
when there is a ""Movie Bosses"" or 
""Space-Traveling Warriors"" Category enemy 
starting from the 5th turn from 
the start of battle (once only)",1,0,5,120,1,sm50005,50,2024-05-14 08:00:00,2038-01-01 00:00:00,2024-05-17 11:40:32.266650,2024-05-17 11:40:32.266650
