id,name,kana,priority,open_at,created_at,updated_at
56,Universe 11,,39600,2021-01-18 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
57,Saviors,,29100,2020-10-05 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
58,Battle of Wits,,19100,2020-08-29 06:27:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
59,Power Absorption,,69300,2020-08-29 06:27:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
60,Giant Ape Power,,59800,2020-11-19 08:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
61,Crossover,,10000,2020-11-19 08:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
62,Space-Traveling Warriors,,29600,2021-03-01 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
63,Connected Hope,,19400,2021-04-02 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
64,Corroded Body and Mind,,59400,2021-04-02 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
65,Turtle School,,39100,2021-07-07 00:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
66,Miraculous Awakening,,59500,2021-07-09 03:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
67,Powerful Comeback,,59600,2021-07-09 03:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
68,Gifted Warriors,,29900,2021-06-01 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
69,Planetary Destruction,,19600,2021-03-18 06:18:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
70,Defenders of Justice,,29000,2021-04-09 06:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
71,Storied Figures,,29300,2021-06-21 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
72,GT Heroes,,39500,2021-04-28 00:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
73,GT Bosses,,39400,2021-04-28 00:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
74,Heavenly Events,,18900,2021-10-06 00:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
75,Time Limit,,59100,2021-11-04 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
76,Mastered Evolution,,59200,2022-01-03 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
77,Legendary Existence,,29200,2021-08-28 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
78,Sworn Enemies,,49900,2021-08-28 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
79,Bond of Friendship,,49600,2021-12-03 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
80,Accelerated Battle,,19000,2021-12-15 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
81,Entrusted Will,,19300,2022-03-01 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
82,Worldwide Chaos,,18700,2022-02-01 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
83,Battle of Fate,,18950,2022-04-01 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
84,Power Beyond Super Saiyan,,69750,2022-07-08 05:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
85,Fused Fighters,,69550,2022-07-08 05:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
86,Saiyan Saga,,89950,2022-06-20 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
87,Bond of Parent and Child,,49750,2022-08-26 06:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
88,Super Heroes,,39350,2022-12-28 02:00:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
89,Earth-Bred Fighters,,30000,2023-02-16 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
90,Power of Wishes,,59550,2023-03-18 06:18:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
91,Tournament Participants,,38900,2024-02-01 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
92,Super Bosses,,39330,2024-02-21 06:30:00,2024-02-27 09:30:35.868928,2024-02-27 09:30:35.868928
