id,max_point,seconds_per_cure_one_point,start_at,end_at,created_at,updated_at
19,5,14400,2023-02-19 00:00:00,2023-02-19 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
20,3,28800,2023-02-20 00:00:00,2023-02-25 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
21,5,14400,2023-02-26 00:00:00,2023-02-26 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
22,3,28800,2023-02-27 00:00:00,2023-03-04 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
23,5,14400,2023-03-05 00:00:00,2023-03-05 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
24,3,28800,2023-03-06 00:00:00,2023-03-11 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
25,5,14400,2023-03-12 00:00:00,2023-03-12 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
26,3,28800,2023-03-13 00:00:00,2023-06-29 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
27,5,18000,2024-03-01 00:00:00,2024-03-03 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
28,3,28800,2024-03-04 00:00:00,2024-03-07 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
29,5,18000,2024-03-08 00:00:00,2024-03-10 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
30,3,28800,2024-03-11 00:00:00,2024-03-14 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
31,5,18000,2024-03-15 00:00:00,2024-03-17 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
32,3,28800,2024-03-18 00:00:00,2024-03-21 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
33,5,18000,2024-03-22 00:00:00,2024-03-24 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
34,3,28800,2024-03-25 00:00:00,2024-03-28 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
35,5,18000,2024-03-29 00:00:00,2024-03-31 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
36,3,28800,2024-04-01 00:00:00,2038-01-01 00:00:00,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
37,5,18000,2023-09-29 00:00:00,2023-10-01 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
38,3,28800,2023-10-02 00:00:00,2023-11-02 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
39,3,14400,2023-11-03 00:00:00,2023-11-04 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
40,5,14400,2023-11-05 00:00:00,2023-11-05 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
41,3,14400,2023-11-06 00:00:00,2023-11-11 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
42,5,14400,2023-11-12 00:00:00,2023-11-12 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
43,3,14400,2023-11-13 00:00:00,2023-11-18 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
44,5,14400,2023-11-19 00:00:00,2023-11-19 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
45,3,14400,2023-11-20 00:00:00,2023-11-25 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
46,5,14400,2023-11-26 00:00:00,2023-11-26 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
47,3,14400,2023-11-27 00:00:00,2023-11-29 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
48,3,28800,2023-11-30 00:00:00,2024-02-29 23:59:59,2024-04-30 09:32:02.679813,2024-04-30 09:32:02.679813
