id,description,created_at,updated_at
2050,"{center:begin}{size: 35}Training Partners{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{initialImage: layout/image/tutorial/tutorial_ex_018.png} 
{size: 25}There is a chance of {color : #FF9900}leveling up 
a character's Super Attack{color} if you 
select a {color : #FF9900}character of the same name{color} 
as a Training Partner.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
2060,"{center:begin}{size: 35}Training Items{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{initialImage: layout/image/tutorial/tutorial_ex_019.png} 
{size: 25}Using {color : #FF9900}Training Items of the same Type{color} 
as the character grants {color : #FF9900}an extra 50% EXP{color}.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
2070,"{center:begin}{size: 25}Let's automatically select the 
Training Partners and Training Items this time. 

Tap the ""Auto"" buttons.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
2080,"{center:begin}{size: 25} Now, tap ""Begin"" to train.{size} 

{size:20}When Training commences, the chosen Training Partners, 
Training Items and Zeni will be consumed.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
2090,"{center:begin}{size: 25}This character is now at max level. 

Let's try Z-Awakening him.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
2100,"{center:begin}{size: 35}About Awakening{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{size: 23}There are three types of Awakening: {color : #FF0000}Z-Awakening{color}, 
{color : #CC33FF}Dokkan Awakening{color} and {color : #FFCC00}Extreme Z-Awakening{color}. 
{initialImage: layout/image/tutorial/tutorial_ex_012.png} 
Once a character has reached max level, 
you can awaken the character by 
consuming {color : #FF9900}Awakening Medals and Zeni{color}.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
2110,"{center:begin}{size: 35}About Z-Awakening{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{initialImage: layout/image/tutorial/tutorial_ex_013.png} 
{size: 25}Z-Awakening characters increases their stats. 

In addition, the {color : #FF9900}rarity will increase{color}, 
as will the {color : #FF9900}maximum level{color}.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
2111,"{center:begin}{size: 35}About Z-Awakening{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{initialImage: layout/image/tutorial/tutorial_ex_013.png} 
{size: 25}Z-Awakening will also add ""Super"" or 
""Extreme"" to a character's Type. 
This will further {color : #FF9900}increase the character's 
attack power against the advantageous Type{color} 
as well as {color : #FF9900}increasing the character's resistance 
against the disadvantageous Type{color}.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
2120,"{center:begin}{size:25}Now then, tap the ""Z-Awaken"" button.{size} 

{size:20}{color : #FF9900}The character's level will be raised to max level 
for the purpose of this tutorial{color}.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
2200,"{center:begin}{size: 35}About Dokkan Awakening{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{initialImage: layout/image/tutorial/tutorial_ex_014.png} 
{size:25}Certain characters can be {color : #CC33FF}Dokkan Awakened{color} 
after they have been Z-Awakened and 
reached max level. This Awakening 
requires {color : #FF9900}Awakening Medals and Zeni{color}.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
2201,"{center:begin}{size: 35}About Dokkan Awakening{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{initialImage: layout/image/tutorial/tutorial_ex_014.png} 
{size:25}Along with changes to the appearance, 
the character's {color : #FF9900}stats, Super Attack and 
skills will be powered up{color}.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
2210,"{center:begin}{size:25}Tap the ""Dokkan Awaken"" button.{size} 

{size:18}Usually a character is reverted to Lv. 1 after Dokkan Awakening. 
However, {color : #FF9900}this time the character's level will be raised 
to max level for the purpose of this tutorial{color}.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
3000,"{center:begin}{size: 35}About Active Skills{size} 
{initialImage: layout/image/tutorial/tut_common_dialog_title_line.png} 
{size: 25}A number of characters can launch {color : #FF9900}Active Skills{color} 
when certain conditions are met.{size} 
{initialImage: layout/image/tutorial/tutorial_ex_015.png} 
{size: 25}Active Skills can be activated in battle, and each 
has different activation conditions and effects.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
3010,"{center:begin}{size: 25}Now that Goku has been Dokkan Awakened, 
he can use his Active Skill. 

{color : #FF9900}Swipe his character icon upwards{color} to use it.{size}{center}",2024-02-27 09:30:46.347950,2024-02-27 09:30:46.347950
