id,name,kana,description,need_link_num,link_skill_lv_up_prob_set_id,created_at,updated_at
74,Unbreakable Bond,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
75,Galactic Visitor,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
76,Master of Magic,,ATK +15%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
77,Majin Resurrection Plan,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
79,Connoisseur,,Recover 5% HP,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
80,Godly Power,,ATK +15%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
81,Energy Absorption,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
82,Budding Warrior,,ATK +10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
83,Majin,,ATK & DEF +10%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
84,Strength in Unity,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
85,Strongest Clan in Space,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
86,Thirst for Conquest,,ATK +15%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
87,The Hera Clan,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
88,Galactic Warriors,,ATK +20%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
89,Over in a Flash,,Ki +3,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
90,The Incredible Adventure,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
91,Cooler's Underling,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
92,Cooler's Armored Squad,,ATK +25%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
93,Hero of Justice,,ATK +25%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
94,Signature Pose,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
95,GT,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
96,Infinite Regeneration,,Recover 3% HP,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
97,Prepared for Battle,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
98,Destroyer of the Universe,,ATK +25%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
100,Team Turles,,Ki +1,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
101,Fortuneteller Baba’s Fighter,,Ki +2,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
102,Guidance of the Dragon Balls,,ATK +20%,1,1,2024-02-27 09:30:59.354838,2024-02-27 09:30:59.354838
103,Power Bestowed by God,,ATK +5% when performing a Super Attack,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
104,Hardened Grudge,,Ki +1,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
105,Auto Regeneration,,Recover 3% HP,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
106,Fusion,,Ki +2,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
107,Deficit Boost,,ATK +15%,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
108,Ultimate Lifeform,,Ki +2,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
109,Fierce Battle,,ATK +15%,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
110,Infinite Energy,,Ki +2,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
111,Formidable Enemy,,ATK +10%,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
112,Fused Fighter,,Ki +2,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
113,Fusion Failure,,Recover 3% HP,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
114,Scientist,,Ki +2,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
115,Hatred of Saiyans,,Ki +2,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
116,Limit-Breaking Form,,ATK +5% when performing a Super Attack,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
117,The First Awakened,,ATK +25%,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
118,Shattering the Limit,,Ki +2,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
119,Nightmare,,ATK +10%,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
120,Fear and Faith,,Ki +2,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
121,Xenoverse,,ATK +20%,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
122,Super Strike,,ATK +20%,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
123,Transform,,Ki +2,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
124,Saiyan Roar,,ATK +25%,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
125,Legendary Power,,ATK +10% when performing a Super Attack,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
126,Warriors of Universe 6 ,,Ki +2,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
127,Shadow Dragons,,ATK +15%,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
128,Penguin Village Adventure,,ATK +15%,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
129,Otherworld Warriors,,ATK +20%,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
130,Tournament of Power,,Ki +3,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
1000,Blazing Battle,,"Disables enemy's Rampage, and ATK +15%",1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
1001,Soul vs Soul,,Weakens Regeneration and Ki +1,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
1002,Golden Z-Fighter,,Ki +2,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
1003,Supreme Power,,ATK & DEF +5% and activates Penetration,1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
1004,The Wall Standing Tall,,"Foils enemy's ""True Power"" and boosts ATK 
by 15%",1,1,2024-02-27 09:30:59.366621,2024-02-27 09:30:59.366621
