id,name,description,element,exp,rarity,zeni_to_use,selling_exchange_point,created_at,updated_at
804,Weight (10t) [PHY],Use in training to gain 40000 EXP or more,4,40000,3,3500,8,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
900,Z-Sword [AGL],Use in training to gain 100000 EXP or more,0,100000,3,5000,20,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
901,Z-Sword [TEQ],Use in training to gain 100000 EXP or more,1,100000,3,5000,20,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
902,Z-Sword [INT],Use in training to gain 100000 EXP or more,2,100000,3,5000,20,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
903,Z-Sword [STR],Use in training to gain 100000 EXP or more,3,100000,3,5000,20,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
904,Z-Sword [PHY],Use in training to gain 100000 EXP or more,4,100000,3,5000,20,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
1000,Platinum Turtle Shell [AGL],Use in training to gain 300000 EXP or more,0,300000,3,10000,30,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
1001,Platinum Turtle Shell [TEQ],Use in training to gain 300000 EXP or more,1,300000,3,10000,30,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
1002,Platinum Turtle Shell [INT],Use in training to gain 300000 EXP or more,2,300000,3,10000,30,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
1003,Platinum Turtle Shell [STR],Use in training to gain 300000 EXP or more,3,300000,3,10000,30,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
1004,Platinum Turtle Shell [PHY],Use in training to gain 300000 EXP or more,4,300000,3,10000,30,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
1100,Weighted Headgear [AGL],Use in training to gain 1000000 EXP or more,0,1000000,3,25000,50,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
1101,Weighted Headgear [TEQ],Use in training to gain 1000000 EXP or more,1,1000000,3,25000,50,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
1102,Weighted Headgear [INT],Use in training to gain 1000000 EXP or more,2,1000000,3,25000,50,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
1103,Weighted Headgear [STR],Use in training to gain 1000000 EXP or more,3,1000000,3,25000,50,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
1104,Weighted Headgear [PHY],Use in training to gain 1000000 EXP or more,4,1000000,3,25000,50,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
1200,Candy Cane [AGL],Use in training to gain 1000000 EXP or more,0,1000000,3,20000,100,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
1201,Candy Cane [TEQ],Use in training to gain 1000000 EXP or more,1,1000000,3,20000,100,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
1202,Candy Cane [INT],Use in training to gain 1000000 EXP or more,2,1000000,3,20000,100,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
1203,Candy Cane [STR],Use in training to gain 1000000 EXP or more,3,1000000,3,20000,100,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
1204,Candy Cane [PHY],Use in training to gain 1000000 EXP or more,4,1000000,3,20000,100,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
5000,Training Robot [AGL],Use in training to gain 50000 EXP or more,0,50000,3,4000,10,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
5001,Training Robot [TEQ],Use in training to gain 50000 EXP or more,1,50000,3,4000,10,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
5002,Training Robot [INT],Use in training to gain 50000 EXP or more,2,50000,3,4000,10,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
5003,Training Robot [STR],Use in training to gain 50000 EXP or more,3,50000,3,4000,10,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
5004,Training Robot [PHY],Use in training to gain 50000 EXP or more,4,50000,3,4000,10,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
9001,Xmas Candy Cane [AGL],Use in training to gain 1000000 EXP or more,0,1000000,3,25000,100,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
9002,Xmas Candy Cane [TEQ],Use in training to gain 1000000 EXP or more,1,1000000,3,25000,100,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
9003,Xmas Candy Cane [INT],Use in training to gain 1000000 EXP or more,2,1000000,3,25000,100,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
9004,Xmas Candy Cane [STR],Use in training to gain 1000000 EXP or more,3,1000000,3,25000,100,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
9005,Xmas Candy Cane [PHY],Use in training to gain 1000000 EXP or more,4,1000000,3,25000,100,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
9101,Candy Cane [AGL],Use in training to gain 1000000 EXP or more,0,1000000,3,25000,100,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
9102,Candy Cane [TEQ],Use in training to gain 1000000 EXP or more,1,1000000,3,25000,100,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
9103,Candy Cane [INT],Use in training to gain 1000000 EXP or more,2,1000000,3,25000,100,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
9104,Candy Cane [STR],Use in training to gain 1000000 EXP or more,3,1000000,3,25000,100,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
9105,Candy Cane [PHY],Use in training to gain 1000000 EXP or more,4,1000000,3,25000,100,2024-05-17 11:39:42.056825,2024-05-17 11:39:42.056825
