id,jukebox_album_id,bgm_filename,sample_bgm_filename,title,description,point,priority,open_at,close_at,created_at,updated_at
105,5,bgm_100,bgm_100,Vegito's Theme,Vegito's Theme,3000,1,2023-08-02 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
106,6,bgm_059,bgm_059,Super Saiyan Gogeta's Theme,Super Saiyan Gogeta's Theme,3000,1,2023-08-02 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
107,6,bgm_101,bgm_101,Gogeta's Theme,Gogeta's Theme,3000,1,2023-08-02 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
108,7,bgm_110,bgm_110,Beerus' Theme,Beerus' Theme,3000,1,2023-03-27 08:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
109,7,bgm_111,bgm_111,Whis' Theme,Whis' Theme,3000,1,2023-03-27 08:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
110,9,bgm_072,bgm_072,Gotenks' Theme,Gotenks' Theme,3000,1,2023-06-20 06:30:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
111,9,bgm_081,bgm_081,Super Saiyan 3 Gotenks' Theme,Super Saiyan 3 Gotenks' Theme,3000,1,2023-06-20 06:30:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
112,8,bgm_181,bgm_181,Destined Battle_Goku ver. Theme,Destined Battle_Goku ver. Theme,3000,1,2023-05-16 08:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
113,8,bgm_182,bgm_182,Goku (Kaioken)'s Theme,Goku (Kaioken)'s Theme,3000,1,2023-05-16 08:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
114,10,bgm_120,bgm_120,Turles' Theme,Turles' Theme,3000,1,2023-10-24 06:30:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
115,10,bgm_048,bgm_048,Virtual Dokkan Ultimate Clash_Boss Encounter,Virtual Dokkan Ultimate Clash_Boss Encounter,3000,1,2023-10-24 06:30:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
116,11,bgm_041,bgm_041,Omega Shenron's Theme,Omega Shenron's Theme,3000,1,2024-01-17 06:30:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
117,11,bgm_143,bgm_143,Legion of Shadow Dragons' Theme,Legion of Shadow Dragons' Theme,3000,1,2024-01-17 06:30:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
118,12,bgm_197,bgm_197,Super Saiyan God SS Vegeta & Super Saiyan Trunks (Future)'s Theme,Super Saiyan God SS Vegeta & Super Saiyan Trunks (Future)'s Theme,3000,1,2023-09-08 08:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
119,12,bgm_198,bgm_198,"Theme for ""Father-Son Galick Gun""","Theme for ""Father-Son Galick Gun""",3000,1,2023-09-08 08:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
120,13,bgm_109,bgm_109,Buu (Super)_2nd Theme,Buu (Super)_2nd Theme,3000,1,2023-10-26 08:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
121,13,bgm_243,bgm_243,"Theme for Babidi's Finish Effect ""Majin Buu Resurrected!""","Theme for Babidi's Finish Effect ""Majin Buu Resurrected!""",3000,1,2023-10-26 08:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
122,14,bgm_297,bgm_297,Super Dragon Ball Heroes Big Bang Mission Theme Song,Super Dragon Ball Heroes Big Bang Mission Theme Song,3000,1,2023-11-22 06:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
123,14,bgm_219,bgm_219,Super Hearts' Theme,Super Hearts' Theme,3000,1,2023-11-22 06:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
126,21,bgm_052,bgm_052,"Theme for ""Ultra Instinct""","Theme for ""Ultra Instinct""",3000,1,2024-02-23 06:30:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
127,21,bgm_115,bgm_115,Jiren (Full Power)'s Theme,Jiren (Full Power)'s Theme,3000,1,2024-02-23 06:30:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
901,4,bgm_245,bgm_245,Battle_01_8th Anniv. Arrangement Ver.,Battle_01_8th Anniv. Arrangement Ver.,0,1,2023-07-24 00:00:00,2038-01-01 00:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
902,4,bgm_246,bgm_246,Battle_01_8th Anniv. Arrangement Ver.,Battle_01_8th Anniv. Arrangement Ver.,80,1,2023-07-24 00:00:00,2023-08-17 04:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
903,4,bgm_247,bgm_247,Battle_01_8th Anniv. Arrangement Ver.,Battle_01_8th Anniv. Arrangement Ver.,80,1,2023-07-24 00:00:00,2023-08-17 04:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
904,4,bgm_248,bgm_248,Battle_01_8th Anniv. Arrangement Ver.,Battle_01_8th Anniv. Arrangement Ver.,80,1,2023-07-24 00:00:00,2023-08-17 04:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
905,4,bgm_249,bgm_249,Battle_01_8th Anniv. Arrangement Ver.,Battle_01_8th Anniv. Arrangement Ver.,80,1,2023-07-24 00:00:00,2023-08-17 04:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
906,4,bgm_250,bgm_250,Battle_01_8th Anniv. Arrangement Ver.,Battle_01_8th Anniv. Arrangement Ver.,80,1,2023-07-24 00:00:00,2023-08-17 04:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
907,4,bgm_251,bgm_251,Battle_01_8th Anniv. Arrangement Ver.,Battle_01_8th Anniv. Arrangement Ver.,80,1,2023-07-24 00:00:00,2023-08-17 04:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
908,4,bgm_252,bgm_252,Battle_01_8th Anniv. Arrangement Ver.,Battle_01_8th Anniv. Arrangement Ver.,80,1,2023-07-24 00:00:00,2023-08-17 04:00:00,2024-02-27 09:30:53.181311,2024-02-27 09:30:53.181311
