id,mission_category_id,item1_id,item1_type,item2_id,item2_type,item3_id,item3_type,item4_id,item4_type,created_at,updated_at
37,340,11,Point::Stone,1003970.0,Card,1100.0,TrainingItem,20.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
38,341,11,Point::Stone,1013631.0,Card,1013650.0,Card,34102.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
39,343,11,Point::Stone,1005110.0,Card,1013720.0,Card,1003970.0,Card,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
40,344,11,Point::Stone,1013900.0,Card,1013890.0,Card,34402.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
41,345,11,Point::Stone,1005810.0,Card,1014290.0,Card,3.0,SupportFilm,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
42,346,11,Point::Stone,1014670.0,Card,1003970.0,Card,1012230.0,Card,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
43,347,11,Point::Stone,1013220.0,Card,3030.0,AwakeningItem,1003970.0,Card,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
44,348,11,Point::Stone,1008150.0,Card,1012050.0,Card,19.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
45,349,11,Point::Stone,1015450.0,Card,1015680.0,Card,1015320.0,Card,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
46,351,11,Point::Stone,1015580.0,Card,1013400.0,Card,2.0,SupportFilm,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
47,352,11,Point::Stone,1015350.0,Card,1013400.0,Card,11.0,PotentialItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
48,353,11,Point::Stone,11.0,PotentialItem,6.0,PotentialItem,1.0,PotentialItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
49,354,11,Point::Stone,11.0,PotentialItem,6.0,PotentialItem,1.0,PotentialItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
50,355,11,Point::Stone,1016090.0,Card,1016110.0,Card,1014530.0,Card,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
51,356,11,Point::Stone,1016290.0,Card,35601.0,AwakeningItem,1003970.0,Card,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
52,357,11,Point::Stone,1011330.0,Card,35701.0,AwakeningItem,1112.0,EquipmentSkillItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
53,361,11,Point::Stone,1016210.0,Card,1016190.0,Card,1003970.0,Card,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
54,362,11,Point::Stone,1017150.0,Card,1003970.0,Card,900000.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
55,363,11,Point::Stone,1016910.0,Card,1017030.0,Card,904.0,EquipmentSkillItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
56,364,11,Point::Stone,1002690.0,Card,1000.0,TrainingItem,900.0,TrainingItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
57,365,11,Point::Stone,1004520.0,Card,1008270.0,Card,1017520.0,Card,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
58,366,11,Point::Stone,1017710.0,Card,12.0,TrainingField,1002630.0,Card,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
59,368,11,Point::Stone,1017650.0,Card,1003970.0,Card,2.0,SupportFilm,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
60,369,11,Point::Stone,1017730.0,Card,1003970.0,Card,900000.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
61,371,11,Point::Stone,1017920.0,Card,1017940.0,Card,1005610.0,Card,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
62,372,11,Point::Stone,1018510.0,Card,1002630.0,Card,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
63,373,11,Point::Stone,1018070.0,Card,,,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
64,374,11,Point::Stone,1018710.0,Card,1018690.0,Card,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
65,375,11,Point::Stone,1018920.0,Card,1018940.0,Card,1003970.0,Card,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
66,376,11,Point::Stone,1019050.0,Card,1013400.0,Card,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
67,377,11,Point::Stone,1003890.0,Card,1002630.0,Card,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
68,378,11,Point::Stone,5002.0,TreasureItem,1002630.0,Card,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
69,379,11,Point::Stone,1020160.0,Card,1002630.0,Card,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
70,381,11,Point::Stone,1002940.0,Card,1019480.0,Card,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
71,382,11,Point::Stone,1020610.0,Card,1020760.0,Card,1020800.0,Card,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
72,383,11,Point::Stone,1021380.0,Card,1002630.0,Card,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
73,384,11,Point::Stone,1021070.0,Card,1002630.0,Card,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
74,385,11,Point::Stone,1021600.0,Card,1013400.0,Card,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
75,386,11,Point::Stone,1021630.0,Card,1021530.0,Card,1002630.0,Card,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
76,387,11,Point::Stone,1021550.0,Card,1021890.0,Card,1002630.0,Card,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
77,388,11,Point::Stone,1022300.0,Card,1002630.0,Card,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
78,401,11,Point::Stone,400124.0,AwakeningItem,1005680.0,Card,1001.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
79,404,11,Point::Stone,400104.0,AwakeningItem,1005710.0,Card,1001.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
80,405,11,Point::Stone,400114.0,AwakeningItem,1004170.0,Card,1001.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
81,406,11,Point::Stone,400024.0,AwakeningItem,1007350.0,Card,1001.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
82,408,11,Point::Stone,400034.0,AwakeningItem,1005690.0,Card,1001.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
83,409,11,Point::Stone,400044.0,AwakeningItem,1006550.0,Card,1001.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
84,411,11,Point::Stone,200764.0,AwakeningItem,1005720.0,Card,1001.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
85,412,11,Point::Stone,400064.0,AwakeningItem,1006560.0,Card,1001.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
86,413,11,Point::Stone,400054.0,AwakeningItem,1004510.0,Card,1001.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
87,414,11,Point::Stone,400014.0,AwakeningItem,1006570.0,Card,1001.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
88,415,11,Point::Stone,200924.0,AwakeningItem,1006580.0,Card,1001.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
89,416,11,Point::Stone,400134.0,AwakeningItem,1006590.0,Card,1001.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
90,417,11,Point::Stone,400074.0,AwakeningItem,1006600.0,Card,1001.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
91,418,11,Point::Stone,400084.0,AwakeningItem,400094.0,AwakeningItem,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
92,420,11,Point::Stone,,,,,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
93,421,11,Point::Stone,400004.0,AwakeningItem,1006650.0,Card,1001.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
94,422,11,Point::Stone,400144.0,AwakeningItem,1008440.0,Card,1001.0,AwakeningItem,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
95,509,1007310,Card,1007330.0,Card,,,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
96,535,11,Point::Stone,,,,,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
97,701,11,Point::Stone,,,,,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
98,710,11,Point::Stone,9.0,TreasureItem,1012401.0,Card,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
99,711,11,Point::Stone,,,,,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
100,712,11,Point::Stone,52.0,SpecialItem,,,,,2024-02-27 09:30:59.546929,2024-02-27 09:30:59.546929
101,713,11,Point::Stone,1003970.0,Card,1013400.0,Card,1005480.0,Card,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
102,714,11,Point::Stone,1002630.0,Card,1002650.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
103,715,11,Point::Stone,1002630.0,Card,1002650.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
104,716,11,Point::Stone,1002630.0,Card,1002650.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
105,717,11,Point::Stone,1002630.0,Card,1002650.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
106,718,11,Point::Stone,1003970.0,Card,1005480.0,Card,14.0,Point::ExchangePoint,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
107,719,11,Point::Stone,1002630.0,Card,1002650.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
108,720,11,Point::Stone,19.0,TreasureItem,200224.0,AwakeningItem,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
109,721,11,Point::Stone,1002630.0,Card,1002650.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
110,722,11,Point::Stone,1002630.0,Card,1002650.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
111,723,11,Point::Stone,1002630.0,Card,1002650.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
112,724,11,Point::Stone,1003970.0,Card,1005480.0,Card,14.0,Point::ExchangePoint,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
113,725,11,Point::Stone,1003970.0,Card,1005480.0,Card,1002630.0,Card,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
114,726,11,Point::Stone,1002630.0,Card,1002650.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
115,727,11,Point::Stone,1019101.0,Card,1002630.0,Card,1002650.0,Card,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
116,728,11,Point::Stone,1003970.0,Card,1005480.0,Card,14.0,Point::ExchangePoint,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
117,729,11,Point::Stone,1003970.0,Card,1005480.0,Card,14.0,Point::ExchangePoint,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
118,735,11,Point::Stone,1003970.0,Card,1005480.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
119,736,11,Point::Stone,1002630.0,Card,1002650.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
120,737,11,Point::Stone,1003970.0,Card,1005480.0,Card,14.0,Point::ExchangePoint,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
121,741,11,Point::Stone,101.0,SpecialItem,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
122,750,11,Point::Stone,40003.0,SupportMemory,1003970.0,Card,3.0,ActItem,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
123,3001,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
124,3002,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
125,3003,11,Point::Stone,1003970.0,Card,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
126,3004,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
127,3005,11,Point::Stone,1003970.0,Card,1005480.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
128,3006,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
129,3007,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
130,3009,11,Point::Stone,1003970.0,Card,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
131,3010,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
132,3011,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
133,3012,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
134,3013,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
135,3014,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
136,3015,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
137,3016,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
138,3017,11,Point::Stone,1003970.0,Card,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
139,3018,11,Point::Stone,1003970.0,Card,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
140,3019,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
141,3020,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
142,3021,11,Point::Stone,1003970.0,Card,1005480.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
143,3022,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
144,3023,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
145,3024,11,Point::Stone,1003970.0,Card,1002630.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
146,3025,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
147,3026,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
148,3027,11,Point::Stone,1002630.0,Card,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
149,3028,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
150,3030,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
151,3031,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
152,3032,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
153,3033,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
154,3034,11,Point::Stone,1003970.0,Card,1005480.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
155,3035,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
156,3036,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
157,3037,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
158,3038,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
159,3039,11,Point::Stone,1003970.0,Card,1005480.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
160,3040,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
161,3041,11,Point::Stone,1003970.0,Card,1005480.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
162,3042,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
163,3043,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
164,3044,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
165,3045,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
166,3046,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
167,3047,11,Point::Stone,1003970.0,Card,1005480.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
168,3048,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
169,3049,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
170,3050,11,Point::Stone,1003970.0,Card,1005480.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
171,3051,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
172,3052,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
173,3053,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
174,3054,11,Point::Stone,1003970.0,Card,1005480.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
175,3055,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
176,3056,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
177,3057,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
178,221,1002630,Card,1303.0,EquipmentSkillItem,1304.0,EquipmentSkillItem,1305.0,EquipmentSkillItem,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
179,3058,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
180,742,11,Point::Stone,103.0,SpecialItem,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
181,3060,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
182,3059,11,Point::Stone,1002630.0,Card,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
183,389,11,Point::Stone,1013440.0,Card,1002630.0,Card,2.0,SupportFilm,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
185,10002,11,Point::Stone,301.0,SD::Pack,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
186,738,11,Point::Stone,1003970.0,Card,1005480.0,Card,14.0,Point::ExchangePoint,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
187,760,11,Point::Stone,20014.0,SupportMemory,20015.0,SupportMemory,1003970.0,Card,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
188,3061,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
189,391,11,Point::Stone,1022870.0,Card,1002630.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
190,10004,11,Point::Stone,400.0,SD::Pack,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
191,392,11,Point::Stone,1022990.0,Card,2.0,SupportFilm,1002630.0,Card,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
192,222,3,ActItem,2.0,ActItem,1.0,ActItem,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
193,10005,11,Point::Stone,1003970.0,Card,1012230.0,Card,1013400.0,Card,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
195,739,11,Point::Stone,1002630.0,Card,1002650.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
196,217,1003970,Card,1013400.0,Card,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
197,219,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
198,175,11,Point::Stone,1015400.0,Card,1003970.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
199,10007,1011481,Card,1002640.0,Card,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
200,743,11,Point::Stone,1012230.0,Card,1.0,CardStickerItem,1013400.0,Card,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
201,3062,11,Point::Stone,,,,,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
204,3063,11,Point::Stone,1003970.0,Card,1005480.0,Card,,,2024-02-27 09:30:59.559561,2024-02-27 09:30:59.559561
205,10009,11,Point::Stone,401.0,SD::Pack,,,,,2024-02-27 09:30:59.571050,2024-02-27 09:30:59.571050
208,224,11,Point::Stone,1003970.0,Card,20.0,AwakeningItem,15.0,PotentialItem,2024-02-27 09:30:59.571050,2024-02-27 09:30:59.571050
210,10017,11,Point::Stone,1003970.0,Card,,,,,2024-02-27 09:30:59.571050,2024-02-27 09:30:59.571050
211,10013,11,Point::Stone,3.0,SpecialItem,1.0,SpecialItem,40001.0,AwakeningItem,2024-02-27 09:30:59.571050,2024-02-27 09:30:59.571050
212,223,11,Point::Stone,,,,,,,2024-02-27 09:30:59.571050,2024-02-27 09:30:59.571050
214,744,11,Point::Stone,1002630.0,Card,1002650.0,Card,,,2024-02-27 09:30:59.571050,2024-02-27 09:30:59.571050
215,10016,11,Point::Stone,,,,,,,2024-02-27 09:30:59.571050,2024-02-27 09:30:59.571050
218,3064,11,Point::Stone,,,,,,,2024-02-27 09:30:59.571050,2024-02-27 09:30:59.571050
219,745,11,Point::Stone,1003970.0,Card,1005480.0,Card,,,2024-02-27 09:30:59.571050,2024-02-27 09:30:59.571050
220,746,11,Point::Stone,1002630.0,Card,1002650.0,Card,,,2024-02-27 09:30:59.571050,2024-02-27 09:30:59.571050
221,3065,11,Point::Stone,1003970.0,Card,1005480.0,Card,,,2024-02-27 09:30:59.571050,2024-02-27 09:30:59.571050
