id,name,description,zeni,rarity,selling_exchange_point,event_jumpable,created_at,updated_at
3085,Bulma,Character-specific Medal required for Awakening.,5000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3086,Spopovich,Character-specific Medal required for Awakening.,10000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3087,Yamu,Character-specific Medal required for Awakening.,10000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3088,Majin Buu (Pure Evil),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3089,Buu (Super),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3141,Beerus,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3142,Whis,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3143,Goten (Kid),Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3144,Trunks (Kid),Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3145,Videl,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3146,Ultimate Gohan,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3147,Vegeta,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3151,Fruit of the Tree of Might,Character-specific Medal required for Awakening.,5000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
3181,Metal Cooler Core,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
4031,Frieza’s Hoverchair,Character-specific Medal required for Awakening.,6000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5011,Kakarot,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5012,Super Saiyan Broly,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5021,Goku,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5022,Cell (Perfect Form),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5031,Goku,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5032,Buu (Kid),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5041,Four-Star-Ball,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5042,Super Saiyan Goku,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5043,Super Saiyan 3 Goku,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5051,Super Gogeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5061,Super Janemba,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5062,Janemba,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5071,Goku,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5072,Frieza (Full Power),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5081,Elder Kai,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5082,Gohan (Teen),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5091,Tien,Character-specific Medal required for Awakening.,320,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5092,Saibaiman,Character-specific Medal required for Awakening.,320,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5101,Super Saiyan 3 Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5111,Beerus,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5112,Beerus,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5121,Super Vegito,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.260198,2024-04-30 09:32:02.260198
5122,Super Vegito,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5131,Super Saiyan 3 Gotenks,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5132,Super Saiyan 3 Gotenks,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5133,Gotenks,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5141,Super Saiyan God SS Goku,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5142,Super Saiyan God SS Goku (Kaioken),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5151,Majin Buu (Ultimate Gohan),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5152,Buu (Super),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5153,Majin Buu (Good),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5154,Majin Buu (Gotenks),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5161,Golden Frieza,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5171,Omega Shenron,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5172,Omega Shenron,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5181,Goku Black,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5182,Goku Black,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5191,Super Saiyan God SS Vegito,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5192,Super Saiyan God SS Vegito,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5193,Vegito,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5194,Super Saiyan God SS Goku & Super Saiyan God SS Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5201,Goku Black (Super Saiyan Rosé),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5202,Goku Black (Super Saiyan Rosé),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5203,Goku Black (Super Saiyan Rosé),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5211,Arale Norimaki,Character-specific Medal required for Awakening.,20000,3,12,0,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5221,Super Saiyan Trunks (Future),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5222,Trunks (Teen) (Future),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5231,Fusion Zamasu,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5232,Zamasu,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5233,Fusion Zamasu,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5241,Super Saiyan God SS Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5242,Super Saiyan God SS Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5243,Super Saiyan God SS Evolved Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5251,Super Saiyan 4 Goku,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5252,Super Saiyan 4 Goku,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5261,Super Saiyan 4 Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5262,Super Saiyan 4 Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5271,Cooler (Final Form),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5272,Cooler,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5273,Cooler (Final Form),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5281,Super Saiyan 3 Goku (Angel),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5282,Super Saiyan 2 Goku (Angel),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5283,Super Saiyan 3 Goku (Angel),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5291,Masked Saiyan,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5301,Super #17,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5302,Android #17 & Hell Fighter #17,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5311,Super Saiyan 3 Broly,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5321,Super Saiyan 4 Gogeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5322,Super Saiyan 4 Gogeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5323,Super Saiyan 4 Goku & Super Saiyan 4 Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5331,Golden Frieza (Angel),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5332,Frieza (Final Form) (Angel),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5341,Super Saiyan 3 Bardock,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5351,Hirudegarn,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5352,Hirudegarn,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5361,Super Gogeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5362,Super Gogeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5371,Super Vegito,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5372,Super Vegito,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5381,Goku (Ultra Instinct -Sign-),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5382,Goku (Ultra Instinct),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5391,Turles,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5392,Turles,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5401,Jiren,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5411,Super Saiyan Gohan (Future),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5412,Gohan (Future),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5421,Super Full Power Saiyan 4 Goku,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5422,Super Saiyan 4 Goku,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5431,Android #17,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5441,Goku,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5451,Frieza (1st Form),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5461,Metal Cooler,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5471,Hit,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5481,Super Saiyan Broly,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5491,Super Saiyan Gogeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5492,Gogeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5501,Goku (Youth),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5511,Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5521,Super Saiyan Goku,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5531,Goku,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5532,Super Saiyan Goku,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5541,Piccolo,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5551,Super Saiyan Gohan (Youth),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5561,Android #13,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5571,Super Saiyan 2 Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5572,Majin Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5581,Bardock,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5591,Kefla,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5592,Caulifla & Kale,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5601,Super Saiyan God SS Goku & Super Saiyan God SS Vegeta,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5611,Super Saiyan 4 Vegito (Xeno),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5621,Boujack,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5631,Paikuhan,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5641,Super Saiyan Trunks (Kid) & Super Saiyan Goten (Kid),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5651,Videl,Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
5661,Super Saiyan Goku (GT),Character-specific Medal required for Awakening.,20000,3,12,1,2024-04-30 09:32:02.268747,2024-04-30 09:32:02.268747
