id,type,currency_id,additional_value,created_at,updated_at
49,PotentialEvent::Defense,,12,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
50,PotentialEvent::Hp,,18,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
51,PotentialEvent::Atk,,9,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
52,PotentialEvent::Defense,,18,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
53,PotentialEvent::Atk,,21,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
54,PotentialEvent::Hp,,120,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
55,PotentialEvent::Hp,,42,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
56,PotentialEvent::Defense,,42,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
57,PotentialEvent::Atk,,30,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
58,PotentialEvent::Hp,,60,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
59,PotentialEvent::Defense,,120,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
60,PotentialEvent::Defense,,360,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
61,PotentialEvent::Atk,,300,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
62,PotentialEvent::Hp,,360,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
63,PotentialEvent::Hp,,126,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
64,PotentialEvent::Atk,,140,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
65,PotentialEvent::Defense,,140,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
66,PotentialEvent::Hp,,28,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
67,PotentialEvent::Atk,,14,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
68,PotentialEvent::Defense,,28,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
69,PotentialEvent::Atk,,49,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
70,PotentialEvent::Hp,,280,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
71,PotentialEvent::Hp,,98,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
72,PotentialEvent::Defense,,98,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
73,PotentialEvent::Atk,,70,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
74,PotentialEvent::Hp,,140,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
75,PotentialEvent::Defense,,280,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
76,PotentialEvent::Defense,,840,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
77,PotentialEvent::Atk,,700,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
78,PotentialEvent::Hp,,840,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
79,PotentialEvent::Hp,,72,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
80,PotentialEvent::Atk,,80,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
81,PotentialEvent::Defense,,80,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
82,PotentialEvent::Hp,,16,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
83,PotentialEvent::Atk,,8,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
84,PotentialEvent::Defense,,16,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
85,PotentialEvent::Hp,,24,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
86,PotentialEvent::Atk,,12,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
87,PotentialEvent::Defense,,24,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
88,PotentialEvent::Hp,,40,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
89,PotentialEvent::Atk,,20,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
90,PotentialEvent::Defense,,40,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
91,PotentialEvent::Atk,,28,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
92,PotentialEvent::Hp,,160,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
93,PotentialEvent::Hp,,56,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
94,PotentialEvent::Defense,,56,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
95,PotentialEvent::Atk,,40,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
96,PotentialEvent::Hp,,80,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
97,PotentialEvent::Defense,,160,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
98,PotentialEvent::Select,7.0,0,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
99,PotentialEvent::Select,8.0,0,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
100,PotentialEvent::Skill,1.0,2,2024-04-30 09:30:46.848255,2024-04-30 09:30:46.848255
101,PotentialEvent::Skill,2.0,2,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
102,PotentialEvent::Select,9.0,0,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
103,PotentialEvent::Skill,1.0,4,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
104,PotentialEvent::Skill,2.0,4,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
105,PotentialEvent::Skill,3.0,4,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
106,PotentialEvent::Select,10.0,0,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
107,PotentialEvent::Skill,3.0,2,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
108,PotentialEvent::Select,11.0,0,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
109,PotentialEvent::Skill,1.0,1,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
110,PotentialEvent::Skill,3.0,1,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
111,PotentialEvent::Select,12.0,0,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
112,PotentialEvent::Skill,2.0,1,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
113,PotentialEvent::Skill,7.0,2,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
114,PotentialEvent::Select,13.0,0,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
115,PotentialEvent::Select,14.0,0,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
116,PotentialEvent::Select,15.0,0,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
117,PotentialEvent::Skill,6.0,2,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
118,PotentialEvent::Select,16.0,0,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
119,PotentialEvent::Select,17.0,0,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
120,PotentialEvent::Select,18.0,0,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
121,PotentialEvent::Select,19.0,0,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
122,PotentialEvent::Select,20.0,0,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
123,PotentialEvent::Skill,4.0,3,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
124,PotentialEvent::Skill,5.0,3,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
125,PotentialEvent::Select,21.0,0,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
126,PotentialEvent::Skill,6.0,3,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
127,PotentialEvent::Skill,7.0,3,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
128,PotentialEvent::Select,22.0,0,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
129,PotentialEvent::Select,23.0,0,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
130,PotentialEvent::Select,24.0,0,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
131,PotentialEvent::Skill,5.0,2,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
132,PotentialEvent::Select,25.0,0,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
133,PotentialEvent::Skill,4.0,2,2024-04-30 09:30:46.853124,2024-04-30 09:30:46.853124
