id,step_id,process_type,parameters,number,created_at,updated_at
20000,2000,CHARAGEKI,"{""file"":""0000005.kks""}",1,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
20001,2000,GASHA,"{""id"":1000}",2,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
20100,2010,WAIT_TIMER,"{""time"":1}",1,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
20101,2010,CHARAGEKI,"{""file"":""0000006.kks""}",2,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
30000,3000,WAIT_TIMER,"{""time"":1}",1,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
30001,3000,CHARAGEKI,"{""file"":""0000007.kks""}",2,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40000,4000,WAIT_TIMER,"{""time"":1}",1,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40001,4000,DESCRIPTION_DIALOG,"{""id"":2000}",2,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40002,4000,DESCRIPTION_DIALOG,"{""id"":2010}",3,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40003,4000,DESCRIPTION_DIALOG,"{""id"":2020}",4,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40004,4000,TRAINING_DECIDE_FIELD_BUTTON,{},5,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40005,4000,TRAINING_SELECT_FIELD,{},6,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40006,4000,WAIT_TIMER,"{""time"":0.5}",7,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40007,4000,TRAINING_DECIDE_FIELD,{},8,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40008,4000,WAIT_TIMER,"{""time"":1}",9,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40009,4000,DESCRIPTION_DIALOG,"{""id"":2030}",10,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40010,4000,DESCRIPTION_DIALOG,"{""id"":2040}",11,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40011,4000,DESCRIPTION_DIALOG,"{""id"":2050}",12,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40012,4000,DESCRIPTION_DIALOG,"{""id"":2060}",13,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40013,4000,DESCRIPTION_DIALOG,"{""id"":2070}",14,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40014,4000,TRAINING_AUTO_SELECT_PARTNER,{},15,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40015,4000,TRAINING_AUTO_SELECT_ITEM,{},16,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40016,4000,DESCRIPTION_DIALOG,"{""id"":2080}",17,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40017,4000,TRAINING_START,{},18,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
40018,4000,DESCRIPTION_DIALOG,"{""id"":2090}",19,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
50000,5000,WAIT_TIMER,"{""time"":1}",1,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
50001,5000,DESCRIPTION_DIALOG,"{""id"":2100}",2,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
50002,5000,DESCRIPTION_DIALOG,"{""id"":2110}",3,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
50003,5000,DESCRIPTION_DIALOG,"{""id"":2120}",4,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
50004,5000,AWAKEN_START,{},5,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
50005,5000,CHARAGEKI,"{""file"":""0000008.kks""}",6,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
60000,6000,WAIT_TIMER,"{""time"":1}",1,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
60001,6000,DESCRIPTION_DIALOG,"{""id"":2200}",2,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
60002,6000,DESCRIPTION_DIALOG,"{""id"":2210}",3,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
60003,6000,DOKKAN_AWAKEN_START,{},4,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
60100,6010,WAIT_TIMER,"{""time"":1}",1,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
60101,6010,CHARAGEKI,"{""file"":""0000009.kks""}",2,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
70000,7000,WAIT_TIMER,"{""time"":1}",1,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
70001,7000,CHARAGEKI,"{""file"":""0000010.kks""}",2,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
70100,7010,WAIT_INITIALIZE_PUZZLE,{},1,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
70101,7010,WAIT_TIMER,"{""time"":1}",2,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
70102,7010,DESCRIPTION_DIALOG,"{""id"":3000}",3,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
70103,7010,DESCRIPTION_DIALOG,"{""id"":3010}",4,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
70104,7010,PUZZLE_ACTIVE_SKILL,"{""index"":0,""player_attack_damage"":1273530}",5,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
70105,7010,WAIT_FINISH_BATTLE,"{""enemy_attack_damages"":[111,222,333]}",6,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
70200,7020,WAIT_TIMER,"{""time"":1}",1,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
70201,7020,CHARAGEKI,"{""file"":""0000011.kks""}",2,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
80000,8000,DOWNLOAD_ASSET,{},1,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
90000,9000,WAIT_INPUT_NAME,{},1,2024-04-30 09:31:26.146942,2024-04-30 09:31:26.146942
