id,name,description,exec_timing_type,turn,probability,causality_conditions,icon_type,target_type,target_value1,target_value2,target_value3,sub_target_type_set_id,efficacy_type,eff_value1,eff_value2,eff_value3,created_at,updated_at
1300,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,150.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1310,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,20.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1320,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,30.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1330,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,40.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1400,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,200.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1410,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,28.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1420,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,38.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1430,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,48.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1500,Damage Reduction,Greatly reduces damage received,0,0,0,,1,0,0,0,0,0,7,90.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1510,Magic Touch,Changes Ki Spheres into carrots,1,0,100,,0,1,0,0,0,0,4,63.0,4096.0,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1520,Damage Reduction,Greatly reduces damage received,0,0,0,,1,0,0,0,0,0,7,60.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1600,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,200.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1610,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,15.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1620,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,20.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1630,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,25.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1640,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,40.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1700,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,220.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1710,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,25.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1720,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,30.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1730,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,35.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1740,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,52.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1750,Saiyan Fighting Spirit,Grants immunity to being stunned,0,-1,100,"{""source"":""126"",""compiled"":126}",0,1,0,0,0,0,10,0.0,0.0,0.0,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1800,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,200.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1810,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,33.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1820,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,40.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1830,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,50.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1840,Saiyan Fighting Spirit,Grants immunity to being stunned,0,-1,100,"{""source"":""126"",""compiled"":126}",0,1,0,0,0,0,10,0.0,0.0,0.0,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1900,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,190.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1910,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,35.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1920,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,43.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
1930,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,54.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
2000,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,34.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
2010,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,39.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
2020,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,44.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
2030,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,53.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
2100,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,45.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
2110,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,55.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
2120,Masked Madness,Seals Super Attack,1,1,50,"{""source"":""126"",""compiled"":126}",0,11,100,0,0,0,11,0.0,0.0,0.0,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
2130,Masked Madness,Seals Super Attack,1,1,70,"{""source"":""126"",""compiled"":126}",0,11,100,0,0,0,11,0.0,0.0,0.0,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
2200,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,220.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
2210,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,35.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
2220,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,75.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
2230,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,40.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
2240,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,85.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
2250,Energy Absorption,Absorbs Ki Blast Super Attacks,1,1,100,,0,1,0,0,0,0,12,80.0,1.0,1.0,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
2300,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,200.0,,,2024-02-27 09:30:48.472359,2024-02-27 09:30:48.472359
2310,Turn Into Candy!,Changes Ki Spheres into candies,1,0,66,,0,1,0,0,0,0,4,63.0,448.0,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2320,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,35.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2330,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,37.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2340,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,42.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2350,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,47.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2400,Super Saiyan,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,140.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2410,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,40.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2420,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,44.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2430,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,50.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2440,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,55.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2450,Space Distortion,Randomly changes all Ki Spheres,1,0,100,,0,1,0,0,0,0,6,,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2460,Evasion,"May evade enemies' attacks 
(including Super Attacks)",1,0,100,,0,1,0,0,0,0,8,40.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2500,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,30.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2510,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,35.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2520,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,40.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2530,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,60.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2540,Boss,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,140.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2550,Saiyan Fighting Spirit,Grants immunity to being stunned,0,-1,100,"{""source"":""126"",""compiled"":126}",0,1,0,0,0,0,10,0.0,0.0,0.0,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2560,Golden Aura,Nullifies Super Attack sealing effect,0,-1,100,,0,1,0,0,0,0,14,0.0,0.0,0.0,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2600,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,330.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2610,Damage Reduction,Greatly reduces damage received,0,0,0,,1,0,0,0,0,0,7,90.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2620,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,65.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2630,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,45.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2700,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,42.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2710,Damage Reduction,Greatly reduces damage received,0,0,0,,1,0,0,0,0,0,7,97.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2720,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,30.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2730,Escalation,Greatly increases ATK & DEF,0,0,0,,1,0,0,0,0,0,1,123.0,15000.0,100.0,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2740,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,33.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2750,Escalation,Greatly increases ATK & DEF,0,0,0,,1,0,0,0,0,0,1,128.0,17000.0,100.0,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2760,Rampaging Demon,Grants immunity to being stunned,0,-1,100,"{""source"":""126"",""compiled"":126}",0,1,0,0,0,0,10,0.0,0.0,0.0,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2770,Destructive Madness,Nullifies Super Attack sealing effect,0,-1,100,,0,1,0,0,0,0,14,0.0,0.0,0.0,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2800,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,45.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2810,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,49.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2820,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,59.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2830,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,64.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2840,Saiyan Fighting Spirit,Grants immunity to being stunned,0,-1,100,"{""source"":""126"",""compiled"":126}",0,1,0,0,0,0,10,0.0,0.0,0.0,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2850,Golden Aura,Nullifies Super Attack sealing effect,0,-1,100,,0,1,0,0,0,0,14,0.0,0.0,0.0,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2900,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,51.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2910,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,61.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2920,Damage Reduction,Greatly reduces damage received,0,0,0,,1,0,0,0,0,0,7,71.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2930,Penetration,Increases damage dealt to enemies,0,0,0,,0,0,0,0,0,0,3,120.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2940,Coercion,Locks character switching,1,0,100,,0,11,80,20,0,0,5,,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2950,The Last Shadow Dragon,Grants immunity to being stunned,0,-1,100,"{""source"":""126"",""compiled"":126}",0,1,0,0,0,0,10,0.0,0.0,0.0,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
2960,Infinite Evil,Nullifies Super Attack sealing effect,0,-1,100,,0,1,0,0,0,0,14,0.0,0.0,0.0,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3000,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,40.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3100,Ultimate Awakening,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,47.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3110,Ultimate Awakening,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,60.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3120,Energy Eruption,Randomly changes all Ki Spheres,1,0,35,,0,1,0,0,0,0,6,,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3130,True Power,Greatly increases ATK,0,0,0,,1,0,0,0,0,0,1,130.0,100.0,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3140,True Power,Greatly increases ATK,0,0,0,,1,0,0,0,0,0,1,135.0,100.0,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3200,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,44.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3210,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,53.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3220,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,56.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3230,Emperor's Mental Prowess,Grants immunity to being stunned,0,-1,100,"{""source"":""126"",""compiled"":126}",0,1,0,0,0,0,10,0.0,0.0,0.0,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3240,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,65.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3250,Turn Into Candy!,Changes Ki Spheres into candies,1,0,100,,0,1,0,0,0,0,4,63.0,448.0,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3260,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,43.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3270,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,50.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3280,Barrier,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,60.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3290,Barrier,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,65.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3300,Saiyan Fighting Spirit,Grants immunity to being stunned,0,-1,100,"{""source"":""126"",""compiled"":126}",0,1,0,0,0,0,10,0.0,0.0,0.0,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3400,Evasion,Evades enemies' attacks (including Super Attacks),1,0,100,,0,1,0,0,0,0,8,100.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3500,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,40.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3510,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,45.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3520,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,52.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3530,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,55.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3540,Unshakeable Saiyan Soul,Disables ATK & DEF Reduction,0,-1,100,,0,1,0,0,0,0,13,3.0,0.0,0.0,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3600,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,40.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
3610,Damage Reduction,Reduces damage received,0,0,0,,1,0,0,0,0,0,7,45.0,,,2024-02-27 09:30:48.549804,2024-02-27 09:30:48.549804
