id,name,description,causality_description,aim_target,increase_rate,lv_bonus,is_inactive,created_at,updated_at
82,Angry Launcher,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
83,Massive Catapult,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
84,Galick Beam,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
85,Solar Kamehameha,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
86,Big Bang Crash,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
87,Father-Son Kamehameha,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
88,Sadistic 18,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
89,Photon Flash,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
90,Kamehameha,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
91,Soaring Dragon Fist,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
92,Elite Beam,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
93,Earth Breaker,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
94,Super Kamehameha,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
95,Kamehameha,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
96,Destructo-Disc,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
97,Kamehameha,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
98,Big Bang Attack,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
99,Destruction God's Fury,"Causes supreme damage to enemy 
and lowers DEF",,0,150,20,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
100,Prelude to Destruction,"Causes supreme damage to enemy 
and lowers ATK",,0,150,20,0,2024-02-27 09:32:36.945948,2024-02-27 09:32:36.945948
101,Kamehameha,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
102,Big Bang Attack,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
103,Barrage Death Beam,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
104,Bad Ring Laser,"Causes damage to enemy 
and seals Super Attack",,0,70,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
105,Tagoma Shot,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
106,Power Tackle,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
107,Tri-Beam,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
108,Special Beam Cannon,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
109,Full Power Death Beam,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
110,Flame Shower Breath,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
111,Evil Impulse,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
112,Demon Eye,"Huge damage 
and high chance to stun the enemy",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
113,Finish Buster,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
114,Kaioken x3 Kamehameha,"Greatly raises ATK and 
causes huge damage to enemy",,0,50,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
115,Kamehameha,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
116,Kamekameha,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
117,Earth Breaker,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
118,Ninpo Kasumi Shuriken,"Causes damage to enemy 
and seals Super Attack",,0,70,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
119,Telekinesis,"Low damage 
and great chance to stun the enemy",,0,30,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
120,Destruction God's Fury,"Causes extreme damage to enemy 
and lowers DEF",,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
121,Finish Buster,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
122,Orga Blaster,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
123,Big Bang Attack,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
124,Super Kamehameha,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
125,Victory Cannon,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
126,Super Kamehameha,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
127,Super Explosive Wave,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
128,Final Cannon,"Huge damage to enemy 
and greatly lowers DEF",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
129,Death Ball,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
130,Ki Blast Cannon,Causes damage and may stun the enemy,,0,50,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
131,Grand Smasher,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
132,Galactic Buster,"Causes extreme damage to enemy 
and lowers DEF",,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
133,Shoot Blaster,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
134,Devilish Blade,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
135,Brave Gatling,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
136,Psychic Blaze,"Causes damage to enemy 
and seals Super Attack",,0,70,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
137,Kamehameha,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
138,Soaring Dragon Fist  ,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
139,Super Kamehameha,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
140,Kamehameha,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
141,Final Impact,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
142,Stay Away From Me!,"Causes huge damage to enemy 
and lowers ATK",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
143,Maiden Burst,"Causes huge damage with 
a rare chance of stunning the enemy",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
144,S.S. Deadly Bomber,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
145,Full Power S.S. Deadly Bomber,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
146,Burning Shoot,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
147,Final Impact,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
148,Vice Shout,"Extreme damage 
and rare chance to stun the enemy",,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
149,Videl Rush,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
150,Ki Blast Cannon,Causes damage and may stun the enemy,,0,50,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
151,Murder Ball,Placeholder,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
152,Murder Ball,Placeholder,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
153,Super Kamehameha,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
154,Finish Buster,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
155,Kamehameha,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
156,Death Flash,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
157,Supernova,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
158,Thouser Blade,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
159,Doure Grenade,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
160,Naise Bind Wave,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
161,Supernova,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
162,Justice Kick,"Causes huge damage 
and greatly lowers ATK",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
163,Justice Eagle,"Causes huge damage to enemy 
and greatly lowers DEF",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
164,Hyper Speed Ball,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
165,None,None,,0,0,0,1,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
166,Super Kamehameha,"Causes supreme damage 
and raises ATK for 3 turns",,0,100,20,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
167,Planet Burst,"Causes supreme damage to enemy 
and lowers DEF",,0,150,20,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
168,Shining Sword Attack,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
169,Beam Gun,"Huge damage 
and high chance to stun the enemy",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
170,Limitbreaker Kamehameha,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
171,God of Destruction's Edict,"Causes supreme damage to enemy 
and lowers DEF",,0,150,20,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
172,Instant Transmission Kamehameha,"Causes huge damage with 
a rare chance of stunning the enemy",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
173,Dragon Smash,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
174,Limitbreaker Kamehameha,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
175,Kill Driver,"Causes extreme damage with 
a high chance of stunning the enemy",,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
176,Cosmic Attack,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
177,Meteor Ball,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
178,Planet Bomb,Causes damage and seals Super Attack,,0,70,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
179,Gemini Shot,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
180,Gemini Shot,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
181,Kill Driver,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
182,Faster than Lightning,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
183,Spirit Bomb,"Causes extreme damage to enemy 
and lowers DEF",,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
184,Overheat,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
185,Final Spirit Cannon,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
186,Final Flash,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
187,Rolling Hercule Punch,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
188,Geh heh heh,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
189,Blood-Sucking,Causes damage and seals Super Attack,,0,70,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
190,Eight Arm Fist,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
191,Open Ball Fist,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
192,Transformation Rocket,"Huge damage, 
rare chance to stun the enemy",,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
193,Majin Beam,"Causes extreme damage to enemy 
and lowers ATK",,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
194,Makosen,"Causes extreme damage to enemy 
and lowers DEF",,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
195,Explosive Demon Wave,"Causes extreme damage with 
a chance of stunning the enemy",,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
196,Devilmite Beam,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
197,Machine Gun Punch,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
198,Finish Buster,Causes extreme damage to enemy,,0,120,15,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
199,Big Bang Attack,"Supreme damage 
and allies' ATK +20% for 1 turn",,0,130,20,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
200,Maximum Flasher,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:36.956312,2024-02-27 09:32:36.956312
201,Stone Spit,"Low damage, 
great chance to stun the enemy",,0,50,10,0,2024-02-27 09:32:36.966479,2024-02-27 09:32:36.966479
202,Justice Rush,"Causes huge damage 
and may stun the enemy",,0,100,10,0,2024-02-27 09:32:36.966479,2024-02-27 09:32:36.966479
203,Maiden Flash,Causes huge damage to enemy,,0,100,10,0,2024-02-27 09:32:36.966479,2024-02-27 09:32:36.966479
204,Ki Blast Cannon,"Causes extreme damage with 
a chance of stunning the enemy",,0,120,15,0,2024-02-27 09:32:36.966479,2024-02-27 09:32:36.966479
205,Shock Wave,"Causes huge damage, 
allies' ATK +15% for 1 turn",,0,87,10,0,2024-02-27 09:32:36.966479,2024-02-27 09:32:36.966479
206,Family Kamehameha,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:36.966479,2024-02-27 09:32:36.966479
207,Family Kamehameha,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:36.966479,2024-02-27 09:32:36.966479
208,Family Kamehameha,Causes supreme damage to enemy,,0,150,20,0,2024-02-27 09:32:36.966479,2024-02-27 09:32:36.966479
209,Death Punisher,"Causes huge damage to enemy 
and lowers DEF",,0,100,10,0,2024-02-27 09:32:36.966479,2024-02-27 09:32:36.966479
