id,name,description,increase_rate,aim_target,created_at,updated_at
49,ゴッドの世界を吸収したサイヤ人,究極ダメージ,550,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
50,[en]リベンジデスボンバー,[en]究極ダメージ+100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
51,超爆裂魔波,敵全体に超極大ダメージ+100%,540,1,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
52,[en]プラネットゲイザー,[en]究極ダメージ+100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
53,[en]サイヤ人にふさわしい生き方をしろ！,[en]究極ダメージ+50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
54,[en]スーパー元気玉,[en]究極ダメージ+100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
55,[en]マイナスエネルギーパワーボール,[en]究極ダメージ+50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
56,[en]ゴッドインパクト,[en]究極ダメージ,550,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
57,[en]地獄を生き抜いた男,[en]究極ダメージ+50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
58,[en]地獄を生き抜いた男,[en]究極ダメージ+100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
59,[en]アナザーホープ,[en]究極ダメージ+100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
60,[en]ギャラクシーエターナルソード,[en]究極ダメージ+50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
61,アブソリュートリリースボール,究極ダメージ+100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
62,[en]元気玉超サイヤ人,[en]究極ダメージ+100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
63,[en]ヘルズバスター,[en]究極ダメージ+50%,600,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
66,ビッグ・バン・アタック,究極ダメージ+100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
68,[en]フルパワーかめはめ波,[en]究極ダメージ+100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
69,[en]お菓子光線,[en]究極ダメージ+100%,650,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
70,[en]爆裂ラッシュ,[en]究極ダメージ,550,0,2024-05-17 11:40:19.284529,2024-05-17 11:40:19.284529
