id,type,category,world_id,db_story_id,name,prev_area_id,all_clear_bonus_stones,bgm_id,area_icon_id,width,height,split,layer0,layer1,layer2,layer3,event_image_path,banner_image_path,minibanner_image_path,listbutton_image_path,is_listbutton_visible,event_priority,announcement_id,is_quest_num_visible,first_released_at,created_at,updated_at
104,Area::EventArea,5,1,,Get STR Awakening Medals!,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,50,5.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
105,Area::EventArea,5,1,,Get PHY Awakening Medals!,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,50,5.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
106,Area::EventArea,5,1,,Get AGL Awakening Medals!,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,50,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
107,Area::EventArea,5,1,,Get TEQ Awakening Medals!,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,50,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
108,Area::EventArea,5,1,,Get INT Awakening Medals!,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,50,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
109,Area::EventArea,5,1,,Get STR Awakening Medals!,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,50,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
110,Area::EventArea,5,1,,Get PHY Awakening Medals!,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,50,,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
111,Area::EventArea,6,1,,Battle for Awakening Medals,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_111_1.png,banners/en/event/eve_banner/quest_list_banner_111_1.png,banners/en/event/eve_banner/quest_event_banner_111_1.png,banners/en/dummy_image/dummy_image.png,0,50,5.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
115,Area::EventArea,6,1,,Big Bucks Hercule Challenge,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,50,100586.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
116,Area::EventArea,6,1,,Big Bucks Hercule Challenge,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_116.png,banners/en/event/eve_banner/quest_list_banner_116.png,banners/en/event/eve_banner/quest_event_banner_116.png,banners/en/event/eve_listbutton/myp_banner_event_116.png,1,920,100586.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
120,Area::EventArea,6,1,,Training at Korin Tower,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_120_2.png,banners/en/event/eve_banner/quest_list_banner_120.png,banners/en/event/eve_banner/quest_event_banner_120.png,banners/en/event/eve_listbutton/myp_banner_event_120.png,1,80,12.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
125,Area::EventArea,3,1,,The Winding Snaky Way to King Kai,,,,28,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,,,0,70,100030.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
126,Area::EventArea,3,1,,The Winding Snaky Way to King Kai,,1.0,,28,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,,,0,70,100030.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
130,Area::EventArea,1,1,,Training in the Clouds,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_130_1.png,banners/en/event/eve_banner/quest_list_banner_130_1.png,banners/en/event/eve_banner/quest_event_banner_130.png,banners/en/event/eve_listbutton/myp_banner_event_130.png,1,60,100151.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
131,Area::EventArea,6,1,,Hercule's World Tournament,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/event/eve_banner/quest_list_banner_131.png,banners/en/event/eve_banner/quest_event_banner_131.png,banners/en/dummy_image/dummy_image.png,1,100,100255.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
132,Area::EventArea,6,1,,Turtle School Training!,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/event/eve_banner/quest_list_banner_132.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,1,100,100256.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
133,Area::EventArea,2,1,,Adventure of Gratitude,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_133.png,banners/en/event/eve_banner/quest_list_banner_133.png,banners/en/event/eve_banner/quest_event_banner_133.png,banners/en/event/eve_listbutton/myp_banner_event_133.png,1,600,100257.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
134,Area::EventArea,6,1,,The Genius Bulma's Battle Prep,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_134_2.png,banners/en/event/eve_banner/quest_list_banner_134_2.png,banners/en/event/eve_banner/quest_event_banner_134_2.png,banners/en/event/eve_listbutton/myp_banner_event_134.png,1,200,100251.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
135,Area::EventArea,4,1,,Pan's Secret Adventure,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_135.png,banners/en/event/eve_banner/quest_list_banner_135.png,banners/en/event/eve_banner/quest_event_banner_135.png,banners/en/event/eve_listbutton/myp_banner_event_135.png,1,100,100372.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
136,Area::EventArea,2,1,,Anime 30th Anniv.! Warrior Saga,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,100,200130.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
137,Area::EventArea,2,1,,Dragon Ball Fusions: The Fused World,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/event/eve_banner/quest_list_banner_137.png,banners/en/event/eve_banner/quest_event_banner_137.png,banners/en/dummy_image/dummy_image.png,0,100,100471.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
138,Area::EventArea,2,1,,The Peculiar Penguin Village,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/event/eve_banner/quest_list_banner_138.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,1,100,100493.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
139,Area::EventArea,2,1,,Captain Yamcha's Grand Slam!,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_139.png,banners/en/event/eve_banner/quest_list_banner_139.png,banners/en/event/eve_banner/quest_event_banner_139.png,banners/en/event/eve_listbutton/myp_banner_event_139.png,1,500,100448.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
140,Area::EventArea,5,1,,Activate Your Hidden Potential,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/event/eve_banner/quest_list_banner_140.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,1,100,100463.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
141,Area::EventArea,5,1,,Activate Your Hidden Potential,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/event/eve_banner/quest_list_banner_141.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,1,100,100464.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
142,Area::EventArea,5,1,,Activate Your Hidden Potential,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/event/eve_banner/quest_list_banner_142.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,1,100,100465.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
143,Area::EventArea,5,1,,Activate Your Hidden Potential,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/event/eve_banner/quest_list_banner_143.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,1,100,100466.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
144,Area::EventArea,5,1,,Activate Your Hidden Potential,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/event/eve_banner/quest_list_banner_144.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,1,100,100467.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
146,Area::EventArea,5,1,,Activate Your Hidden Potential,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/event/eve_banner/quest_list_banner_146.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,1,100,100587.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
147,Area::EventArea,2,1,,Tale of Super Warriors,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,100,100550.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
149,Area::EventArea,5,1,,Activate Your Hidden Potential,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,1,100,,0,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
150,Area::EventArea,2,1,,Looking For Mr. Right!,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_150.png,banners/en/event/eve_banner/quest_list_banner_150.png,banners/en/event/eve_banner/quest_event_banner_150.png,banners/en/event/eve_listbutton/myp_banner_event_150.png,1,600,100583.0,0,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
151,Area::EventArea,2,1,,"Epic Battle! Arise, Otherworld Challengers",,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,100,100569.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
152,Area::EventArea,2,1,,Majin Buu's Candy Mischief!,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_152.png,banners/en/event/eve_banner/quest_list_banner_152.png,banners/en/event/eve_banner/quest_event_banner_152.png,banners/en/event/eve_listbutton/myp_banner_event_152.png,1,1842,100682.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
153,Area::EventArea,2,1,,Ginyu Force Special Training,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_153.png,banners/en/event/eve_banner/quest_list_banner_153.png,banners/en/event/eve_banner/quest_event_banner_153.png,banners/en/event/eve_listbutton/myp_banner_event_153.png,1,1251,100970.0,0,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
154,Area::EventArea,2,1,,Ginyu Force Special Training,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_154.png,banners/en/event/eve_banner/quest_list_banner_154.png,banners/en/event/eve_banner/quest_event_banner_154.png,banners/en/event/eve_listbutton/myp_banner_event_154.png,1,1251,100971.0,0,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
155,Area::EventArea,2,1,,Ginyu Force Special Training,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_155.png,banners/en/event/eve_banner/quest_list_banner_155.png,banners/en/event/eve_banner/quest_event_banner_155.png,banners/en/event/eve_listbutton/myp_banner_event_155.png,1,1251,100972.0,0,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
156,Area::EventArea,2,1,,Ginyu Force Special Training,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_156.png,banners/en/event/eve_banner/quest_list_banner_156.png,banners/en/event/eve_banner/quest_event_banner_156.png,banners/en/event/eve_listbutton/myp_banner_event_156.png,1,1251,100973.0,0,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
157,Area::EventArea,2,1,,Ginyu Force Special Training,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_157.png,banners/en/event/eve_banner/quest_list_banner_157.png,banners/en/event/eve_banner/quest_event_banner_157.png,banners/en/event/eve_listbutton/myp_banner_event_157.png,1,1251,100974.0,0,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
158,Area::EventArea,2,1,,Ginyu Force Special Training,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_158.png,banners/en/event/eve_banner/quest_list_banner_158.png,banners/en/event/eve_banner/quest_event_banner_158.png,banners/en/event/eve_listbutton/myp_banner_event_158.png,1,1251,100975.0,0,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
159,Area::EventArea,2,1,,Go Goku! Six Days to Galaxy's Edge,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,600,100927.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
160,Area::EventArea,2,1,,Spread Love! Magical Girl Fighters!,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_160_2.png,banners/en/event/eve_banner/quest_list_banner_160_2.png,banners/en/event/eve_banner/quest_event_banner_160_2.png,banners/en/event/eve_listbutton/myp_banner_event_160_2.png,1,600,100830.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
161,Area::EventArea,2,1,,Leave It to Us! Little Rangers!,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_161.png,banners/en/event/eve_banner/quest_list_banner_161.png,banners/en/event/eve_banner/quest_event_banner_161.png,banners/en/event/eve_listbutton/myp_banner_event_161.png,1,600,101051.0,0,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
162,Area::EventArea,2,1,,DRAGON BALL FighterZ: Super Warrior Arc,,,,27,1500,1800,1,27,1,2,3,banners/en/event/eve_header/quest_top_banner_162_A.png,banners/en/event/eve_banner/quest_list_banner_162.png,banners/en/event/eve_banner/quest_event_banner_162.png,banners/en/event/eve_listbutton/myp_banner_event_162.png,1,600,101071.0,1,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
163,Area::EventArea,2,1,,Launch's Treasure Hunt,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/event/eve_banner/quest_list_banner_163.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,1800,200306.0,0,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
164,Area::EventArea,2,1,,Launch's Treasure Hunt,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/event/eve_banner/quest_list_banner_163.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,1800,200306.0,0,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
165,Area::EventArea,2,1,,Launch's Treasure Hunt,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/event/eve_banner/quest_list_banner_163.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,1800,200306.0,0,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
166,Area::EventArea,2,1,,Launch's Treasure Hunt,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/event/eve_banner/quest_list_banner_163.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,1800,200306.0,0,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
167,Area::EventArea,2,1,,Launch's Treasure Hunt,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/event/eve_banner/quest_list_banner_163.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,1800,200306.0,0,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
168,Area::EventArea,2,1,,Launch's Treasure Hunt,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/event/eve_banner/quest_list_banner_163.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,1800,200306.0,0,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
169,Area::EventArea,2,1,,Launch's Treasure Hunt,,,,27,1500,1800,1,27,1,2,3,banners/en/dummy_image/dummy_image.png,banners/en/event/eve_banner/quest_list_banner_163.png,banners/en/dummy_image/dummy_image.png,banners/en/dummy_image/dummy_image.png,0,1800,200306.0,0,,2024-02-27 09:30:22.649798,2024-02-27 09:30:22.649798
