id,name,bg1_enable,bg1_coef,bg1_flip_disable,bg2_enable,bg2_coef,bg2_flip_disable,bg3_enable,bg3_coef,bg3_flip_disable,bg4_enable,bg4_coef,bg4_flip_disable,created_at,updated_at
23,ドクターゲロの研究所付近,1,50,1,1,10,1,1,3,1,1,5,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
24,17号18号との戦闘地,1,50,1,1,10,1,1,5,1,1,3,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
25,セルが完全体になった島,1,35,1,1,25,1,1,10,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
26,悟空vsベジータの決闘地点,1,50,1,1,25,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
27,あの世,1,50,1,1,0,1,1,0,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
28,ピラフの城,1,50,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
29,RR軍本部,1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
30,ジングル村,1,50,1,1,0,1,1,25,1,1,70,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
31,ブウのおなかの中,1,50,1,1,25,1,1,15,1,1,30,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
32,荒野（夜）,1,50,1,1,25,1,1,10,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
33,荒野（昼）,1,50,1,1,25,1,1,10,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
34,カリン塔,1,50,1,1,0,1,1,40,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
35,蛇の道,1,50,1,1,5,1,1,5,1,1,5,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
36,重力室(50倍重力)(宇宙船),1,0,1,1,0,1,0,0,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
37,重力室(150倍重力)(カプセルCorp),1,0,1,0,0,1,0,0,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
38,精神と時の部屋,1,0,1,1,0,1,0,0,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
39,宇宙空間,1,50,1,1,5,1,1,0,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
40,惑星ミート,1,50,1,1,10,1,0,0,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
41,惑星ベジータ,1,50,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
42,崩壊したナメック星,1,50,1,1,25,1,1,10,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
43,ビルスの星,1,50,1,1,25,1,1,10,1,1,5,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
44,天下一武道会会場,1,20,1,1,10,1,1,0,1,1,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
45,天下一武道会会場（夕）,1,20,1,1,10,1,1,0,1,1,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
46,武道会場(土)(銀河ギリギリ),1,50,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
47,マグマ(銀河ギリギリ),1,50,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
48,西洋の街(銀河ギリギリ),1,50,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
49,武道会場(タイル)(銀河ギリギリ),1,50,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
50,とびっきりの最強対最強(夕方),1,50,1,1,25,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
51,神精樹の木付近荒野,1,35,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
52,0,1,35,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
53,悟空・フリーザの到着地点(暗転),1,50,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
54,セルが完全対になった島(暗転),1,50,1,1,25,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
55,セルが完全対になった島(暗転月あり),1,10,1,1,25,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
56,地獄(ジャネンバ),1,5,1,1,15,1,1,35,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
57,惑星イメッガ,1,0,1,1,10,1,1,25,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
58,惑星ケルボ,1,5,1,1,15,1,1,35,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
59,惑星ビーへ,1,5,1,1,15,1,0,0,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
60,ーーー,1,5,1,1,15,1,1,35,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
61,惑星ルード,1,5,1,1,15,1,1,35,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
62,惑星M2,1,5,1,1,0,1,1,8,1,1,16,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
63,ミューの星,1,0,1,1,0,1,0,0,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
64,ーーー,1,5,1,1,15,1,1,35,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
65,17号18号との戦闘地（暗転）,1,35,1,1,25,1,1,10,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
66,スーパーベビーになった島,1,35,1,1,25,1,1,10,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
67,パン(GT)(ハニー)の花園,1,25,1,1,10,1,0,0,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
68,名前のない星,1,35,1,1,25,1,1,10,1,1,5,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
69,崩壊した街(GT),1,35,1,1,25,1,1,15,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
70,新惑星ベジータ(昼),1,25,1,1,15,1,1,10,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
71,新惑星ベジータ(夜),1,25,1,1,15,1,1,10,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
72,ナタデ村付近の戦闘地,1,25,1,1,15,1,0,0,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
73,未来の崩壊した街,1,35,1,1,25,1,1,15,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
74,ペンギン村,1,20,1,1,15,1,1,10,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
75,草野球場,1,25,1,1,15,1,0,0,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
76,ウサギ団の街,1,25,1,1,15,1,0,0,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
77,第10宇宙界王神界,1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
78,ツフル星,1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
79,パオズ山(昼),1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
80,パオズ山(夕方),1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
81,パオズ山(夜),1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
82,パオズ山(昼)(悟空の家),1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
83,パオズ山(夕方)(悟空の家),1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
84,パオズ山(夜)(悟空の家),1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
85,暗めの荒野,1,40,1,1,25,1,0,0,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
86,メイクイーン城（養成施設）,1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
87,メイクイーン城がみえる海,1,20,1,1,10,1,1,10,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
88,あの世,1,5,1,1,3,1,1,1,1,0,0,0,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
89,天下一武道会会場（半壊）,1,20,1,1,10,1,1,0,1,1,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
90,孫悟空一家の畑,1,25,1,1,20,1,1,15,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
91,スーパーゴージャスホテル,1,25,1,1,20,1,1,15,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
92,カメハウスが見える海,1,10,1,1,5,1,0,0,0,0,0,0,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
94,全覧試合の武舞台,1,50,1,1,25,1,1,15,1,1,10,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
95,サタンビル屋上,1,25,1,1,12,1,0,0,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
96,17号のいる島(夕方),1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
97,天津堂道場,1,50,1,1,25,1,1,0,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
98,悟空と悟飯が闘った岩場,1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
99,地球の地獄,1,25,1,1,12,1,0,0,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
100,占いババの宮殿(夜),1,50,1,1,25,1,1,0,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
101,西の都(夜),1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.226867,2024-05-17 11:41:11.226867
102,崩壊した西の都(夜),1,35,1,1,25,1,1,15,1,0,0,1,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
103,ヒルデガーンに破壊された西の都,1,35,1,1,25,1,1,15,1,0,0,1,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
104,豪華客船の上,1,20,1,1,15,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
105,時の狭間,1,15,1,1,10,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
106,力の大会武舞台(エイプリルフール用),1,20,1,0,0,0,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
107,力の大会武舞台①,1,20,1,1,5,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
108,力の大会武舞台②,1,20,1,1,5,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
109,力の大会武舞台(破壊)①,1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
110,力の大会武舞台(破壊)②,1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
111,力の大会武舞台(後半)①,1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
112,力の大会武舞台(後半)②,1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
113,力の大会武舞台(後半)③,1,15,1,1,5,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
114,力の大会武舞台(後半)④,1,15,1,1,5,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
115,力の大会武舞台(後半)⑤,1,15,1,1,5,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
116,スラッグの城（昼）,1,15,1,1,5,1,1,1,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
117,スラッグの城（夜）,1,15,1,1,5,1,1,1,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
118,繁華街（夜）,1,15,1,1,5,1,1,1,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
119,地獄(GT),1,5,1,1,3,1,1,1,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
120,17号のいる島(昼),1,20,1,1,10,1,1,5,1,0,0,1,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
121,大陸氷河,1,15,1,1,10,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
122,北の界王神と魔人ブウ(純粋)が闘った惑星,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
123,南の界王神と魔人ブウ(純粋)が闘った惑星,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
124,ビッグゲテスター,1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
125,グルメス城,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
126,夜の森,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
127,魔神城(ガステル戦),1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
128,魔神城(ルシフェル戦),1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
129,惑星ルーデゼ,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
130,森と湖(GT)(マイナスエネルギー),1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
131,港街(GT),1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
132,崩壊した街(GT)(快晴),1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
133,崩壊した街(GT)(暗雲),1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
134,ミーファン帝国,1,10,1,1,7,1,1,0,1,0,0,1,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
135,ポトフ星,1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
136,天下一武道会会場(8bit版),1,10,1,1,7,1,1,0,1,0,0,1,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
137,天下一大武道大会会場,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
138,惑星サダラ,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
139,第6宇宙の荒野(雨),1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
140,ヒーロータウン,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
141,時の巣,1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
142,ヒーロータウン(暗雲),1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
143,重力室(300倍重力),1,0,1,0,0,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
144,街の背景,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
145,セルゲーム会場(リングなし),1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
146,神様の神殿,1,0,1,0,0,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
147,監獄惑星,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
148,占いババの宮殿(昼),1,0,1,1,0,1,1,0,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
149,都会の都,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
150,第25回天下一武道会会場,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
151,惑星ズン,1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
152,暗黒星,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
153,ベジータ(幼年期)がいた惑星,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
154,惑星ベジータ(劇場版),1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
155,惑星ベジータ王宮(昼),1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
156,ダーブラと悟飯が闘った場所,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
157,ババリ星,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
158,惑星プラント,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
159,宇宙空間(地球近辺),1,10,1,1,0,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
160,魔人ブウの体内,1,10,1,1,7,1,1,5,1,1,3,1,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
161,魔人ブウの体内（新）,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
162,あの世一武道会,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
163,カリン塔(夜),1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
164,西の都上空,1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
165,ガーリックjr.の城,1,10,1,1,7,1,1,5,1,1,3,1,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
166,渦巻く空(劇場版),1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
167,渦巻く空(アニメ）,1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
168,孫悟空vsベジータの決闘地点,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
169,悟飯とピッコロの修行場所夕方,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
170,メチカブラのカオス城,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
171,キウイ山の火口,1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
172,昼の森,1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
173,八卦炉,1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
174,ウーロンと出会った岩場,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
175,マッスルタワー,1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
176,砂浜,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
177,RR軍基地,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
178,惑星ベジータ,1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
179,地獄(SDBH),1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
180,天国,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
181,砂漠,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
182,ピラフ城(夜),1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
183,フライパン山,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
184,Dr.ウィローの研究所,1,1,1,1,1,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
185,無限ザマス,1,1,1,1,1,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
186,宇宙樹,1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
187,宇宙空間,1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
188,マッスルタワー1,1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
189,マッスルタワー2,1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
190,洞窟,1,10,1,1,7,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
999,大乱戦,1,50,1,1,25,1,1,10,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
1000,群島,1,50,1,1,25,1,1,10,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
1001,雲海,1,25,1,1,12,1,0,0,0,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
1002,崩壊した地球,1,12,1,1,6,1,1,10,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
1100,チェインバトル,1,50,1,1,25,1,1,10,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
2000,氷の大陸(劇場版),1,15,1,1,5,1,1,8,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
2001,ブルマの別荘,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
2002,惑星バンパ,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
2003,氷の大陸(マグマ地帯),1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
2004,氷の大陸 夕景,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
2005,新生RR軍基地(崩壊),1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.238405,2024-05-17 11:41:11.238405
2006,新生RR軍基地,1,10,1,1,7,1,1,5,1,0,0,0,2024-05-17 11:41:11.244036,2024-05-17 11:41:11.244036
