id,jukebox_track_id,description,conditions,created_at,updated_at
35,118,"Set the Burst Mode conditions to reach 
a score of 4000 or higher and clear the stage.","{""genkai_point"":4000,""genkai_battle_id"":11}",2024-05-17 11:41:03.552978,2024-05-17 11:41:03.552978
36,119,"Set the Burst Mode conditions to reach 
a score of 4000 or higher and clear the stage.","{""genkai_point"":4000,""genkai_battle_id"":11}",2024-05-17 11:41:03.552978,2024-05-17 11:41:03.552978
37,11,"Set the Burst Mode conditions to reach 
a score of 500 or higher and clear the stage.","{""genkai_point"":500,""genkai_battle_id"":11}",2024-05-17 11:41:03.552978,2024-05-17 11:41:03.552978
38,120,"Set the Burst Mode conditions to reach 
a score of 4000 or higher and clear the stage.","{""genkai_point"":4000,""genkai_battle_id"":12}",2024-05-17 11:41:03.552978,2024-05-17 11:41:03.552978
39,121,"Set the Burst Mode conditions to reach 
a score of 4000 or higher and clear the stage.","{""genkai_point"":4000,""genkai_battle_id"":12}",2024-05-17 11:41:03.552978,2024-05-17 11:41:03.552978
40,12,"Set the Burst Mode conditions to reach 
a score of 500 or higher and clear the stage.","{""genkai_point"":500,""genkai_battle_id"":12}",2024-05-17 11:41:03.552978,2024-05-17 11:41:03.552978
41,122,"Set the Burst Mode conditions to reach 
a score of 4000 or higher and clear the stage.","{""genkai_point"":4000,""genkai_battle_id"":13}",2024-05-17 11:41:03.552978,2024-05-17 11:41:03.552978
42,123,"Set the Burst Mode conditions to reach 
a score of 4000 or higher and clear the stage.","{""genkai_point"":4000,""genkai_battle_id"":13}",2024-05-17 11:41:03.552978,2024-05-17 11:41:03.552978
43,124,"Set the Burst Mode conditions to reach 
a score of 4000 or higher and clear the stage.","{""genkai_point"":4000,""genkai_battle_id"":14}",2024-05-17 11:41:03.552978,2024-05-17 11:41:03.552978
44,125,"Set the Burst Mode conditions to reach 
a score of 4000 or higher and clear the stage.","{""genkai_point"":4000,""genkai_battle_id"":14}",2024-05-17 11:41:03.552978,2024-05-17 11:41:03.552978
45,13,"Set the Burst Mode conditions to reach 
a score of 500 or higher and clear the stage.","{""genkai_point"":500,""genkai_battle_id"":14}",2024-05-17 11:41:03.552978,2024-05-17 11:41:03.552978
46,126,"Set the Burst Mode conditions to reach 
a score of 4000 or higher and clear the stage.","{""genkai_point"":4000,""genkai_battle_id"":20}",2024-05-17 11:41:03.552978,2024-05-17 11:41:03.552978
47,127,"Set the Burst Mode conditions to reach 
a score of 4000 or higher and clear the stage.","{""genkai_point"":4000,""genkai_battle_id"":20}",2024-05-17 11:41:03.552978,2024-05-17 11:41:03.552978
48,20,"Set the Burst Mode conditions to reach 
a score of 500 or higher and clear the stage.","{""genkai_point"":500,""genkai_battle_id"":20}",2024-05-17 11:41:03.552978,2024-05-17 11:41:03.552978
52,132,"Set the Burst Mode conditions to reach 
a score of 4000 or higher and clear the stage.","{""genkai_point"":4000,""genkai_battle_id"":17}",2024-05-17 11:41:03.552978,2024-05-17 11:41:03.552978
53,133,"Set the Burst Mode conditions to reach 
a score of 4000 or higher and clear the stage.","{""genkai_point"":4000,""genkai_battle_id"":17}",2024-05-17 11:41:03.552978,2024-05-17 11:41:03.552978
54,16,"Set the Burst Mode conditions to reach 
a score of 500 or higher and clear the stage.","{""genkai_point"":500,""genkai_battle_id"":17}",2024-05-17 11:41:03.552978,2024-05-17 11:41:03.552978
