id,grow_type,lv,coef,created_at,updated_at
31,2,11,0.132,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
32,2,12,0.177,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
33,2,13,0.231,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
34,2,14,0.297,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
35,2,15,0.376,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
36,2,16,0.468,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
37,2,17,0.575,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
38,2,18,0.698,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
39,2,19,0.839,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
40,2,20,1.0,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
41,3,1,0.0,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
42,3,2,0.0,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
43,3,3,0.0,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
44,3,4,0.0,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
45,3,5,0.001,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
46,3,6,0.003,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
47,3,7,0.006,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
48,3,8,0.012,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
49,3,9,0.021,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
50,3,10,0.035,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
51,3,11,0.055,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
52,3,12,0.084,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
53,3,13,0.124,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
54,3,14,0.177,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
55,3,15,0.247,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
56,3,16,0.337,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
57,3,17,0.453,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
58,3,18,0.598,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
59,3,19,0.779,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
60,3,20,1.0,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
61,10,1,0.0,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
62,10,2,0.001,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
63,10,3,0.002,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
64,10,4,0.004,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
65,10,5,0.007,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
66,10,6,0.01,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
67,10,7,0.014,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
68,10,8,0.02,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
69,10,9,0.026,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
70,10,10,0.034,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
71,10,11,0.043,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
72,10,12,0.053,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
73,10,13,0.064,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
74,10,14,0.076,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
75,10,15,0.09,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
76,10,16,0.106,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
77,10,17,0.122,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
78,10,18,0.141,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
79,10,19,0.161,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
80,10,20,0.182,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
81,10,21,0.205,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
82,10,22,0.23,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
83,10,23,0.256,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
84,10,24,0.284,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
85,10,25,0.314,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
86,10,26,0.346,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
87,10,27,0.38,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
88,10,28,0.415,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
89,10,29,0.453,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
90,10,30,0.492,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
91,10,31,0.533,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
92,10,32,0.577,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
93,10,33,0.622,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
94,10,34,0.67,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
95,10,35,0.719,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
96,10,36,0.771,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
97,10,37,0.825,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
98,10,38,0.881,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
99,10,39,0.939,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
100,10,40,1.0,2024-02-27 09:30:36.115504,2024-02-27 09:30:36.115504
101,11,1,0.0,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
102,11,2,0.0,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
103,11,3,0.0,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
104,11,4,0.0,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
105,11,5,0.001,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
106,11,6,0.002,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
107,11,7,0.003,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
108,11,8,0.004,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
109,11,9,0.006,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
110,11,10,0.009,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
111,11,11,0.012,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
112,11,12,0.016,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
113,11,13,0.021,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
114,11,14,0.027,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
115,11,15,0.035,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
116,11,16,0.043,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
117,11,17,0.053,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
118,11,18,0.064,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
119,11,19,0.077,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
120,11,20,0.092,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
121,11,21,0.109,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
122,11,22,0.128,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
123,11,23,0.149,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
124,11,24,0.172,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
125,11,25,0.198,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
126,11,26,0.227,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
127,11,27,0.258,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
128,11,28,0.292,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
129,11,29,0.33,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
130,11,30,0.371,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
131,11,31,0.415,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
132,11,32,0.463,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
133,11,33,0.515,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
134,11,34,0.57,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
135,11,35,0.63,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
136,11,36,0.695,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
137,11,37,0.764,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
138,11,38,0.838,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
139,11,39,0.916,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
140,11,40,1.0,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
141,12,1,0.0,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
142,12,2,0.0,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
143,12,3,0.0,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
144,12,4,0.0,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
145,12,5,0.0,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
146,12,6,0.0,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
147,12,7,0.0,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
148,12,8,0.0,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
149,12,9,0.001,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
150,12,10,0.001,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
151,12,11,0.002,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
152,12,12,0.003,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
153,12,13,0.004,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
154,12,14,0.006,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
155,12,15,0.008,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
156,12,16,0.011,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
157,12,17,0.015,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
158,12,18,0.02,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
159,12,19,0.026,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
160,12,20,0.033,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
161,12,21,0.042,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
162,12,22,0.053,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
163,12,23,0.066,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
164,12,24,0.081,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
165,12,25,0.099,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
166,12,26,0.12,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
167,12,27,0.144,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
168,12,28,0.172,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
169,12,29,0.205,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
170,12,30,0.242,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
171,12,31,0.285,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
172,12,32,0.333,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
173,12,33,0.387,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
174,12,34,0.448,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
175,12,35,0.517,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
176,12,36,0.594,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
177,12,37,0.681,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
178,12,38,0.776,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
179,12,39,0.882,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
180,12,40,1.0,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
181,13,1,0.0,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
182,13,2,0.026,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
183,13,3,0.051,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
184,13,4,0.077,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
185,13,5,0.103,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
186,13,6,0.128,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
187,13,7,0.154,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
188,13,8,0.179,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
189,13,9,0.205,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
190,13,10,0.231,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
191,13,11,0.256,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
192,13,12,0.282,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
193,13,13,0.308,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
194,13,14,0.333,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
195,13,15,0.359,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
196,13,16,0.385,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
197,13,17,0.41,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
198,13,18,0.436,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
199,13,19,0.462,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
200,13,20,0.487,2024-02-27 09:30:36.169417,2024-02-27 09:30:36.169417
201,13,21,0.513,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
202,13,22,0.538,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
203,13,23,0.564,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
204,13,24,0.59,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
205,13,25,0.615,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
206,13,26,0.641,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
207,13,27,0.667,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
208,13,28,0.692,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
209,13,29,0.718,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
210,13,30,0.744,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
211,13,31,0.769,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
212,13,32,0.795,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
213,13,33,0.821,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
214,13,34,0.846,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
215,13,35,0.872,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
216,13,36,0.897,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
217,13,37,0.923,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
218,13,38,0.949,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
219,13,39,0.974,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
220,13,40,1.0,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
221,20,1,0.0,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
222,20,2,0.0,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
223,20,3,0.001,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
224,20,4,0.001,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
225,20,5,0.002,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
226,20,6,0.004,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
227,20,7,0.005,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
228,20,8,0.007,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
229,20,9,0.01,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
230,20,10,0.012,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
231,20,11,0.016,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
232,20,12,0.019,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
233,20,13,0.023,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
234,20,14,0.028,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
235,20,15,0.033,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
236,20,16,0.039,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
237,20,17,0.045,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
238,20,18,0.052,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
239,20,19,0.059,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
240,20,20,0.067,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
241,20,21,0.075,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
242,20,22,0.084,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
243,20,23,0.094,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
244,20,24,0.104,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
245,20,25,0.115,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
246,20,26,0.127,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
247,20,27,0.139,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
248,20,28,0.152,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
249,20,29,0.166,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
250,20,30,0.18,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
251,20,31,0.196,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
252,20,32,0.211,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
253,20,33,0.228,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
254,20,34,0.245,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
255,20,35,0.264,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
256,20,36,0.283,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
257,20,37,0.302,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
258,20,38,0.323,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
259,20,39,0.344,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
260,20,40,0.367,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
261,20,41,0.39,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
262,20,42,0.414,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
263,20,43,0.438,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
264,20,44,0.464,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
265,20,45,0.49,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
266,20,46,0.518,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
267,20,47,0.546,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
268,20,48,0.575,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
269,20,49,0.605,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
270,20,50,0.637,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
271,20,51,0.669,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
272,20,52,0.701,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
273,20,53,0.735,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
274,20,54,0.77,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
275,20,55,0.806,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
276,20,56,0.843,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
277,20,57,0.881,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
278,20,58,0.919,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
279,20,59,0.959,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
280,20,60,1.0,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
281,21,1,0.0,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
282,21,2,0.0,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
283,21,3,0.0,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
284,21,4,0.0,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
285,21,5,0.0,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
286,21,6,0.0,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
287,21,7,0.001,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
288,21,8,0.001,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
289,21,9,0.002,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
290,21,10,0.002,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
291,21,11,0.003,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
292,21,12,0.004,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
293,21,13,0.005,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
294,21,14,0.007,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
295,21,15,0.008,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
296,21,16,0.011,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
297,21,17,0.013,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
298,21,18,0.016,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
299,21,19,0.019,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
300,21,20,0.023,2024-02-27 09:30:36.176319,2024-02-27 09:30:36.176319
301,21,21,0.027,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
302,21,22,0.031,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
303,21,23,0.037,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
304,21,24,0.042,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
305,21,25,0.049,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
306,21,26,0.056,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
307,21,27,0.063,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
308,21,28,0.072,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
309,21,29,0.081,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
310,21,30,0.091,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
311,21,31,0.102,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
312,21,32,0.114,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
313,21,33,0.126,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
314,21,34,0.14,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
315,21,35,0.155,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
316,21,36,0.171,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
317,21,37,0.187,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
318,21,38,0.206,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
319,21,39,0.225,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
320,21,40,0.245,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
321,21,41,0.267,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
322,21,42,0.291,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
323,21,43,0.315,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
324,21,44,0.341,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
325,21,45,0.369,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
326,21,46,0.398,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
327,21,47,0.429,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
328,21,48,0.461,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
329,21,49,0.495,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
330,21,50,0.531,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
331,21,51,0.569,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
332,21,52,0.609,2024-02-27 09:30:36.183246,2024-02-27 09:30:36.183246
