id,area_id,rank_range_id,description,priority,created_at,updated_at
53,108,2,仲間を強くしたい！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
54,109,2,仲間を強くしたい！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
55,110,2,仲間を強くしたい！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
56,420,3,新ステージ登場！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
57,504,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
58,421,3,新ステージ登場！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
59,320,3,覚醒メダルをゲット！,0,2024-04-25 02:02:10,2024-04-25 02:02:10
61,132,1,仲間を強くしたい！,600,2024-04-25 02:02:10,2024-04-25 02:02:10
63,111,2,仲間を強くしたい！,100,2024-04-25 02:02:10,2024-04-25 02:02:10
64,505,3,超上級者向け！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
65,506,3,超上級者向け！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
66,422,3,腕自慢におすすめ,100,2024-04-25 02:02:10,2024-04-25 02:02:10
67,321,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
68,507,3,新ステージ登場！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
70,322,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
71,509,3,超上級者向け！,300,2024-04-25 02:02:10,2024-04-25 02:02:10
72,508,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
73,323,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
74,510,3,超上級者向け！,300,2024-04-25 02:02:10,2024-04-25 02:02:10
85,324,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
86,511,3,新ステージ登場！,1080,2024-04-25 02:02:10,2024-04-25 02:02:10
87,136,1,30th記念！特別編,500,2024-04-25 02:02:10,2024-04-25 02:02:10
88,136,2,30th記念！特別編,500,2024-04-25 02:02:10,2024-04-25 02:02:10
89,136,3,30th記念！特別編,500,2024-04-25 02:02:10,2024-04-25 02:02:10
90,132,2,仲間を強くしたい！,450,2024-04-25 02:02:10,2024-04-25 02:02:10
91,132,3,仲間を強くしたい！,450,2024-04-25 02:02:10,2024-04-25 02:02:10
92,601,3,超上級者向け！,600,2024-04-25 02:02:10,2024-04-25 02:02:10
93,512,3,新ステージ登場！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
94,135,3,ランクをあげよう！,505,2024-04-25 02:02:10,2024-04-25 02:02:10
95,325,1,キャベを仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
96,325,2,キャベを仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
97,325,3,キャベを仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
98,513,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
99,514,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
100,515,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
101,130,1,仲間を強くしたい！,300,2024-04-25 02:02:10,2024-04-25 02:02:10
102,516,3,超上級者向け！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
103,517,3,超上級者向け！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
104,137,3,ピニッジを仲間に！,550,2024-04-25 02:02:10,2024-04-25 02:02:10
105,518,3,新ステージ登場！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
106,138,1,則巻アラレを仲間に！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
107,138,2,則巻アラレを仲間に！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
108,138,3,則巻アラレを仲間に！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
109,326,2,覚醒メダルをゲット！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
110,326,3,覚醒メダルをゲット！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
111,519,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
112,520,3,新ステージ登場！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
113,140,3,獲得量大幅アップ！,550,2024-04-25 02:02:10,2024-04-25 02:02:10
114,141,3,獲得量大幅アップ！,550,2024-04-25 02:02:10,2024-04-25 02:02:10
115,142,3,獲得量大幅アップ！,550,2024-04-25 02:02:10,2024-04-25 02:02:10
116,143,3,獲得量大幅アップ！,550,2024-04-25 02:02:10,2024-04-25 02:02:10
117,144,3,獲得量大幅アップ！,550,2024-04-25 02:02:10,2024-04-25 02:02:10
118,521,3,超上級者向け！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
119,139,2,カッとばせ！,550,2024-04-25 02:02:10,2024-04-25 02:02:10
120,139,3,カッとばせ！,550,2024-04-25 02:02:10,2024-04-25 02:02:10
121,328,1,トランクスを仲間に！,300,2024-04-25 02:02:10,2024-04-25 02:02:10
122,328,2,トランクスを仲間に！,300,2024-04-25 02:02:10,2024-04-25 02:02:10
123,328,3,トランクスを仲間に！,300,2024-04-25 02:02:10,2024-04-25 02:02:10
124,602,3,超上級者向け！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
125,522,3,新ステージ登場！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
126,523,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
127,146,3,仲間を強くしたい！,550,2024-04-25 02:02:10,2024-04-25 02:02:10
128,524,3,新ステージ登場！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
129,329,2,覚醒メダルをゲット！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
130,329,3,覚醒メダルをゲット！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
131,147,1,毎日コインをゲット！,640,2024-04-25 02:02:10,2024-04-25 02:02:10
132,147,2,毎日コインをゲット！,640,2024-04-25 02:02:10,2024-04-25 02:02:10
133,147,3,毎日コインをゲット！,640,2024-04-25 02:02:10,2024-04-25 02:02:10
134,526,3,超上級者向け！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
135,525,3,超上級者向け！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
136,330,1,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
137,330,2,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
138,330,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
139,527,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
140,331,3,覚醒メダルをゲット！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
141,331,3,覚醒メダルをゲット！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
142,331,3,覚醒メダルをゲット！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
143,528,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
144,529,3,超上級者向け！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
145,530,3,超上級者向け！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
146,149,3,仲間を強くしたい！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
147,332,3,孫悟空Jr.を仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
148,332,2,孫悟空Jr.を仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
149,318,2,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
150,333,2,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
151,333,3,人気の物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
152,531,3,超上級者向け！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
153,150,3,ブルマを育てよう！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
154,532,3,新ステージ登場！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
155,334,3,ゴテンクスを仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
156,335,3,新ステージ登場！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
157,533,3,新ステージ登場！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
158,152,3,お菓子な特別編！,300,2024-04-25 02:02:10,2024-04-25 02:02:10
159,336,1,ラディッツを仲間に！,801,2024-04-25 02:02:10,2024-04-25 02:02:10
160,336,2,ラディッツを仲間に！,801,2024-04-25 02:02:10,2024-04-25 02:02:10
161,336,3,ラディッツを仲間に！,801,2024-04-25 02:02:10,2024-04-25 02:02:10
162,534,3,超上級者向け！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
163,338,3,タピオンの笛をGET,200,2024-04-25 02:02:10,2024-04-25 02:02:10
164,535,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
165,337,3,ベジータを仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
166,339,3,孫悟飯を仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
167,159,3,毎日豪華報酬ゲット！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
168,536,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
169,537,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
170,153,3,バータを仲間に！,805,2024-04-25 02:02:10,2024-04-25 02:02:10
171,154,3,グルドを仲間に！,805,2024-04-25 02:02:10,2024-04-25 02:02:10
172,155,3,ギニューを仲間に！,805,2024-04-25 02:02:10,2024-04-25 02:02:10
173,156,3,ジースを仲間に！,805,2024-04-25 02:02:10,2024-04-25 02:02:10
174,157,3,リクームを仲間に！,805,2024-04-25 02:02:10,2024-04-25 02:02:10
175,158,3,特戦隊を強化！,805,2024-04-25 02:02:10,2024-04-25 02:02:10
176,160,3,新ステージ追加！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
177,341,3,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
178,538,3,新ステージ登場！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
179,539,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
180,344,3,ついに物語完結！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
181,540,3,超上級者向け！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
182,343,3,スラッグを仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
183,541,3,新ステージ追加！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
184,603,3,LRを目指せ！,900,2024-04-25 02:02:10,2024-04-25 02:02:10
185,340,3,孫悟空を仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
186,542,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
187,345,3,18号(GT)を仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
188,163,1,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
189,163,2,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
190,163,3,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
191,543,3,超上級者向け！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
192,162,3,コラボイベント開催！,1005,2024-04-25 02:02:10,2024-04-25 02:02:10
193,544,3,超上級者向け！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
194,545,3,超上級者向け！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
195,347,3,物語リニューアル,200,2024-04-25 02:02:10,2024-04-25 02:02:10
196,346,3,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
197,161,1,密猟者から島を守れ,200,2024-04-25 02:02:10,2024-04-25 02:02:10
198,161,2,密猟者から島を守れ,200,2024-04-25 02:02:10,2024-04-25 02:02:10
199,161,3,密猟者から島を守れ,200,2024-04-25 02:02:10,2024-04-25 02:02:10
200,164,1,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
201,164,2,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
202,164,3,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
203,165,1,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
204,165,2,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
205,165,3,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
206,166,1,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
207,166,2,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
208,166,3,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
209,167,1,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
210,167,2,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
211,167,3,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
212,168,1,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
213,168,2,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
214,168,3,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
215,169,1,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
216,169,2,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
217,169,3,毎日龍石10個GET,0,2024-04-25 02:02:10,2024-04-25 02:02:10
218,711,3,豪華報酬をGET,800,2024-04-25 02:02:10,2024-04-25 02:02:10
219,348,3,界王神を仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
220,171,3,ゴテンクスを仲間に！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
221,348,1,界王神を仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
222,348,2,界王神を仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
223,134,1,来たる闘いに備えよ！,300,2024-04-25 02:02:10,2024-04-25 02:02:10
224,134,2,来たる闘いに備えよ！,300,2024-04-25 02:02:10,2024-04-25 02:02:10
225,134,3,来たる闘いに備えよ！,300,2024-04-25 02:02:10,2024-04-25 02:02:10
226,604,3,LRを目指せ！,900,2024-04-25 02:02:10,2024-04-25 02:02:10
227,546,3,超上級者向け！,500,2024-04-25 02:02:10,2024-04-25 02:02:10
228,349,3,物語リニューアル,200,2024-04-25 02:02:10,2024-04-25 02:02:10
229,352,3,孫悟空を仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
230,547,3,超上級者向け！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
231,351,3,新ステージ登場！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
232,355,3,新ステージ追加！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
233,353,3,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
234,548,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
235,549,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
236,356,3,ギルを仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
237,177,3,LRを目指せ！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
238,178,1,毎日チケットGET,800,2024-04-25 02:02:10,2024-04-25 02:02:10
239,178,2,毎日チケットGET,800,2024-04-25 02:02:10,2024-04-25 02:02:10
240,178,3,毎日チケットGET,800,2024-04-25 02:02:10,2024-04-25 02:02:10
241,357,3,ベジータJr.を仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
242,173,3,DBを集めよう！！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
243,172,3,邪悪龍を倒せ！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
244,550,3,超上級者向け！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
245,551,3,超上級者向け！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
246,354,3,LRを目指せ！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
247,179,1,レトロな世界へ！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
248,179,2,レトロな世界へ！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
249,179,3,レトロな世界へ！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
250,361,1,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
251,361,2,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
252,361,3,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
253,363,1,専用スキル玉をGET,200,2024-04-25 02:02:10,2024-04-25 02:02:10
254,363,2,専用スキル玉をGET,200,2024-04-25 02:02:10,2024-04-25 02:02:10
255,363,3,専用スキル玉をGET,200,2024-04-25 02:02:10,2024-04-25 02:02:10
256,552,3,超上級者向け！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
257,364,3,物語リニューアル,200,2024-04-25 02:02:10,2024-04-25 02:02:10
258,712,3,勝ち進め！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
259,367,1,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
260,367,2,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
261,367,3,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
262,553,3,新ステージ登場！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
263,362,1,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
264,362,2,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
265,362,3,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
266,181,1,コラボイベント開催！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
267,181,2,コラボイベント開催！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
268,181,3,コラボイベント開催！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
269,365,2,物語リニューアル,200,2024-04-25 02:02:10,2024-04-25 02:02:10
270,365,3,物語リニューアル,200,2024-04-25 02:02:10,2024-04-25 02:02:10
271,366,2,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
272,366,3,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
273,368,2,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
274,368,3,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
275,554,3,超上級者向け！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
276,605,3,LRを目指せ！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
277,555,3,超上級者向け！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
278,369,2,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
279,369,3,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
280,714,3,極限Z覚醒を目指せ,200,2024-04-25 02:02:10,2024-04-25 02:02:10
281,183,1,割れた瓦を集めよう！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
282,183,2,割れた瓦を集めよう！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
283,183,3,割れた瓦を集めよう！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
284,184,1,割れた瓦を集めよう！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
285,184,2,割れた瓦を集めよう！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
286,184,3,割れた瓦を集めよう！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
287,185,1,割れた瓦を集めよう！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
288,185,2,割れた瓦を集めよう！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
289,185,3,割れた瓦を集めよう！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
290,186,1,割れた瓦を集めよう！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
291,186,2,割れた瓦を集めよう！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
292,186,3,割れた瓦を集めよう！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
293,187,1,割れた瓦を集めよう！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
294,187,2,割れた瓦を集めよう！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
295,187,3,割れた瓦を集めよう！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
296,182,1,激戦の記憶をたどれ！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
297,182,2,激戦の記憶をたどれ！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
298,182,3,激戦の記憶をたどれ！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
299,713,3,超上級者向け！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
300,188,1,謎の戦士の正体は!? ,200,2024-04-25 02:02:10,2024-04-25 02:02:10
301,188,2,謎の戦士の正体は!? ,200,2024-04-25 02:02:10,2024-04-25 02:02:10
302,188,3,謎の戦士の正体は!? ,200,2024-04-25 02:02:10,2024-04-25 02:02:10
303,371,2,物語リニューアル,200,2024-04-25 02:02:10,2024-04-25 02:02:10
304,371,3,物語リニューアル,200,2024-04-25 02:02:10,2024-04-25 02:02:10
305,715,3,極限Z覚醒を目指せ,200,2024-04-25 02:02:10,2024-04-25 02:02:10
306,373,2,物語リニューアル,200,2024-04-25 02:02:10,2024-04-25 02:02:10
307,373,3,物語リニューアル,200,2024-04-25 02:02:10,2024-04-25 02:02:10
308,716,3,新ステージ登場！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
309,189,2,コラボイベント開催！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
310,189,3,コラボイベント開催！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
311,556,3,超上級者向け！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
312,372,2,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
313,372,3,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
314,557,3,新ステージ登場！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
315,374,2,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
316,374,3,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
317,375,2,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
318,375,3,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
319,376,2,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
320,376,3,新物語イベント,200,2024-04-25 02:02:10,2024-04-25 02:02:10
321,191,3,スキル玉をGET!,1000,2024-04-25 02:02:10,2024-04-25 02:02:10
322,192,3,豪華報酬をGET,1000,2024-04-25 02:02:10,2024-04-25 02:02:10
323,717,3,極限Z覚醒を目指せ,200,2024-04-25 02:02:10,2024-04-25 02:02:10
324,718,3,極限Z覚醒を目指せ,200,2024-04-25 02:02:10,2024-04-25 02:02:10
325,558,3,超上級者向け！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
326,199,3,スキル玉をGET!,1000,2024-04-25 02:02:10,2024-04-25 02:02:10
327,193,3,歴戦の猛者を仲間に,1080,2024-04-25 02:02:10,2024-04-25 02:02:10
328,194,3,歴戦の猛者を仲間に,1080,2024-04-25 02:02:10,2024-04-25 02:02:10
329,195,3,歴戦の猛者を仲間に,1080,2024-04-25 02:02:10,2024-04-25 02:02:10
330,196,3,歴戦の猛者を仲間に,1080,2024-04-25 02:02:10,2024-04-25 02:02:10
331,197,3,歴戦の猛者を仲間に,1080,2024-04-25 02:02:10,2024-04-25 02:02:10
332,198,3,専用潜在能力玉GET,1080,2024-04-25 02:02:10,2024-04-25 02:02:10
333,377,3,物語リニューアル,200,2024-04-25 02:02:10,2024-04-25 02:02:10
334,720,3,超上級者向け！,800,2024-04-25 02:02:10,2024-04-25 02:02:10
335,201,1,ブルマを仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
336,201,2,ブルマを仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
337,201,3,ブルマを仲間に！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
338,606,3,LRを目指せ！,200,2024-04-25 02:02:10,2024-04-25 02:02:10
