id,ai_type,action_type,weight,hp_rate_begin,hp_rate_end,min_interval,max_number,atk_rate_1,atk_rate_2,max_num_per_turn,recover_hp_rate,next_ai_type,ai_param,ai_param2,attack_order,created_at,updated_at
34,17,1,25,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
35,17,2,30,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
36,17,3,45,0.0,100.0,0,999,100,40,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
37,18,1,35,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
38,18,2,25,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
39,18,3,40,0.0,100.0,0,999,100,40,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
40,19,0,62,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
41,19,1,27,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
42,19,2,11,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
43,20,0,40,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
44,20,1,28,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
45,20,2,10,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
46,20,4,22,0.0,60.0,0,999,100,100,1,5,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
47,21,0,35,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
48,21,1,58,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
49,21,2,7,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
50,22,1,83,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
51,22,2,17,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
52,23,1,46,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
53,23,2,17,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
54,23,4,37,0.0,70.0,0,999,100,100,1,30,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
55,24,1,47,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
56,24,2,20,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
57,24,4,33,0.0,70.0,0,999,100,100,1,20,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
58,25,0,28,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
59,25,1,61,0.0,100.0,0,999,100,100,4,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
60,25,2,11,0.0,100.0,5,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
61,26,0,30,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
62,26,1,58,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
63,26,2,12,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
64,27,0,32,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
65,27,1,53,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
66,27,2,15,0.0,100.0,3,999,100,100,1,0,1000.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
67,1000,1,60,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
68,1000,5,40,0.0,100.0,0,999,100,100,2,0,1001.0,1.0,3.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
69,1001,1,35,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
70,1001,5,65,0.0,100.0,0,999,100,100,2,0,1002.0,1.0,2.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
71,1002,1,45,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
72,1002,5,55,0.0,100.0,0,999,100,100,1,0,1003.0,1.0,1.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
73,1003,0,100,0.0,100.0,0,999,100,100,1,0,1004.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
74,1004,0,100,0.0,100.0,0,999,100,100,1,0,1005.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
75,1005,2,100,0.0,100.0,0,999,100,100,1,0,1006.0,291.0,1274.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
76,1006,0,100,0.0,100.0,0,999,100,100,2,0,1007.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
77,1007,0,100,0.0,100.0,0,999,100,100,1,0,27.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
78,28,0,30,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
79,28,1,48,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
80,28,2,22,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
81,29,0,25,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
82,29,1,45,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
83,29,2,30,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
84,31,0,29,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
85,31,1,61,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
86,31,2,10,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
87,30,1,1,0.0,50.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
88,30,2,99,0.0,50.0,0,1,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
89,33,0,20,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
90,33,1,65,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
91,33,2,15,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
92,32,2,80,0.0,30.0,1,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
93,32,2,50,31.0,50.0,1,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
94,32,2,20,51.0,80.0,1,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
95,32,1,75,31.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
96,34,1,81,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
97,34,2,19,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
98,35,0,10,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
99,35,1,67,0.0,100.0,0,999,100,100,4,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
100,35,2,23,0.0,100.0,4,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
101,36,0,30,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
102,36,1,60,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
103,36,2,10,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
104,37,0,30,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
105,37,1,45,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
106,37,2,25,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
107,38,0,8,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
108,38,1,60,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
109,38,2,12,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
110,38,3,20,0.0,100.0,0,999,100,40,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
111,39,1,88,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
112,39,2,12,0.0,100.0,4,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
113,40,0,10,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
114,40,1,70,0.0,100.0,0,999,100,100,4,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
115,40,2,20,0.0,100.0,5,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
116,41,0,23,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
117,41,1,62,0.0,100.0,0,999,100,100,5,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
118,41,2,15,0.0,100.0,6,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
119,42,0,22,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
120,42,1,48,0.0,100.0,0,999,100,100,4,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
121,42,2,30,0.0,100.0,4,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
122,43,1,3,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
123,43,2,1,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
124,43,4,96,0.0,100.0,0,999,100,100,1,20,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
125,2000,5,100,0.0,100.0,0,999,100,100,2,0,2001.0,1.0,3.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
126,2001,5,100,0.0,100.0,0,999,100,100,2,0,2002.0,1.0,2.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
127,2002,5,100,0.0,100.0,0,999,100,100,1,0,2003.0,1.0,1.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
128,2003,2,100,0.0,100.0,0,999,100,100,1,0,2000.0,443.0,1523.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
129,2000,1,0,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
130,2001,1,0,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
131,2002,1,0,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
132,44,0,19,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
133,44,1,67,0.0,100.0,0,999,100,100,5,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
134,44,2,14,0.0,100.0,6,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
135,45,0,10,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
136,45,1,75,0.0,100.0,0,999,100,100,5,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
137,45,2,15,0.0,100.0,5,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
138,46,0,40,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
139,46,1,48,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
140,46,2,12,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
141,46,4,200,0.0,80.0,0,999,100,100,1,100,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
142,47,0,20,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
143,47,1,25,0.0,100.0,0,999,100,100,4,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
144,47,2,15,0.0,100.0,5,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
145,47,4,40,0.0,80.0,0,999,100,100,1,25,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
146,48,0,10,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
147,48,1,30,0.0,100.0,0,999,100,100,4,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
148,48,2,20,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
149,48,4,40,0.0,80.0,0,999,100,100,1,23,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
150,49,0,20,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
151,49,1,25,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
152,49,2,15,0.0,100.0,2,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
153,49,4,40,0.0,80.0,0,999,100,100,1,20,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
154,50,0,8,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
155,50,1,77,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
156,50,2,15,0.0,100.0,4,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
157,3000,5,100,0.0,100.0,0,999,100,100,2,0,3001.0,1.0,3.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
158,3001,5,100,0.0,100.0,0,999,100,100,2,0,3002.0,1.0,2.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
159,3002,5,100,0.0,100.0,0,999,100,100,1,0,3003.0,1.0,1.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
160,3003,2,100,0.0,100.0,0,999,100,100,1,0,3000.0,552.0,1804.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
161,3000,1,0,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
162,3001,1,0,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
163,3002,1,0,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
164,51,0,5,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
165,51,1,60,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
166,51,2,17,0.0,100.0,2,999,100,100,2,0,,558.0,1817.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
167,51,2,18,0.0,100.0,2,999,100,100,2,0,,559.0,1818.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
168,52,0,18,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
169,52,1,47,0.0,100.0,0,999,100,100,4,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
170,52,2,17,0.0,100.0,3,999,100,100,2,0,,558.0,1822.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
171,52,2,18,0.0,100.0,3,999,100,100,2,0,,559.0,1821.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
172,53,0,22,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
173,53,1,53,0.0,100.0,0,999,100,100,5,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
174,53,2,25,0.0,100.0,2,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
175,54,1,81,0.0,100.0,0,999,100,100,2,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
176,54,2,19,0.0,100.0,3,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
177,55,0,15,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
178,55,1,68,0.0,100.0,0,999,100,100,6,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
179,55,2,17,0.0,100.0,5,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
180,56,0,13,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
181,56,1,71,0.0,100.0,0,999,100,100,6,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
182,56,2,16,0.0,100.0,5,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
183,57,0,17,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
184,57,1,65,0.0,100.0,0,999,100,100,6,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
185,57,2,18,0.0,100.0,5,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
186,4000,1,100,0.0,100.0,0,999,100,100,7,0,4001.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
187,4001,1,100,0.0,100.0,0,999,100,100,7,0,4002.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
188,4002,1,100,0.0,100.0,0,999,100,100,7,0,4003.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
189,4003,5,100,0.0,100.0,0,999,100,100,1,0,4004.0,1.0,3.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
190,4004,1,100,0.0,100.0,0,999,100,100,7,0,4005.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
191,4005,1,100,0.0,100.0,0,999,100,100,7,0,4006.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
192,4006,1,100,0.0,100.0,0,999,100,100,7,0,4007.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
193,4007,0,100,0.0,100.0,0,999,100,100,1,0,4008.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
194,4008,1,100,0.0,100.0,0,999,100,100,7,0,4009.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
195,4009,1,100,0.0,100.0,0,999,100,100,7,0,4010.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
196,4010,5,100,0.0,100.0,0,999,100,100,2,0,4011.0,1.0,2.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
197,4011,1,100,0.0,100.0,0,999,100,100,7,0,4012.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
198,4012,2,100,0.0,100.0,0,999,100,100,1,0,4013.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
199,4013,1,100,0.0,100.0,0,999,100,100,7,0,4014.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
200,4014,1,100,0.0,100.0,0,999,100,100,7,0,4015.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
201,4015,5,100,0.0,100.0,0,999,100,100,2,0,4016.0,1.0,1.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
202,4016,0,100,0.0,100.0,0,999,100,100,1,0,4017.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
203,4017,1,100,0.0,100.0,0,999,100,100,7,0,4018.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
204,4018,1,100,0.0,100.0,0,999,100,100,7,0,4019.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
205,4019,1,100,0.0,100.0,0,999,100,100,7,0,4020.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
206,4020,1,100,0.0,100.0,0,999,100,100,7,0,4021.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
207,4021,1,100,0.0,100.0,0,999,100,100,7,0,4022.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
208,4022,1,100,0.0,100.0,0,999,100,100,7,0,4023.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
209,4023,2,100,0.0,100.0,0,999,100,100,1,0,4000.0,636.0,1984.0,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
210,58,2,100,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
211,59,0,10,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
212,59,1,73,0.0,100.0,0,999,100,100,7,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
213,59,2,17,0.0,100.0,7,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
214,60,0,15,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
215,60,1,67,0.0,100.0,0,999,100,100,7,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
216,60,2,18,0.0,100.0,7,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
217,61,0,9,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
218,61,1,91,0.0,100.0,0,999,100,100,3,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
219,62,0,9,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
220,62,1,91,0.0,100.0,0,999,100,100,4,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
221,63,0,11,0.0,100.0,0,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
222,63,1,72,0.0,100.0,0,999,100,100,8,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
223,63,2,17,0.0,100.0,8,999,100,100,1,0,,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
224,5000,4,100,0.0,100.0,0,999,100,100,1,40,5001.0,,,-1,2024-05-20 01:32:57,2024-05-20 01:32:57
