id,name,description,increase_rate,aim_target,created_at,updated_at
26,願いをこめた元気玉,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
27,ファイナルエクスプロージョン(サイヤ),敵全体に超極大ダメージ+50%,490,1,2024-05-13 02:07:26,2024-05-13 02:07:26
28,ラディッツの制裁,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
29,栽培マンアタック,究極ダメージを与える,550,0,2024-05-13 02:07:26,2024-05-13 02:07:26
30,魔貫光殺砲,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
31,フルパワー親子かめはめ波,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
32,アースブレイカー,敵全体に超極大+100%,540,1,2024-05-13 02:07:26,2024-05-13 02:07:26
33,親子ギャリック砲,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
34,さようなら天さん,究極ダメージを与える,550,0,2024-05-13 02:07:26,2024-05-13 02:07:26
35,絶対のいかずち,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
36,とっておきのかめはめ波,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
37,スーパーノヴァ,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
38,超サイヤ人怒る！！！,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
39,生命エネルギー吸収,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
40,不可能を可能にする力,究極ダメージ,550,0,2024-05-13 02:07:26,2024-05-13 02:07:26
41,怒りのかめはめ波,800%ダメージ,800,0,2024-05-13 02:07:26,2024-05-13 02:07:26
42,ファイナルスピリッツキャノン,究極ダメージを与える,550,0,2024-05-13 02:07:26,2024-05-13 02:07:26
43,最大出力かめはめ波,610%ダメージ,610,0,2024-05-13 02:07:26,2024-05-13 02:07:26
44,特大繰気弾,究極ダメージ,550,0,2024-05-13 02:07:26,2024-05-13 02:07:26
45,魔貫光殺砲,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
46,フルパワー一斉攻撃,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
47,元気玉,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
48,満月の出来事,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
49,ゴッドの世界を吸収したサイヤ人,究極ダメージ,550,0,2024-05-13 02:07:26,2024-05-13 02:07:26
50,リベンジデスボンバー,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
51,超爆裂魔波,敵全体に超極大ダメージ+100%,540,1,2024-05-13 02:07:26,2024-05-13 02:07:26
52,プラネットゲイザー,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
53,サイヤ人にふさわしい生き方をしろ！,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
54,スーパー元気玉,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
55,マイナスエネルギーパワーボール,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
56,ゴッドインパクト,究極ダメージ,550,0,2024-05-13 02:07:26,2024-05-13 02:07:26
57,地獄を生き抜いた男,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
58,地獄を生き抜いた男,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
59,アナザーホープ,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
60,ギャラクシーエターナルソード,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
61,アブソリュートリリースボール,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
62,元気玉超サイヤ人,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
63,ヘルズバスター,究極ダメージ+50%,600,0,2024-05-13 02:07:26,2024-05-13 02:07:26
64,オレにどこまでついてこれるかな？,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
65,この宇宙で最高のショー,究極ダメージ,550,0,2024-05-13 02:07:26,2024-05-13 02:07:26
66,ビッグ・バン・アタック,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
67,破壊玉,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
68,フルパワーかめはめ波,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
69,お菓子光線,究極ダメージ+100%,650,0,2024-05-13 02:07:26,2024-05-13 02:07:26
70,爆裂ラッシュ,究極ダメージ,550,0,2024-05-13 02:07:26,2024-05-13 02:07:26
