id,lv,exp_type,exp_total,created_at,updated_at
109,9,1,982,2017-11-14 01:42:48,2017-11-14 01:42:48
110,10,1,1352,2017-11-14 01:42:48,2017-11-14 01:42:48
111,11,1,1808,2017-11-14 01:42:48,2017-11-14 01:42:48
112,12,1,2361,2017-11-14 01:42:48,2017-11-14 01:42:48
113,13,1,3019,2017-11-14 01:42:48,2017-11-14 01:42:48
114,14,1,3791,2017-11-14 01:42:48,2017-11-14 01:42:48
115,15,1,4686,2017-11-14 01:42:48,2017-11-14 01:42:48
116,16,1,5714,2017-11-14 01:42:48,2017-11-14 01:42:48
117,17,1,6884,2017-11-14 01:42:48,2017-11-14 01:42:48
118,18,1,8204,2017-11-14 01:42:48,2017-11-14 01:42:48
119,19,1,9684,2017-11-14 01:42:48,2017-11-14 01:42:48
120,20,1,11333,2017-11-14 01:42:48,2017-11-14 01:42:48
121,21,1,13160,2017-11-14 01:42:48,2017-11-14 01:42:48
122,22,1,15175,2017-11-14 01:42:48,2017-11-14 01:42:48
123,23,1,17386,2017-11-14 01:42:48,2017-11-14 01:42:48
124,24,1,19802,2017-11-14 01:42:48,2017-11-14 01:42:48
125,25,1,22434,2017-11-14 01:42:48,2017-11-14 01:42:48
126,26,1,25289,2017-11-14 01:42:48,2017-11-14 01:42:48
127,27,1,28377,2017-11-14 01:42:48,2017-11-14 01:42:48
128,28,1,31707,2017-11-14 01:42:48,2017-11-14 01:42:48
129,29,1,35288,2017-11-14 01:42:48,2017-11-14 01:42:48
130,30,1,39130,2017-11-14 01:42:48,2017-11-14 01:42:48
131,31,1,43242,2017-11-14 01:42:48,2017-11-14 01:42:48
132,32,1,47632,2017-11-14 01:42:48,2017-11-14 01:42:48
133,33,1,52309,2017-11-14 01:42:48,2017-11-14 01:42:48
134,34,1,57284,2017-11-14 01:42:48,2017-11-14 01:42:48
135,35,1,62565,2017-11-14 01:42:48,2017-11-14 01:42:48
136,36,1,68161,2017-11-14 01:42:48,2017-11-14 01:42:48
137,37,1,74081,2017-11-14 01:42:48,2017-11-14 01:42:48
138,38,1,80335,2017-11-14 01:42:48,2017-11-14 01:42:48
139,39,1,86931,2017-11-14 01:42:48,2017-11-14 01:42:48
140,40,1,93879,2017-11-14 01:42:48,2017-11-14 01:42:48
141,41,1,101188,2017-11-14 01:42:48,2017-11-14 01:42:48
142,42,1,108867,2017-11-14 01:42:48,2017-11-14 01:42:48
143,43,1,116926,2017-11-14 01:42:48,2017-11-14 01:42:48
144,44,1,125372,2017-11-14 01:42:48,2017-11-14 01:42:48
145,45,1,134216,2017-11-14 01:42:48,2017-11-14 01:42:48
146,46,1,143467,2017-11-14 01:42:48,2017-11-14 01:42:48
147,47,1,153133,2017-11-14 01:42:48,2017-11-14 01:42:48
148,48,1,163224,2017-11-14 01:42:48,2017-11-14 01:42:48
149,49,1,173749,2017-11-14 01:42:48,2017-11-14 01:42:48
150,50,1,184717,2017-11-14 01:42:48,2017-11-14 01:42:48
151,51,1,196137,2017-11-14 01:42:48,2017-11-14 01:42:48
152,52,1,208019,2017-11-14 01:42:48,2017-11-14 01:42:48
153,53,1,220371,2017-11-14 01:42:48,2017-11-14 01:42:48
154,54,1,233203,2017-11-14 01:42:48,2017-11-14 01:42:48
155,55,1,246524,2017-11-14 01:42:48,2017-11-14 01:42:48
156,56,1,260343,2017-11-14 01:42:48,2017-11-14 01:42:48
157,57,1,274668,2017-11-14 01:42:48,2017-11-14 01:42:48
158,58,1,289510,2017-11-14 01:42:48,2017-11-14 01:42:48
159,59,1,304877,2017-11-14 01:42:48,2017-11-14 01:42:48
160,60,1,320779,2017-11-14 01:42:48,2017-11-14 01:42:48
161,61,1,337224,2017-11-14 01:42:48,2017-11-14 01:42:48
162,62,1,354222,2017-11-14 01:42:48,2017-11-14 01:42:48
163,63,1,371782,2017-11-14 01:42:48,2017-11-14 01:42:48
164,64,1,389913,2017-11-14 01:42:48,2017-11-14 01:42:48
165,65,1,408624,2017-11-14 01:42:48,2017-11-14 01:42:48
166,66,1,427925,2017-11-14 01:42:48,2017-11-14 01:42:48
167,67,1,447824,2017-11-14 01:42:48,2017-11-14 01:42:48
168,68,1,468330,2017-11-14 01:42:48,2017-11-14 01:42:48
169,69,1,489453,2017-11-14 01:42:48,2017-11-14 01:42:48
170,70,1,511202,2017-11-14 01:42:48,2017-11-14 01:42:48
171,71,1,533586,2017-11-14 01:42:48,2017-11-14 01:42:48
172,72,1,556614,2017-11-14 01:42:48,2017-11-14 01:42:48
173,73,1,580295,2017-11-14 01:42:48,2017-11-14 01:42:48
174,74,1,604639,2017-11-14 01:42:48,2017-11-14 01:42:48
175,75,1,629654,2017-11-14 01:42:48,2017-11-14 01:42:48
176,76,1,655350,2017-11-14 01:42:48,2017-11-14 01:42:48
177,77,1,681735,2017-11-14 01:42:49,2017-11-14 01:42:49
178,78,1,708820,2017-11-14 01:42:49,2017-11-14 01:42:49
179,79,1,736613,2017-11-14 01:42:49,2017-11-14 01:42:49
180,80,1,765122,2017-11-14 01:42:49,2017-11-14 01:42:49
181,81,1,794358,2017-11-14 01:42:49,2017-11-14 01:42:49
182,82,1,824330,2017-11-14 01:42:49,2017-11-14 01:42:49
183,83,1,855046,2017-11-14 01:42:49,2017-11-14 01:42:49
184,84,1,886516,2017-11-14 01:42:49,2017-11-14 01:42:49
185,85,1,918749,2017-11-14 01:42:49,2017-11-14 01:42:49
186,86,1,951754,2017-11-14 01:42:49,2017-11-14 01:42:49
187,87,1,985540,2017-11-14 01:42:49,2017-11-14 01:42:49
188,88,1,1020116,2017-11-14 01:42:49,2017-11-14 01:42:49
189,89,1,1055492,2017-11-14 01:42:49,2017-11-14 01:42:49
190,90,1,1091676,2017-11-14 01:42:49,2017-11-14 01:42:49
191,91,1,1128678,2017-11-14 01:42:49,2017-11-14 01:42:49
192,92,1,1166507,2017-11-14 01:42:49,2017-11-14 01:42:49
193,93,1,1205172,2017-11-14 01:42:49,2017-11-14 01:42:49
194,94,1,1244681,2017-11-14 01:42:49,2017-11-14 01:42:49
195,95,1,1285046,2017-11-14 01:42:49,2017-11-14 01:42:49
196,96,1,1326273,2017-11-14 01:42:49,2017-11-14 01:42:49
197,97,1,1368373,2017-11-14 01:42:49,2017-11-14 01:42:49
198,98,1,1411355,2017-11-14 01:42:49,2017-11-14 01:42:49
199,99,1,1455227,2017-11-14 01:42:49,2017-11-14 01:42:49
200,100,1,1500000,2017-11-14 01:42:49,2017-11-14 01:42:49
201,1,2,0,2017-11-14 01:42:49,2017-11-14 01:42:49
202,2,2,6,2017-11-14 01:42:49,2017-11-14 01:42:49
203,3,2,54,2017-11-14 01:42:49,2017-11-14 01:42:49
204,4,2,140,2017-11-14 01:42:49,2017-11-14 01:42:49
205,5,2,249,2017-11-14 01:42:49,2017-11-14 01:42:49
206,6,2,401,2017-11-14 01:42:49,2017-11-14 01:42:49
207,7,2,621,2017-11-14 01:42:49,2017-11-14 01:42:49
208,8,2,919,2017-11-14 01:42:49,2017-11-14 01:42:49
209,9,2,1309,2017-11-14 01:42:49,2017-11-14 01:42:49
210,10,2,1802,2017-11-14 01:42:49,2017-11-14 01:42:49
211,11,2,2411,2017-11-14 01:42:49,2017-11-14 01:42:49
212,12,2,3148,2017-11-14 01:42:49,2017-11-14 01:42:49
213,13,2,4026,2017-11-14 01:42:49,2017-11-14 01:42:49
214,14,2,5055,2017-11-14 01:42:49,2017-11-14 01:42:49
215,15,2,6249,2017-11-14 01:42:49,2017-11-14 01:42:49
216,16,2,7619,2017-11-14 01:42:49,2017-11-14 01:42:49
217,17,2,9178,2017-11-14 01:42:49,2017-11-14 01:42:49
218,18,2,10939,2017-11-14 01:42:49,2017-11-14 01:42:49
219,19,2,12912,2017-11-14 01:42:49,2017-11-14 01:42:49
220,20,2,15111,2017-11-14 01:42:49,2017-11-14 01:42:49
221,21,2,17547,2017-11-14 01:42:49,2017-11-14 01:42:49
222,22,2,20233,2017-11-14 01:42:49,2017-11-14 01:42:49
223,23,2,23181,2017-11-14 01:42:49,2017-11-14 01:42:49
224,24,2,26403,2017-11-14 01:42:49,2017-11-14 01:42:49
225,25,2,29912,2017-11-14 01:42:49,2017-11-14 01:42:49
226,26,2,33718,2017-11-14 01:42:49,2017-11-14 01:42:49
227,27,2,37836,2017-11-14 01:42:49,2017-11-14 01:42:49
228,28,2,42276,2017-11-14 01:42:49,2017-11-14 01:42:49
229,29,2,47051,2017-11-14 01:42:49,2017-11-14 01:42:49
230,30,2,52174,2017-11-14 01:42:49,2017-11-14 01:42:49
231,31,2,57656,2017-11-14 01:42:49,2017-11-14 01:42:49
232,32,2,63509,2017-11-14 01:42:49,2017-11-14 01:42:49
233,33,2,69746,2017-11-14 01:42:49,2017-11-14 01:42:49
234,34,2,76379,2017-11-14 01:42:49,2017-11-14 01:42:49
235,35,2,83420,2017-11-14 01:42:49,2017-11-14 01:42:49
236,36,2,90881,2017-11-14 01:42:49,2017-11-14 01:42:49
237,37,2,98775,2017-11-14 01:42:49,2017-11-14 01:42:49
238,38,2,107113,2017-11-14 01:42:49,2017-11-14 01:42:49
239,39,2,115909,2017-11-14 01:42:49,2017-11-14 01:42:49
240,40,2,125173,2017-11-14 01:42:49,2017-11-14 01:42:49
241,41,2,134918,2017-11-14 01:42:49,2017-11-14 01:42:49
242,42,2,145157,2017-11-14 01:42:49,2017-11-14 01:42:49
243,43,2,155901,2017-11-14 01:42:49,2017-11-14 01:42:49
244,44,2,167163,2017-11-14 01:42:49,2017-11-14 01:42:49
245,45,2,178955,2017-11-14 01:42:49,2017-11-14 01:42:49
246,46,2,191289,2017-11-14 01:42:49,2017-11-14 01:42:49
247,47,2,204177,2017-11-14 01:42:49,2017-11-14 01:42:49
248,48,2,217632,2017-11-14 01:42:49,2017-11-14 01:42:49
249,49,2,231665,2017-11-14 01:42:49,2017-11-14 01:42:49
250,50,2,246289,2017-11-14 01:42:49,2017-11-14 01:42:49
251,51,2,261517,2017-11-14 01:42:49,2017-11-14 01:42:49
252,52,2,277359,2017-11-14 01:42:49,2017-11-14 01:42:49
253,53,2,293829,2017-11-14 01:42:49,2017-11-14 01:42:49
254,54,2,310938,2017-11-14 01:42:49,2017-11-14 01:42:49
255,55,2,328699,2017-11-14 01:42:49,2017-11-14 01:42:49
256,56,2,347124,2017-11-14 01:42:49,2017-11-14 01:42:49
257,57,2,366224,2017-11-14 01:42:49,2017-11-14 01:42:49
258,58,2,386014,2017-11-14 01:42:49,2017-11-14 01:42:49
259,59,2,406503,2017-11-14 01:42:49,2017-11-14 01:42:49
260,60,2,427706,2017-11-14 01:42:49,2017-11-14 01:42:49
261,61,2,449633,2017-11-14 01:42:49,2017-11-14 01:42:49
262,62,2,472297,2017-11-14 01:42:49,2017-11-14 01:42:49
263,63,2,495710,2017-11-14 01:42:49,2017-11-14 01:42:49
264,64,2,519885,2017-11-14 01:42:49,2017-11-14 01:42:49
265,65,2,544833,2017-11-14 01:42:49,2017-11-14 01:42:49
266,66,2,570567,2017-11-14 01:42:49,2017-11-14 01:42:49
267,67,2,597098,2017-11-14 01:42:49,2017-11-14 01:42:49
268,68,2,624440,2017-11-14 01:42:49,2017-11-14 01:42:49
269,69,2,652604,2017-11-14 01:42:49,2017-11-14 01:42:49
270,70,2,681603,2017-11-14 01:42:49,2017-11-14 01:42:49
271,71,2,711448,2017-11-14 01:42:49,2017-11-14 01:42:49
272,72,2,742152,2017-11-14 01:42:49,2017-11-14 01:42:49
273,73,2,773727,2017-11-14 01:42:49,2017-11-14 01:42:49
274,74,2,806185,2017-11-14 01:42:49,2017-11-14 01:42:49
275,75,2,839539,2017-11-14 01:42:49,2017-11-14 01:42:49
276,76,2,873800,2017-11-14 01:42:49,2017-11-14 01:42:49
277,77,2,908981,2017-11-14 01:42:49,2017-11-14 01:42:49
278,78,2,945093,2017-11-14 01:42:49,2017-11-14 01:42:49
279,79,2,982150,2017-11-14 01:42:49,2017-11-14 01:42:49
280,80,2,1020163,2017-11-14 01:42:49,2017-11-14 01:42:49
281,81,2,1059145,2017-11-14 01:42:49,2017-11-14 01:42:49
282,82,2,1099107,2017-11-14 01:42:49,2017-11-14 01:42:49
283,83,2,1140062,2017-11-14 01:42:49,2017-11-14 01:42:49
284,84,2,1182022,2017-11-14 01:42:49,2017-11-14 01:42:49
285,85,2,1224999,2017-11-14 01:42:49,2017-11-14 01:42:49
286,86,2,1269005,2017-11-14 01:42:49,2017-11-14 01:42:49
287,87,2,1314053,2017-11-14 01:42:49,2017-11-14 01:42:49
288,88,2,1360155,2017-11-14 01:42:49,2017-11-14 01:42:49
289,89,2,1407323,2017-11-14 01:42:49,2017-11-14 01:42:49
290,90,2,1455568,2017-11-14 01:42:49,2017-11-14 01:42:49
291,91,2,1504904,2017-11-14 01:42:49,2017-11-14 01:42:49
292,92,2,1555343,2017-11-14 01:42:49,2017-11-14 01:42:49
293,93,2,1606896,2017-11-14 01:42:49,2017-11-14 01:42:49
294,94,2,1659575,2017-11-14 01:42:49,2017-11-14 01:42:49
295,95,2,1713394,2017-11-14 01:42:49,2017-11-14 01:42:49
296,96,2,1768364,2017-11-14 01:42:49,2017-11-14 01:42:49
297,97,2,1824498,2017-11-14 01:42:49,2017-11-14 01:42:49
298,98,2,1881806,2017-11-14 01:42:49,2017-11-14 01:42:49
299,99,2,1940303,2017-11-14 01:42:49,2017-11-14 01:42:49
300,100,2,2000000,2017-11-14 01:42:49,2017-11-14 01:42:49
301,1,3,0,2017-11-14 01:42:49,2017-11-14 01:42:49
302,2,3,9,2017-11-14 01:42:49,2017-11-14 01:42:49
303,3,3,82,2017-11-14 01:42:49,2017-11-14 01:42:49
304,4,3,210,2017-11-14 01:42:49,2017-11-14 01:42:49
305,5,3,374,2017-11-14 01:42:49,2017-11-14 01:42:49
306,6,3,602,2017-11-14 01:42:49,2017-11-14 01:42:49
307,7,3,931,2017-11-14 01:42:49,2017-11-14 01:42:49
308,8,3,1379,2017-11-14 01:42:49,2017-11-14 01:42:49
309,9,3,1964,2017-11-14 01:42:49,2017-11-14 01:42:49
310,10,3,2704,2017-11-14 01:42:49,2017-11-14 01:42:49
311,11,3,3617,2017-11-14 01:42:49,2017-11-14 01:42:49
312,12,3,4723,2017-11-14 01:42:49,2017-11-14 01:42:49
313,13,3,6039,2017-11-14 01:42:49,2017-11-14 01:42:49
314,14,3,7583,2017-11-14 01:42:49,2017-11-14 01:42:49
315,15,3,9373,2017-11-14 01:42:49,2017-11-14 01:42:49
316,16,3,11429,2017-11-14 01:42:49,2017-11-14 01:42:49
317,17,3,13768,2017-11-14 01:42:50,2017-11-14 01:42:50
318,18,3,16408,2017-11-14 01:42:50,2017-11-14 01:42:50
319,19,3,19368,2017-11-14 01:42:50,2017-11-14 01:42:50
320,20,3,22667,2017-11-14 01:42:50,2017-11-14 01:42:50
321,21,3,26321,2017-11-14 01:42:50,2017-11-14 01:42:50
322,22,3,30350,2017-11-14 01:42:50,2017-11-14 01:42:50
323,23,3,34772,2017-11-14 01:42:50,2017-11-14 01:42:50
324,24,3,39605,2017-11-14 01:42:50,2017-11-14 01:42:50
325,25,3,44868,2017-11-14 01:42:50,2017-11-14 01:42:50
326,26,3,50578,2017-11-14 01:42:50,2017-11-14 01:42:50
327,27,3,56754,2017-11-14 01:42:50,2017-11-14 01:42:50
328,28,3,63414,2017-11-14 01:42:50,2017-11-14 01:42:50
329,29,3,70577,2017-11-14 01:42:50,2017-11-14 01:42:50
330,30,3,78261,2017-11-14 01:42:50,2017-11-14 01:42:50
331,31,3,86484,2017-11-14 01:42:50,2017-11-14 01:42:50
332,32,3,95264,2017-11-14 01:42:50,2017-11-14 01:42:50
333,33,3,104619,2017-11-14 01:42:50,2017-11-14 01:42:50
334,34,3,114569,2017-11-14 01:42:50,2017-11-14 01:42:50
335,35,3,125130,2017-11-14 01:42:50,2017-11-14 01:42:50
336,36,3,136322,2017-11-14 01:42:50,2017-11-14 01:42:50
337,37,3,148163,2017-11-14 01:42:50,2017-11-14 01:42:50
338,38,3,160670,2017-11-14 01:42:50,2017-11-14 01:42:50
339,39,3,173863,2017-11-14 01:42:50,2017-11-14 01:42:50
340,40,3,187759,2017-11-14 01:42:50,2017-11-14 01:42:50
341,41,3,202377,2017-11-14 01:42:50,2017-11-14 01:42:50
342,42,3,217735,2017-11-14 01:42:50,2017-11-14 01:42:50
343,43,3,233852,2017-11-14 01:42:50,2017-11-14 01:42:50
344,44,3,250745,2017-11-14 01:42:50,2017-11-14 01:42:50
345,45,3,268433,2017-11-14 01:42:50,2017-11-14 01:42:50
346,46,3,286934,2017-11-14 01:42:50,2017-11-14 01:42:50
347,47,3,306266,2017-11-14 01:42:50,2017-11-14 01:42:50
348,48,3,326448,2017-11-14 01:42:50,2017-11-14 01:42:50
349,49,3,347498,2017-11-14 01:42:50,2017-11-14 01:42:50
350,50,3,369434,2017-11-14 01:42:50,2017-11-14 01:42:50
351,51,3,392275,2017-11-14 01:42:50,2017-11-14 01:42:50
352,52,3,416039,2017-11-14 01:42:50,2017-11-14 01:42:50
353,53,3,440743,2017-11-14 01:42:50,2017-11-14 01:42:50
354,54,3,466407,2017-11-14 01:42:50,2017-11-14 01:42:50
355,55,3,493048,2017-11-14 01:42:50,2017-11-14 01:42:50
356,56,3,520686,2017-11-14 01:42:50,2017-11-14 01:42:50
357,57,3,549337,2017-11-14 01:42:50,2017-11-14 01:42:50
358,58,3,579021,2017-11-14 01:42:50,2017-11-14 01:42:50
359,59,3,609755,2017-11-14 01:42:50,2017-11-14 01:42:50
360,60,3,641559,2017-11-14 01:42:50,2017-11-14 01:42:50
361,61,3,674449,2017-11-14 01:42:50,2017-11-14 01:42:50
362,62,3,708445,2017-11-14 01:42:50,2017-11-14 01:42:50
363,63,3,743565,2017-11-14 01:42:50,2017-11-14 01:42:50
364,64,3,779827,2017-11-14 01:42:50,2017-11-14 01:42:50
365,65,3,817249,2017-11-14 01:42:50,2017-11-14 01:42:50
366,66,3,855850,2017-11-14 01:42:50,2017-11-14 01:42:50
367,67,3,895648,2017-11-14 01:42:50,2017-11-14 01:42:50
368,68,3,936661,2017-11-14 01:42:50,2017-11-14 01:42:50
369,69,3,978907,2017-11-14 01:42:50,2017-11-14 01:42:50
370,70,3,1022405,2017-11-14 01:42:50,2017-11-14 01:42:50
371,71,3,1067173,2017-11-14 01:42:50,2017-11-14 01:42:50
372,72,3,1113229,2017-11-14 01:42:50,2017-11-14 01:42:50
373,73,3,1160591,2017-11-14 01:42:50,2017-11-14 01:42:50
374,74,3,1209278,2017-11-14 01:42:50,2017-11-14 01:42:50
375,75,3,1259309,2017-11-14 01:42:50,2017-11-14 01:42:50
376,76,3,1310700,2017-11-14 01:42:50,2017-11-14 01:42:50
377,77,3,1363471,2017-11-14 01:42:50,2017-11-14 01:42:50
378,78,3,1417640,2017-11-14 01:42:50,2017-11-14 01:42:50
379,79,3,1473226,2017-11-14 01:42:50,2017-11-14 01:42:50
380,80,3,1530245,2017-11-14 01:42:50,2017-11-14 01:42:50
381,81,3,1588717,2017-11-14 01:42:50,2017-11-14 01:42:50
382,82,3,1648661,2017-11-14 01:42:50,2017-11-14 01:42:50
383,83,3,1710093,2017-11-14 01:42:50,2017-11-14 01:42:50
384,84,3,1773033,2017-11-14 01:42:50,2017-11-14 01:42:50
385,85,3,1837498,2017-11-14 01:42:50,2017-11-14 01:42:50
386,86,3,1903508,2017-11-14 01:42:50,2017-11-14 01:42:50
387,87,3,1971080,2017-11-14 01:42:50,2017-11-14 01:42:50
388,88,3,2040233,2017-11-14 01:42:50,2017-11-14 01:42:50
389,89,3,2110984,2017-11-14 01:42:50,2017-11-14 01:42:50
390,90,3,2183353,2017-11-14 01:42:50,2017-11-14 01:42:50
391,91,3,2257356,2017-11-14 01:42:50,2017-11-14 01:42:50
392,92,3,2333014,2017-11-14 01:42:50,2017-11-14 01:42:50
393,93,3,2410344,2017-11-14 01:42:50,2017-11-14 01:42:50
394,94,3,2489363,2017-11-14 01:42:50,2017-11-14 01:42:50
395,95,3,2570092,2017-11-14 01:42:50,2017-11-14 01:42:50
396,96,3,2652547,2017-11-14 01:42:50,2017-11-14 01:42:50
397,97,3,2736747,2017-11-14 01:42:50,2017-11-14 01:42:50
