id,type,name,image_path,dragonball_session_id,priority,created_at,updated_at
17,MissionCategory::PorungaMissionCategory,ポルンガ9周目,,1041.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
18,MissionCategory::PorungaMissionCategory,ポルンガ10周目,,1042.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
19,MissionCategory::PorungaMissionCategory,ポルンガ11周目,,1051.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
20,MissionCategory::PorungaMissionCategory,ポルンガ12周目,,1052.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
21,MissionCategory::PorungaMissionCategory,全世界3億5000万DL突破!!ポルンガ_1周目,,1053.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
22,MissionCategory::PorungaMissionCategory,全世界3億5000万DL突破!!ポルンガ_2周目,,1054.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
23,MissionCategory::PorungaMissionCategory,全世界3億5000万DL突破!!ポルンガ_3周目,,1055.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
24,MissionCategory::PorungaMissionCategory,七夕ポルンガ_1周目,,1056.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
25,MissionCategory::PorungaMissionCategory,七夕ポルンガ_2周目,,1057.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
26,MissionCategory::PorungaMissionCategory,七夕ポルンガ_3周目,,1058.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
27,MissionCategory::PorungaMissionCategory,七夕ポルンガ_1周目,,1059.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
28,MissionCategory::PorungaMissionCategory,七夕ポルンガ_2周目,,1060.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
29,MissionCategory::PorungaMissionCategory,七夕ポルンガ_3周目,,1061.0,1,2024-05-20 01:34:08,2024-05-20 01:34:08
111,MissionCategory::ExtraMissionCategory,手に入れろ覚醒メダル,images/mission/mission_banner_event_111.png,,111,2024-05-20 01:34:08,2024-05-20 01:34:08
112,MissionCategory::ExtraMissionCategory,【特別編】ギニュー特戦隊のスペシャルトレーニング,images/mission/mission_banner_event_158.png,,60112,2024-05-20 01:34:08,2024-05-20 01:34:08
113,MissionCategory::ExtraMissionCategory,【特別編】歴戦の猛者！バーダックチーム,images/mission/mission_banner_event_198.png,,60113,2024-05-20 01:34:08,2024-05-20 01:34:08
120,MissionCategory::ExtraMissionCategory,カリン塔での猛特訓,images/mission/mission_banner_event_120.png,,120,2024-05-20 01:34:08,2024-05-20 01:34:08
135,MissionCategory::ExtraMissionCategory,パンのひみつの冒険,images/mission/mission_banner_event_135.png,,135,2024-05-20 01:34:08,2024-05-20 01:34:08
139,MissionCategory::ExtraMissionCategory,カッとばせ！主将ヤムチャ！,images/mission/mission_banner_event_139.png,,60139,2024-05-20 01:34:08,2024-05-20 01:34:08
150,MissionCategory::ExtraMissionCategory,レッツゴー！ステキな恋人さがし,images/mission/mission_banner_event_150.png,,60150,2024-05-20 01:34:08,2024-05-20 01:34:08
152,MissionCategory::ExtraMissionCategory,【特別編】TRICK or TREAT！魔人ブウのお菓子なイタズラ！,images/mission/mission_banner_event_152.png,,60152,2024-05-20 01:34:08,2024-05-20 01:34:08
160,MissionCategory::ExtraMissionCategory,【特別編】愛をお届け！魔女っ子戦士！,images/mission/mission_banner_event_160_1.png,,60160,2024-05-20 01:34:08,2024-05-20 01:34:08
161,MissionCategory::ExtraMissionCategory,【特別編】ぼくらにおまかせ！チビッコレンジャー！,images/mission/mission_banner_event_161.png,,60161,2024-05-20 01:34:08,2024-05-20 01:34:08
162,MissionCategory::ExtraMissionCategory,ドラゴンボール ファイターズ 超戦士編,images/mission/mission_banner_event_162.png,,80134,2024-05-20 01:34:08,2024-05-20 01:34:08
171,MissionCategory::ExtraMissionCategory,【特別編】おばけDEドッキリ大作戦,images/mission/mission_banner_event_171.png,,60171,2024-05-20 01:34:08,2024-05-20 01:34:08
179,MissionCategory::ExtraMissionCategory,【特別編】対決！DOKKAN武闘伝,images/mission/mission_banner_event_179.png,,60179,2024-05-20 01:34:08,2024-05-20 01:34:08
181,MissionCategory::ExtraMissionCategory,スーパードラゴンボールヒーローズワールドミッション,images/mission/mission_banner_event_181.png,,60181,2024-05-20 01:34:08,2024-05-20 01:34:08
188,MissionCategory::ExtraMissionCategory,【特別編】仮装でバッチリ!?未来の占いSOS,images/mission/mission_banner_event_188.png,,60188,2024-05-20 01:34:08,2024-05-20 01:34:08
189,MissionCategory::ExtraMissionCategory,【特別編】スーパードラゴンボールヒーローズ 監獄惑星編,images/mission/mission_banner_event_189.png,,60189,2024-05-20 01:34:08,2024-05-20 01:34:08
201,MissionCategory::ExtraMissionCategory,【特別編】激走！ブルマのトラブルチェイス！,images/mission/mission_banner_event_201.png,,80100,2024-05-20 01:34:08,2024-05-20 01:34:08
202,MissionCategory::ExtraMissionCategory,【制限】目覚める力！新たな領域への試練,images/mission/mission_banner_event_202A.png,,202,2024-05-20 01:34:08,2024-05-20 01:34:08
203,MissionCategory::ExtraMissionCategory,【回数制限】スタミナ満タン！食いしんぼうサイヤ人,images/mission/mission_banner_event_203.png,,80102,2024-05-20 01:34:08,2024-05-20 01:34:08
211,MissionCategory::ExtraMissionCategory,【特別編】パンと悟飯と満月の怪物,images/mission/mission_banner_event_211.png,,60211,2024-05-20 01:34:08,2024-05-20 01:34:08
212,MissionCategory::ExtraMissionCategory,【特別編】スーパードラゴンボールヒーローズ 暗黒帝国編,images/mission/mission_banner_event_212_2.png,,60212,2024-05-20 01:34:08,2024-05-20 01:34:08
215,MissionCategory::ExtraMissionCategory,【特別編】大復活で大混乱！？死者の大行進,images/mission/mission_banner_event_215.png,,60215,2024-05-20 01:34:08,2024-05-20 01:34:08
217,MissionCategory::ExtraMissionCategory,【回数制限】驚異のパワーアップ！最長老の導き,images/mission/mission_banner_event_217.png,,80066,2024-05-20 01:34:08,2024-05-20 01:34:08
219,MissionCategory::ExtraMissionCategory,【回数制限】ブルマの危険なおるすばん　全世界龍石3億5000万個山分けキャンペーン,images/mission/mission_banner_event_219.png,,100005,2024-05-20 01:34:08,2024-05-20 01:34:08
221,MissionCategory::ExtraMissionCategory,【特別編】飛び出せ宇宙へ！ナメック星への旅路,images/mission/mission_banner_event_221.png,,80014,2024-05-20 01:34:08,2024-05-20 01:34:08
222,MissionCategory::ExtraMissionCategory,【回数制限】勇気100倍！界王のもとに集結する戦士たち,images/mission/mission_banner_event_222.png,,80015,2024-05-20 01:34:08,2024-05-20 01:34:08
223,MissionCategory::ExtraMissionCategory,よく学びよく遊べ！亀仙流の猛修業,images/mission/mission_banner_event_223.png,,80018,2024-05-20 01:34:08,2024-05-20 01:34:08
224,MissionCategory::ExtraMissionCategory,【特別編】一触即発！？ふたりの人造人間,images/mission/mission_banner_event_224.png,,60224,2024-05-20 01:34:08,2024-05-20 01:34:08
233,MissionCategory::ExtraMissionCategory,【回数制限】高まる気迫！ライバル競演,images/mission/mission_banner_event_233.png,,80051,2024-05-20 01:34:08,2024-05-20 01:34:08
234,MissionCategory::ExtraMissionCategory,【特別編】踊ってアタック！パラパラブラザーズ,images/mission/mission_banner_event_234.png,,60234,2024-05-20 01:34:08,2024-05-20 01:34:08
235,MissionCategory::ExtraMissionCategory,【特別編】究極への軌跡〜悟飯とピッコロ〜,images/mission/mission_banner_event_235.png,,60235,2024-05-20 01:34:08,2024-05-20 01:34:08
236,MissionCategory::ExtraMissionCategory,【回数制限】衝突する知恵と力,images/mission/mission_banner_event_236.png,,80070,2024-05-20 01:34:08,2024-05-20 01:34:08
237,MissionCategory::ExtraMissionCategory,悟飯奮戦！希望の仙豆を守りぬけ,images/mission/mission_banner_event_237.png,,100100,2024-05-20 01:34:08,2024-05-20 01:34:08
238,MissionCategory::ExtraMissionCategory,【回数制限】死力を尽くせ！迫り来る大軍団,images/mission/mission_banner_event_238.png,,80070,2024-05-20 01:34:08,2024-05-20 01:34:08
239,MissionCategory::ExtraMissionCategory,【特別編】ダーブラの天国奮闘記,images/mission/mission_banner_event_239.png,,60239,2024-05-20 01:34:08,2024-05-20 01:34:08
241,MissionCategory::ExtraMissionCategory,【回数制限】生きのびろ！猛烈サバイバル,images/mission/mission_banner_event_241.png,,80072,2024-05-20 01:34:08,2024-05-20 01:34:08
242,MissionCategory::ExtraMissionCategory,【特別編】スーパードラゴンボールヒーローズ 宇宙争乱編,images/mission/mission_banner_event_242_1.png,,60242,2024-05-20 01:34:08,2024-05-20 01:34:08
243,MissionCategory::ExtraMissionCategory,【回数制限】目覚めよ！期待のスーパールーキー,images/mission/mission_banner_event_243.png,,80081,2024-05-20 01:34:08,2024-05-20 01:34:08
244,MissionCategory::ExtraMissionCategory,【特別編】ドラゴンボールオープニングメドレー,images/mission/mission_banner_event_244.png,,80099,2024-05-20 01:34:08,2024-05-20 01:34:08
247,MissionCategory::ExtraMissionCategory,【特別編】悟空と学べ！攻めと守りの猛特訓,images/mission/mission_banner_event_247.png,,80085,2024-05-20 01:34:08,2024-05-20 01:34:08
248,MissionCategory::ExtraMissionCategory,【回数制限】ピラフの執念！？いでよ究極の神龍！,images/mission/mission_banner_event_248.png,,80095,2024-05-20 01:34:08,2024-05-20 01:34:08
249,MissionCategory::ExtraMissionCategory,【回数制限】習得せよ！夢の必殺技！,images/mission/mission_banner_event_249.png,,80096,2024-05-20 01:34:08,2024-05-20 01:34:08
251,MissionCategory::ExtraMissionCategory,【特別編】束の間の休息〜戦士たちのリフレッシュ〜,images/mission/mission_banner_event_251.png,,80177,2024-05-20 01:34:08,2024-05-20 01:34:08
252,MissionCategory::ExtraMissionCategory,【回数制限】さらなる力を求めて！神レベルの猛特訓(リニューアル),images/mission/mission_banner_event_252.png,,80017,2024-05-20 01:34:08,2024-05-20 01:34:08
253,MissionCategory::ExtraMissionCategory,【ボーナス】天才ブルマの戦闘準備,images/mission/mission_banner_event_253.png,,119,2024-05-20 01:34:08,2024-05-20 01:34:08
254,MissionCategory::ExtraMissionCategory,【回数制限】もっと強く!! 孫親子の超修業(回数イベリニューアル),images/mission/mission_banner_event_254.png,,80103,2024-05-20 01:34:08,2024-05-20 01:34:08
255,MissionCategory::ExtraMissionCategory,レッツゴー！ステキな恋人さがし,images/mission/mission_banner_event_255.png,,80104,2024-05-20 01:34:08,2024-05-20 01:34:08
256,MissionCategory::ExtraMissionCategory,【回数制限】善と悪の行く末,images/mission/mission_banner_event_256.png,,80123,2024-05-20 01:34:08,2024-05-20 01:34:08
257,MissionCategory::ExtraMissionCategory,【回数制限】希望の光を求めて,images/mission/mission_banner_event_257.png,,80123,2024-05-20 01:34:08,2024-05-20 01:34:08
258,MissionCategory::ExtraMissionCategory,【特別編】ドン・キアーの用心棒採用試験！,images/mission/mission_banner_event_258.png,,80113,2024-05-20 01:34:08,2024-05-20 01:34:08
259,MissionCategory::ExtraMissionCategory,【回数制限】制止不能！歩く超破壊兵器,images/mission/mission_banner_event_259.png,,80112,2024-05-20 01:34:08,2024-05-20 01:34:08
263,MissionCategory::ExtraMissionCategory,【回数制限】悲劇を断て！未来戦士の超修業,images/mission/mission_banner_event_263.png,,80118,2024-05-20 01:34:08,2024-05-20 01:34:08
264,MissionCategory::ExtraMissionCategory,【特別編】華麗に欺け！？カメハウス攻防戦,images/mission/mission_banner_event_264.png,,80126,2024-05-20 01:34:08,2024-05-20 01:34:08
265,MissionCategory::ExtraMissionCategory,【回数制限】紡がれた希望,images/mission/mission_banner_event_265.png,,80124,2024-05-20 01:34:08,2024-05-20 01:34:08
266,MissionCategory::ExtraMissionCategory,【特別編】スーパードラゴンボールヒーローズ 宇宙創成編,images/mission/mission_banner_event_266_2.png,,60266,2024-05-20 01:34:08,2024-05-20 01:34:08
267,MissionCategory::ExtraMissionCategory,【回数制限】完成させろ！希望の必殺技,images/mission/mission_banner_event_267.png,,80127,2024-05-20 01:34:08,2024-05-20 01:34:08
268,MissionCategory::ExtraMissionCategory,【特別編】SDBHのカリスマからの要請,images/mission/mission_banner_event_268_nologo.png,,80133,2024-05-20 01:34:08,2024-05-20 01:34:08
269,MissionCategory::ExtraMissionCategory,【特別編】がんばれ！明日のスーパーヒーロー！,images/mission/mission_banner_event_269.png,,80167,2024-05-20 01:34:08,2024-05-20 01:34:08
270,MissionCategory::ExtraMissionCategory,【回数制限】スーパーヒーローの新たなる決意,images/mission/mission_banner_event_270.png,,80171,2024-05-20 01:34:08,2024-05-20 01:34:08
271,MissionCategory::ExtraMissionCategory,【回数制限】過酷な生存競争！小惑星バンパ,images/mission/mission_banner_event_271.png,,80169,2024-05-20 01:34:08,2024-05-20 01:34:08
272,MissionCategory::ExtraMissionCategory,272_【回数制限】激アツ！サイヤ人バトル,images/mission/mission_banner_event_272.png,,80170,2024-05-20 01:34:08,2024-05-20 01:34:08
273,MissionCategory::ExtraMissionCategory,【特別編】救世主ミスター・サタン栄光の記録,images/mission/mission_banner_event_273.png,,80178,2024-05-20 01:34:08,2024-05-20 01:34:08
274,MissionCategory::ExtraMissionCategory,【回数制限】さらなる力を求めて！神レベルの猛特訓(リニューアル),images/mission/mission_banner_event_274.png,,125,2024-05-20 01:34:08,2024-05-20 01:34:08
275,MissionCategory::ExtraMissionCategory,275_【ビギナーイベント】歴戦の猛者！バーダックチーム(リニューアル),images/mission/mission_banner_event_275.png,,80172,2024-05-20 01:34:08,2024-05-20 01:34:08
276,MissionCategory::ExtraMissionCategory,276_【ビギナーイベント】ギニュー特戦隊のスペシャルトレーニング(リニューアル),images/mission/mission_banner_event_276.png,,80173,2024-05-20 01:34:08,2024-05-20 01:34:08
315,MissionCategory::ExtraMissionCategory,【物語】地球まるごと超決戦,images/mission/mission_banner_event_315.png,,50205,2024-05-20 01:34:08,2024-05-20 01:34:08
322,MissionCategory::ExtraMissionCategory,【物語】ドラゴンボールGT ~究極のDB編~,images/mission/mission_banner_event_322.png,,50340,2024-05-20 01:34:08,2024-05-20 01:34:08
323,MissionCategory::ExtraMissionCategory,【物語】襲い来る脅威!戦闘民族サイヤ人,images/mission/mission_banner_event_323.png,,50260,2024-05-20 01:34:08,2024-05-20 01:34:08
324,MissionCategory::ExtraMissionCategory,【物語】ドラゴンボールGT ~復讐鬼ベビー編~,images/mission/mission_banner_event_324.png,,50344,2024-05-20 01:34:08,2024-05-20 01:34:08
325,MissionCategory::ExtraMissionCategory,ドラゴンボール超 ~破壊神シャンパ編~,images/mission/mission_banner_event_325.png,,50360,2024-05-20 01:34:08,2024-05-20 01:34:08
327,MissionCategory::ExtraMissionCategory,キーン！ペンギン村の大冒険,images/mission/mission_banner_event_327.png,,60327,2024-05-20 01:34:08,2024-05-20 01:34:08
328,MissionCategory::ExtraMissionCategory,【物語】ドラゴンボール超 ~“未来”トランクス編~,images/mission/mission_banner_event_328.png,,80116,2024-05-20 01:34:08,2024-05-20 01:34:08
329,MissionCategory::ExtraMissionCategory,【制限】奇奇怪怪　ウサギ団あらわる！,images/mission/mission_banner_event_329.png,,60110,2024-05-20 01:34:08,2024-05-20 01:34:08
332,MissionCategory::ExtraMissionCategory,【物語】悟空外伝! 勇気の証しは四星球,images/mission/mission_banner_event_332.png,,50358,2024-05-20 01:34:08,2024-05-20 01:34:08
333,MissionCategory::ExtraMissionCategory,【物語】超戦士撃破!!勝つのはオレだ,images/mission/mission_banner_event_333.png,,50213,2024-05-20 01:34:08,2024-05-20 01:34:08
334,MissionCategory::ExtraMissionCategory,オッス! 帰ってきた孫悟空と仲間たち!!,images/mission/mission_banner_event_334.png,,50224,2024-05-20 01:34:08,2024-05-20 01:34:08
335,MissionCategory::ExtraMissionCategory,ドラゴンボール超 宇宙サバイバル編,images/mission/mission_banner_event_335.png,,50380,2024-05-20 01:34:08,2024-05-20 01:34:08
336,MissionCategory::ExtraMissionCategory,下級戦士ラディッツの意地,images/mission/mission_banner_event_336.png,,50222,2024-05-20 01:34:08,2024-05-20 01:34:08
338,MissionCategory::ExtraMissionCategory,【物語】龍拳爆発!!悟空がやらねば誰がやる,images/mission/mission_banner_event_338.png,,50215,2024-05-20 01:34:08,2024-05-20 01:34:08
339,MissionCategory::ExtraMissionCategory,【物語】大激闘!!ナメック星,images/mission/mission_banner_event_339.png,,50280,2024-05-20 01:34:08,2024-05-20 01:34:08
340,MissionCategory::ExtraMissionCategory,【物語】大熱戦！あの世のスゲエ奴(日本語版),images/mission/mission_banner_event_340.png,,50308,2024-05-20 01:34:08,2024-05-20 01:34:08
341,MissionCategory::ExtraMissionCategory,ドラゴンボール超宇宙サバイバル編~力の大会開幕~,images/mission/mission_banner_event_341.png,,50382,2024-05-20 01:34:08,2024-05-20 01:34:08
343,MissionCategory::ExtraMissionCategory,【物語】超サイヤ人だ孫悟空,images/mission/mission_banner_event_343.png,,50206,2024-05-20 01:34:08,2024-05-20 01:34:08
344,MissionCategory::ExtraMissionCategory,【物語】ドラゴンボール超 宇宙サバイバル編~力の大会ラストバトル~,images/mission/mission_banner_event_344.png,,50384,2024-05-20 01:34:08,2024-05-20 01:34:08
345,MissionCategory::ExtraMissionCategory,【物語】ドラゴンボールGT ~究極の人造人間編~,images/mission/mission_banner_event_345.png,,50348,2024-05-20 01:34:08,2024-05-20 01:34:08
346,MissionCategory::ExtraMissionCategory,【物語】対決！恐怖のギニュー特戦隊,images/mission/mission_banner_event_346.png,,50282,2024-05-20 01:34:08,2024-05-20 01:34:08
347,MissionCategory::ExtraMissionCategory,【物語】たったひとりの最終決戦,images/mission/mission_banner_event_347.png,,50298,2024-05-20 01:34:08,2024-05-20 01:34:08
348,MissionCategory::ExtraMissionCategory,【物語】神々と魔人の知られざる闘い,images/mission/mission_banner_event_348.png,,50332,2024-05-20 01:34:08,2024-05-20 01:34:08
349,MissionCategory::ExtraMissionCategory,【物語】激突!! 100億パワーの戦士たち　〜リニューアル〜,images/mission/mission_banner_event_349.png,,50396,2024-05-20 01:34:08,2024-05-20 01:34:08
351,MissionCategory::ExtraMissionCategory,【物語】ビーデルの舞空術入門,images/mission/mission_banner_event_351.png,,50330,2024-05-20 01:34:08,2024-05-20 01:34:08
352,MissionCategory::ExtraMissionCategory,【物語イベント】「神龍の伝説」,images/mission/mission_banner_event_352.png,,50200,2024-05-20 01:34:08,2024-05-20 01:34:08
353,MissionCategory::ExtraMissionCategory,【物語イベント】「魔神城のねむり姫」,images/mission/mission_banner_event_353.png,,50201,2024-05-20 01:34:08,2024-05-20 01:34:08
354,MissionCategory::ExtraMissionCategory,【物語】「摩訶不思議大冒険」,images/mission/mission_banner_event_354.png,,50202,2024-05-20 01:34:08,2024-05-20 01:34:08
355,MissionCategory::ExtraMissionCategory,【物語】ドラゴンボール超　ブロリー,images/mission/mission_banner_event_355.png,,50219,2024-05-20 01:34:08,2024-05-20 01:34:08
356,MissionCategory::ExtraMissionCategory,【物語】砂漠でレスキュー！ギルの大活躍！,images/mission/mission_banner_event_356.png,,50342,2024-05-20 01:34:08,2024-05-20 01:34:08
357,MissionCategory::ExtraMissionCategory,【物語】ドラゴンボールGT ~七匹の邪悪龍編~,images/mission/mission_banner_event_357.png,,50350,2024-05-20 01:34:08,2024-05-20 01:34:08
361,MissionCategory::ExtraMissionCategory,【物語】ベジータ消滅！？ポトフ星の秘密,images/mission/mission_banner_event_361.png,,50366,2024-05-20 01:34:08,2024-05-20 01:34:08
362,MissionCategory::ExtraMissionCategory,【物語】激震！！フリーザ最終決戦,images/mission/mission_banner_event_362.png,,50284,2024-05-20 01:34:08,2024-05-20 01:34:08
363,MissionCategory::ExtraMissionCategory,【物語】集結！第6宇宙の戦士たち,images/mission/mission_banner_event_363.png,,50378,2024-05-20 01:34:08,2024-05-20 01:34:08
364,MissionCategory::ExtraMissionCategory,【物語】銀河ギリギリ!! ぶっちぎりの凄い奴　〜リニューアル〜,images/mission/mission_banner_event_364.png,,50211,2024-05-20 01:34:08,2024-05-20 01:34:08
365,MissionCategory::ExtraMissionCategory,【物語】うちやぶれ!!伝説の超サイヤ人　〜リニューアル〜,images/mission/mission_banner_event_365.png,,50220,2024-05-20 01:34:08,2024-05-20 01:34:08
366,MissionCategory::ExtraMissionCategory,【物語】新たな敵！！人造人間起動,images/mission/mission_banner_event_366.png,,50300,2024-05-20 01:34:08,2024-05-20 01:34:08
367,MissionCategory::ExtraMissionCategory,宇宙最強！？大いなるポンタへの挑戦！,images/mission/mission_banner_event_367.png,,50364,2024-05-20 01:34:08,2024-05-20 01:34:08
368,MissionCategory::ExtraMissionCategory,【物語】出現!!謎の怪物セル,images/mission/mission_banner_event_368.png,,50302,2024-05-20 01:34:08,2024-05-20 01:34:08
369,MissionCategory::ExtraMissionCategory,【物語】最強激突!!セルゲーム,images/mission/mission_banner_event_369.png,,50304,2024-05-20 01:34:08,2024-05-20 01:34:08
371,MissionCategory::ExtraMissionCategory,【物語】絶望への反抗!!　〜リニューアル〜,images/mission/mission_banner_event_371.png,,50306,2024-05-20 01:34:08,2024-05-20 01:34:08
372,MissionCategory::ExtraMissionCategory,【物語】極限バトル!!三大超サイヤ人,images/mission/mission_banner_event_372.png,,50209,2024-05-20 01:34:08,2024-05-20 01:34:08
373,MissionCategory::ExtraMissionCategory,【物語】とびっきりの最強対最強　〜リニューアル〜,images/mission/mission_banner_event_373.png,,50207,2024-05-20 01:34:08,2024-05-20 01:34:08
374,MissionCategory::ExtraMissionCategory,【物語】波乱の幕開け！新生天下一武道会,images/mission/mission_banner_event_374.png,,50320,2024-05-20 01:34:08,2024-05-20 01:34:08
375,MissionCategory::ExtraMissionCategory,【物語】運命に導かれた3人のサイヤ人,images/mission/mission_banner_event_375.png,,50219,2024-05-20 01:34:08,2024-05-20 01:34:08
376,MissionCategory::ExtraMissionCategory,【物語】人間０計画,images/mission/mission_banner_event_376.png,,50370,2024-05-20 01:34:08,2024-05-20 01:34:08
377,MissionCategory::ExtraMissionCategory,【物語】神と神　〜リニューアル〜,images/mission/mission_banner_event_377.png,,50217,2024-05-20 01:34:08,2024-05-20 01:34:08
378,MissionCategory::ExtraMissionCategory,【物語】復活！最強最悪の魔人,images/mission/mission_banner_event_378.png,,50322,2024-05-20 01:34:08,2024-05-20 01:34:08
379,MissionCategory::ExtraMissionCategory,【物語】誇り高き正義！プライド・トルーパーズ,images/mission/mission_banner_event_379.png,,50386,2024-05-20 01:34:08,2024-05-20 01:34:08
381,MissionCategory::ExtraMissionCategory,【物語】とびだせ!! 正義のヒーロー　〜リニューアル〜,images/mission/mission_banner_event_381.png,,50215,2024-05-20 01:34:08,2024-05-20 01:34:08
382,MissionCategory::ExtraMissionCategory,【物語】決着！！究極のラストバトル,images/mission/mission_banner_event_382.png,,50334,2024-05-20 01:34:08,2024-05-20 01:34:08
383,MissionCategory::ExtraMissionCategory,【物語】悟空を超えろ！ベジータ改造計画,images/mission/mission_banner_event_383.png,,50351,2024-05-20 01:34:08,2024-05-20 01:34:08
384,MissionCategory::ExtraMissionCategory,【物語】帝王復活！復讐のトレーニング,images/mission/mission_banner_event_384.png,,50379,2024-05-20 01:34:08,2024-05-20 01:34:08
385,MissionCategory::ExtraMissionCategory,【物語】武天老師 新たなる挑戦,images/mission/mission_banner_event_385.png,,50387,2024-05-20 01:34:08,2024-05-20 01:34:08
386,MissionCategory::ExtraMissionCategory,【物語】信頼の力!!第7宇宙の奇跡,images/mission/mission_banner_event_386.png,,50388,2024-05-20 01:34:08,2024-05-20 01:34:08
387,MissionCategory::ExtraMissionCategory,【物語】復活のフュージョン!!悟空とベジータ,images/mission/mission_banner_event_387.png,,50214,2024-05-20 01:34:08,2024-05-20 01:34:08
388,MissionCategory::ExtraMissionCategory,【物語】魔族の脅威！ガーリックJr.来襲,images/mission/mission_banner_event_388.png,,50285,2024-05-20 01:34:08,2024-05-20 01:34:08
389,MissionCategory::ExtraMissionCategory,【物語】宇宙の支配者と戦闘民族〜超サイヤ人の伝説〜,images/mission/mission_banner_event_389.png,,50286,2024-05-20 01:34:08,2024-05-20 01:34:08
391,MissionCategory::ExtraMissionCategory,【物語】因縁の歴史！反逆のサイヤ人,images/mission/mission_banner_event_391.png,,50288,2024-05-20 01:34:08,2024-05-20 01:34:08
392,MissionCategory::ExtraMissionCategory,【物語】宇宙の支配者と戦闘民族〜帝王の思惑〜,images/mission/mission_banner_event_392.png,,50287,2024-05-20 01:34:08,2024-05-20 01:34:08
393,MissionCategory::ExtraMissionCategory,【物語】運命のコリジョン！？ブルマとベジータ,images/mission/mission_banner_event_393.png,,50229,2024-05-20 01:34:08,2024-05-20 01:34:08
394,MissionCategory::ExtraMissionCategory,【物語】燃えろ!!結婚・決戦・大団円,images/mission/mission_banner_event_394.png,,50230,2024-05-20 01:34:08,2024-05-20 01:34:08
395,MissionCategory::ExtraMissionCategory,【物語】偉大なる父の背中,images/mission/mission_banner_event_395.png,,50228,2024-05-20 01:34:08,2024-05-20 01:34:08
396,MissionCategory::ExtraMissionCategory,【物語】受け継がれる宿命！〜100年後の戦士たち〜,images/mission/mission_banner_event_396.png,,50227,2024-05-20 01:34:08,2024-05-20 01:34:08
397,MissionCategory::ExtraMissionCategory,【物語】激突!!宇宙最強を賭けて,images/mission/mission_banner_event_397.png,,50208,2024-05-20 01:34:08,2024-05-20 01:34:08
398,MissionCategory::ExtraMissionCategory,【物語】最強への道,images/mission/mission_banner_event_398.png,,50398,2024-05-20 01:34:08,2024-05-20 01:34:08
399,MissionCategory::ExtraMissionCategory,【物語】ドラゴンボール超 スーパーヒーロー,images/mission/mission_banner_event_399.png,,50399,2024-05-20 01:34:08,2024-05-20 01:34:08
