id,chain_battle_help_id,image_path,description,created_at,updated_at
11,5,images/help/chainbattle_help_12.png,"※サポーターは1日1回ずつしか
　借りることができません。
　龍石を消費してバトルエナジーを回復するか
　0時を過ぎると、また同じサポーターを
　借りることができます。",2020-04-30 02:02:57,2020-04-30 02:02:57
12,6,images/help/chainbattle_help_15.png,"▼コネクターとは
コネクターは自分の所持キャラクターの中から
サポーターと以下の一致数が多いキャラクターが
10体表示され、その中から1体選択します。

・カテゴリ
・属性
・リンクスキル

サポーターとの一致数が多いほど
「チェインパワー」が高まります。

※バトルキャラクターに設定しているキャラクターは
　コネクターに設定することができません。
※１度コネクターに設定したキャラクターは
　龍石を消費してバトルエナジーを回復するか
　0時を過ぎるまで再選択することができません。",2020-04-30 02:02:57,2020-04-30 02:02:57
13,7,images/help/chainbattle_help_16.png,"{color: #FFFF00}敵に有効なキャラクター{color}と
{color: #FFFF00}敵に有効なカテゴリに属するキャラクター{color}を
チームに組み込むと、敵に与えるダメージが増加します。

▼敵に有効なキャラクター
このキャラクターは選択する際に
アイコンが赤く光ります。",2020-04-30 02:02:57,2020-04-30 02:02:57
14,7,images/help/chainbattle_help_16_2.png,"▼敵に有効なカテゴリに属するキャラクター
このキャラクターは選択する際に
アイコンが青く光ります。",2020-04-30 02:02:57,2020-04-30 02:02:57
15,7,images/help/chainbattle_help_16_1.png,※特攻キャラクターはイベント開催ごとに変化します。,2020-04-30 02:02:57,2020-04-30 02:02:57
16,8,images/help/chainbattle_help_05.png,"ハイスコア（１度のバトルで与えたダメージ）によって
ランキングが決定されます。
イベント終了時の順位に応じて報酬が決定されます。

※最新の順位は反映までに時間が
　かかる場合があります。
※ハイスコアが全く同じだった場合、同率順位とします。",2020-04-30 02:02:57,2020-04-30 02:02:57
17,9,,"▼バトルログとは
チェインバトルに関連するログを確認できる機能です。",2020-04-30 02:02:57,2020-04-30 02:02:57
18,9,images/help/chainbattle_help_19.png,"▼フレンド申請の承認 / 拒否
チェインバトルのリザルト画面からフレンド申請が
行われた場合、バトルログにて
申請の承認 / 拒否の選択が可能です。
通常のリザルト画面からフレンド申請を行った場合は
バトルログに表示されません。",2020-04-30 02:02:57,2020-04-30 02:02:57
19,9,images/help/chainbattle_help_20.png,"▼ホーム画面の通知
ホーム画面に表示される通知をタップすることで
バトルログ画面を表示することができます。
通知はバトルログ画面を確認すると消えます。
また、スワイプ操作でも消すことができます。",2020-04-30 02:02:57,2020-04-30 02:02:57
20,10,images/help/chainbattle_help_06a.png,"▼NICEとは
「NICE」はフレンドに送ることができます。
※ゲストにNICEを送ることはできません。
NICEを送ると秘宝「結束の印」を獲得することができ、
NICEを送られた側のユーザーも
「結束の印」を獲得できます。",2020-04-30 02:02:57,2020-04-30 02:02:57
21,10,images/help/chainbattle_help_18.png,"▼NICEの送信方法
チェインバトルのリザルトや、バトルログから
NICEを送信することが可能です。
１度NICEを送信すると、0時を過ぎるまで
同じ相手に送信することはできません。
また、NICEの送信を取り消すことはできません。",2020-04-30 02:02:57,2020-04-30 02:02:57
22,11,images/help/chainbattle_help_23.png,"チェインバトルでは敵味方ともにHPが存在しません。
そのため、敵から攻撃を受けて
ゲームオーバーになってしまうことはありません。

敵に与えるダメージは以下の条件で変動します。

▼バトル前のチーム編成
１　バトルキャラクター
　　・HP、ATK、DEFの値
　　・必殺技Lvの値",2020-04-30 02:02:57,2020-04-30 02:02:57
23,11,,"２　サポーターとコネクター
　　・各キャラクターのHP、ATK、DEFの値
　　・サポーターとコネクターの
　　　「カテゴリ」「属性」「リンクスキル」の
　　　一致数

３　敵に有効なキャラクター
　　・編成すると敵に与えるダメージが増加

４　敵に有効なカテゴリに属するキャラクター
　　・編成すると敵に与えるダメージが増加

▼バトル中のサポートバトルで選択したキャラクター
・選択したキャラクターの
　「カテゴリ」「属性」「リンクスキル」の一致数
・選択するまでにかかった時間",2020-04-30 02:02:57,2020-04-30 02:02:57
24,12,images/help/chainbattle_help_13.png,"サポートバトルでは、敵の攻撃を食い止めるサポーターを
３体選択します。",2020-04-30 02:02:57,2020-04-30 02:02:57
25,12,images/help/chainbattle_help_14.png,"8体のサポーターから
・カテゴリ
・属性
・リンクスキル
の一致数が多いキャラクターを3体選ぶと
敵の攻撃を足止めすることができます。

足止めに成功すると、
バトルキャラクターが敵に与えるダメージが増加しますが
一致数が少ない場合は足止め失敗となり、
敵に与えるダメージが少なくなります。",2020-04-30 02:02:57,2020-04-30 02:02:57
26,12,images/help/chainbattle_help_22b.png,"▼時間制限
サポートバトルには時間制限があります。
10秒以内に３体を選択できなかった場合は
自動的にランダムに３体選択されます。
３体選択する時間が短ければ短いほど
微量ですが敵に与えるダメージが増加します。",2020-04-30 02:02:57,2020-04-30 02:02:57
27,12,,"▼ガイド表示
５秒経過時に３体選択していない場合は、
表示されているサポーターが光ります。

その際、キャラクターを１体選択していると
選択しているキャラクターと
「カテゴリ」「属性」「リンクスキル」の一致数が
多いキャラクター４体が光ります。
また、キャラクターを２体選択していると
一致数が多いキャラクター２体が光ります。",2020-04-30 02:02:57,2020-04-30 02:02:57
28,13,images/help/chainbattle_help_07.png,"特定の条件を満たすことで
「ミッション報酬」を獲得することができます。

ミッション達成条件や報酬内容は
TOP画面にある「ミッション」より
確認することができます。",2020-04-30 02:02:57,2020-04-30 02:02:57
29,14,images/help/chainbattle_help_treasure.png,"以下の条件達成後に獲得することができます。

・チェインバトルに出撃する
・貸出用サポーターが他のプレイヤーに使われる
・NICEを送る
・NICEが送られる
・ミッションを達成する

獲得した秘宝「結束の印」は秘宝交換所で
スキル玉など様々なアイテムと交換することが可能です。",2020-04-30 02:02:57,2020-04-30 02:02:57
30,15,images/help/chainbattle_help_24.png,"イベント終了時のハイスコアによってランキングが決定し
順位に応じたランキング報酬が配布されます。
ランキング報酬はランキング画面右下の
「報酬一覧」を選択することで確認できます。
報酬配布のタイミングは開催ごとによって異なるため、
開催時の「お知らせ」をご確認ください。",2020-04-30 02:02:57,2020-04-30 02:02:57
