id,name,description,element,exp,rarity,zeni_to_use,selling_exchange_point
801,オモリ(10t)[技],修業で使用すると40000以上の経験値を獲得できる,1,40000,3,3500,8
802,オモリ(10t)[知],修業で使用すると40000以上の経験値を獲得できる,2,40000,3,3500,8
803,オモリ(10t)[力],修業で使用すると40000以上の経験値を獲得できる,3,40000,3,3500,8
804,オモリ(10t)[体],修業で使用すると40000以上の経験値を獲得できる,4,40000,3,3500,8
900,ゼットソード[速],修業で使用すると100000以上の経験値を獲得できる,0,100000,3,5000,20
901,ゼットソード[技],修業で使用すると100000以上の経験値を獲得できる,1,100000,3,5000,20
902,ゼットソード[知],修業で使用すると100000以上の経験値を獲得できる,2,100000,3,5000,20
903,ゼットソード[力],修業で使用すると100000以上の経験値を獲得できる,3,100000,3,5000,20
904,ゼットソード[体],修業で使用すると100000以上の経験値を獲得できる,4,100000,3,5000,20
1000,亀の甲羅(プラチナ)[速],修業で使用すると300000以上の経験値を獲得できる,0,300000,3,10000,30
1001,亀の甲羅(プラチナ)[技],修業で使用すると300000以上の経験値を獲得できる,1,300000,3,10000,30
1002,亀の甲羅(プラチナ)[知],修業で使用すると300000以上の経験値を獲得できる,2,300000,3,10000,30
1003,亀の甲羅(プラチナ)[力],修業で使用すると300000以上の経験値を獲得できる,3,300000,3,10000,30
1004,亀の甲羅(プラチナ)[体],修業で使用すると300000以上の経験値を獲得できる,4,300000,3,10000,30
1100,重い帽子[速],修業で使用すると500000以上の経験値を獲得できる,0,500000,3,15000,50
1101,重い帽子[技],修業で使用すると500000以上の経験値を獲得できる,1,500000,3,15000,50
1102,重い帽子[知],修業で使用すると500000以上の経験値を獲得できる,2,500000,3,15000,50
1103,重い帽子[力],修業で使用すると500000以上の経験値を獲得できる,3,500000,3,15000,50
1104,重い帽子[体],修業で使用すると500000以上の経験値を獲得できる,4,500000,3,15000,50
1200,キャンディステッキ[速],修業で使用すると1000000以上の経験値を獲得できる,0,1000000,3,20000,100
1201,キャンディステッキ[技],修業で使用すると1000000以上の経験値を獲得できる,1,1000000,3,20000,100
1202,キャンディステッキ[知],修業で使用すると1000000以上の経験値を獲得できる,2,1000000,3,20000,100
1203,キャンディステッキ[力],修業で使用すると1000000以上の経験値を獲得できる,3,1000000,3,20000,100
1204,キャンディステッキ[体],修業で使用すると1000000以上の経験値を獲得できる,4,1000000,3,20000,100
5000,訓練用ロボット[速],修業で使用すると50000以上の経験値を獲得できる,0,50000,3,4000,10
5001,訓練用ロボット[技],修業で使用すると50000以上の経験値を獲得できる,1,50000,3,4000,10
5002,訓練用ロボット[知],修業で使用すると50000以上の経験値を獲得できる,2,50000,3,4000,10
5003,訓練用ロボット[力],修業で使用すると50000以上の経験値を獲得できる,3,50000,3,4000,10
5004,訓練用ロボット[体],修業で使用すると50000以上の経験値を獲得できる,4,50000,3,4000,10
