id,name,description,rarity,max_per_quest,max_per_quest_extended,efficacy_type1,efficacy_type2,target_type,calc_option,turn,eff1_value1,eff1_value2,eff1_value3,efficacy_values1,eff2_value1,eff2_value2,eff2_value3,efficacy_values2,ingame_type,selling_exchange_point
32702,木の枝,1ターン味方全体の気力を3プラスする,1,1,2,5,0,2,0,1,3,0,0,,0,0,0,,1,2
33001,チチ(ナース),"1ターン敵全体のATKとDEFが74%ダウンする
※連続で使用した場合、効果は重複しません",3,1,2,3,0,4,3,1,74,74,0,,0,0,0,,1,5
33301,ジャガー・バッダ,"2ターン味方全体のATKが5000アップし、
気力を2プラスする。",3,1,2,1,5,2,0,2,5000,0,0,,2,0,0,,1,5
33401,グレ,"2ターンの間、技気玉を速気玉に変化させ、
味方全体のATKとDEFが2500アップする
※連続で使用した場合、効果は重複しません",3,1,2,51,3,2,0,2,1,0,0,,2500,2500,0,,1,5
33701,ロシアンたこ焼き,"気玉をランダムで技気玉に変化させ、1ターン
取得した技気玉ひとつにつきATKが5%アップする
※連続で使用した場合、効果は重複しません",3,1,2,67,68,2,2,1,8189,2,0,,2,1,5,,1,5
33801,タピオンの笛,"超激戦「豪炎と爆煙の幻魔人」に登場する
ヒルデガーンの「ENERGYゲージ」を
大幅に減らすことができる。",3,1,2,0,0,0,0,0,0,0,0,,0,0,0,,1,5
34601,カエル,"知気玉を技気玉に変化させ、
HPが70%回復する",3,1,2,51,4,1,2,1,2,1,0,,70,0,0,,1,5
35501,チライ,"気玉をランダムで速気玉に変化させ、1ターン
取得した速気玉ひとつにつきATKが5%アップする
※連続で使用した場合、効果は重複しません",3,1,2,67,68,2,2,1,8190,1,0,,1,1,5,,1,5
35502,レモ,"気玉をランダムで力気玉に変化させ、1ターン
取得した力気玉ひとつにつきATKが5%アップする
※連続で使用した場合、効果は重複しません",3,1,2,67,68,2,2,1,8183,8,0,,8,1,5,,1,5
36201,北の界王,"超激戦「怒りの戦士!!超サイヤ人」に登場する
超サイヤ人孫悟空の「FURYゲージ」を
減らすことができる。",3,1,2,0,0,0,0,0,0,0,0,,0,0,0,,1,5
36701,モナカの着ぐるみ,"気玉をランダムで知気玉に変化させ、1ターン
取得した知気玉ひとつにつきATKが5%アップする
※連続で使用した場合、効果は重複しません",3,1,2,67,68,2,2,1,8187,4,0,,4,1,5,,1,5
39701,誘導ロボット,"ターゲットにしている敵1体の攻撃ターンを1のばし、
2ターンATKを66%ダウンさせる
※連続で使用した場合、効果は重複しません",3,1,2,8,1,3,3,2,1,0,0,,66,0,0,,1,5
90001,ボロボロの戦闘服,"1ターン味方全体の気力を3プラスし、
受けるダメージが10%軽減される",1,1,2,5,13,2,0,1,3,0,0,,90,0,0,,1,5
