id,budokai_id,order,ranking
101,7,6,101〜1000位
102,7,7,1001〜2500位
103,7,8,2501〜5000位
104,7,9,5001〜10000位
105,7,10,10001〜20000位
106,7,11,20001〜30000位
107,7,12,30001〜50000位
108,7,13,50001〜75000位
109,7,14,75001〜100000位
110,7,15,100001〜200000位
111,7,16,200001〜400000位
112,7,17,3桁のゾロ目順位
113,7,18,4桁のゾロ目順位
114,7,19,5桁のゾロ目順位
115,8,1,1位
116,8,2,2位
117,8,3,3位
118,8,4,4〜10位
119,8,5,11〜100位
120,8,6,101〜1000位
121,8,7,1001〜2500位
122,8,8,2501〜5000位
123,8,9,5001〜10000位
124,8,10,10001〜20000位
125,8,11,20001〜30000位
126,8,12,30001〜50000位
127,8,13,50001〜75000位
128,8,14,75001〜100000位
129,8,15,100001〜200000位
130,8,16,200001〜300000位
131,8,17,300001〜600000位
132,8,18,3桁のゾロ目順位
133,8,19,4桁のゾロ目順位
134,8,20,5桁のゾロ目順位
135,9,1,1位
136,9,2,2位
137,9,3,3位
138,9,4,4〜10位
139,9,5,11〜100位
140,9,6,101〜1000位
141,9,7,1001〜2500位
142,9,8,2501〜5000位
143,9,9,5001〜10000位
144,9,10,10001〜20000位
145,9,11,20001〜30000位
146,9,12,30001〜50000位
147,9,13,50001〜75000位
148,9,14,75001〜100000位
149,9,15,100001〜200000位
150,9,16,200001〜300000位
151,9,17,300001〜600000位
152,9,18,3桁のゾロ目順位
153,9,19,4桁のゾロ目順位
154,9,20,5桁のゾロ目順位
155,10,1,1位
156,10,2,2位
157,10,3,3位
158,10,4,4〜10位
159,10,5,11〜100位
160,10,6,101〜1000位
161,10,7,1001〜2500位
162,10,8,2501〜5000位
163,10,9,5001〜10000位
164,10,10,10001〜20000位
165,10,11,20001〜30000位
166,10,12,30001〜50000位
167,10,13,50001〜75000位
168,10,14,75001〜100000位
169,10,15,100001〜200000位
170,10,16,200001〜300000位
171,10,17,300001〜600000位
172,10,18,3桁のゾロ目順位
173,10,19,4桁のゾロ目順位
174,10,20,5桁のゾロ目順位
175,11,1,1位
176,11,2,2位
177,11,3,3位
178,11,4,4〜10位
179,11,5,11〜100位
180,11,6,101〜1000位
181,11,7,1001〜2500位
182,11,8,2501〜5000位
183,11,9,5001〜10000位
184,11,10,10001〜20000位
185,11,11,20001〜30000位
186,11,12,30001〜50000位
187,11,13,50001〜75000位
188,11,14,75001〜100000位
189,11,15,100001〜200000位
190,11,16,200001〜300000位
191,11,17,300001〜600000位
192,11,18,3桁のゾロ目順位
193,11,19,4桁のゾロ目順位
194,11,20,5桁のゾロ目順位
195,12,1,1位
196,12,2,2位
197,12,3,3位
198,12,4,4〜10位
199,12,5,11〜100位
200,12,6,101〜1000位
201,12,7,1001〜2500位
202,12,8,2501〜5000位
203,12,9,5001〜10000位
204,12,10,10001〜20000位
205,12,11,20001〜30000位
206,12,12,30001〜50000位
207,12,13,50001〜75000位
208,12,14,75001〜100000位
209,12,15,100001〜200000位
210,12,16,200001〜300000位
211,12,17,300001〜600000位
212,12,18,3桁のゾロ目順位
213,12,19,4桁のゾロ目順位
214,12,20,5桁のゾロ目順位
215,13,1,1位
216,13,2,2位
217,13,3,3位
218,13,4,4〜10位
219,13,5,11〜100位
220,13,6,101〜1000位
221,13,7,1001〜2500位
222,13,8,2501〜5000位
223,13,9,5001〜10000位
224,13,10,10001〜20000位
225,13,11,20001〜30000位
226,13,12,30001〜50000位
227,13,13,50001〜75000位
228,13,14,75001〜100000位
229,13,15,100001〜200000位
230,13,16,200001〜300000位
231,13,17,300001〜600000位
232,13,18,3桁のゾロ目順位
233,13,19,4桁のゾロ目順位
234,13,20,5桁のゾロ目順位
235,14,1,1位
236,14,2,2位
237,14,3,3位
238,14,4,4〜10位
239,14,5,11〜100位
240,14,6,101〜1000位
241,14,7,1001〜2500位
242,14,8,2501〜5000位
243,14,9,5001〜10000位
244,14,10,10001〜20000位
245,14,11,20001〜30000位
246,14,12,30001〜50000位
247,14,13,50001〜75000位
248,14,14,75001〜100000位
249,14,15,100001〜200000位
250,14,16,200001〜300000位
251,14,17,300001〜600000位
252,14,18,3桁のゾロ目順位
253,14,19,4桁のゾロ目順位
254,14,20,5桁のゾロ目順位
255,15,1,1位
256,15,2,2位
257,15,3,3位
258,15,4,4〜10位
259,15,5,11〜100位
260,15,6,101〜1000位
261,15,7,1001〜2500位
262,15,8,2501〜5000位
263,15,9,5001〜10000位
264,15,10,10001〜20000位
265,15,11,20001〜30000位
266,15,12,30001〜50000位
267,15,13,50001〜75000位
268,15,14,75001〜100000位
269,15,15,100001〜200000位
270,15,16,200001〜300000位
271,15,17,300001〜600000位
272,15,18,3桁のゾロ目順位
273,15,19,4桁のゾロ目順位
274,15,20,5桁のゾロ目順位
275,16,1,1位
276,16,2,2位
277,16,3,3位
278,16,4,4〜10位
279,16,5,11〜100位
280,16,6,101〜1000位
281,16,7,1001〜2500位
282,16,8,2501〜5000位
283,16,9,5001〜10000位
284,16,10,10001〜20000位
285,16,11,20001〜30000位
286,16,12,30001〜50000位
287,16,13,50001〜75000位
288,16,14,75001〜100000位
289,16,15,100001〜200000位
290,16,16,200001〜300000位
291,16,17,300001〜600000位
292,16,18,3桁のゾロ目順位
293,16,19,4桁のゾロ目順位
294,16,20,5桁のゾロ目順位
1701,17,1,1位
1702,17,2,2位
1703,17,3,3位
1704,17,4,4〜10位
1705,17,5,11〜100位
1706,17,6,101〜1000位
1707,17,7,1001〜2500位
1708,17,8,2501〜5000位
1709,17,9,5001〜10000位
1710,17,10,10001〜20000位
1711,17,11,20001〜30000位
1712,17,12,30001〜50000位
1713,17,13,50001〜75000位
1714,17,14,75001〜100000位
1715,17,15,100001〜200000位
1716,17,16,200001〜500000位
1717,17,17,500001〜1000000位
1718,17,18,3桁のゾロ目順位
1719,17,19,4桁のゾロ目順位
1720,17,20,5桁のゾロ目順位
1801,18,1,1位
1802,18,2,2位
1803,18,3,3位
1804,18,4,4〜10位
1805,18,5,11〜100位
1806,18,6,101〜1000位
1807,18,7,1001〜2500位
1808,18,8,2501〜5000位
1809,18,9,5001〜10000位
1810,18,10,10001〜20000位
1811,18,11,20001〜30000位
1812,18,12,30001〜50000位
1813,18,13,50001〜75000位
1814,18,14,75001〜100000位
1815,18,15,100001〜200000位
1816,18,16,200001〜500000位
1817,18,17,500001〜1000000位
1818,18,18,3桁のゾロ目順位
1819,18,19,4桁のゾロ目順位
1820,18,20,5桁のゾロ目順位
1901,19,1,1位
1902,19,2,2位
1903,19,3,3位
1904,19,4,4〜10位
1905,19,5,11〜100位
1906,19,6,101〜1000位
1907,19,7,1001〜2500位
1908,19,8,2501〜5000位
1909,19,9,5001〜10000位
1910,19,10,10001〜20000位
1911,19,11,20001〜30000位
1912,19,12,30001〜50000位
1913,19,13,50001〜75000位
1914,19,14,75001〜100000位
1915,19,15,100001〜200000位
1916,19,16,200001〜500000位
1917,19,17,500001〜1000000位
1918,19,18,3桁のゾロ目順位
1919,19,19,4桁のゾロ目順位
1920,19,20,5桁のゾロ目順位
2001,20,1,1位
2002,20,2,2位
2003,20,3,3位
2004,20,4,4〜10位
2005,20,5,11〜100位
2006,20,6,101〜1000位
2007,20,7,1001〜2500位
2008,20,8,2501〜5000位
2009,20,9,5001〜10000位
2010,20,10,10001〜20000位
2011,20,11,20001〜30000位
2012,20,12,30001〜50000位
2013,20,13,50001〜75000位
2014,20,14,75001〜100000位
2015,20,15,100001〜200000位
2016,20,16,200001〜500000位
2017,20,17,500001〜1000000位
2018,20,18,3桁のゾロ目順位
2019,20,19,4桁のゾロ目順位
2020,20,20,5桁のゾロ目順位
2101,21,1,1位
2102,21,2,2位
2103,21,3,3位
2104,21,4,4〜10位
2105,21,5,11〜100位
2106,21,6,101〜1000位
2107,21,7,1001〜2500位
2108,21,8,2501〜5000位
2109,21,9,5001〜10000位
2110,21,10,10001〜20000位
2111,21,11,20001〜30000位
2112,21,12,30001〜50000位
2113,21,13,50001〜75000位
2114,21,14,75001〜100000位
2115,21,15,100001〜200000位
2116,21,16,200001〜500000位
2117,21,17,500001〜1000000位
2118,21,18,3桁のゾロ目順位
2119,21,19,4桁のゾロ目順位
2120,21,20,5桁のゾロ目順位
2201,22,1,1位
2202,22,2,2〜3位
2203,22,3,4〜10位
2204,22,4,11〜20位
2205,22,5,21〜30位
2206,22,6,31〜50位
2207,22,7,51〜70位
2208,22,8,71〜100位
2209,22,9,101〜200位
2210,22,10,201〜500位
2211,22,11,501〜1000位
2212,22,12,1001〜2000位
2213,22,13,2001〜5000位
2214,22,14,5001〜10000位
2215,22,15,10001〜20000位
2216,22,16,20001〜50000位
2217,22,17,50001〜100000位
2218,22,18,100001〜200000位
2219,22,19,200001〜300000位
2220,22,20,300001〜400000位
2221,22,21,400001〜500000位
2222,22,22,500001〜700000位
2223,22,23,700001〜1000000位
2224,22,24,3桁のゾロ目順位
2225,22,25,4桁のゾロ目順位
2226,22,26,5桁のゾロ目順位
2301,23,1,1位
2302,23,2,2〜3位
2303,23,3,4〜10位
2304,23,4,11〜20位
2305,23,5,21〜30位
2306,23,6,31〜50位
2307,23,7,51〜70位
2308,23,8,71〜100位
2309,23,9,101〜200位
2310,23,10,201〜500位
2311,23,11,501〜1000位
2312,23,12,1001〜2000位
2313,23,13,2001〜5000位
2314,23,14,5001〜10000位
2315,23,15,10001〜20000位
2316,23,16,20001〜50000位
2317,23,17,50001〜100000位
2318,23,18,100001〜200000位
2319,23,19,200001〜300000位
2320,23,20,300001〜400000位
2321,23,21,400001〜500000位
2322,23,22,500001〜700000位
2323,23,23,700001〜1000000位
2324,23,24,3桁のゾロ目順位
2325,23,25,4桁のゾロ目順位
2326,23,26,5桁のゾロ目順位
2401,24,1,1位
2402,24,2,2〜3位
2403,24,3,4〜10位
2404,24,4,11〜20位
2405,24,5,21〜30位
2406,24,6,31〜50位
2407,24,7,51〜70位
2408,24,8,71〜100位
2409,24,9,101〜200位
2410,24,10,201〜500位
2411,24,11,501〜1000位
2412,24,12,1001〜2000位
2413,24,13,2001〜5000位
2414,24,14,5001〜10000位
2415,24,15,10001〜20000位
2416,24,16,20001〜50000位
2417,24,17,50001〜100000位
2418,24,18,100001〜200000位
2419,24,19,200001〜300000位
2420,24,20,300001〜400000位
2421,24,21,400001〜500000位
2422,24,22,500001〜700000位
2423,24,23,700001〜1000000位
2424,24,24,3桁のゾロ目順位
2425,24,25,4桁のゾロ目順位
2426,24,26,5桁のゾロ目順位
2501,25,1,1位
2502,25,2,2〜3位
2503,25,3,4〜10位
2504,25,4,11〜20位
2505,25,5,21〜30位
2506,25,6,31〜50位
2507,25,7,51〜70位
2508,25,8,71〜100位
2509,25,9,101〜200位
2510,25,10,201〜500位
2511,25,11,501〜1000位
2512,25,12,1001〜2000位
2513,25,13,2001〜5000位
2514,25,14,5001〜10000位
2515,25,15,10001〜20000位
2516,25,16,20001〜50000位
2517,25,17,50001〜100000位
2518,25,18,100001〜200000位
2519,25,19,200001〜300000位
2520,25,20,300001〜400000位
2521,25,21,400001〜500000位
2522,25,22,500001〜700000位
2523,25,23,700001〜1000000位
2524,25,24,3桁のゾロ目順位
2525,25,25,4桁のゾロ目順位
2526,25,26,5桁のゾロ目順位
2601,26,1,1位
2602,26,2,2〜3位
2603,26,3,4〜10位
2604,26,4,11〜20位
2605,26,5,21〜30位
2606,26,6,31〜50位
2607,26,7,51〜70位
2608,26,8,71〜100位
2609,26,9,101〜200位
2610,26,10,201〜500位
2611,26,11,501〜1000位
2612,26,12,1001〜2000位
2613,26,13,2001〜5000位
2614,26,14,5001〜10000位
2615,26,15,10001〜20000位
2616,26,16,20001〜50000位
2617,26,17,50001〜100000位
2618,26,18,100001〜200000位
2619,26,19,200001〜300000位
2620,26,20,300001〜400000位
2621,26,21,400001〜500000位
2622,26,22,500001〜700000位
2623,26,23,700001〜1000000位
2624,26,24,3桁のゾロ目順位
2625,26,25,4桁のゾロ目順位
2626,26,26,5桁のゾロ目順位
2701,27,1,1位
2702,27,2,2〜3位
2703,27,3,4〜10位
2704,27,4,11〜20位
2705,27,5,21〜30位
2706,27,6,31〜50位
2707,27,7,51〜70位
2708,27,8,71〜100位
2709,27,9,101〜200位
2710,27,10,201〜500位
2711,27,11,501〜1000位
2712,27,12,1001〜2000位
2713,27,13,2001〜5000位
2714,27,14,5001〜10000位
2715,27,15,10001〜20000位
2716,27,16,20001〜50000位
2717,27,17,50001〜100000位
2718,27,18,100001〜200000位
2719,27,19,200001〜300000位
2720,27,20,300001〜400000位
2721,27,21,400001〜500000位
2722,27,22,500001〜700000位
2723,27,23,700001〜1000000位
2724,27,24,3桁のゾロ目順位
2725,27,25,4桁のゾロ目順位
2726,27,26,5桁のゾロ目順位
2801,28,1,1位
2802,28,2,2〜3位
2803,28,3,4〜10位
2804,28,4,11〜20位
2805,28,5,21〜30位
2806,28,6,31〜50位
2807,28,7,51〜70位
2808,28,8,71〜100位
2809,28,9,101〜200位
2810,28,10,201〜500位
2811,28,11,501〜1000位
2812,28,12,1001〜2000位
2813,28,13,2001〜5000位
2814,28,14,5001〜10000位
2815,28,15,10001〜20000位
2816,28,16,20001〜50000位
2817,28,17,50001〜100000位
2818,28,18,100001〜200000位
2819,28,19,200001〜300000位
2820,28,20,300001〜400000位
2821,28,21,400001〜500000位
2822,28,22,500001〜700000位
2823,28,23,700001〜1000000位
2824,28,24,3桁のゾロ目順位
2825,28,25,4桁のゾロ目順位
2826,28,26,5桁のゾロ目順位
2901,29,1,1位
2902,29,2,2〜3位
2903,29,3,4〜10位
2904,29,4,11〜20位
2905,29,5,21〜30位
2906,29,6,31〜50位
2907,29,7,51〜70位
2908,29,8,71〜100位
2909,29,9,101〜200位
2910,29,10,201〜500位
2911,29,11,501〜1000位
2912,29,12,1001〜2000位
2913,29,13,2001〜5000位
2914,29,14,5001〜10000位
2915,29,15,10001〜20000位
2916,29,16,20001〜50000位
2917,29,17,50001〜100000位
2918,29,18,100001〜200000位
2919,29,19,200001〜300000位
2920,29,20,300001〜400000位
2921,29,21,400001〜500000位
2922,29,22,500001〜700000位
2923,29,23,700001〜1000000位
2924,29,24,3桁のゾロ目順位
2925,29,25,4桁のゾロ目順位
2926,29,26,5桁のゾロ目順位
3001,30,1,1位
3002,30,2,2〜3位
3003,30,3,4〜10位
3004,30,4,11〜20位
3005,30,5,21〜30位
3006,30,6,31〜50位
3007,30,7,51〜70位
3008,30,8,71〜100位
3009,30,9,101〜200位
3010,30,10,201〜500位
3011,30,11,501〜1000位
3012,30,12,1001〜2000位
3013,30,13,2001〜5000位
3014,30,14,5001〜10000位
3015,30,15,10001〜20000位
3016,30,16,20001〜50000位
3017,30,17,50001〜100000位
3018,30,18,100001〜200000位
3019,30,19,200001〜300000位
3020,30,20,300001〜400000位
3021,30,21,400001〜500000位
3022,30,22,500001〜700000位
3023,30,23,700001〜1000000位
3024,30,24,3桁のゾロ目順位
3025,30,25,4桁のゾロ目順位
3026,30,26,5桁のゾロ目順位
3101,31,1,1位
3102,31,2,2〜3位
3103,31,3,4〜10位
3104,31,4,11〜20位
3105,31,5,21〜30位
3106,31,6,31〜50位
3107,31,7,51〜70位
3108,31,8,71〜100位
3109,31,9,101〜200位
3110,31,10,201〜500位
3111,31,11,501〜1000位
3112,31,12,1001〜2000位
3113,31,13,2001〜5000位
3114,31,14,5001〜10000位
3115,31,15,10001〜20000位
3116,31,16,20001〜50000位
3117,31,17,50001〜100000位
3118,31,18,100001〜200000位
3119,31,19,200001〜300000位
3120,31,20,300001〜400000位
3121,31,21,400001〜500000位
3122,31,22,500001〜700000位
3123,31,23,700001〜1000000位
3124,31,24,3桁のゾロ目順位
3125,31,25,4桁のゾロ目順位
3126,31,26,5桁のゾロ目順位
3201,32,1,1位
3202,32,2,2〜3位
3203,32,3,4〜10位
3204,32,4,11〜20位
3205,32,5,21〜30位
3206,32,6,31〜50位
3207,32,7,51〜70位
3208,32,8,71〜100位
3209,32,9,101〜200位
3210,32,10,201〜500位
3211,32,11,501〜1000位
3212,32,12,1001〜2000位
3213,32,13,2001〜5000位
3214,32,14,5001〜10000位
3215,32,15,10001〜20000位
3216,32,16,20001〜50000位
3217,32,17,50001〜100000位
3218,32,18,100001〜200000位
3219,32,19,200001〜300000位
3220,32,20,300001〜400000位
3221,32,21,400001〜500000位
3222,32,22,500001〜700000位
3223,32,23,700001〜1000000位
3224,32,24,3桁のゾロ目順位
3225,32,25,4桁のゾロ目順位
3226,32,26,5桁のゾロ目順位
3301,33,1,1位
3302,33,2,2〜3位
3303,33,3,4〜10位
3304,33,4,11〜20位
3305,33,5,21〜30位
3306,33,6,31〜50位
3307,33,7,51〜70位
3308,33,8,71〜100位
3309,33,9,101〜200位
3310,33,10,201〜500位
3311,33,11,501〜1000位
3312,33,12,1001〜2000位
3313,33,13,2001〜5000位
3314,33,14,5001〜10000位
3315,33,15,10001〜20000位
3316,33,16,20001〜50000位
3317,33,17,50001〜100000位
3318,33,18,100001〜200000位
3319,33,19,200001〜300000位
3320,33,20,300001〜400000位
3321,33,21,400001〜500000位
3322,33,22,500001〜700000位
3323,33,23,700001〜1000000位
3324,33,24,3桁のゾロ目順位
3325,33,25,4桁のゾロ目順位
3326,33,26,5桁のゾロ目順位
3401,34,1,1位
3402,34,2,2〜3位
3403,34,3,4〜10位
3404,34,4,11〜20位
3405,34,5,21〜30位
3406,34,6,31〜50位
3407,34,7,51〜70位
3408,34,8,71〜100位
3409,34,9,101〜200位
3410,34,10,201〜500位
3411,34,11,501〜1000位
3412,34,12,1001〜2000位
3413,34,13,2001〜5000位
3414,34,14,5001〜10000位
3415,34,15,10001〜20000位
3416,34,16,20001〜50000位
3417,34,17,50001〜100000位
3418,34,18,100001〜200000位
3419,34,19,200001〜300000位
3420,34,20,300001〜400000位
3421,34,21,400001〜500000位
3422,34,22,500001〜700000位
3423,34,23,700001〜1000000位
3424,34,24,3桁のゾロ目順位
3425,34,25,4桁のゾロ目順位
3426,34,26,5桁のゾロ目順位
3501,35,1,1位
3502,35,2,2〜3位
3503,35,3,4〜10位
3504,35,4,11〜20位
3505,35,5,21〜30位
3506,35,6,31〜50位
3507,35,7,51〜70位
3508,35,8,71〜100位
3509,35,9,101〜200位
3510,35,10,201〜500位
3511,35,11,501〜1000位
3512,35,12,1001〜2000位
3513,35,13,2001〜5000位
3514,35,14,5001〜10000位
3515,35,15,10001〜20000位
3516,35,16,20001〜50000位
3517,35,17,50001〜100000位
3518,35,18,100001〜200000位
3519,35,19,200001〜300000位
3520,35,20,300001〜400000位
3521,35,21,400001〜500000位
3522,35,22,500001〜700000位
3523,35,23,700001〜1000000位
3524,35,24,3桁のゾロ目順位
3525,35,25,4桁のゾロ目順位
3526,35,26,5桁のゾロ目順位
3601,36,1,1位
3602,36,2,2〜3位
3603,36,3,4〜10位
3604,36,4,11〜20位
3605,36,5,21〜30位
3606,36,6,31〜50位
3607,36,7,51〜70位
3608,36,8,71〜100位
3609,36,9,101〜200位
3610,36,10,201〜500位
3611,36,11,501〜1000位
3612,36,12,1001〜2000位
3613,36,13,2001〜5000位
3614,36,14,5001〜10000位
3615,36,15,10001〜20000位
3616,36,16,20001〜50000位
3617,36,17,50001〜100000位
3618,36,18,100001〜200000位
3619,36,19,200001〜300000位
3620,36,20,300001〜400000位
3621,36,21,400001〜500000位
3622,36,22,500001〜700000位
3623,36,23,700001〜1000000位
3624,36,24,3桁のゾロ目順位
3625,36,25,4桁のゾロ目順位
3626,36,26,5桁のゾロ目順位
3701,37,1,1位
3702,37,2,2〜3位
3703,37,3,4〜10位
3704,37,4,11〜20位
3705,37,5,21〜30位
3706,37,6,31〜50位
3707,37,7,51〜70位
3708,37,8,71〜100位
3709,37,9,101〜200位
3710,37,10,201〜500位
3711,37,11,501〜1000位
3712,37,12,1001〜2000位
3713,37,13,2001〜5000位
3714,37,14,5001〜10000位
3715,37,15,10001〜20000位
3716,37,16,20001〜50000位
3717,37,17,50001〜100000位
3718,37,18,100001〜200000位
3719,37,19,200001〜300000位
3720,37,20,300001〜400000位
3721,37,21,400001〜500000位
3722,37,22,500001〜700000位
3723,37,23,700001〜1000000位
3724,37,24,3桁のゾロ目順位
3725,37,25,4桁のゾロ目順位
3726,37,26,5桁のゾロ目順位
3801,38,1,1位
3802,38,2,2〜3位
3803,38,3,4〜10位
3804,38,4,11〜20位
3805,38,5,21〜30位
3806,38,6,31〜50位
3807,38,7,51〜70位
3808,38,8,71〜100位
3809,38,9,101〜200位
3810,38,10,201〜500位
3811,38,11,501〜1000位
3812,38,12,1001〜2000位
3813,38,13,2001〜5000位
3814,38,14,5001〜10000位
3815,38,15,10001〜20000位
3816,38,16,20001〜50000位
3817,38,17,50001〜100000位
3818,38,18,100001〜200000位
3819,38,19,200001〜300000位
3820,38,20,300001〜400000位
3821,38,21,400001〜500000位
3822,38,22,500001〜700000位
3823,38,23,700001〜1000000位
3824,38,24,3桁のゾロ目順位
3825,38,25,4桁のゾロ目順位
3826,38,26,5桁のゾロ目順位
3901,39,1,1位
3902,39,2,2〜3位
3903,39,3,4〜10位
3904,39,4,11〜20位
3905,39,5,21〜30位
3906,39,6,31〜50位
3907,39,7,51〜70位
3908,39,8,71〜100位
3909,39,9,101〜200位
3910,39,10,201〜500位
3911,39,11,501〜1000位
3912,39,12,1001〜2000位
3913,39,13,2001〜5000位
3914,39,14,5001〜10000位
3915,39,15,10001〜20000位
3916,39,16,20001〜50000位
3917,39,17,50001〜100000位
3918,39,18,100001〜200000位
3919,39,19,200001〜300000位
3920,39,20,300001〜400000位
3921,39,21,400001〜500000位
3922,39,22,500001〜700000位
3923,39,23,700001〜1000000位
3924,39,24,3桁のゾロ目順位
3925,39,25,4桁のゾロ目順位
3926,39,26,5桁のゾロ目順位
4001,40,1,1位
4002,40,2,2〜3位
4003,40,3,4〜10位
4004,40,4,11〜20位
4005,40,5,21〜30位
4006,40,6,31〜50位
4007,40,7,51〜70位
4008,40,8,71〜100位
4009,40,9,101〜200位
4010,40,10,201〜500位
4011,40,11,501〜1000位
4012,40,12,1001〜2000位
4013,40,13,2001〜5000位
4014,40,14,5001〜10000位
4015,40,15,10001〜20000位
4016,40,16,20001〜50000位
4017,40,17,50001〜100000位
4018,40,18,100001〜200000位
4019,40,19,200001〜300000位
4020,40,20,300001〜400000位
4021,40,21,400001〜500000位
4022,40,22,500001〜700000位
4023,40,23,700001〜1000000位
4024,40,24,3桁のゾロ目順位
4025,40,25,4桁のゾロ目順位
4026,40,26,5桁のゾロ目順位
4101,41,1,1位
4102,41,2,2〜3位
4103,41,3,4〜10位
4104,41,4,11〜20位
4105,41,5,21〜30位
4106,41,6,31〜50位
4107,41,7,51〜70位
4108,41,8,71〜100位
4109,41,9,101〜200位
4110,41,10,201〜500位
4111,41,11,501〜1000位
4112,41,12,1001〜2000位
4113,41,13,2001〜5000位
4114,41,14,5001〜10000位
4115,41,15,10001〜20000位
4116,41,16,20001〜50000位
4117,41,17,50001〜100000位
4118,41,18,100001〜200000位
4119,41,19,200001〜300000位
4120,41,20,300001〜400000位
4121,41,21,400001〜500000位
4122,41,22,500001〜700000位
4123,41,23,700001〜1000000位
4124,41,24,3桁のゾロ目順位
4125,41,25,4桁のゾロ目順位
4126,41,26,5桁のゾロ目順位
4201,42,1,1位
4202,42,2,2〜3位
4203,42,3,4〜10位
4204,42,4,11〜20位
4205,42,5,21〜30位
4206,42,6,31〜50位
4207,42,7,51〜70位
4208,42,8,71〜100位
4209,42,9,101〜200位
4210,42,10,201〜500位
4211,42,11,501〜1000位
4212,42,12,1001〜2000位
4213,42,13,2001〜5000位
4214,42,14,5001〜10000位
4215,42,15,10001〜20000位
4216,42,16,20001〜50000位
4217,42,17,50001〜100000位
4218,42,18,100001〜200000位
4219,42,19,200001〜300000位
4220,42,20,300001〜400000位
4221,42,21,400001〜500000位
4222,42,22,500001〜700000位
4223,42,23,700001〜1000000位
4224,42,24,3桁のゾロ目順位
4225,42,25,4桁のゾロ目順位
4226,42,26,5桁のゾロ目順位
4301,43,1,1位
4302,43,2,2〜3位
4303,43,3,4〜10位
4304,43,4,11〜20位
4305,43,5,21〜30位
4306,43,6,31〜50位
4307,43,7,51〜70位
4308,43,8,71〜100位
4309,43,9,101〜200位
4310,43,10,201〜500位
4311,43,11,501〜1000位
4312,43,12,1001〜2000位
4313,43,13,2001〜5000位
4314,43,14,5001〜10000位
4315,43,15,10001〜20000位
4316,43,16,20001〜50000位
4317,43,17,50001〜100000位
4318,43,18,100001〜200000位
4319,43,19,200001〜300000位
4320,43,20,300001〜400000位
4321,43,21,400001〜500000位
4322,43,22,500001〜700000位
4323,43,23,700001〜1000000位
4324,43,24,3桁のゾロ目順位
4325,43,25,4桁のゾロ目順位
4326,43,26,5桁のゾロ目順位
4401,44,1,1位
4402,44,2,2〜3位
4403,44,3,4〜10位
4404,44,4,11〜20位
4405,44,5,21〜30位
4406,44,6,31〜50位
4407,44,7,51〜70位
4408,44,8,71〜100位
4409,44,9,101〜200位
4410,44,10,201〜500位
