id,name,description,exec_timing_type,turn,is_once,probability,causality_conditions,icon_type,target_type,target_value1,target_value2,target_value3,sub_target_type_set_id,efficacy_type,eff_value1,eff_value2,eff_value3,efficacy_values,calc_option
400,ダメージ軽減,ダメージを100%軽減する,0,0,0,0,,1,0,0,0,0,0,7,100.0,,,,0
500,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,330.0,,,,0
510,ダメージ軽減,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,80.0,,,,0
520,ダメージ軽減,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,60.0,,,,0
530,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0
600,ダメージ軽減,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,80.0,,,,0
610,ダメージ軽減,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,75.0,,,,0
620,ダメージ軽減,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,70.0,,,,0
630,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0
640,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,50.0,,,,0
650,再生,HPが回復する,0,0,0,0,,2,0,0,0,0,0,2,100.0,3.0,100.0,,0
700,マイナスエネルギー,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,60.0,,,,0
710,マイナスエネルギー,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,70.0,,,,0
720,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,200.0,,,,0
730,威圧,キャラクターの入れ替えをロックする,1,0,0,33,,0,11,90,10,0,0,5,,,,,0
800,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,25.0,,,,0
810,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,35.0,,,,0
820,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,45.0,,,,0
900,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,30.0,,,,0
910,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,50.0,,,,0
920,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,150.0,,,,0
1000,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,27.0,,,,0
1010,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,37.0,,,,0
1020,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,47.0,,,,0
1030,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,150.0,,,,0
1040,不死身の肉体,HPを回復する,0,0,0,0,,2,0,0,0,0,0,2,100.0,,,,0
1100,再生,HPが回復する,0,0,0,0,,2,0,0,0,0,0,2,100.0,3.0,100.0,,0
1110,再生,HPが回復する,0,0,0,0,,2,0,0,0,0,0,2,100.0,4.0,100.0,,0
1200,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,,0
1210,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,,0
1220,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,,0
1230,第六宇宙の洗礼,全ての気の玉をランダムに変化させる,1,0,0,50,,0,1,0,0,0,0,6,,,,,0
1240,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,,0
1250,威圧,キャラクターの入れ替えをロックする,1,0,0,70,,0,11,55,30,15,0,5,,,,,0
1260,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,,0
1270,回復,HPを回復する,0,0,0,0,,2,0,0,0,0,0,2,100.0,5.0,100.0,,0
1300,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,150.0,,,,0
1310,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,20.0,,,,0
1320,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,30.0,,,,0
1330,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0
1400,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,200.0,,,,0
1410,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,28.0,,,,0
1420,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,38.0,,,,0
1430,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,48.0,,,,0
1500,ダメージ軽減,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,90.0,,,,0
1510,人参化,気の玉を人参に変化させる,1,0,0,100,,0,1,0,0,0,0,4,63.0,4096.0,,,0
1520,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,60.0,,,,0
1600,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,200.0,,,,0
1610,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,15.0,,,,0
1620,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,20.0,,,,0
1630,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,25.0,,,,0
1640,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0
1700,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,,0
1710,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,25.0,,,,0
1720,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,30.0,,,,0
1730,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,35.0,,,,0
1740,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,52.0,,,,0
1750,サイヤの闘志,気絶状態にならない,0,-1,0,100,,0,1,0,0,0,0,10,0.0,0.0,0.0,,0
1800,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,200.0,,,,0
1810,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,33.0,,,,0
1820,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0
1830,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,50.0,,,,0
1840,サイヤの闘志,気絶状態にならない,0,-1,0,100,,0,1,0,0,0,0,10,0.0,0.0,0.0,,0
1900,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,190.0,,,,0
1910,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,35.0,,,,0
1920,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,43.0,,,,0
1930,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,54.0,,,,0
2000,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,34.0,,,,0
2010,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,39.0,,,,0
2020,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,44.0,,,,0
2030,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,53.0,,,,0
2100,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,45.0,,,,0
2110,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,55.0,,,,0
2120,仮面の狂気,必殺技を発動できなくなる,1,1,0,50,,0,11,100,0,0,0,11,0.0,0.0,0.0,,0
2130,仮面の狂気,必殺技を発動できなくなる,1,1,0,70,,0,11,100,0,0,0,11,0.0,0.0,0.0,,0
2200,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,,0
2210,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,35.0,,,,0
2220,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,75.0,,,,0
2230,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0
2240,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,85.0,,,,0
2250,エネルギー吸収,気弾系の必殺技を吸収する,1,1,0,100,,0,1,0,0,0,0,12,80.0,1.0,1.0,,0
2300,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,200.0,,,,0
2310,お菓子になっちゃえ！,気玉をお菓子に変化させる,1,0,0,66,,0,1,0,0,0,0,4,63.0,448.0,,,0
2320,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,35.0,,,,0
2330,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,37.0,,,,0
2340,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,42.0,,,,0
2350,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,47.0,,,,0
2400,超サイヤ人,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,140.0,,,,0
2410,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0
2420,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,44.0,,,,0
2430,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,50.0,,,,0
2440,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,55.0,,,,0
2450,空間歪曲,全ての気の玉をランダムに変化させる,1,0,0,100,,0,1,0,0,0,0,6,,,,,0
2460,回避,攻撃を回避することがある,1,0,0,100,,0,1,0,0,0,0,8,40.0,,,,0
2500,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,30.0,,,,0
2510,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,35.0,,,,0
2520,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0
2530,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,60.0,,,,0
2540,BOSSキャラ,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,140.0,,,,0
2550,サイヤの闘志,気絶状態にならない,0,-1,0,100,,0,1,0,0,0,0,10,0.0,0.0,0.0,,0
2560,黄金の闘気,必殺技を封じる効果を無効化する,0,-1,0,100,,0,1,0,0,0,0,14,0.0,0.0,0.0,,0
2600,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,330.0,,,,0
2610,ダメージ軽減,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,90.0,,,,0
2620,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,65.0,,,,0
2630,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,45.0,,,,0
2700,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,42.0,,,,0
2710,ダメージ軽減,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,97.0,,,,0
2720,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,30.0,,,,0
2730,激化,ATKとDEFが急上昇する,0,0,0,0,,1,0,0,0,0,0,1,123.0,15000.0,100.0,,0
2740,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,33.0,,,,0
2750,激化,ATKとDEFが急上昇する,0,0,0,0,,1,0,0,0,0,0,1,128.0,17000.0,100.0,,0
2760,暴走する悪魔,気絶状態にならない,0,-1,0,100,,0,1,0,0,0,0,10,0.0,0.0,0.0,,0
2770,破滅の狂気,必殺技を封じる効果を無効化する,0,-1,0,100,,0,1,0,0,0,0,14,0.0,0.0,0.0,,0
2800,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,45.0,,,,0
2810,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,49.0,,,,0
2820,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,59.0,,,,0
2830,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,64.0,,,,0
2840,サイヤの闘志,気絶状態にならない,0,-1,0,100,,0,1,0,0,0,0,10,0.0,0.0,0.0,,0
2850,黄金の闘気,必殺技を封じる効果を無効化する,0,-1,0,100,,0,1,0,0,0,0,14,0.0,0.0,0.0,,0
2900,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,51.0,,,,0
2910,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,61.0,,,,0
2920,ダメージ軽減,ダメージを大幅に軽減する,0,0,0,0,,1,0,0,0,0,0,7,71.0,,,,0
2930,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,120.0,,,,0
2940,威圧,キャラクターの入れ替えをロックする,1,0,0,100,,0,11,80,20,0,0,5,,,,,0
2950,最後の邪悪龍,気絶状態にならない,0,-1,0,100,,0,1,0,0,0,0,10,0.0,0.0,0.0,,0
2960,絶えない邪悪,必殺技を封じる効果を無効化する,0,-1,0,100,,0,1,0,0,0,0,14,0.0,0.0,0.0,,0
3000,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0
3100,究極への覚醒,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,47.0,,,,0
3110,究極への覚醒,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,60.0,,,,0
3120,気の解放,全ての気の玉をランダムに変化させる,1,0,0,35,,0,1,0,0,0,0,6,,,,,0
3130,真なる力,ATKが急上昇する,0,0,0,0,,1,0,0,0,0,0,1,130.0,100.0,,,0
3140,真なる力,ATKが急上昇する,0,0,0,0,,1,0,0,0,0,0,1,135.0,100.0,,,0
3200,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,44.0,,,,0
3210,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,53.0,,,,0
3220,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,56.0,,,,0
3230,帝王の精神力,気絶状態にならない,0,-1,0,100,,0,1,0,0,0,0,10,0.0,0.0,0.0,,0
3240,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,65.0,,,,0
3250,お菓子になっちゃえ！,気玉をお菓子に変化させる,1,0,0,100,,0,1,0,0,0,0,4,63.0,448.0,,,0
3260,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,43.0,,,,0
3270,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,50.0,,,,0
3280,バリヤー,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,60.0,,,,0
3290,バリヤー,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,65.0,,,,0
3300,サイヤの闘志,気絶状態にならない,0,-1,0,100,,0,1,0,0,0,0,10,0.0,0.0,0.0,,0
3400,回避,攻撃を回避する,1,0,0,100,,0,1,0,0,0,0,8,100.0,,,,0
3500,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0
3510,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,45.0,,,,0
3520,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,52.0,,,,0
3530,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,55.0,,,,0
3540,揺るがぬサイヤ人魂,ATK＆DEFダウンを無効化,0,-1,0,100,,0,1,0,0,0,0,13,3.0,0.0,0.0,,0
3600,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0
3610,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,45.0,,,,0
3620,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,55.0,,,,0
3630,幻影,攻撃を回避することがある,1,0,0,100,,0,1,0,0,0,0,8,20.0,,,,0
3640,幻影,攻撃を回避することがある,1,0,0,100,,0,1,0,0,0,0,8,35.0,,,,0
3650,幻影,攻撃を回避することがある,1,0,0,100,,0,1,0,0,0,0,8,45.0,,,,0
3660,幻影,攻撃を回避することがある,1,0,0,100,,0,1,0,0,0,0,8,40.0,,,,0
3670,幻影,攻撃を回避することがある,1,0,0,100,,0,1,0,0,0,0,8,50.0,,,,0
3680,幻影,攻撃を回避することがある,1,0,0,100,,0,1,0,0,0,0,8,80.0,,,,0
3690,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,130.0,,,,0
3700,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,43.0,,,,0
3710,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,53.0,,,,0
3720,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,59.0,,,,0
3730,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,63.0,,,,0
3740,未踏の高み,必殺技を封じる効果を無効化する,0,-1,0,100,,0,1,0,0,0,0,14,0.0,0.0,0.0,,0
3750,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,120.0,,,,0
3800,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,45.0,,,,0
3810,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,54.0,,,,0
3820,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,60.0,,,,0
3830,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,65.0,,,,0
3840,サイヤの闘志,気絶状態にならない,0,-1,0,100,,0,1,0,0,0,0,10,0.0,0.0,0.0,,0
3850,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,120.0,,,,0
3900,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,120.0,,,,0
3910,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,47.0,,,,0
3920,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,54.0,,,,0
3930,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,64.0,,,,0
3940,サイヤの闘志,気絶状態にならない,0,-1,0,100,,0,1,0,0,0,0,10,0.0,0.0,0.0,,0
3950,黄金の闘気,必殺技を封じる効果を無効化する,0,-1,0,100,,0,1,0,0,0,0,14,0.0,0.0,0.0,,0
3960,神秘のエナジー,ATK＆DEFダウンを無効化,0,-1,0,100,,0,1,0,0,0,0,13,3.0,0.0,0.0,,0
4000,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,130.0,,,,0
4010,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,48.0,,,,0
4020,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,55.0,,,,0
4030,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,66.0,,,,0
4040,サイヤの闘志,気絶状態にならない,0,-1,0,100,,0,1,0,0,0,0,10,0.0,0.0,0.0,,0
4050,黄金の闘気,必殺技を封じる効果を無効化する,0,-1,0,100,,0,1,0,0,0,0,14,0.0,0.0,0.0,,0
4060,神秘のエナジー,ATK＆DEFダウンを無効化,0,-1,0,100,,0,1,0,0,0,0,13,3.0,0.0,0.0,,0
4100,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,45.0,,,,0
4110,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,52.0,,,,0
4120,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,67.0,,,,0
4130,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,69.0,,,,0
4140,サイヤの闘志,気絶状態にならない,0,-1,0,100,,0,1,0,0,0,0,10,0.0,0.0,0.0,,0
4150,静かで熱い闘気,必殺技を封じる効果を無効化する,0,-1,0,100,,0,1,0,0,0,0,14,0.0,0.0,0.0,,0
4160,神秘のエナジー,ATK＆DEFダウンを無効化,0,-1,0,100,,0,1,0,0,0,0,13,3.0,0.0,0.0,,0
4200,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,32.0,,,,0
4210,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,45.0,,,,0
4220,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,68.0,,,,0
4230,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,52.0,,,,0
4240,神精樹の実“強化”,ATKとDEFが急上昇する,0,0,0,0,,1,0,0,0,0,0,1,130.0,3000.0,100.0,,0
4250,神精樹の実“強化”,ATKとDEFが急上昇する,0,0,0,0,,1,0,0,0,0,0,1,133.0,7000.0,100.0,,0
4260,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,140.0,,,,0
4300,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,45.0,,,,0
4310,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,52.0,,,,0
4320,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,57.0,,,,0
4330,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,66.0,,,,0
4340,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,,0
4350,サイヤの闘志,気絶状態にならない,0,-1,0,100,,0,1,0,0,0,0,10,0.0,0.0,0.0,,0
4360,貫くプライド,必殺技を封じる効果を無効化する,0,-1,0,100,,0,1,0,0,0,0,14,0.0,0.0,0.0,,0
4370,神秘のエナジー,ATK＆DEFダウンを無効化,0,-1,0,100,,0,1,0,0,0,0,13,3.0,0.0,0.0,,0
4400,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0
4410,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,55.0,,,,0
4420,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,61.0,,,,0
4430,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,68.0,,,,0
4440,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,140.0,,,,0
4450,第11宇宙最強の戦士,気絶状態にならない,0,-1,0,100,,0,1,0,0,0,0,10,0.0,0.0,0.0,,0
4460,孤高の強さ,必殺技を封じる効果を無効化する,0,-1,0,100,,0,1,0,0,0,0,14,0.0,0.0,0.0,,0
4470,威圧,キャラクターの入れ替えをロックする,1,0,0,100,,0,11,100,0,0,0,5,,,,,0
4500,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,50.0,,,,0
4510,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,62.0,,,,0
4520,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,67.0,,,,0
4530,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,220.0,,,,0
4540,未来へつなぐ力,DEFが急上昇する,0,0,0,0,,1,0,0,0,0,0,1,100.0,6000.0,100.0,,0
4600,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,40.0,,,,0
4610,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,59.0,,,,0
4620,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,45.0,,,,0
4630,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,65.0,,,,0
4640,貫通,敵に与えるダメージが増加する,0,0,0,0,,0,0,0,0,0,0,3,130.0,,,,0
4650,サイヤの闘志,気絶状態にならない,0,-1,0,100,,0,1,0,0,0,0,10,0.0,0.0,0.0,,0
4660,突き抜けた戦闘力,必殺技を封じる効果を無効化する,0,-1,0,100,,0,1,0,0,0,0,14,0.0,0.0,0.0,,0
4700,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,45.0,,,,0
4710,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,47.0,,,,0
4720,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,57.0,,,,0
4730,ダメージ軽減,ダメージを軽減する,0,0,0,0,,1,0,0,0,0,0,7,60.0,,,,0
